global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
794.4862609112893	n/a	n/a	631208.4187768012	992.8449857930492	n/a	985741.1658144	n/a	761.4204980143802	n/a	579761.1747964667	n/a	794.5811963358419	654.4597046915376	n/a	n/a	n/a	n/a	-0.0256051758	-0.0866387426	0.112970061	-0.109924138	0.0550436203	-0.0323145095	0.0845790192	-0.0764782161	0.0267719333	-0.000545963	0.0254234485	-0.0533984302	0.0971273454	-0.1513499425	-0.1366579061	0.1960570768	-0.008514398	0.0275621612	-0.1746991679	0.0949487843	-0.1850182074	0.0075971753	-0.0205681188	0.0589990343	-0.033616554	0.1035737308	0.0478616638	-0.0222383031	2.78819e-05	-0.0655752659	0.073800778	-0.0683720875	0.0247100232	-0.0001888289	0.0237061999	-0.0926534081	0.0256134479	0.0358584686	-0.0022540023	0.0652442444	-0.0726647517	-0.0616863916	0.021498919	-0.088864594	0.02761233	0.0185425565	-0.1114874328	-0.0099199881	-0.1014044116	0.0381419241	0.1078059691	-0.0592595373	-0.0003597111	0.0254290174	0.0634508375	-0.0221326033	-0.1456066235	0.0221436998	0.0078760349	-0.0862378854	0.1950207162	-0.0746087118	0.0029024993	-0.0809953606	0.0506020082	-0.0003757454	0.1500836585	-0.180168528	0.101764757	-0.1037611285	0.0154157437	-0.0879778115	0.0690615837	-0.1295071481	0.0706379791	-0.0676494027	0.0401379604	-0.0475920509	0.0587853014	-0.0470097121	0.0161393926	-0.0867946162	0.0706341096	-0.075391344	0.0214975738	-0.0052779639	0.0789275948	-0.1368074048	0.0004743993	0.0622350918	-0.0422500356	-0.0620312938	0.0847635469	0.0121760365	-0.1400000705	0.1698772065	-0.035534295	-0.0872214355	0.1138605756	0.0137211187	0.0199164082	0.1147017419	0.1146833673	0.1146527451	-0.579405	n/a	n/a	0.3357101540249999	0.0371124	n/a	0.0013773302337599	n/a	0.0728112999999999	n/a	0.0053014854076899	n/a	0.000439017	n/a	1.92735926289e-07	n/a	0.000106224	n/a	1.1283538176000002e-08	n/a	-0.0102944	n/a	0.00010597467136	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
791.8434399211421	-2.642820990147129	6.984502785962252	627016.0333461474	988.6095019045124	-4.235483888536805	977348.747255888	17.93932377005486	760.0469927480808	-1.3735052662993894	577671.4311854012	1.8865167165521568	792.8293645146564	642.1702487181076	1.221344	25.364103	0.09722393	0.0482821	-0.028864359	-0.0496960096	0.0904979086	-0.0664483942	0.0921960207	0.0237383214	0.1041248091	-0.1912832746	0.0575460612	0.0227814566	-0.0685673617	0.160879977	0.0542623794	-0.0369616436	-0.1655420776	0.2243980494	-0.0388448803	0.0858747322	-0.1500407095	0.0295272619	-0.1963281864	0.0926529523	0.0015553197	-0.0344452822	0.0084222566	0.0710029071	-0.0501361698	-0.0028002376	0.0827151085	-0.0490890551	-0.0175448189	0.1039623449	0.0365904224	0.0382888565	0.0108661824	-0.0662870389	-0.0265328161	-0.0654617378	-0.0187564037	0.0285995007	0.0447729708	0.0047883874	0.1457525961	-0.0093424081	-0.0300994011	-0.0593100057	-0.0777399126	-0.0367051205	0.0565267612	0.0020778178	-0.0873775452	0.0674481457	-0.0759375124	0.0330443428	0.110962609	-0.0026354479	-0.0498957559	0.1645812412	-0.0310485329	-0.1183504304	0.2113919154	-0.0577951144	0.0471883291	-0.1310194371	0.1283518734	-0.0289225316	0.1019649508	-0.1531683192	0.0270515871	-0.0951213147	-0.1482374401	-0.050662677	-0.0405870455	0.0156228238	-0.0326539225	0.0708557604	0.1257790233	0.1389268395	0.0029498517	0.0225177148	-0.0609889425	0.0359362874	-0.1011604822	-0.0642274982	-0.1009884542	-0.0029454339	-0.0611465253	-0.0271877609	-0.0690092507	-0.0715506581	0.1039586525	-0.033396622	0.0601320215	-0.0281736565	-0.0270690528	0.0056136982	0.0342584179	0.0246803927	0.0810615167	-0.0448563731	0.0078904854	0.1146527451	0.1144874327	0.1142120884	-0.547819	0.031586	0.000997675396	0.3001056567609999	0.0175239	-0.0195885	0.0003070870712099	0.0003837093322499	0.0960951	0.0232838000000001	0.00923426824401	0.00054213534244	0.000256108	-0.0001829089999999	6.5591307664e-08	3.3455702280999994e-08	8.23204e-05	-2.390360000000001e-05	6.7766482561599996e-09	5.713820929600002e-10	-0.0100459	0.0002485	0.00010092010681	6.175225000000024e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
791.0470088417153	-0.7964310794268386	0.6343024642769992	625755.3701974248	986.9872007940836	-1.6223011104287934	974143.7345313408	2.631860892898496	760.5291649516079	0.4821722035270568	578404.6107419899	0.2324900338541375	792.675327264834	635.5206145628619	0.947596	19.679077	0.2112602299999999	0.104003	-0.0174821812	-0.0266234522	0.0616046287	-0.083629332	0.1429798062	0.0600456001	0.0385078648	-0.1469045555	0.0258745522	0.0270788315	0.0265412103	-0.0758171484	0.1152530428	-0.1242926049	-0.1542306861	0.19149861	-0.0331146277	0.0898681965	-0.1469065612	0.0413162543	-0.0602390986	0.0702015179	0.0084038085	-0.0488407003	0.0390869547	0.159356774	-0.1121178809	0.0774548055	0.0492408578	0.0346196775	-0.0033790256	-0.1043306216	-0.0201088047	-0.0155433187	0.0455836107	0.0327087848	0.0466555956	-0.0233890215	-0.0717062767	0.0413051797	0.0543101466	0.1038045807	0.046825286	0.0160997608	0.0211195575	0.0186212783	0.0636423128	0.0827122261	0.0201156021	0.0733363937	-0.0529047481	-0.013846057	-0.0148186188	0.0105109946	-0.0096237019	-0.0520358128	0.1168335509	-0.0956476131	0.0318774669	-0.1195824899	0.1898713169	-0.0371621146	0.0688207579	-0.1176314184	0.0431500286	-0.0193432551	0.1062657449	-0.0418144623	0.06982895	-0.1913606991	-0.019919497	-0.0186069515	0.0220309023	-0.1398082926	-0.0033881383	0.0123365871	0.0904041061	-0.0088468825	0.0844911499	0.0203685486	-0.1089527357	0.0171392386	-0.0345124789	-0.0247454028	0.0956310556	0.007105864	0.0420013237	0.0144436451	0.0378194374	0.0515161495	-0.0970080219	0.0594025671	0.0004621606	0.0567416445	0.0539579056	0.0032828175	0.0500635954	0.0382138956	-0.0676469003	-0.0071899278	0.0487824133	0.1145547726	0.1140958982	0.1133324686	-0.497302	0.0505169999999999	0.0025519672889999	0.247309279204	0.0150374	-0.0024864999999999	0.0002261233987599	6.182682249999996e-06	0.0538955	-0.0421996	0.00290472492025	0.00178080624016	0.00100717	0.0007510619999999	1.0143914089e-06	5.640941278439999e-07	0.000657071	0.0005747505999999	4.3174229904100005e-07	3.303382522003599e-07	-0.00905057	0.0009953299999999	8.191281732490002e-05	9.906818088999983e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
791.077909807935	0.0309009662197468	0.0009548697133139	625804.2593860914	987.4149542541696	0.4277534600860235	974988.291884764	0.1829730226155653	760.1054678971211	-0.4236970544867517	577760.3223271014	0.1795191939807495	792.8064022366924	635.8373607066598	0.918193	19.06846	0.1217369	0.0573549	-0.0224130557	-0.0213398552	0.0877025846	-0.1137456421	0.1432452334	0.0420126762	0.0053559488	-0.1564566429	0.0060697081	0.0458863672	-0.1799985098	0.109551353	0.0646909089	-0.0579792226	-0.1650275576	0.2079632325	-0.0472473988	0.0692648266	-0.0283431673	0.0418761134	-0.0575952249	0.0203460576	-0.0671985271	-0.0194824266	0.0274122876	0.0146850358	0.0823927347	0.11093917	-0.0021970547	-0.0205804464	0.0559345025	0.0037677211	-0.0179190432	0.1523552337	0.013831907	0.0821625673	0.0223948794	-0.01550997	-0.0095186125	-0.0362869205	0.0966439934	-0.1162824714	0.016252471	0.1085223311	0.0588965193	0.0290707061	0.1166980237	-0.0732516165	0.0983676045	0.0238827504	0.0910685348	-0.0374023896	-0.0178924548	0.0023087364	0.0032729896	0.0582496133	0.1238623008	-0.0233075386	-0.0225064193	-0.1393249094	0.1969654609	-0.0284555696	0.0543886992	-0.1290173687	0.0182083929	0.0639444323	0.0467699293	-0.0484231902	0.0341983994	-0.0665174151	-0.0115993474	-0.0303437013	0.0035773912	0.0749215556	-0.0329481067	0.0058729949	0.0942498741	-0.0281536966	-0.0044223749	0.0324608717	-0.017954517	0.1207972835	-0.0054807251	0.0660294743	-0.0440681163	-0.0245098681	-0.0072397519	-0.0392337979	0.1137095848	0.0791825072	-0.0040048305	0.0432040909	0.0091802437	0.0201247916	0.0088457608	-0.0960495638	-0.0559766478	0.0460614119	0.0052816127	-0.0725343152	-0.0081240588	0.1144078661	0.1135094328	0.1120172664	-0.46539	0.0319119999999999	0.0010183757439999	0.2165878521	0.0291305	0.0140931	0.00084858603025	0.00019861546761	0.0784250999999999	0.0245295999999999	0.0061504963100099	0.0006017012761599	0.000499943	-0.000507227	2.49943003249e-07	2.57279229529e-07	0.0008611979999999	0.0002041269999999	7.416619952038278e-07	4.16678321289592e-08	-0.00873788	0.00031269	7.63505468944e-05	9.777503610000056e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
791.6077797684487	0.529869960513679	0.2807621750547677	626642.8769899328	988.626410023828	1.2114557696584145	977382.1785966022	1.467625081838661	760.5267422524009	0.4212743552798201	578400.9256810499	0.1774720824164281	792.5280378456258	630.1640285665374	0.937478	19.46895	0.1351735499999999	0.07146	-0.0259492497	-0.0128024941	0.0025559413	-0.1273807855	0.0798788605	0.0487105879	0.0490587559	-0.1991009898	0.0239899897	0.0675079604	0.0141414966	-0.023859018	0.0407453523	-0.0381948718	-0.1638872289	0.1906600096	-0.019151903	0.0426464489	-0.0921068637	-0.0297625566	0.0377886705	0.0280266017	0.0385887991	-0.0226678458	-0.0458931287	-0.00733573	-0.0171600287	-0.033239688	-0.0922524836	-0.0056226488	-0.1130476136	0.002283042	0.0314109723	-0.0384910368	-0.0020843285	0.1630210872	-0.0384509963	0.1103947875	-0.0183948312	0.002215471	-0.023089137	0.137600292	-0.010616759	-0.1173088672	-0.0153932602	0.0120095414	0.0268667653	0.1621181722	-0.0758934627	0.1342271176	-0.0108173762	-0.0593087775	0.015011597	-0.1217809228	0.0249978718	-0.0384222764	0.0026236931	-0.0523210858	-0.0338128402	-0.1434705726	0.1949263508	0.0077850794	0.0248622029	-0.1045101202	0.0079378585	-0.1229286846	-0.0018372399	0.019159697	0.000740707	-0.0932339314	-0.015122162	0.0163472273	-0.0384722541	-0.0151463984	-0.0486456223	0.049341458	-0.0393593201	-0.0165040416	0.0199608962	-0.0941378094	-0.017534286	-0.0664123698	0.0529481799	-0.00301104	0.0347778707	-0.0597045193	0.0711682118	0.0091846666	0.0576054792	-0.0147717166	-0.0171655197	0.0586295643	-0.0788371523	0.1556290928	0.0476538821	0.0066784845	0.0636654556	0.0381512902	-0.0170308228	-0.0137284122	0.0138397929	0.1142120884	0.1127290384	0.1102715368	-0.424869	0.040521	0.001641951441	0.180513667161	0.0157344	-0.0133961	0.0002475713433599	0.00017945549521	0.0583649	-0.0200601999999999	0.0034064615520099	0.0004024116240399	0.000717322	0.0002173789999999	5.145508516839999e-07	4.725362964099998e-08	0.000980494	0.000119296	9.613684840359998e-07	1.4231535616023842e-08	-0.00785063	0.0008872499999999	6.16323913969e-05	7.872125624999985e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
794.3512862047136	2.743506436264852	7.526827565826667	630993.9658950828	992.358273501324	3.731863477495949	984774.9429865284	13.926805014668158	762.5091158784815	1.9823736260805165	581420.1517977834	3.929805193379615	794.9293974981198	636.7293240820732	1.008851	20.951193	0.2929593000000001	0.15764	-0.0376821173	-0.0339699366	0.0659431103	-0.1436648101	0.0807691327	0.0117380135	-0.015164088	-0.0673491401	0.1052833087	0.0240564949	-0.0746328914	0.051482961	0.0233313081	0.0819500273	-0.1046968383	0.1454140525	0.0468323064	0.0628339131	-0.0961062095	-0.0229838483	0.044932447	-0.0963972784	0.0285319194	0.0364487942	-0.0796241339	0.0271202326	0.0014042095	-0.0581444946	-0.0405596349	0.0179385968	0.0091657328	0.1444682794	0.0275805755	-0.0571836093	-0.0454255212	-0.0129564735	0.0213854278	0.0686623111	0.0813500371	-0.0740636612	-0.023296929	-0.0163120772	-0.0560095437	0.1536537787	-0.0262368675	0.0003294797	-0.0851708476	0.0672764343	0.0148627076	-0.0845605732	-0.0554353064	0.0036147758	-0.0146287029	-0.0183936325	0.0626569506	0.0195403236	0.0240750077	0.0017685772	-0.0004814208	-0.0924442891	0.1604846755	-0.0646221625	-0.0134341988	-0.0624986875	-0.098657118	-0.0516175269	-0.0313244149	0.0045881513	0.0272402183	0.009788375	-0.0317839179	-0.127969212	-0.0577197008	0.0545616749	0.0108063251	0.0025803036	-0.0792562304	0.1132259325	-0.0125032343	-0.0262510158	0.0455949974	-0.063382169	-0.0440403534	0.1281483663	-0.0667094335	0.1249387602	0.0432572985	0.089354594	0.0375229563	-0.0701699209	0.0722777617	-0.0092887653	-0.0604930526	-0.0921961715	0.0284874786	-0.0942095115	0.091621193	0.0250779247	-0.0690899636	-0.0349554047	-0.0111841943	0.1139675232	0.1117560484	0.1081019891	-0.344699	0.08017	0.0064272289	0.1188174006009999	0.052049	0.0363146	0.0027090984009999	0.00131875017316	0.0540927	-0.0042721999999999	0.00292602019329	1.8251692839999973e-05	0.000150846	-0.000566476	2.2754515716e-08	3.20895058576e-07	0.00026677	-0.000713724	7.116623289999999e-08	5.09401948176e-07	-0.00568678	0.00216385	3.23394667684e-05	4.682246822500004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
795.9560788672627	1.60479266254913	2.5753594897715257	633546.0794857481	992.8344456667226	0.476172165398566	985720.2365023482	0.2267399311003592	763.5454529949237	1.0363371164422688	583001.6587892233	1.0739946189158769	795.1546964251327	641.6130854971487	0.969148	20.126648	0.1432771499999999	0.0704802	-0.0442406024	-0.0621439388	0.0077681667	-0.136095625	-0.005284407	-0.033767247	0.0656428012	-0.1530241228	0.0718984232	0.068233095	0.0408674111	-0.026530479	0.0346437969	-0.0389270646	-0.0845908026	0.0939210697	0.070789789	-0.0307882738	-0.0540062768	0.0320778466	0.0302984912	-0.0354862255	-0.0285092604	-0.0579268184	-0.0155853834	-0.01705297	-0.0315807953	-0.0038283311	0.0287783093	-0.1105509378	-0.0972410272	0.1332483277	-0.0190090831	-0.0608489062	-0.0042619335	-0.0263737105	-0.1070031527	-0.0723436482	0.0537485875	-0.0808617752	0.0065209927	-0.0086744013	-0.0081342508	-0.0179450152	-0.0510852859	-0.0073545872	0.1398979079	-0.0642180918	-0.0733086761	-0.1779781899	0.0296056597	-0.0361627001	0.117846308	-0.0654419279	-0.0388408194	0.0197879019	0.1236047907	0.0369805524	-0.0622853964	-0.0794983301	0.1150582071	-0.0205012816	-0.0449786967	0.0246185212	-0.0716395674	-0.1593546553	-0.0261748094	-0.014199649	-0.0731907274	-0.0517320428	-0.0341008047	-0.0192493348	0.0239327747	-0.0358449921	-0.0246069566	-0.0866402406	-0.1232550476	-0.0676522443	-0.040569835	-0.0721767562	-0.0433213136	-0.0205248574	-0.0825940224	0.0317827343	-0.0556421038	0.009263454	0.0752222607	-0.0657342152	-0.0503917015	0.0095115457	0.0905841817	-0.0922557375	0.0508361916	0.0661515593	0.0337773017	-0.0772973932	-0.0998575982	-0.1349146657	-0.0794436419	0.0285332478	-0.036677801	0.1136742748	0.110592125	0.105516962	-0.30925	0.0354489999999999	0.0012566316009999	0.0956355625	0.00847873	-0.0435702699999999	7.18888624129e-05	0.0018983684278728	0.054231	0.0001383	0.002941001361	1.9126890000000256e-08	0.000493864	0.000343018	2.43901650496e-07	1.17661348324e-07	-7.29036e-05	-0.0003396736	5.3149348929600005e-09	1.1537815453696001e-07	-0.00508708	0.0005996999999999	2.58783829264e-05	3.5964008999999986e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
797.3479747192578	1.3918958519950593	1.937374062801052	635763.7927889021	989.228075568302	-3.606370098420598	978572.185492566	13.005905286782191	764.3141919716902	0.7687389767664854	584176.1840493378	0.590959614399983	796.3004027235722	649.8642879070927	1.036342	21.522093	0.100299565	0.0653258	-0.0460456283	-0.0897630855	0.0442639855	-0.1059405049	0.0789247289	-0.0875591089	0.0475209353	-0.0097023466	0.1293731242	0.0612719589	-0.0554961106	0.0144023095	0.1061864388	0.1053004894	-0.0770570993	0.0982846902	0.13456084	0.0644471352	-0.0613801606	-0.0353832775	0.0297387204	-0.0978724574	0.0112650459	0.2034484331	0.0191989345	0.0421815241	0.1059963684	-0.0196828345	0.0689929929	0.0415214236	0.0629343194	0.1184103816	-0.1485661418	-0.0078035042	-0.0789700405	-0.072153278	-0.0020723244	0.0494256834	0.0885381192	0.0859099489	-0.004606009	0.104237519	-0.1753275739	0.033421178	-0.0197891827	0.1273138772	-0.0476986838	-0.0943832161	-0.1163962722	-0.0298702656	0.065467507	0.0987119602	0.0277314297	0.0689047129	-0.1601804941	-0.0193027975	-0.0521939557	-0.0779850139	-0.1066458766	-0.0539107527	0.1242608637	-0.1216927799	0.0046017558	0.0335322218	-0.1004873736	-0.0380141814	-0.0106508747	-0.0556213707	0.0324007148	0.036421249	0.0022264117	-0.1205150022	-0.0447776351	-0.0318510723	0.3002289413	-0.1219666439	-0.1258511283	-0.0170346268	-0.1344002951	0.0509599108	-0.004167466	-0.0131184023	-0.0335817001	0.0964039501	0.0178669359	0.0423413232	-0.1332378487	0.1432788754	-0.0539974286	0.0300537878	-0.0114936671	-0.0102910816	-0.0433894217	-0.17426219	-0.0011255667	-0.0268688705	-0.0008170414	0.0552092496	-0.1139195259	0.0921135733	-0.2054284914	0.1133324686	0.1092392569	0.1025263906	-0.311915	-0.0026649999999999	7.102224999999856e-06	0.097290967225	0.0683673	0.05988857	0.00467408770929	0.0035866408166449	0.0642732	0.0100422	0.00413104423824	0.00010084578084	0.000204832	-0.000289032	4.1956148224e-08	8.3539497024e-08	-7.86175e-05	-5.7139e-06	6.18071130625e-09	3.264865321e-11	-0.00482775	0.00025933	2.33071700625e-05	6.725204890000018e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
795.2218413104048	-2.1261334088529797	4.52044327224079	632377.7768971106	987.6323443596548	-1.5957312086471802	975417.6476253476	2.5463580902505907	764.7825988388142	0.4684068671240311	584892.4234866507	0.2194049931689497	796.1460706656162	641.0848866242216	1.34416	27.91468	0.1513559249999999	0.0790924999999999	-0.0321301337	-0.0637089758	0.0169426305	0.0391887602	0.0361305397	-0.1080399369	0.1592711004	-0.0493997591	0.0765113983	-0.0130010943	0.1211691552	0.0210990483	0.0455004367	-0.0492924907	-0.0326157052	0.0852995992	0.1702208016	-0.0054418367	0.1545131172	0.0258352902	-0.0865847698	0.0237509115	0.0170949889	-0.1984154374	-0.0099454966	-0.3278715149	0.0481798756	0.0258888366	-0.0312432132	-0.0177850749	-0.016158453	0.0752676039	-0.0390127671	-0.0798771231	-0.0791392649	-0.0032022978	-0.0375616364	-0.0706611841	-0.1093767368	0.0178661954	-0.0738778931	-0.0609592987	-0.0188201236	0.1375173658	0.1286427769	-0.0264384961	-0.039892365	0.1093077411	0.0165204768	0.052099288	0.0013257516	0.047724937	-0.1096953774	0.0794079698	-0.027746606	0.2305667455	-0.0896174767	-0.1371722525	0.0228220105	-0.0151722814	0.0798235114	-0.1255882682	0.0378592218	0.1131981671	0.0469018771	-0.091849123	-0.0537449432	-0.0337091304	-0.0501157025	-0.0076726449	-0.03830921	0.0800204638	0.0292493457	0.1694774095	-0.2923431142	-0.1871917138	-0.0725268627	-0.0835169956	-0.1589188371	0.0148559182	-0.0070176521	0.0138871369	0.1056031049	-0.0291171326	-0.0217887302	-0.0554076775	-0.1994097006	0.0195646376	-0.1499367822	-0.0451797581	-0.134153598	0.0484274277	-0.0249410836	-0.0049237038	-0.0599384767	0.032874851	-0.0349430045	-0.0642953429	0.1184552966	0.0614341867	0.038542529	0.1129422506	0.1076997553	0.099141769	-0.255676	0.0562389999999999	0.0031628251209999	0.065370216976	0.069235	0.0008676999999999	0.004793485225	7.529032899999983e-07	0.0852626999999999	0.0209894999999998	0.0072697280112899	0.0004405591102499	0.000487065	0.000282233	2.3723231422500005e-07	7.965546628900002e-08	-0.000496479	-0.0004178614999999	2.46491397441e-07	1.7460823318225e-07	-0.00406265	0.0007650999999999	1.65051250225e-05	5.853780099999992e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
795.4779611810035	0.2561198705986953	0.0655973881154924	632785.1867246861	987.1953682890328	-0.4369760706219949	974554.6951713192	0.1909480862962387	766.0145413855444	1.2319425467301244	586778.2776141058	1.5176824384439047	797.8427242311237	636.7122225611874	1.523618	31.64155	0.6274819	0.363153	0.0134192891	-0.0117220129	0.0050535547	0.0877650084	0.03617355	-0.1109391667	-0.0302780263	0.1255949765	0.0386009302	-0.1162565612	0.0180453389	-0.060286517	-0.0749996417	-0.0418018907	0.0736871734	-0.0555274066	0.162394321	0.0127544076	0.2055836334	0.0096342272	-0.0334250677	0.0497439224	0.0861270005	-0.1395083348	-0.0441128521	-0.3104795944	-0.0617769254	-0.0378979621	0.2192273888	-0.0754448391	-0.0499693753	-0.1981367949	0.1531160736	-0.0220132326	0.0756531035	-0.0163999034	-0.0397447391	-0.0137282914	0.1094510093	0.0592205663	0.0322325555	0.0675999028	-0.0239740067	-0.0534203965	0.1204513061	0.2205028041	0.0941870993	-0.0220787963	-0.0146942162	0.0566942923	-0.03830889	-0.1354763307	-0.0170209666	0.10098279	0.0122320478	-0.0977442884	0.0787709246	-0.1206891601	0.0250276106	0.0774683925	-0.065250805	-0.0944639289	0.069977893	0.1753675683	-0.0634996441	0.0666325761	-0.0804571584	0.1788380532	0.1175824759	0.0318768815	0.1010965049	-0.0058472089	0.0571254216	0.0855143229	-0.3194677829	0.0322614141	-0.1036397117	-0.1659770208	-0.2184384679	-0.0246381728	-0.0309387171	0.0118268185	-0.0932304821	-0.2437868269	0.1687858499	0.0075630355	0.1355926088	-0.0868138682	-0.0957002246	0.0035321235	-0.131738264	0.0302140239	0.0536567351	-0.0907538705	-0.0360955564	-0.0561989577	0.0133104712	0.1150773942	0.0310523588	0.0264633752	-0.0809442995	0.1125037874	0.1059762505	0.0953761056	-0.0435807	0.2120953	0.04498441628209	0.00189927741249	0.0521119	-0.0171231	0.00271565012161	0.00029320055361	0.0347072	-0.0505554999999999	0.00120458973184	0.0025558585802499	-0.00148077	-0.001967835	2.1926797929e-06	3.872374587224999e-06	-0.000696794	-0.000200315	4.85521878436e-07	4.0126099225000035e-08	0.00072336	0.00478601	5.232496896000001e-07	2.2905891720100004e-05	1.0	0.0	0.0	0.0	0.0	0.0	0.0
