global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
810.8732087020561	n/a	657515.3605907683	n/a	842.8110391788184	n/a	710330.4477616798	n/a	769.7008270034389	n/a	592439.3630897778	n/a	768.6356773236514	592.2463123374716	n/a	n/a	n/a	n/a	-0.0512110874	-0.0320204151	0.2034106348	-0.1217441396	0.1465176823	-0.0065223353	-0.1147268134	0.0342386192	-0.0765871409	0.2302760163	-0.0387092697	0.0884472613	0.0648341874	-0.08856631	0.0984319958	-0.0517901441	-0.0284081514	-0.1142668458	0.1243160625	-0.0900226652	0.0755348959	-0.0454856925	0.1104620717	-0.0002078465	0.0731701308	-0.1496966041	0.0905723644	0.016166486	-0.0515226822	0.1685602641	-0.1318726979	0.0535355422	-0.0541148103	0.0568842348	-0.0867010024	0.0244036823	-0.0920503947	0.0971200597	-0.053152575	0.0077406409	-0.0614450265	-0.0828883726	0.0614202515	-0.0669224912	-0.0102324828	0.0753303229	-0.0412700631	-0.0127872901	-0.0572441384	0.1057587288	-0.0444847783	-0.0429967989	0.0296883367	0.0054936652	0.0182249408	-0.0516230509	-0.0103847032	-0.0058730161	0.0026138978	0.056726497	-0.0827549507	-0.0231361248	-0.1458459288	0.0759496103	0.0194528487	-0.0959846565	-0.0316444179	-0.081432261	0.0659660356	-0.0517864701	0.034834594	-0.1245993823	-0.1478239046	0.0124608574	-0.1115231081	0.053954448	-0.0196379656	0.183114607	-0.138650851	0.1526963223	0.1184591595	-0.0812856837	0.0070160559	-0.0969593305	0.0960581699	-0.1380138695	0.0698694019	-0.0324581345	0.0994811298	-0.0267635427	0.0955831787	-0.0545573673	0.102041343	-0.095386024	0.0242827931	0.0103000718	-0.0418156598	0.0393307301	0.0123045565	0.0115443347	-0.0719167558	0.1210777144	0.0414068338	-0.0354506323	-0.0255337336	-0.0376837876	0.0973143302	0.0131324067	0.0456425803	-0.0870721578	-0.0733274669	0.0272577448	0.0085697863	0.0287647052	0.1147017419	0.1146833673	0.1146527451	-0.0591834	n/a	0.0035026748355599	n/a	-0.00606237	n/a	3.67523300169e-05	n/a	0.00670946	n/a	4.50168534916e-05	n/a	-0.00402692	n/a	1.6216084686399998e-05	n/a	0.00150689	n/a	2.2707174721000003e-06	n/a	0.0	n/a	0.0	n/a	0.0	0.0
812.290856722077	1.4176480200209198	659816.4359142858	2.0097259086692345	839.658809834222	-3.152229344596435	705026.9169322222	9.936549840934871	771.6444867220413	1.9436597186023616	595435.2138885226	3.777813101717413	770.0983816619931	592.3085370556532	1.161699	22.70821	0.18527561	0.0907547	-0.024019404	-0.1480890997	0.0946973374	-0.050612401	0.1290053998	0.0286618722	-0.0511817816	-0.0289651108	-0.0675779151	0.0796743356	-0.0015318002	0.0326602947	0.0883650076	0.0115550878	0.1500642436	0.0879299818	0.0485899615	0.018227817	0.0448369089	-0.1039373028	0.1485011716	-0.0479730943	0.2501628148	0.0582734983	0.0663345808	-0.1841347281	0.042993349	-0.0983400675	-0.1345359089	0.0222165742	0.0164704301	0.0767880328	-0.2005175624	-0.059693838	-0.0638106818	-0.1043677575	-0.1219559633	0.0327236648	-0.0952697653	0.0171733894	-0.042934251	0.0351699964	0.0933032542	-0.0715803811	-0.0894081712	-0.0309226534	0.016597413	0.0100519732	0.017699984	-0.0541546928	0.0876945778	-0.12220542	0.0728559603	0.233267854	0.1271419207	-0.0275048761	-0.011586478	-0.0219310731	-0.0629329453	0.0256097438	0.0460202877	-0.0351906505	-0.1105434465	-0.1039651907	-0.0168442965	-0.0306876922	0.0278947123	-0.0714641574	-0.0231622352	0.0017553414	0.0618316838	-0.1190798048	-0.1768844642	0.0154590912	-0.1600364032	0.0583648908	-0.0262620658	0.0473015274	0.0029679601	-0.0072490244	0.0132446904	-0.2170123088	0.2163139689	-0.0966520287	0.0084991858	-0.0865138285	0.0868772645	-0.0593968441	0.1607443446	0.0154391788	0.1101713361	-0.1769804252	0.1133238377	-0.0592647713	0.0393677968	-0.0375386593	-0.0271482775	0.0420527312	-0.0900371296	-0.0124769458	-0.0697648042	-0.1575102933	0.0573264221	-0.1086630312	0.0489613493	-0.0516843634	-0.0901687234	-0.0053875102	0.0309271214	0.0526722757	-0.0334616442	-0.0130613011	-0.0110143602	0.0223209785	0.1146527451	0.1144874327	0.1142120884	-0.0434786	0.0157047999999999	0.0018903886579599	0.0002466407430399	0.0153227	0.02138507	0.0002347851352899	0.0004573212189048	0.0202913	0.01358184	0.00041173685569	0.0001844663777856	-0.00269025	0.0013366699999999	7.2374450625e-06	1.7866866888999996e-06	0.0008960749999999	-0.0006108150000001	8.029504056248208e-07	3.730949642251224e-07	0.000744593	0.000744593	5.54418735649e-07	5.54418735649e-07	0.0	0.0
814.5828117500804	2.291955028003372	663545.157198667	5.253057850389937	844.1864485524595	4.52763871823754	712650.7599196144	20.499512362883674	772.1348690189956	0.4903822969542943	596192.2559549814	0.2404747971661697	770.5756894732071	604.8759666135495	1.150971	22.498508	0.23582898	0.136592	0.0570054484	-0.186588224	0.0416884304	0.0178552904	-0.0256511309	0.1352859905	-0.0747983694	0.045248276	-0.1432348119	-0.1771801826	0.0602282187	0.0515987548	0.0188853289	-0.0764202289	0.0467973709	0.2207962564	0.1022923717	0.0695031377	0.0661898189	-0.0898112996	0.1832654255	-0.0306027536	-0.0416264248	-0.043413348	0.1683460263	0.023480437	-0.0341594031	0.0379347496	0.0346990861	-0.1199071998	0.0679607854	0.0256863689	-0.1376303549	-0.0594352808	0.0982469855	0.1590840299	-0.0820130828	-0.0306334153	0.0780009062	0.1025723316	-0.0140636774	-0.029898837	-0.0529401968	0.0523338305	0.028668844	0.0511867793	0.1221306138	-0.0777055502	0.0842935354	-0.1014585025	0.0306721174	0.0466361995	0.0396284933	0.0360022353	-0.0172474185	0.0130024585	0.1032969079	0.0062808938	-0.1160190356	-0.0058088268	-0.0311717917	-0.1266983739	-0.0137900973	-0.0527102067	0.0860488985	-0.0115507256	0.1106082722	-0.1365011281	-0.0885270928	0.0563298638	0.1171220604	0.0884935859	-0.0858466317	0.0610617279	-0.0252080963	-0.1184391102	0.0578132466	-0.0203333198	-0.1066366041	-0.0592663001	-0.1308814116	0.0816897081	-0.0501527519	0.0203379141	-0.1168443136	0.1564924517	-0.0693921698	-0.0547262521	0.1495846481	-0.0298550283	-0.0778602945	-0.1074775151	-0.0569530753	-0.0170975311	0.1449516777	0.0227174697	0.0176202022	0.0253157378	-0.1227980787	0.0608777694	-0.1246617908	-0.0717623506	-0.0182866769	-0.0364324095	0.0072399941	-0.1337094196	-0.0830560715	0.0387841022	-0.0249313205	0.0458118141	0.0215837371	-0.0252530456	-0.0548816224	0.0521154478	0.1145547726	0.1140958982	0.1133324686	-0.0296762	0.0138024	0.00088067684644	0.0001905062457599	-0.098606	-0.1139287	0.0097231432359999	0.0129797486836899	0.00458367	-0.01570763	2.10100306689e-05	0.0002467296402169	-0.00117114	0.00151911	1.3715688996e-06	2.3076951921e-06	0.000986953	9.087800000010004e-05	9.740762242090002e-07	8.258810884018183e-09	0.000506776	-0.0002378169999999	2.56821914176e-07	5.6556925488999996e-08	0.0	0.0
814.2171308141669	-0.365680935913474	662949.5361112542	0.1337225468905543	843.9954749238988	-0.190973628560755	712328.3616920174	0.0364709268056612	770.6657293835789	-1.4691396354166957	593925.6664463236	2.1583712683523006	769.3001337442671	624.0328582508503	1.040227	20.33375	0.19013323	0.089435	0.1199405903	-0.0829195427	0.0315088641	-0.0629890348	-0.086416815	0.1169898346	-0.0759712328	0.0647103233	-0.0650220736	-0.0998134269	0.1230443835	0.0445375321	-0.0705508095	0.084668977	-0.0101325777	-0.020203945	0.0196666053	0.0199224959	0.0985056356	-0.0852073249	0.0492530974	-0.0969343337	-0.0583526052	-0.0231489052	0.1107433559	-0.0512819156	0.0141072693	0.0500632568	0.0526741886	0.0484518623	0.0447930254	0.0408161486	0.1141238529	-0.1338696179	0.0575254665	-0.0198418674	-0.0678367493	0.0439730358	0.0392711594	-0.0561646857	-0.0037861652	-0.0315866076	0.0515285363	0.1329231442	0.0063879119	0.0771954601	-0.0671638659	-0.0763738359	-0.0588251845	0.0833889166	0.1143265141	0.0891919803	-0.0666423219	-0.0814253217	0.1568489173	-0.0333972053	-0.0185450203	0.0695352257	-0.1023310877	0.0347626635	0.0332473305	0.1866095221	-0.0471122374	0.1237849193	0.0265920699	-0.0966454469	0.0290910301	-0.1642879732	-0.0784307516	-0.0126506517	-0.0758304167	0.0150028269	-0.0831703869	0.0055739874	0.0417610333	-0.0513415057	0.0234311241	0.0751395503	-0.0426429937	-0.036667592	0.1696748972	0.1389020368	-0.0412890902	0.0487946074	0.0796728325	0.0454508174	0.0523966949	0.0728604649	0.1527253026	0.0428248865	-0.0400103704	-0.1214727606	-0.16175234	-0.0349833153	-0.0486155925	-0.0658361124	-0.0567038223	-0.0398953752	-0.0068489152	-0.0920414398	0.0971764184	0.1738489292	0.2176877953	0.0041261685	0.0261488855	-0.055299421	0.034750108	0.0290226325	0.0561928761	-0.0824688771	0.1050372795	-0.0742380897	0.033356808	-0.0683494327	0.1144078661	0.1135094328	0.1120172664	-0.00966245	0.02001375	9.33629400025e-05	0.0004005501890625	-0.0347127	0.0638933	0.00120497154129	0.00408235378489	0.0251634	0.0205797299999999	0.0006331966995599	0.0004235252868728	-0.00161371	-0.00044257	2.6040599641e-06	1.958682049e-07	0.000125243	-0.00086171	1.5685809049000003e-08	7.425441241e-07	0.000915425	0.0004086489999999	8.38002930625e-07	1.66994005201e-07	0.0	0.0
814.2544277643318	0.0372969501648867	663010.2731338195	0.001391062491602	838.9737668007613	-5.0217081231375005	703876.9813798581	25.21755247398516	771.2344925578279	0.5687631742490566	594802.6425109303	0.3234915483818628	770.1250867992309	625.8105403762092	0.985475	19.263485	0.10545408	0.0540068	0.1198098001	0.0078865663	0.0432963178	-0.0780000567	-0.1813448366	0.1008230857	-0.0669982373	0.1017825817	0.1224122715	0.0145935822	0.1044854132	-0.1114163001	-0.0113058791	0.1458495678	0.0051404509	0.0053722672	0.0498139471	-0.0433348391	0.1584548426	0.0233002149	-0.0563886338	-0.0943199355	0.0006527267	0.0027936912	0.0325603679	-0.0678674443	-0.0992804961	0.0308195064	-0.0749118444	0.1140613656	-0.1283436487	0.0581610297	0.248987575	0.0341583265	-0.0310080884	0.133877011	-0.0243668293	-0.0393528927	-0.0222550084	-0.0143500901	-0.0020889834	-0.2161670143	0.0314118499	-0.0082751472	0.022858748	-0.0182563062	0.0396264903	0.1615776071	-0.1992638048	0.0336831538	-0.0227582302	0.0127405363	0.0102139383	-0.0345800304	0.0206662769	-0.0288803834	-0.027258116	-0.0608156193	0.0069393557	0.1007401235	0.0914237624	-0.000595739	0.0032547914	0.1007141662	-0.0178814941	-0.0726969527	0.0529951827	-0.1114638041	0.0363252715	0.002406677	-0.1803332053	0.0659637766	0.0119344191	0.0356452003	-0.0172800322	-0.0140218208	-0.0617707293	0.0293353569	-0.0021896438	0.1386557184	0.1966932231	0.0639558563	-0.0197394138	0.0640202492	0.1664617637	0.0489996504	-0.0886950848	-0.0157879501	0.0330781824	0.0992542322	0.0892339403	0.1159094955	0.0675525262	-0.0021436065	-0.0856260761	0.2285053526	-0.0476538437	-0.0406101689	0.1070213456	-0.0864625826	-0.1263089525	0.0070962084	-0.1031962916	-0.143944864	-0.0488973604	-0.1027167725	-0.0043287791	-0.031735176	0.0348892118	-0.0844456228	0.0098810396	-0.0416072696	0.0299718943	-0.0665709046	0.1142120884	0.1127290384	0.1102715368	-0.00449067	0.0051717799999999	2.0166117048900005e-05	2.674730836839999e-05	-0.0244985	0.0102142	0.00060017650225	0.0001043298816399	0.0601573	0.0349938999999999	0.0036189007432899	0.0012245730372099	-0.00135277	0.0002609399999999	1.8299866729e-06	6.808968359999994e-08	-0.000620836	-0.000746079	3.854373388960001e-07	5.566338742410001e-07	0.00100989	9.446500000000008e-05	1.0198778121e-06	8.923636225000013e-09	0.0	0.0
812.1743987071723	-2.0800290571595497	659627.2539153568	4.326520878628045	837.5935331804056	-1.3802336203556251	701562.9268256353	1.905044846759996	770.5384400138308	-0.6960525439970979	593729.487538948	0.4844891440048319	769.2683427580663	623.9509516345812	1.036419	20.259302	0.09791647	0.0474145	0.0922015193	0.1050086153	0.0283689753	-0.0831085072	-0.0468057002	0.0516344748	-0.0442081919	0.1383372528	0.1796446417	-0.0122023611	-0.0532260772	0.0307700903	-0.1007387457	0.0308928618	0.0885114819	0.1136248736	-0.0063295217	-0.1092444639	-0.0114062117	-0.1676525064	-0.088162031	-0.0487503328	-0.0068651879	-0.0549439006	0.1084658225	0.0218352576	0.1167658748	-0.0184499829	0.028365841	0.0414529754	0.0499839206	0.0446585609	0.0195826875	0.0001659554	0.1457894491	0.0785229201	-0.0398990494	0.0242947057	0.0588028416	-0.1236370826	0.1428158228	-0.104210443	-0.1574361634	0.1085838596	0.0704812687	-0.0436284353	-0.0349715032	0.0597025676	-0.0515687403	0.1847743414	-0.2295469103	-0.042588204	0.05236525	-0.0469494753	0.0510939579	0.1767275054	0.1389302483	-0.1431735457	-0.0536755868	-0.0249872631	-0.0539344418	0.0401804526	-0.008707949	-0.0370021877	-0.0282939466	-0.0208694976	-0.0119386741	-0.0331745755	-0.0230264138	-0.2006045865	-0.0607762228	-0.0071706333	0.0198556121	0.0628406788	-0.0307433153	-0.0448570165	0.0616905431	0.0498247546	-0.0272275767	0.0108663309	-0.0084722892	0.0070633781	0.0200205619	0.0434978514	0.0551646989	0.1914821105	-0.1319844905	0.0597399411	0.029028664	-0.0384465739	-0.0541092915	0.1952622126	-0.1272091439	0.0104369412	0.1583521788	-0.0347853902	-0.1981029254	-0.0226501233	-0.0618529603	-0.0797318467	-0.0040826489	0.0627739154	-0.0549312498	-0.1009284099	-0.1247680648	0.0972745062	0.1327464616	-0.0298735281	-0.1160396694	-0.0222103883	0.0364499238	-0.0970470812	0.0033566626	0.1156927534	0.1139675232	0.1117560484	0.1081019891	-0.00639473	-0.00190406	4.08925717729e-05	3.6254444836e-06	0.00646986	0.03096836	4.18590884196e-05	0.0009590393210896	0.0446655	-0.0154918	0.0019950068902499	0.00023999586724	-0.00204176	-0.00068899	4.1687838976e-06	4.747072201e-07	-0.000456695	0.000164141	2.0857032302500002e-07	2.6942267881000007e-08	0.000871976	-0.000137914	7.60342144576e-07	1.902027139600001e-08	0.0	0.0
809.7503635670734	-2.4240351400989084	655695.6512970075	5.875946360434335	833.513883993278	-4.079649187127643	694745.3948095597	16.64353749003124	770.4062059416426	-0.1322340721882255	593525.7221533967	0.0174858498474808	769.896259037352	610.3839528058814	1.081369	21.13796	0.04891111	0.0220781	0.008648643	0.1487875578	0.017644639	-0.1070400123	-0.0422820081	-0.0363877238	0.073280448	0.0928031039	0.1376247355	0.0122267761	0.1569205157	-0.0108278133	0.0691458539	0.0386443933	0.0906080695	-0.0430019555	-0.0084678697	-0.0686722858	-0.0365126875	0.1117214087	-0.0294270583	-0.0092142644	0.015123162	0.1092785898	0.0166550211	0.1170863213	0.0316783211	-0.0002314157	0.0182237625	-0.0384907387	0.0641325028	-0.015596072	-0.0762304199	0.0005283523	-0.0377691635	-0.0319591437	0.0683199991	0.175539079	0.1237768276	-0.1333462266	0.0976807379	0.110010921	0.037434348	0.1281786102	-0.1007651406	0.1145958633	-0.0772752457	0.0290581644	0.0460602673	-0.0596445094	-0.0630194601	-0.019038028	0.0824272749	-0.0809768472	0.1259907902	0.0913760259	-0.1278433339	-0.0908717407	0.061134172	0.0548861443	-0.2383247178	0.0552661786	-0.0210964841	-0.0028011485	-0.0236273895	0.1207815464	-0.0065880247	0.0837487111	0.0821029742	0.0045599192	-0.1370609393	-0.0291876825	-0.0691206034	-0.0003139615	0.0417645186	0.0429550826	0.104016437	-0.0431932332	0.0221629126	-0.1125016051	-0.0291235018	0.0107727884	0.0899348311	-0.0121543117	0.0054973005	-0.0035341149	-0.0096857507	-0.1283821185	0.0254117187	-0.0243618748	0.0088288901	0.2738915127	-0.1182884716	0.056520435	0.0220515911	-0.169811301	0.1305809575	-0.0039161636	-0.0665876123	-0.082207436	0.132213318	0.0138327089	-0.0086488232	0.0158206973	-0.0534440307	-0.0271823802	-0.1269535594	0.0531937463	0.0200195826	0.084119513	-0.043850923	0.1152312587	0.0389807714	0.0153484819	0.1136742748	0.110592125	0.105516962	-0.0155563	-0.00916157	0.00024199846969	8.393436486490001e-05	0.0176873	0.0112174399999999	0.0003128405812899	0.0001258309601535	0.0594499	0.0147844	0.00353429061001	0.00021857848336	-0.00200152	4.023999999999998e-05	4.0060823104e-06	1.6192575999999983e-09	-0.000346293	0.000110402	1.19918841849e-07	1.2188601604000002e-08	0.000996288	0.0001243119999999	9.925897789439998e-07	1.5453473343999977e-08	0.0	0.0
808.6587934983334	-1.0915700687399976	653929.0443021802	1.1915252149690432	826.5353615907331	-6.978522402544854	683160.7039599239	48.6997749228204	769.9592244240274	-0.4469815176151996	592837.2072756498	0.199792477089587	768.7106360034894	595.3788196565954	1.043371	20.395195	0.1116563499999999	0.0602251	-0.0615561903	0.0927515833	0.0627489454	-0.0412813703	0.0285333833	-0.1066321323	0.0022614666	0.0293218579	0.1273919865	-0.1369999138	-0.0646602812	0.047160092	0.1465191921	-0.0317213432	0.0034636267	-0.0503555829	-0.0377388586	-0.1091176115	0.0100313715	-0.0517943041	-0.0449619858	-0.0292530421	0.0335349633	0.0618225728	0.0508691776	0.0127622164	0.1676059335	0.0170080988	-0.0894970529	0.0317370943	0.0597037674	-0.0909128843	0.0061347928	0.0172856907	0.0582899417	0.0501461288	0.089631893	-0.0716866371	-0.0702635657	0.0147880083	-0.0433802029	0.108407697	-0.0506866834	-0.0578715472	0.0583291269	0.1034984229	0.0538925296	0.0583708321	-0.0913211889	0.003964175	-0.0109772783	0.0797928563	-0.0410311583	-0.0285160845	0.0301219564	-0.0145454433	0.0399310147	0.0461722157	0.1365234134	0.1073508963	0.0832726315	0.2422379081	0.0320924154	0.0369682458	0.0385391084	0.0280903939	-0.0482800719	-0.0169644762	0.0589882137	-0.138428475	-0.0176999287	0.0544166096	0.0086116872	0.0417929903	-0.0317933041	0.0139503255	0.0628780357	-0.019148882	-0.0585348442	-0.0243051819	0.0525462862	-0.1485506967	-0.0032532857	-0.0410495755	-0.0368603671	0.0369126124	-0.0504145779	-0.0065882238	-0.0641738344	-0.107556429	0.0401326931	-0.0748769706	-0.1069185871	0.0538629722	-0.2100417238	-0.0663949426	-0.0168591924	-0.0122087817	-0.0541007475	-0.0849014984	0.0581533322	-0.1113923871	-0.0666803854	-0.0056715144	0.0796063388	0.0463306069	-0.1066517393	0.0646466269	0.0656193158	-0.1775475399	0.0800641514	-0.005147525	0.0043704979	-0.2061550037	0.1133324686	0.1092392569	0.1025263906	0.00158115	0.01713745	2.5000353224999995e-06	0.0002936921925024	-0.0196579	-0.0373451999999999	0.0003864330324099	0.0013946639630399	0.0831263	0.0236764	0.00690998175169	0.00056057191696	-0.00261148	-0.0006099599999999	6.819827790399999e-06	3.720512015999996e-07	-0.000344747	1.5460000000000018e-06	1.18850494009e-07	2.3901160000000057e-12	0.000937848	-5.843999999999988e-05	8.795588711040001e-07	3.4152335999999863e-09	0.0	0.0
809.4549385672599	0.7961450689265348	655217.2975709265	0.6338469707760368	834.0528687986235	7.517507207890389	695644.1879512139	56.51291462068396	770.4985152134349	0.5392907894074597	593667.9619461077	0.290834555539721	769.7556450599254	593.0462108559435	0.971871	18.997568	0.0914241199999999	0.0575263	-0.0683758207	0.0350817484	0.0395820059	-0.0816658507	0.0764654884	-0.0654438042	0.0546163451	-0.0021510284	0.0281865487	0.0188929247	0.1071548583	0.0298552849	0.1335676163	-0.0318557713	0.0291614431	0.0756512334	-0.0055621821	-0.0153219172	0.0148293879	0.0727588904	0.0047769018	-0.0071249679	-0.0118544771	0.0419333038	-0.0224938126	-0.0785496621	0.0650979007	-0.0113067332	0.0156938647	0.0505431057	0.1130615964	0.0398282305	0.1105446751	-0.0676432286	0.0349716299	-0.0683809984	0.0281985077	0.087557811	0.054325938	-0.1186063562	-0.0852831237	0.0248858572	-0.0956023939	0.0277421665	-0.0626017513	-0.1727152443	-0.0297450867	-0.1074724088	0.0446772523	-0.0752112628	-0.1261105934	-0.0436872599	-0.0347568533	0.1028677342	0.0275168858	-0.1376823807	-0.0629262683	-0.0443090677	-0.0202793305	-0.0702370054	0.1517331065	0.0914859858	0.0087139907	0.0315049959	-0.026975782	0.1041176606	-0.0071662738	0.060109665	0.0447790851	0.0558633209	-0.0780956259	-0.073043891	-0.0817715525	-0.019663414	-0.0179645915	0.0575826545	-0.0009834274	0.0980304054	0.0263120326	-0.07914454	0.0596420316	0.0173917337	0.0364247446	-0.0273389803	-0.0083993788	0.0747260509	0.0148006187	-0.1091965684	-0.0074865589	0.0841482072	0.0247041442	0.0381298573	0.0424309561	0.2268220944	-0.0519548138	-0.0595454097	-0.0570871953	-0.1422742397	0.0544619146	0.0991997186	0.0146644088	-0.0996468532	0.1181935371	0.1795967765	-0.0621369533	-0.0294038416	0.090648449	-0.0343976589	-0.1005915212	0.070929111	0.0176875389	-0.054816741	-0.0038590951	-0.0081436808	0.1129422506	0.1076997553	0.099141769	-0.00510899	-0.00669014	2.61017788201e-05	4.47579732196e-05	-0.00918142	0.01047648	8.429847321639998e-05	0.0001097566331904	0.0293386	-0.0537877	0.0008607534499599	0.00289311667129	-0.00255769	5.378999999999974e-05	6.5417781361e-06	2.893364099999972e-09	-0.000456695	-0.000111948	2.0857032302500002e-07	1.2532354704000002e-08	0.00069419	-0.000243658	4.818997561e-07	5.9369220964e-08	0.0	0.0
810.3376623671713	0.8827237999114459	656647.1270506917	0.7792013069301024	835.7578241288662	1.704955330242683	698491.1405926169	2.9068726781229364	770.9034667603082	0.4049515468733489	594292.1550630616	0.163985755315118	769.7126900150254	586.9039626413961	1.003172	19.609419	0.08955799	0.0448979	-0.0605889031	-0.0597484558	0.0165603251	-0.0294379781	0.0914044703	-0.0605810066	-0.0035007543	-0.0191393664	-0.0035165017	-0.0142663741	-0.1571358793	-0.0194634505	0.073375969	0.036400981	-0.0123998956	0.0865136654	-0.0022629468	-0.0523360759	-0.0293063872	0.0442882114	-0.0328635851	0.0369532424	0.0307246995	0.0584574436	0.0542163745	-0.044557656	-0.0625374991	-0.020085244	-0.0181626824	0.0605604285	0.1615471514	-0.0859668235	-0.0377692127	-0.026578998	-0.1215755532	0.0941239753	0.0637460011	-0.0567242523	0.0566494943	0.017775369	-0.1395003303	0.0397238	0.0394311894	0.0555394821	0.1307080557	-0.0778798394	0.0106245106	-0.0193651409	0.1272513391	0.1033492782	0.1120118419	0.1244666164	0.0040352431	-0.0468137683	-0.0447828024	-0.0655078043	-0.0461495406	-0.0534536645	0.0937212261	-0.0059854943	-0.0186082107	-0.057692586	0.0058760922	-0.0327963064	-0.1565700617	0.0205253145	-0.0051979882	0.0098013377	0.0542077819	-0.0214866997	0.062662739	0.0351389265	0.0721597899	0.0161024459	-0.1482387983	-0.0403100535	0.0233685847	0.0539501722	0.0253186562	0.0322038624	0.0822268166	0.0082932012	0.0741112762	-0.0610469624	-0.1587654795	0.0848636708	-0.0461966555	-0.0722363571	-0.0602304252	0.0005764643	-0.1780314185	-0.0755993967	-0.003928798	0.0533659745	-0.0013370034	-0.0071424725	0.0543540848	-0.0237150177	0.06434871	0.0183483417	0.0639147011	0.0015831274	-0.0158861397	-0.0327422083	0.2117063301	-0.0263211237	-0.0371589663	-0.051403892	-0.1227709707	-0.0623495422	-0.0421742802	0.1063800749	0.0837957907	-0.0334940809	0.1125037874	0.1059762505	0.0953761056	-0.0156141	-0.01050511	0.00024380011881	0.0001103573361121	-0.0455491	-0.03636768	0.00207472051081	0.0013226081485824	0.0519945	0.0226559	0.00270342803025	0.00051328980481	-0.00223558	0.00032211	4.9978179364e-06	1.037548521e-07	-0.000456695	0.0	2.0857032302500002e-07	0.0	0.0007726659999999	7.84759999999e-05	5.970127475558455e-07	6.1584825759843036e-09	0.0	0.0
