global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19
717.7490234584717	n/a	n/a	515163.66067558975	833.2887575800547	n/a	694370.1535093113	n/a	700.0240707990007	n/a	490033.6996980044	n/a	719.6759207131458	655.2086226909266	n/a	n/a	n/a	n/a	-0.029320555	-0.0566178648	-0.1469865922	-0.0668055751	-0.0221344306	-0.0577467897	0.0244307411	-0.0341208929	-0.0534091647	-0.0405875058	0.0052604698	-0.1562941966	0.1339060504	-0.0783104472	-0.0695533931	0.0127170454	-0.0078830465	0.044049545	-0.1391744752	0.0293989219	-0.0569702733	0.1059666116	-0.1033533996	0.1178163741	-0.2162634281	-0.0400535435	-0.0362366673	0.0223368379	-0.0390285918	0.1105360168	-0.1178508571	0.01227983	-0.0834990591	0.0850294448	0.0022637987	-0.2194706312	0.1147017419	0.1146833673	0.1146527451	0.0664836	n/a	n/a	0.00442006906896	-0.496463	n/a	0.2464755103689999	n/a	-0.741117	n/a	n/a	0.549254407689	-0.00268027	n/a	n/a	7.183847272899999e-06	-4.95503e-05	n/a	n/a	2.45523223009e-09	0.000487676	n/a	n/a	2.3782788097600003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
715.9361450454645	-1.812878413007184	3.2865281403474444	512564.5637825604	826.3555563210036	-6.9332012590510885	682863.5054625954	48.0692796985076	700.1627198969593	0.1386490979585914	490227.8343335079	0.019223572364731	720.8602714181677	667.2606179288772	1.174976	26.103172	0.126777385	0.0620245	0.015851003	-0.0424540558	-0.1320625912	-0.0256675957	-0.044960973	-0.0454961501	0.0149233459	-0.035960852	-0.0730538931	-0.0275779287	-0.0143507505	-0.2034345032	0.1163585658	-0.1253251274	-0.0875811125	-0.0495238275	0.0696522792	-0.0630658006	-0.0545662636	-0.0350589601	0.0313782336	0.0378797065	-0.1051520385	0.055311914	-0.0411949096	-0.0423819076	-0.0703704905	0.0523329203	0.0416129497	0.1175522312	-0.1244609605	0.0128189606	0.0827054928	0.1601566484	-0.0495640959	-0.1360377938	0.1146527451	0.1144874327	0.1142120884	0.0524384	-0.0140452	0.00019726764304	0.00274978579456	-0.450728	0.0457349999999999	0.203155729984	0.0020916902249999	-0.754299	-0.013182	0.000173765124	0.5689669814010001	-0.00227256	0.0004077099999999	1.6622744409999993e-07	5.1645289536e-06	-0.000467806	-0.0004182557	1.7493783058249005e-07	2.1884245363600006e-07	0.000237338	-0.000250338	6.266911424400001e-08	5.6329326244e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
716.2165516676669	0.2804066222023493	0.078627873774931	512966.1488827237	827.9605301334605	1.6049738124568194	685518.6394588809	2.575940938672177	701.7654620815712	1.602742184611884	492474.7637705611	2.568782510334475	722.0908284010578	646.6970757743443	1.046977	23.259542	0.1438726399999999	0.0696763	-0.022723416	-0.0719027294	-0.1881319273	-0.0324320788	-0.0370292051	-0.0607670798	-0.0047160959	-0.0551929297	-0.0487622855	-0.0660800859	-0.0326977318	-0.1786576897	0.1009737187	-0.163576795	-0.0554863358	-0.1374980457	0.1398157923	0.1043069735	-0.0926888852	-0.0062047012	-0.148208471	0.014319464	0.0015913816	0.0739963615	0.0311407605	-0.0628089412	-0.0463792473	0.0541663437	-0.0076496899	0.1245196746	-0.0511171602	0.0394006077	0.0297556427	0.2605722529	-0.0112595918	-0.1204418758	0.1145547726	0.1140958982	0.1133324686	0.0531637	0.0007252999999999	5.260600899999973e-07	0.00282637899769	-0.492567	-0.0418389999999999	0.2426222494889999	0.0017505019209999	-0.737534	0.016765	0.000281065225	0.5439564011560001	-0.001735	0.0005375599999999	2.889707535999999e-07	3.010225e-06	0.000505481	0.000973287	9.47287584369e-07	2.55511041361e-07	5.73182e-05	-0.0001800198	3.240712839204e-08	3.28537605124e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
714.0310059021976	-2.1855457654692145	4.776610292960415	509840.2773897042	823.6048073330894	-4.355722800371041	678324.8786621754	18.97232111367214	701.0966058254272	-0.6688562561439539	491536.4506999344	0.4473686913829065	722.9394394369112	653.3821194816182	1.546421	34.355148	0.7077539399999999	0.361426	-0.0210923733	-0.049345451	-0.1589802813	0.0018857408	-0.0247639423	-0.1106872567	-0.0114158178	-0.0499392078	-0.0409645822	-0.056113642	0.0684838516	-0.1310462312	0.2883825203	-0.1665594834	0.1098083954	-0.0881989459	-0.0017881267	-0.0199733805	0.031536945	0.0672329992	-0.0816634461	-0.0892861631	-0.0253303497	-0.150995736	-0.0491922592	-0.0598719641	-0.0526445649	0.1346699529	0.0260525659	0.1712424033	-0.1789666947	0.1103853432	0.2937937361	0.1623741469	0.0137867293	-0.1078065383	0.1144078661	0.1135094328	0.1120172664	0.0886025	0.0354388	0.00125590854544	0.00785040300625	-0.424724	0.0678429999999999	0.180390476176	0.0046026726489999	-0.912108	-0.174574	0.030476081476	0.831941003664	0.00188898	0.0036239799999999	1.3133231040399998e-05	3.5682454404e-06	-0.00304618	-0.003551661	1.2614295858921e-05	9.2792125924e-06	0.00147964	0.0014223217999999	2.02299930275524e-06	2.1893345296e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
717.5391411908511	3.5081352886534205	12.307013203495416	514862.4191409041	821.6485322827898	-1.9562750502996096	675106.3106024626	3.82701207242474	698.3891791700328	-2.7074266553944426	487747.44558179216	7.330159094340338	718.1668896215178	645.8237723709555	1.409701	31.317791	0.3688557	0.174098	-0.0405882701	-0.0394544318	-0.1450614708	0.0046336863	-0.023522408	-0.0801807258	0.0016920352	-0.014877122	-9.17326e-05	-0.0024309015	0.0515562299	-0.0524368531	0.1928699619	0.0300187439	0.0858283935	0.0438543433	-0.0415720929	-0.0481241072	-0.0173007314	-0.0055597222	-0.0844239709	-0.067949726	0.0985751662	0.1037697401	0.1386853254	-0.0167165923	-0.0263690354	0.0433604723	-0.0319983652	0.0845251078	-0.1708647663	0.0337303553	0.078472201	-0.0290761843	0.1575907017	0.0128684349	0.1142120884	0.1127290384	0.1102715368	0.0878638	-0.0007386999999999	5.456776899999925e-07	0.00772004735044	-0.522375	-0.097651	0.272875640625	0.009535717801	-0.88197	0.0301379999999999	0.0009082990439999	0.7778710809	0.00413345	0.00224447	5.037645580900001e-06	1.70854089025e-05	-0.00497921	-0.00193303	3.736604980900002e-06	2.4792532224100003e-05	0.0021087	0.0006290599999999	3.957164835999998e-07	4.446615689999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.786177841231	3.2470366503799823	10.543247008910855	519532.7141669708	828.7710300083027	7.122497725512858	686861.420181023	50.72997384993583	696.2003193567635	-2.1888598132692323	484694.8846724596	4.791107282145019	715.603815023752	663.9362698133602	1.468487	32.623779	0.5837712500000002	0.302012	0.0109723776	-0.0183512347	-0.0899140518	0.0138595294	-0.0386101815	-0.070342009	0.0215468092	0.0151433018	-0.0559991864	0.0009275928	0.0645686442	-0.0792434982	0.0264240516	0.1281004965	0.0602997511	0.089347671	-0.1057468162	0.0930519076	-0.0574192869	-0.0112092739	0.0110844486	0.0042942808	-0.0564744998	0.160266463	0.0977120141	0.0145909257	-0.0536260847	-0.0077426614	-0.0329245754	0.0329861609	-0.0717252626	-0.0381294209	-0.0685918534	-0.1798019241	0.0586546847	-0.113335749	0.1139675232	0.1117560484	0.1081019891	0.0915067	0.0036428999999999	1.3270720409999931e-05	0.0083734761448899	-0.443829	0.078546	0.1969841812409999	0.006169474116	-0.716726	0.165244	0.027305579536	0.513696159076	0.000583163	-0.003550287	1.2604537782369e-05	3.400790845690001e-07	-0.00272684	0.00225237	5.073170616900002e-06	7.435656385599999e-06	0.00118459	-0.0009241099999999	8.539792920999998e-07	1.4032534680999998e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
719.1217887750964	-1.6643890661346177	2.770190963468465	517136.1470910944	825.8433610203006	-2.9276689880020967	682017.2569413065	8.571245703309222	696.6979336299809	0.497614273217323	485388.0107242852	0.2476199649096045	715.6306961784682	671.2755113886232	1.005479	22.337626	0.0701558499999999	0.0376552	0.0168607748	-0.018107332	-0.0502127653	-0.0159100226	-0.0254954426	-0.0459977689	0.0587485818	0.0143208996	-0.0486992467	-0.0403031646	0.0294411188	-0.039484147	-0.004875751	0.1843575526	0.0400937125	0.1133849315	-0.0099227183	-0.0552341767	0.0285673202	-0.0354158226	-0.0001400049	0.1771949255	0.0050262291	0.0197309593	-0.0002298958	0.008844533	-0.0595939336	0.0092013585	-0.0437128791	-0.0002634369	-0.1239923296	-0.0965651548	-0.0907523913	-0.1394180751	0.047343896	0.0203958198	0.1136742748	0.110592125	0.105516962	0.0923363	0.0008295999999999	6.882361599999996e-07	0.0085259922976899	-0.412264	0.0315649999999999	0.169961605696	0.0009963492249999	-0.716756	-2.999999999997449e-05	8.999999999984694e-10	0.5137391635359999	0.000408004	-0.000175159	3.068067528100001e-08	1.66467264016e-07	-0.00247294	0.0002539	6.446521000000002e-08	6.115432243599999e-06	0.000859024	-0.0003255659999999	1.0599322035599993e-07	7.37922232576e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.5902429394918	1.4684541643953253	2.156357632929973	519250.2982195957	826.4756715138884	0.6323104935878519	683062.0356043328	0.3998165603013128	696.34477013606	-0.3531634939208743	484896.0388958422	0.1247244534383994	715.2981620984482	666.8245616226594	0.867442	19.271017	0.07179715	0.0413481	0.0195494492	-0.0156905113	-0.0755289003	-0.009982176	-0.0423478091	-0.0496024429	0.0270322987	0.0230213538	-0.0557035064	0.0093192838	0.0226203874	-0.069236173	-0.0059999139	0.1971741788	0.0439911626	0.0546873772	-0.0444962959	0.0168164593	-0.1382735561	-0.1465201754	-0.0407956578	-0.0041407765	-0.0732355467	-0.073666907	-0.0654945364	0.0187025141	-0.0606167208	-0.0209463595	-0.0243102433	-0.0090849147	-0.1077149477	-0.1300641803	-0.0935359789	-0.134606344	0.0629512736	-0.0703918656	0.1133324686	0.1092392569	0.1025263906	0.0941015	0.0017652	3.1159310400000297e-06	0.00885509230225	-0.381756	0.030508	0.145737643536	0.000930738064	-0.7325979999999999	-0.0158419999999999	0.0002509689639999	0.5366998296039998	0.000619227	0.0002112229999999	4.4615155728999984e-08	3.83442077529e-07	-0.00247294	0.0	0.0	6.115432243599999e-06	0.00112144	0.000262416	6.886215705600002e-08	1.2576276736e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723.1561826552821	2.565939715790364	6.584046625070334	522954.8645125598	830.4077383499233	3.932066836034892	689577.0119114347	15.461149603045444	698.0289206263229	1.6841504902629367	487244.37403074943	2.8363628738528903	717.2828110314434	675.4245105914387	0.900425	20.003767	0.13314955	0.0720363	0.0271184168	-0.0151392225	-0.0171479245	-0.0351876717	-0.0400747059	-0.0246055275	0.004435967	-0.0004630931	-0.0489678896	-0.0579363696	0.0374071084	-0.036470263	0.001639434	0.1382962143	0.0747120221	-0.0100712679	0.0017737039	0.0290366338	-0.0569921471	-0.03047262	0.0935595329	0.0609926081	0.1168189493	-0.109054895	-0.0367984516	-0.0072652544	-0.048201322	-0.0002841551	-0.0607550599	-0.0177865695	-0.0974824097	-0.0891068984	-0.0862477853	-0.0552081975	0.0928724561	0.0372894451	0.1129422506	0.1076997553	0.099141769	0.0961808	0.0020792999999999	4.323488489999968e-06	0.00925074628864	-0.442274	-0.060518	0.195606291076	0.003662428324	-0.743973	-0.0113750000000001	0.000129390625	0.5534958247289999	0.000909634	0.000290407	8.433622564900002e-08	8.27434013956e-07	-0.00182604	0.0006469	4.1847960999999993e-07	3.3344220816e-06	0.0008752019999999	-0.0002462380000001	6.063315264404926e-08	7.65978540803825e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
722.6957368844335	-0.4604457708486507	0.2120103078924081	522289.1281109343	829.0763161788581	-1.331422171065242	687367.5380487058	1.7726849976040822	698.2362291123433	0.207308486020338	487533.8316450247	0.0429768083760446	717.3398705182857	680.4606490544332	0.811598	18.030382	0.1482644	0.0776865999999999	0.0417973358	-0.0220152276	-0.0127120408	-0.014654598	-0.051070796	-0.0324832444	0.0077431236	-0.0051375734	-0.0632153645	-0.0229179618	0.0299573486	-0.0699941365	0.0672940888	0.0691141369	-0.0375206988	-0.0305337964	-0.0008199446	0.0496865423	-0.0349297138	0.0458835927	-0.0044349802	0.0715297388	0.1825764424	-0.0174331691	-0.1195119631	-0.0076863212	-0.0597327692	-0.0048628717	-0.0203772943	-0.0048268189	-0.1208564994	-0.0391793016	-0.0455837239	-0.0679743956	0.0090525213	-0.0464491504	0.1125037874	0.1059762505	0.0953761056	0.0908692	-0.0053116	2.821309456e-05	0.00825721150864	-0.411795	0.0304789999999999	0.169575122025	0.0009289694409999	-0.784374	-0.040401	0.001632240801	0.6152425718760001	0.00167887	0.000769236	5.917240236960001e-07	2.8186044769e-06	-0.00140382	0.0004222199999999	1.782697283999999e-07	1.9707105924e-06	0.000625202	-0.0002499999999998	6.249999999994997e-08	3.908775408040001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
