global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
777.9184202198952	n/a	n/a	605157.0685174174	834.9665210739701	n/a	697169.0913143685	n/a	721.3276083108383	n/a	520313.5185114341	n/a	725.1877876220999	642.3394560004743	n/a	n/a	n/a	n/a	-0.0249749648	0.0146554076	-0.003899497	-0.0345463263	0.0168674436	-0.1113836818	0.0272157713	-0.1022494301	0.1564684484	-0.0374949772	-0.0460572324	0.0477481282	-0.0082382996	-0.0066452536	0.0837576064	-0.0534532684	0.0821083515	-0.0215441994	0.1943678437	-0.0685194684	0.1432369294	-0.0781215361	0.0236209219	-0.098400863	0.0136090999	-0.048166605	0.0999848587	-0.0169620071	0.0674657124	-0.0128734612	0.0411751808	-0.1371641605	0.093126118	-0.0456839208	0.02894177	-0.0051828154	-0.0191978754	0.0243593603	-0.0729641263	0.0484882075	0.038620485	-0.0633271941	-0.0729427541	0.0477714509	0.0569836156	-0.0553256411	-0.1524671218	0.0029310688	0.0551843226	0.1244207361	-0.048557935	-0.0481275007	-0.042794536	0.0606199553	-0.0533385017	-0.0180905506	-0.0491661636	0.0157472409	-0.0695131087	0.0953296021	-0.0304079364	-0.1643797633	0.0627630158	-0.0564216015	0.0391142811	-0.027521746	0.1530161639	-0.0856480423	0.0561765689	-0.1173140768	-0.1332227832	0.0278413566	-0.1650938792	0.1308988838	-0.0971264415	0.0144409605	-0.0809675898	0.0955372857	-0.0992547163	0.0221032931	-0.0609008926	0.0696409591	-0.0463118064	0.0071327215	0.1129121072	-0.0439018371	0.0275516347	0.0208302966	-0.0241782269	-0.1039981232	0.0389363868	0.0536077268	-0.0771658387	0.056263608	0.137959379	-0.011442904	-0.0415239984	-0.0293705177	0.0247186349	0.1147017419	0.1146833673	0.1146527451	0.000135178	n/a	n/a	1.8273091684000003e-08	0.0179023	n/a	n/a	0.0003204923452899	0.117854	n/a	0.013889565316	n/a	-0.000537214	n/a	n/a	2.8859888179600005e-07	-0.000649873	n/a	n/a	4.2233491612900004e-07	-0.000526054	n/a	n/a	2.76732810916e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.1275283693433	-2.7908918505519296	7.789077321477174	600822.685235967	826.9198693570023	-8.046651716967745	683796.4703374017	64.74860385417995	720.4902265373563	-0.8373817734819795	519106.166535851	0.7012082345598253	724.2561937295291	642.1986078768585	1.03201	19.081915	0.063877546	0.0323868	-0.0300838807	0.0082172372	-0.0138321456	-0.048897791	0.0289190726	-0.0486342896	0.1238448238	0.0848406592	-0.0421271441	-0.0070682929	-0.0768936133	0.0283104805	0.0301881858	0.0310841322	0.0385242604	-0.0960453583	-0.087959163	-0.0816376503	0.0678471871	0.0570957208	0.1307614775	0.0377955396	0.0223108535	-0.0417974038	-0.0485104201	-0.0223121104	0.0981881134	-0.083593185	0.0229215075	0.0294654523	0.013608158	0.0620592774	0.0429957533	0.0796107207	0.1371758212	0.0012995944	0.0518768656	-0.0612742343	-0.0669114516	-0.0171279154	-0.0596178207	-0.061136716	-0.0018066584	0.0890337218	-0.0338766628	0.0378785309	0.1001305176	-0.0408535777	-0.0713832604	-0.0383960941	0.055390339	0.0393069936	0.0197437193	0.0865761544	-0.1537951541	0.0321662601	-0.074114891	0.0137589836	-0.0645144641	0.014260752	0.0497255887	-0.0416725793	-0.0711254614	-0.0067613151	-0.0078010437	-0.0517376665	0.111597798	-0.0286763184	0.0431415653	-0.0888533452	-0.088253176	-0.0663364928	-0.0271464606	-0.0358214709	0.0490326341	0.0111874387	0.0204188123	0.0169696298	-0.1770440169	-0.0096765493	0.0540849032	0.0727531337	-0.0140866157	0.0823228322	0.0027071326	0.0075490631	-0.0227492981	0.0379636416	0.0961342646	0.0084058086	0.0803739395	0.0726645663	0.0089838252	-0.0024154348	0.0308863443	-0.0086517481	-0.0497362193	-0.0852727879	0.0459017942	0.1146527451	0.1144874327	0.1142120884	0.000103532	-3.1646000000000015e-05	1.001469316000001e-09	1.0718875024e-08	0.0178667	-3.5600000000000215e-05	1.2673600000000154e-09	0.00031921896889	0.0998274	-0.0180266	0.00996550979076	0.00032495830756	-0.000744264	-0.0002070499999999	4.286970249999999e-08	5.53928901696e-07	-0.000248331	0.000401542	1.61235977764e-07	6.166828556100001e-08	-0.0008331359999999	-0.0003070819999999	9.42993547239386e-08	6.941155944958334e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.7057396043334	0.5782112349901354	0.3343282322688176	601719.3944551059	827.8081910413853	0.8883216843829587	685266.4011552106	0.7891154149449768	719.9273501837727	-0.562876353583647	518295.3895426284	0.3168297894236228	723.4044880614413	638.1591465234316	0.850785	15.731057	0.052260168	0.0316816	-0.0356941937	0.0594874483	-0.0164841045	-0.1033444288	0.0144655392	0.0021599542	0.0653604129	0.0604747567	-0.0282558529	0.057016657	-0.0929636185	0.0894116057	0.1079118799	0.019991366	0.0790526716	-0.0377427617	-0.0788995918	0.0258163314	0.184805892	0.0074199776	0.0907923492	-0.0139345778	-0.0027169072	-0.0931356538	0.0813935975	0.0017912365	0.0693779462	0.0867247868	0.1356945934	-0.1158709691	0.0169554483	-0.0115948802	0.1195007023	0.1000309546	-0.0956703994	0.0134214142	-0.0510193703	0.0267475139	0.0875806786	-0.0378819132	0.0001997914	-0.0969665546	-0.1362950135	0.0638280292	0.0018893434	0.0377088378	0.1365167166	-0.0825756626	0.0032201161	-0.0648935507	-0.0563273496	0.0417469768	0.107281388	-0.0848765893	-0.0511493111	-0.0947247337	-0.1087987988	0.0653794076	-0.0775966315	0.0128874858	0.0565517753	-0.0306189977	0.0310109847	-0.0813706734	-0.0719827792	-0.1064854023	0.0694962915	-0.0020762095	0.0289268144	-0.0550947021	-0.03706814	-0.0975360055	-0.0255318472	-0.0154618936	-0.1286925435	0.0585780015	0.0124932876	-0.0389661566	-0.0690506732	0.0123320826	0.0294373259	0.0552529971	0.004631462	-0.0485948232	0.0338296879	-0.1006790351	0.1153422541	-0.0829036819	0.072536694	-0.0509515382	0.0694242064	0.180248357	0.1457965694	0.0598743171	-0.0045689631	0.0990714666	0.0577719654	0.0300383868	0.0283513723	0.1145547726	0.1140958982	0.1133324686	0.0111644	0.011060868	0.0001223428009134	0.00012464382736	0.04186	0.0239933	0.00057567844489	0.0017522596	0.099828	6.000000000033756e-07	0.009965629584	3.600000000040507e-13	-0.000749409	-5.145000000000019e-06	2.64710250000002e-11	5.61613849281e-07	-0.000280212	-3.188099999999999e-05	1.0163981609999991e-09	7.8518764944e-08	-0.000526054	0.0003070819999999	9.42993547239386e-08	2.76732810916e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
776.731418515873	1.0256789115395577	1.052017229576972	603311.6965096802	827.3115271528619	-0.4966638885233578	684444.3629600005	0.2466750181631424	720.2191874959047	0.2918373121320883	518715.6780372612	0.0851690167524819	723.5520094762115	643.9115095556579	0.872371	16.130182	0.03250455	0.0194965	-0.0133078538	0.0775683714	0.0042271243	-0.098978533	0.0539492836	-0.0139675876	0.0673176383	0.0690967893	-0.0410827263	0.0059014167	-0.110247342	0.0480860951	0.0488962022	0.0540213803	0.022196371	-0.0059852732	0.0886304844	-0.1310168208	0.0915270965	0.0340700259	0.0090310183	-0.0086140664	-0.1563167324	0.0636622457	-0.0126440963	0.0304073966	-0.06792689	0.1043117228	0.0499544137	0.0141193505	-0.1409470354	0.034015311	-0.0752073055	0.0310414868	-0.0747785997	0.0888398964	0.0597607697	0.016573459	-0.0364675676	0.0419969185	-0.0081802446	-0.0007256159	0.0249267405	0.0976489125	-0.0948009665	0.0526492115	-0.0114187509	0.0310890664	0.0094885961	-0.0361345622	0.0264388908	0.0647668292	0.124550193	0.0077576005	-0.0414172744	-0.0388620266	-0.1260152275	0.0503721756	-0.0426012869	0.0254085827	0.0053437787	-0.0222590805	-0.0917198874	-0.0012463819	0.0448637355	-0.1153931298	0.0934733153	-0.011088428	-0.056178706	-0.0140666789	-0.031364919	-0.0164598494	0.1459972844	0.0250927146	-0.046322922	0.0284421663	0.04680211	-0.0242749336	0.0579742059	0.1189925005	-0.0765572867	-0.1766027643	0.011946418	-0.0613093837	0.033336753	-0.036384446	0.0600541357	0.084483009	-0.0353121088	0.0131966688	-0.0549337157	0.0271522497	0.085950543	0.0390152624	-0.0053810591	-0.1185919786	0.0241898643	-0.0571015102	-0.0008148607	0.1144078661	0.1135094328	0.1120172664	0.018457	0.0072926	5.318201476000002e-05	0.000340660849	0.0418833	2.329999999999693e-05	5.428899999998572e-10	0.0017542108188899	0.099833	5.000000000005e-06	0.009966627889	2.5000000000050003e-11	-0.000486502	0.000262907	6.912009064900004e-08	2.36684196004e-07	-0.000321171	-4.095899999999997e-05	1.6776396809999975e-09	1.0315081124099998e-07	-0.000326247	0.0001998069999999	3.9922837248999996e-08	1.06437105009e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
777.1427604269917	0.4113419111187113	0.1692021678427938	603950.8700840846	830.2405004152909	2.92897326242894	689299.2885298326	8.578884372023628	721.298316089918	1.0791285940132411	520271.2607941512	1.1645185224169945	724.9537126272573	653.5742842478767	0.933548	17.261337	0.03675535	0.0187247	-0.0008015459	0.0311948748	-0.0009464762	-0.0679664302	-0.0328500714	0.0194635577	-0.013847164	0.0292011813	-0.0830029272	0.0673391713	-0.0552017019	0.0270378059	0.0586183499	0.0944602319	0.0405274613	-0.0446152295	-0.0496107938	0.1257284976	-0.0536439515	0.119172179	0.0509856906	0.0434206152	-0.0328158123	0.0677755656	0.0291986352	-0.0189160194	0.1270208408	-0.0014807887	0.0678946697	0.0758554391	-0.1016675262	0.0574427442	-0.0473132843	0.06706282	-0.1124206409	-0.0511942413	-0.0842596059	-0.1121525385	0.1662804015	-0.0095721056	0.05107014	0.2176572598	0.0746933068	-0.0823107197	-0.0824095919	0.0455637768	-0.0588816053	0.0331185664	0.0648565589	0.0002471538	0.0454964482	-0.0848205632	0.0155124856	-0.0715048063	-0.0668416676	-0.1361420531	-0.0693124953	0.0827491426	-0.0397173072	0.0082073453	0.0638696981	0.014764902	0.0091223948	-0.0082799368	-0.0704880926	-0.0234144654	-0.0320854874	-0.0040389443	-0.0187454367	0.1132952007	-0.0723432337	-0.0796697338	-0.0099386232	-0.140060909	-0.1005388705	-0.0111637734	0.1869394533	0.0462780555	0.0216649677	-0.052815438	-0.019328647	-0.0415724467	0.0398435047	0.0524257499	-0.2176639998	0.0014176917	-0.0627336994	0.0347083334	0.0479273068	0.1450530822	0.0345310498	0.0550630106	-0.008171162	-0.0515604638	-0.1002963329	-0.0498122527	-0.1617649671	0.0487424863	0.0231118906	0.1142120884	0.1127290384	0.1102715368	0.0134373	-0.0050197	2.519738809000002e-05	0.0001805610312899	0.054403	0.0125197	0.00015674288809	0.002959686409	0.0879631	-0.0118699	0.00773750696161	0.00014089452601	-0.000472971	1.3531000000000005e-05	1.830879610000001e-10	2.23701566841e-07	-0.00029678	2.4390999999999963e-05	5.949208809999981e-10	8.807836840000002e-08	-0.000217248	0.000108999	1.1880782001e-08	4.7196693504e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
777.3487452251818	0.2059847981901157	0.0424297370854227	604271.0717031646	833.9794140370101	3.7389136217192345	695521.6630375147	13.979475070677642	721.6342372684036	0.3359211784855915	520755.9723979506	0.1128430381551486	725.5414740557152	650.3347075915149	0.844886	15.62198	0.0323370499999999	0.0193418	0.0002606026	0.037650068	0.0083702867	-0.0417173122	-0.0358496681	0.0208626183	-0.0196833858	0.0658610972	-0.0361526143	0.0561691162	-0.0322848927	0.027449292	0.0489982284	0.0159915932	0.0149623841	-0.0526924037	-0.1140525589	0.0494619465	-0.0160663746	0.0914543902	0.0216218374	0.0084817846	-0.1513842832	-0.1072166925	0.0449481516	-0.0651203327	0.0956330058	0.0889109587	0.1100172079	0.1050420135	0.001149827	-0.0294801335	0.0160179711	0.0082341356	-0.0500607967	0.0603339246	0.0380358431	-0.0735103234	-0.0398460377	-0.0525124403	0.1476769226	-0.0696284066	0.0746732741	-0.048505784	0.0795458357	0.0872826044	-0.0352527902	0.0189904643	-0.0268053098	0.0230316674	-0.1521414712	0.0407307765	-0.1605153615	0.0787049636	0.1227713467	0.1097551833	-0.0347322169	0.0682502289	-0.0199279394	0.0008312055	0.0750187824	0.0486174228	-0.0506028447	-0.0046049248	-0.0582487909	-0.0517596645	0.0183212908	0.0518478227	-0.0746392682	-0.0016836691	-0.1486028455	-0.0176158826	-0.0124263859	0.0177257014	-0.1637181588	-0.0123069129	0.1234073585	0.0985844899	-0.0821628892	0.0448157684	0.0448241471	-0.1492881322	0.0305069918	0.1052077287	-0.1605088029	0.0305210248	0.0355860587	-0.0306410166	-0.0947022983	0.0044723148	-0.0415767262	0.021344762	0.006546245	0.083840905	0.1213000636	-0.0828793101	-0.0446760904	-0.0124936237	0.018812514	0.1139675232	0.1117560484	0.1081019891	0.0145407	0.0011034	1.217491560000002e-06	0.00021143195649	0.0393454	-0.0150575999999999	0.0002267313177599	0.00154806050116	0.0991002	0.0111370999999999	0.00982084964004	0.0001240349964099	-0.000499129	-2.6157999999999976e-05	6.842409639999987e-10	2.49129758641e-07	-0.000244035	5.274500000000001e-05	2.782035025000001e-09	5.9553081225e-08	-0.000195372	2.1875999999999992e-05	4.785593759999997e-10	3.8170218384e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
778.0393379555471	0.6905927303653243	0.4769183192334335	605345.2114063061	834.0635184429825	0.0841044059724254	695661.9527974874	0.0070735511039745	722.1024629677578	0.4682256993542069	521431.967024102	0.2192353055357361	726.0095472113301	650.8735956540631	0.915078	16.919832	0.0627324	0.0389036	0.0001147937	0.0048061353	0.0263211467	-0.0322974498	-0.061504136	0.0657576134	-0.0596913886	0.0143951665	-0.0132362207	0.0444949125	-0.0192721163	0.0295368677	-0.0831117346	0.1068241818	0.0569433675	-0.0135108152	-0.1251092215	-0.0305046538	-0.0923776467	0.0220529654	-0.0122784818	0.1081746171	0.1072200573	0.0749005284	-0.0103970578	-0.0380356147	-0.1198220367	-0.0261797094	0.0884682561	-0.0693135037	0.0987182276	0.0207147069	0.0624560394	-0.0567176383	-0.2065077613	0.106250883	-0.1023251994	0.0451685445	-0.0391770306	0.0935740612	0.0624762683	-0.0491075297	0.0787446389	-0.0218203648	-0.0055574594	0.1124241763	-0.0106730895	0.1713321381	0.0219263117	-0.1747509798	0.1558226595	-0.0527470027	-0.0244261733	-0.1486006737	-0.0254422533	0.1538106249	-0.0102651112	0.0441525205	-0.0153564092	0.1086299204	0.1068224831	0.066165578	0.0402758875	0.0722258605	-0.0529848641	0.0853349906	0.0288661179	-0.0555801132	-0.0278680303	0.0696341809	-0.0370476029	-0.0369150641	0.0339583051	-0.1310079675	0.0026720876	-0.008948819	-0.0470003149	0.015510133	-0.0383992483	-0.058448319	0.0097472091	-0.0130596828	0.0693241203	-0.1099836039	-0.1493106001	0.0061459263	0.1556666669	0.0507550664	-0.046039	-0.0659129047	0.0397753592	-0.031024304	0.0276917849	0.0949145873	-0.1102326421	-0.0885386711	0.0766724806	0.0468164245	0.0236421919	0.1136742748	0.110592125	0.105516962	0.0139794	-0.0005613	3.150576900000008e-07	0.00019542362436	0.0532038	0.0138584	0.00019205525056	0.00283064433444	0.066346	-0.0327542	0.004401791716	0.0010728376176399	-0.000332917	0.0001662119999999	2.762642894399998e-08	1.10833728889e-07	-0.00027065	-2.6614999999999988e-05	7.083582249999994e-10	7.32514225e-08	-0.000313715	-0.000118343	1.4005065649e-08	9.8417101225e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
777.7952528714368	-0.2440850841103383	0.0595775282851509	604965.4553893423	836.6504754154439	2.586956972461394	699984.0180128883	6.692346377366621	722.4256035295274	0.3231405617696055	521898.7526350019	0.1044198226607762	726.7416990661977	648.6445301081242	0.919811	17.007338	0.04771745	0.0262992	-0.004226115	-0.0134861044	-0.0114700681	0.0325785559	-0.0383522029	0.0645187578	-0.0926467351	-0.0526055155	-0.0072272324	0.0875670405	-0.0117799765	-0.0172317228	-0.0917269196	0.020809749	0.0788564824	0.0452750078	-0.0059424118	0.0278079345	-0.0395654221	-0.023037708	0.0348057201	0.1153338172	-0.0022299492	0.0558910314	0.0421301902	0.0602724976	-0.1794565317	-0.0132156535	-0.1086661269	-0.0736110783	-0.0894678907	-0.0678331461	-0.0938603032	-0.049040458	-0.1632277422	0.0114729456	0.0496243186	-0.0036413446	0.0173349613	0.1129727506	0.0474186976	-0.016297012	-0.0492135212	-0.0513591038	-0.100222144	-0.0634285772	-0.004476174	0.0757141338	0.036237808	-0.0451657204	-0.1458535124	0.0127642134	0.1714914624	-0.1544427805	-0.0019894154	0.1082763602	0.0039344201	-0.0288158495	0.0132105618	0.0799282764	0.0697111421	0.1029593589	0.0878425443	0.0553876892	-0.0059590206	0.0015679291	-0.0027875974	-0.133815808	-0.0474305812	0.0076382635	-0.006881558	0.0965659979	-0.0224630373	-0.097545524	0.069254956	0.0574140613	-0.0397592114	0.0209955456	0.06934012	0.0281237393	-0.0042518527	-0.191906687	0.1504117369	-0.2073813072	-0.0177610423	-0.0040271123	-0.1222094881	0.0139538975	-0.019203745	-0.0534489369	-0.0582052385	-0.0167797526	0.0133691595	0.0558790138	-0.0258134732	0.1128932553	0.0849834619	-0.0990244478	-0.0835958327	0.1133324686	0.1092392569	0.1025263906	0.0184307	0.0044513	1.9814071690000016e-05	0.00033969070249	0.0516358	-0.001568	2.458624e-06	0.00266625584164	0.0787607	0.0124147	0.00620324786449	0.00015412477609	-0.000366075	-3.315799999999998e-05	1.0994529639999986e-09	1.3401090562499998e-07	0.000157521	0.000428171	1.83330405241e-07	2.4812865441000003e-08	-0.000189375	0.00012434	1.5460435599999997e-08	3.5862890625e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
778.238723330942	0.4434704595051926	0.1966660484537466	605655.5104917744	834.8250614443982	-1.8254139710456911	696932.8832156432	3.3321361656888	722.3435218047805	-0.0820817247468994	521780.1634933334	0.0067374095374257	726.8435234177209	647.8459718617895	0.870371	16.093203	0.03344248	0.0161071	-0.00187867	0.0040523862	0.0063053471	0.019381465	-0.0020407584	0.0236590236	-0.1175025723	-0.088512727	-0.0685388773	-0.0107264332	-0.0159261415	-0.0127935871	-0.1127405719	0.1010545334	0.0401257197	0.0268597852	-0.0641307461	-0.0258400773	-0.0449052072	-0.0166902177	-0.0058733364	-0.0268763875	-0.0532196099	0.0308724207	0.1132860667	-0.0865286872	-0.01568723	-0.2204538283	-0.0302996442	-0.0278204955	0.0058846879	0.0767298539	-0.0950173561	0.0003344344	0.0471444275	0.0802599247	0.0941949938	-0.1096782317	-0.1185069486	0.0250961291	-0.0892783182	0.0905003317	-0.0395407097	-0.0572312226	-0.0710133873	-0.0487968104	0.0498228448	-0.0892894167	0.0365780085	0.0274999852	0.0164368368	0.037575201	-0.0226293407	0.0894172345	-0.1376295318	-0.0761843833	-0.0057625818	-0.007164647	0.0099014642	0.0967261524	0.0213480377	0.0290265635	0.0376831125	0.1154579653	-0.0883365123	0.0188964449	0.0145412648	-0.033492497	0.0329912721	0.036420601	0.011415541	-0.0019468494	0.07226543	0.1026614039	0.1396363617	0.0537755665	-0.0342576648	0.0209206099	-0.0956688136	-0.0533231056	0.1253978439	-0.0855296702	-0.0424406404	-0.0327545267	-0.126984175	0.0434252997	-0.1301411007	0.1291510691	0.017638422	-0.0281342849	-0.0714952055	-0.0460552837	-0.1004471284	-0.043445458	-0.020449333	0.0516155144	-0.1188568609	0.022700617	-0.0839888494	0.1129422506	0.1076997553	0.099141769	0.0156366	-0.0027941	7.806994810000005e-06	0.00024450325956	0.0503119	-0.0013239	1.7527112100000076e-06	0.0025312872816099	0.0888880999999999	0.0101273999999998	0.0079010943216099	0.0001025642307599	-0.000258524	0.000107551	1.1567217601e-08	6.6834658576e-08	-7.99566e-05	-0.0002374776	5.6395610501760016e-08	6.393057883560001e-09	-0.000150462	3.891300000000001e-05	1.514221569000001e-09	2.2638813444e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
777.4769920066528	-0.7617313242891441	0.5802346104032933	604470.4730997129	837.0983687016874	2.273307257289161	700733.6788830261	5.1679258860435695	722.0058012848111	-0.3377205199693662	521292.3770889222	0.1140551496083791	726.8046261696858	646.3388445792023	0.8784039999999999	16.241734	0.04912742	0.0319171	-0.0053823473	-0.0139398141	-0.0060245874	0.0781669514	0.0304058361	-0.0073971834	-0.0805826198	-0.1182808175	0.0011086823	0.0229161059	-0.0192424637	0.0224393272	-0.0823286507	0.1101430068	0.0017161089	0.147244826	9.57699e-05	0.1075241316	0.0414410061	-0.0064903361	-0.0612537627	0.0377541214	-0.0629530792	-0.0914354454	-0.0015168382	0.0384220903	0.0415055077	0.0001649891	0.0895688121	-0.0924978405	-0.0750611979	-0.0805688156	0.0514299037	-0.07485318	-0.0564692401	-0.1415000457	0.0869050049	0.0208295653	-0.0756550535	-0.0651055602	-0.0198969155	-0.0847460827	0.1062461825	-0.0888728311	0.1535753548	0.0178642037	-0.097463733	0.0663489235	0.0913412528	0.0881597313	-0.1321940002	-0.0494680433	-0.0690458507	0.0848427494	6.39635e-05	-0.0146716986	0.0118730296	-0.073675856	0.0085873561	0.1222887894	-0.0562486226	0.067103039	0.0511891044	0.063778604	0.0312944514	-0.0543699891	-0.0373311843	0.0556367908	-0.1024557709	0.0277932526	-0.0888774083	-0.0405322482	-0.0321943348	-0.0307486563	-0.0842020091	0.0566295254	0.0024892823	-0.0190290991	-0.0434827058	0.0899441746	-0.0317617675	-0.0136496097	0.0676163795	-0.0580213025	0.0330500403	-0.018489688	0.0775225604	-0.0484765684	0.0083582741	0.059432116	-0.0524203612	0.0361928093	-0.0483446312	-0.0914992502	0.0118784904	0.0046417349	-0.12748871	0.1260706715	-0.0190721827	0.1125037874	0.1059762505	0.0953761056	0.0184673	0.0028306999999999	8.012862489999992e-06	0.00034104116929	0.0526216	0.0023096999999999	5.33471408999999e-06	0.0027690327865599	0.0593459	-0.0295421999999999	0.00352193584681	0.0008727415808399	-0.000193747	6.477699999999999e-05	4.196059728999999e-09	3.7537900009e-08	-0.000236132	-0.0001561754	2.4390755565160004e-08	5.575832142400001e-08	-0.000218406	-6.794400000000001e-05	4.616387136000002e-09	4.7701180836e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
