global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
765.8014816066033	n/a	n/a	586451.9092308687	780.5768989276886	n/a	609300.295139567	n/a	722.5831282449246	n/a	522126.3772242212	n/a	720.3691627734969	577.9881421431899	n/a	n/a	n/a	n/a	-0.0310912659	0.1802761253	0.0229053898	-0.0446602873	0.0042732871	-0.0004295366	0.0155133261	-0.1744045621	0.0478036853	-0.1020461973	0.1540029446	-0.094871502	-0.008998714	0.1079348685	0.0482378209	-0.0438217551	0.0510711477	-0.0623437524	0.055482902	0.1393049574	-0.0501441292	0.0214049912	-0.1048876123	0.024152428	-0.0679220421	0.0204896911	-0.0904036393	0.0390261675	-0.1624450382	0.1599292709	-0.0616590748	0.0764321911	-0.0008238175	0.0312880189	-0.0304310788	0.0717232123	-0.0379810232	0.1101059422	-0.000809475	-0.0975834974	0.0188103655	-0.001344226	-0.0109536759	0.0898749013	-0.0706501151	0.0592049239	0.0786346087	-0.0499649403	-0.0290250916	0.0985870373	0.1135683827	-0.0524452966	-0.0134655065	0.0148502465	0.0077124972	0.02994861	0.0540042589	-0.0637331728	0.1420652321	-0.0403632296	0.0537999137	-0.071234491	0.0418206461	-0.0651778978	0.0742722043	-0.0830764081	0.0053806583	-0.0065581119	0.0271741466	-0.0202491796	0.1505379044	-0.0375608978	0.1008330135	0.2322449177	-0.0084068012	0.0049623262	-0.1032398622	0.0006503346	-0.1936926314	0.0696048511	-0.0531701546	0.0055722196	-0.0289589681	0.0647529602	-0.0434079914	0.0772093897	-0.0661102609	0.0147633286	0.0605138078	-0.119677596	0.0749607283	-0.0589051073	-0.0318035065	0.0207501358	0.0814754992	-0.0663586219	-0.0325263931	0.0872491518	0.1512603207	-0.1074952115	-0.0358397878	0.0073241015	0.1147017419	0.1146833673	0.1146527451	0.0370278	n/a	0.00137105797284	n/a	5.29869e-05	n/a	n/a	2.80761157161e-09	0.0110022	n/a	0.00012104840484	n/a	-0.00199321	n/a	3.9728861041e-06	n/a	-0.00049171	n/a	n/a	2.4177872410000004e-07	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
764.8478945263506	-0.953587080252646	0.9093283196247663	584992.3017613916	783.6672212016582	3.090322273969605	614134.3135859286	9.55009175699267	722.5135736400755	-0.0695546048491451	522025.8640941528	0.0048378430557207	720.7261676555976	568.6003737956286	0.972627	26.605288	0.0738262423	0.0365018	-4.97786e-05	0.2044569028	-0.0035886765	0.0042149872	-0.0196965195	-0.0664675228	-0.0323919442	-0.1474566107	0.0279788057	-0.0869135599	0.0102388432	-0.0943566399	-0.0685473148	0.0337250298	0.0163869027	-0.0539296119	-0.0236351923	0.0316300365	0.0145599908	0.0799047722	-0.0701504092	0.0668750494	-0.1191916121	0.0412326928	-0.1574449733	0.132720629	0.020031855	0.0240661613	-0.0789768236	0.090524262	0.0300551018	0.0772247441	-0.0166266199	-0.0948574559	-0.1574121325	0.0264730155	0.0035599396	0.0360619578	0.003925507	-0.1578035691	-0.0237555709	-0.0417876495	-0.1516426013	-0.0972169879	-0.0143226734	0.0543448093	0.0176188233	-0.1186648198	0.0662154005	0.1686029006	-0.0402855327	-0.1005100256	0.0109998784	-0.0293424932	0.0486211116	0.0450566196	0.0637076197	0.0198133209	0.0135936413	0.0015162905	0.0583640382	0.0105467711	-0.0247622272	-0.0419166292	0.0429122497	-0.1321107056	0.0173839521	-0.0022957645	-0.107849659	0.0169695491	0.2128036328	-0.1299947866	0.0912837272	0.1319950119	0.0215377066	0.0489711191	0.0044498334	0.0709480759	-0.1809945774	0.1150273122	-0.0820702421	-0.0733087231	-0.0199125839	-0.0172689928	0.0242978629	0.1088004594	-0.0023915929	-0.0012235769	0.0823032594	-0.1224803542	0.0587222675	-0.0141825653	0.0768835097	0.0118320955	-0.0828430097	-0.0504763729	0.1311250018	0.0047247798	-0.1425916478	0.0116155716	-0.048837342	-0.0105672537	0.1146527451	0.1144874327	0.1142120884	0.0415803	0.0045525	0.00172892134809	2.072525625000001e-05	4.21946e-05	-1.0792300000000002e-05	1.1647373929000004e-10	1.7803842691599995e-09	0.0259841	0.0149819	0.0006751734528099	0.0002244573276099	-0.00156734	0.00042587	2.4565546756e-06	1.8136525690000005e-07	2.8788e-05	0.000520498	2.70918168004e-07	8.28748944e-10	0.000139253	0.000139253	1.9391398009e-08	1.9391398009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.8823128532156	-1.9655816731350344	3.86351131376432	581989.4232642715	781.0262824813525	-2.640938720305712	610002.0539266415	6.974557324409973	721.9305904213221	-0.5829832187533839	521183.7773860787	0.3398694333480558	720.196299751103	562.3593275621533	0.914877	25.025602	0.0649108254	0.033363	-0.0228501791	0.1539942141	-0.0997650396	0.0577753206	0.0071454748	-0.0632032386	-0.0617487556	-0.1484101496	0.0883825035	0.0007987584	-0.0801206655	0.0642038504	-0.1078060661	-0.0096004052	0.0612201476	0.0115326641	-0.0623675866	0.1104476197	0.0705106646	0.0284526299	-0.0162082477	-0.0619078888	0.0241491002	0.1017630417	-0.0318810368	-0.0399999518	-0.0149130913	0.0518959849	-0.0452050175	-0.0221884003	-0.1173225265	0.0255578588	-0.1099412563	-0.1041615626	0.0057553943	-0.1202588274	0.05430592	-0.1144713829	-0.0188825122	0.1142059839	-0.0288747407	-0.0889973299	-0.0820431791	0.0557496522	0.1327624798	0.034095825	-0.0866721297	0.1177819404	0.0050236615	-0.016776748	0.1284351436	0.0306028113	0.04602086	-0.0782678961	-0.0120895971	-0.0174683907	0.0662154594	0.0845016052	-0.009834463	-0.0696317339	-0.0116945298	0.0823149538	-0.0665082165	-0.0937733816	-0.0457755365	-0.0505133758	-0.1087673058	-0.0267910182	-0.066630134	-0.0145277419	0.059480446	0.0834855164	-0.0344842857	-0.1592395703	0.0424962832	-0.0058515742	-0.1198947459	0.0212922801	-0.0421438259	0.0552203642	-0.0817883212	-0.0168840441	-0.1162937092	-0.0450289254	-0.023577311	-0.0736644339	0.0259204623	0.0242788563	0.0156319613	-0.0061994116	0.0695579291	0.0813891452	0.1187728755	-0.0857602263	-0.0573238912	-0.06047569	-0.0801246476	0.076274068	0.0485835031	-0.0271399764	0.0183284995	0.0035596005	0.1145547726	0.1140958982	0.1133324686	0.0182301	-0.0233502	0.00033233654601	0.00054523184004	0.0178448	0.0178026054	0.0003169327590281	0.00031843688704	0.0355362	0.0095520999999999	0.0012628215104399	9.124261440999996e-05	-0.00169802	-0.00013068	2.8832719204e-06	1.7077262399999996e-08	1.46026e-05	-1.41854e-05	2.0122557316e-10	2.1323592676e-10	0.0	-0.000139253	0.0	1.9391398009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
761.4436879759907	-1.4386248772249246	2.0696415373704293	579796.4899584778	775.290224259297	-5.736058222055476	601074.9318320311	32.90236392681023	723.0771821941532	1.1465917728311297	522840.6114098367	1.314672693524033	720.9899906847712	549.5984897315502	0.845743	23.134495	0.0595122749999999	0.0454254	-0.0213055008	0.0916619752	-0.0524385711	0.01051776	0.0711808257	-0.003509502	0.0244310504	-0.1043936006	0.0216751544	0.0110859617	-0.0120881702	0.1083144155	-0.1002209509	0.030502839	0.0068893172	-0.0117189798	-0.0275935151	0.0078866873	0.04940377	0.0329991582	0.0019501892	-0.153139402	0.1136599735	0.1057529187	-0.0084151593	0.0238317576	0.1248535115	0.0476694545	-0.0049832256	0.0715937771	-0.1658645097	-0.0878220852	-0.0785430988	-0.0168108897	0.0377105072	-0.0525525767	-0.0161519165	0.1631045508	-0.0996780867	-0.0484740845	-0.0136456793	0.0907095206	0.113330529	-0.032198233	0.0318225967	-0.0209192182	0.0300871742	0.0739057577	0.0134368542	0.0517288795	-0.0201058548	-0.1658672882	-0.13485345	-0.0380646798	0.0268546275	0.1292180502	0.0634576761	-0.0886253476	0.1011734577	-0.0003577285	0.0166269767	0.0032394625	0.0058438669	-0.0360174078	-0.0303619359	-0.038859386	-0.1740498027	-0.0948278011	0.0296316211	-0.0179498727	0.0086025001	0.0160919788	0.0271232057	-0.1000555545	-0.0796719403	0.0270968184	-0.0364023932	0.0658056431	-0.1634535704	-0.0803074615	0.0166035921	0.0349906811	-0.0667037125	0.1315290116	0.0263686482	0.0457722443	0.0900632653	0.1480601746	-0.053873157	-0.0096397949	0.0885257469	0.0360099291	-0.0390522116	-0.0019750853	0.0907052585	-0.1138790599	0.0322235019	0.1165987729	0.0168488948	0.0217772624	-0.0622700951	-0.0092719405	0.1144078661	0.1135094328	0.1120172664	0.0132072	-0.0050228999999999	0.00017443013184	2.5229524409999985e-05	0.0194446	0.0015997999999999	2.5593600399999952e-06	0.00037809246916	0.0410426	0.0055064	0.00168449501476	3.032044096000002e-05	-0.000809722	0.0008882979999999	6.55649717284e-07	7.890733368039999e-07	-4.47629e-05	-5.93655e-05	3.5242625902499998e-09	2.00371721641e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
759.9175520912377	-1.5261358847529891	2.329090738730789	577474.6859763389	772.6364497133096	-2.653774545987403	596967.0834255876	7.042519340930648	722.9253404314733	-0.1518417626799646	522621.0478379615	0.0230559208937587	721.2815274284849	551.5612266078591	0.8347759999999999	22.834507	0.096898755	0.055805	-0.0354822463	0.0703062574	0.0003799807	-0.0415895698	0.0089165756	-0.0033568703	0.0557412173	-0.0813746055	-0.0626299436	0.0232038802	-0.0585040417	0.145537386	-0.0553998178	0.0479529164	0.0189436	-0.0496486886	0.0268601501	-0.0320681915	0.0430761821	-0.0452713665	0.0001590764	-0.1019510374	0.1161708248	0.108528517	0.0712996835	-0.1118566733	0.0507445265	0.048960953	-0.004454717	-0.0853191924	-0.0095513832	0.0081425239	-0.0457619618	-0.0250961907	-0.0489372252	0.0982398596	0.0476556287	-0.0144139622	0.0538856099	-0.0019570961	-0.0055864199	-0.0621564456	0.0715292423	-0.0971893956	-0.0128728529	0.1436839916	-0.1366386398	-0.0115204898	0.0070826479	0.0887989747	-0.2115071181	-0.0583139546	0.0642479861	0.1572010514	0.0272887026	0.0140221602	-0.0550321767	0.049516669	0.1004696024	-0.004343246	0.0385640143	-0.0225437613	0.0104925158	0.0175051005	-0.1041813288	0.0080726777	-0.1169222343	-0.1022415158	0.0168210646	-0.0681484167	-0.0359802593	0.1012307051	0.062189589	-0.0051918513	-0.070860363	0.0098618934	0.0053601142	0.012424218	-0.0365509592	-0.0554524054	-0.0724871663	-0.0683124876	-0.0064361188	-0.1094257304	-0.0796670172	-0.0238996668	0.0005221598	-0.1427825055	-0.0454172539	-0.0044283533	0.0405976189	0.0007415861	-0.031481024	0.001464056	-0.0007884895	0.1213873147	-0.0484492124	0.0536978097	-0.2640896761	-0.0888233808	-0.0898633866	0.0361090839	0.1142120884	0.1127290384	0.1102715368	0.0076362699999999	-0.0055709300000001	5.8312619512898473e-05	3.103526106490112e-05	0.018334	-0.0011105999999999	1.2334323599999996e-06	0.000336135556	0.0670519	0.0260093	0.00449595729361	0.0006764836864899	-0.00159767	-0.000787948	2.5525494289000003e-06	6.20862050704e-07	4.13826e-05	8.614549999999999e-05	7.421047170249998e-09	1.71251958276e-09	0.000410065	0.000410065	1.6815330422499998e-07	1.6815330422499998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.9685255233325	-1.9490265679052072	3.798704562400352	574516.2856840147	767.1985975424449	-5.437852170864744	588593.6880710943	29.57023623217841	723.521541673166	0.5962012416927109	523483.42126511486	0.3554559205959303	721.3836645086318	549.750896461308	0.827674	22.640245	0.05623605	0.0329998	-0.0137668766	0.022853907	0.0472853947	-0.0459352723	-0.0632410748	0.0105595683	0.0722080391	0.060028954	-0.0486473589	-0.0133113234	-0.1153809305	0.0955399876	-0.031336862	0.0338380835	0.0180003268	-0.068134223	-0.002525473	-0.0287048892	0.0030552203	-0.028931317	-0.0280285578	-0.0511076461	0.0887514703	0.0675040981	0.0977495634	-0.0982251554	0.0107921676	-0.0076845234	0.0226192636	0.0060200239	-0.2065902528	0.0119378773	0.0028654664	0.1303829864	0.0085386778	0.0540191064	0.0225845259	0.0062505686	-0.0774099587	-0.0182067564	0.0522103751	-0.0110175842	-0.0082453543	0.10027729	-0.1106761407	-0.1244905633	0.0819868676	0.056152622	0.0023712289	0.0800310605	-0.071416602	0.0908779984	0.0651055265	0.044457682	0.1137510765	-0.0480755647	0.0021478087	-0.0332936678	-0.1897563185	0.0055613033	0.0691706859	-0.0007012178	-0.001506661	0.0334349668	-0.0476640511	0.0210995455	-0.0055092124	-0.0831181485	0.0461170899	-0.0728722669	-0.1119172031	0.1439342874	0.059180184	0.0151832911	-0.0385957214	-0.0352753485	-0.0957379497	0.0729844453	-0.0255295843	-0.0933192869	0.0201112233	0.1491975909	0.0369599469	0.0994358555	0.0216442134	-0.1175663486	-0.0516579628	0.0538623561	0.0276561126	-0.0033611437	-0.0099729487	-0.0244076945	-0.1211333246	0.1052235426	0.0250384794	0.0788489368	0.0128721298	0.0677198895	-0.0164729653	0.0338260131	-0.1306261477	-0.0269724927	0.1139675232	0.1117560484	0.1081019891	0.00765725	2.098000000010005e-05	5.86334775625e-05	4.401604000041981e-10	0.0442986	0.0259646	0.00067416045316	0.00196236596196	0.0864231	0.0193712	0.00746895221361	0.00037524338944	-0.00157556	2.21100000000001e-05	2.4823893136e-06	4.888521000000042e-10	-5.27688e-05	-9.41514e-05	8.86448612196e-09	2.78454625344e-09	0.000308741	-0.0001013239999999	9.532100508100003e-08	1.0266552975999991e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.13965840763	-0.828867115702451	0.6870206954929002	573260.4623336226	768.1846223334471	0.9860247910022508	590107.6139895808	0.9722448884710324	721.9103551508123	-1.6111865223537052	521154.5608739719	2.5959220098142266	719.8589353105183	536.3587020650506	1.027898	28.117178	0.1020324	0.0489245	0.0099071974	-0.0593493902	-0.017254899	0.0786934889	-0.0819278579	-0.0489908595	-0.0011834746	0.1259899069	0.0786070441	0.056463151	-0.0897077064	0.0984957134	-0.029747919	0.1081765607	0.0433171348	-0.0300421029	-0.0565240806	0.1172434294	0.0215603119	-0.0006839538	-0.0209254571	0.0040142944	0.0603230165	0.1166918754	0.0197869671	-0.0309899952	-0.0451409814	0.0213917269	-0.0479834743	-0.1127261366	-0.0192837699	0.1639400328	0.038114112	0.0170975725	0.0664456359	0.0147343071	-0.0575091681	0.0246967052	0.0664892574	-0.0327206762	0.2154920979	-0.0679183847	0.0922139912	-0.1103223589	0.0770108211	-0.0479399338	0.096675296	-0.0533074461	0.0888935207	0.0416574619	0.0257007288	0.0434197848	-0.0197467604	0.1649203986	-0.0112424877	0.1065766532	-0.0264078932	0.0390847481	-0.1413088891	-0.0455246087	0.0248761003	0.0920716559	-0.107396129	-0.0497630998	-0.0014624591	0.0507838565	0.0003183591	-0.0737474955	0.0161171539	-0.1389365772	-0.0391276959	0.0853395051	0.0376974916	0.0721061561	0.0254755442	0.0535201298	0.0325675262	0.0469663718	0.0368077911	0.0153286122	-0.1070280616	0.0315272028	0.0174750207	0.1287650772	0.0655953045	-0.0491943398	-0.0387602221	0.0048244757	-0.063797169	0.1145224088	0.1685843317	-0.1393592149	0.0032497358	0.0060102541	0.0350593266	0.0446097921	0.0642637486	-0.0600762566	-0.0856367774	-0.0123015655	0.0114096661	0.144515966	0.1136742748	0.110592125	0.105516962	-0.00973067	-0.01738792	9.46859386489e-05	0.0003023397619264	0.0405334	-0.0037652	1.4176731040000024e-05	0.0016429565155599	0.102242	0.0158188999999999	0.010453426564	0.0002502375972099	-0.000822668	0.0007528919999999	6.76782638224e-07	5.668463636639999e-07	0.000136409	0.0001891777999999	3.5788240012839993e-08	1.8607415281e-08	-5.03968e-05	-0.0003591378	2.5398374502399996e-09	1.2897995938884e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.1413740750029	0.0017156673728777	2.9435145343572767e-06	573263.0603361834	763.7776555160682	-4.40696681737893	583356.3070656217	19.42135652947897	722.4236072301865	0.5132520793741833	521895.8682834747	0.2634276969819229	720.8080028285814	526.933009687066	0.919989	25.165436	0.076689455	0.0454287	-0.0393977311	-0.1218131079	0.0462279465	0.0070429929	0.042421876	0.061164369	0.0746083215	0.1176940766	-0.0343705222	-0.0201455636	0.0077336503	0.057562254	-0.0653941708	0.0787127888	0.0141587162	-0.0706921296	0.0260711076	-0.0249893484	0.0588035983	0.0960472214	0.0466736752	-0.0131365258	0.066335758	0.0138063204	-0.0010468681	0.0003175434	0.1113486676	0.0340487139	0.0080890073	-0.0390479603	0.0068861067	-0.0068923134	0.0054132958	0.066222111	0.1039648124	-0.0957336379	-0.0714894231	-0.0836107609	0.0445383775	0.046519782	-0.0202331278	0.1306876253	0.0278903136	-0.0175222445	0.0741629685	-0.0279979668	0.1058395909	-0.0641652352	-0.1942089658	-0.0011472449	0.0965426146	-0.0695682159	0.0382905529	0.0715072752	-0.1064804827	0.0356398599	-0.0546384658	0.0451524011	0.0174646409	0.0056158781	0.0649685547	-0.0477642833	0.0333793859	-0.0600804125	0.0426875871	0.0572086486	-0.0671706814	-0.0392607914	0.013545022	-0.0272265858	-0.0237511604	0.0631177389	0.0367906636	-0.0369560275	-0.0880311421	0.0662652873	0.0687350768	-0.0265580628	0.0067534074	-0.0022355329	0.0498941892	0.0843534399	0.0151033517	0.1091914047	0.012116273	0.012408678	0.0257801381	0.1036262005	0.016031134	0.0348325941	-0.0594539398	-0.1500524259	-0.0086202222	-0.0541969197	-0.0792610281	0.0497174017	0.0216746171	0.101148532	0.0399053963	-0.0577081648	0.1997332641	-0.0152185722	0.1133324686	0.1092392569	0.1025263906	-0.00216081	0.00756986	4.6690998561e-06	5.7302780419600005e-05	-0.00107071	-0.04160411	0.0017309019688921	1.1464199041000002e-06	0.0888101	-0.0134318999999999	0.00788723386201	0.0001804159376099	-0.000870578	-4.7909999999999967e-05	7.57906054084e-07	2.2953680999999966e-09	7.07645e-05	-6.564449999999999e-05	4.309200380249999e-09	5.00761446025e-09	-0.000218514	-0.0001681172	4.7748368196e-08	2.826339293584e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.3644011066202	0.2230270316173346	0.0497410568320395	573600.8360635896	766.3550633819898	2.5774078659216	587300.0831712136	6.643031307314537	721.9120101620317	-0.5115970681547424	521156.95041618537	0.2617315601445281	720.0413641438062	530.4880696356297	0.767123	20.983919	0.163422245	0.0709962	-0.0226569653	-0.1136968763	0.0902596855	0.0006277537	-0.024432963	0.0496603752	0.0787531157	0.0952379976	0.0036648552	-0.0180037464	-0.0249796966	0.0452643926	0.0059313021	-0.002299789	0.0632744655	-0.0558212853	0.033109462	-0.0167076973	-0.0131256333	0.1016150013	0.0599321945	0.0560087758	-0.041859213	0.0646091935	-0.0130498375	-0.0317938499	-0.0051693824	0.0934657967	0.0427957093	0.0215156913	-0.0799712557	-0.1705107947	0.022900014	0.0197736649	0.0852650922	0.1400684083	-0.0591626606	0.049597328	0.0762218332	-0.0438161552	-0.0072257821	0.0420317332	-0.1419531365	0.0999100358	-0.0860983715	-0.0110121537	0.1462437873	-0.0137300796	-0.0815470471	-0.0956806347	-0.0585187479	0.029781218	0.0105901502	-0.0908552122	-0.0602020374	-0.1281961741	0.0726001562	0.0889728884	0.0290949076	-0.0349087418	0.0724946659	-0.0340936665	0.0093032943	-0.0140407543	0.0702303782	0.0458970382	0.0092835144	0.0114684824	-0.0500299551	-0.042153083	-0.0031490121	0.0178494644	0.0360356522	0.0654261893	-0.0910682894	0.013852745	-0.163120256	-0.0976473224	-0.0169679092	-0.0967321108	0.044161397	-0.0073492071	0.0463973199	-0.0053445111	0.0366370721	0.130683638	0.1476205652	-0.034588032	0.1481329821	0.0108119038	-0.0755683791	-0.0541209705	0.0251750062	0.0010885476	0.0450571992	0.0034388289	0.0400796998	0.0462383198	0.1011871369	0.1441760604	0.0607858236	-0.0143296525	0.1129422506	0.1076997553	0.099141769	0.016034	0.01819481	0.000257089156	0.000331051110936	0.0320994	0.03317011	0.0011002561974121	0.00103037148036	0.0524246	-0.0363855	0.00274833868516	0.00132390461025	-0.00180307	-0.0009324919999999	3.2510614249e-06	8.695413300639999e-07	-0.000142946	-0.0002137105	4.567217781025e-08	2.0433558916e-08	0.00014872	0.000367234	2.21176384e-08	1.3486081075600002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
758.1064807430761	0.7420796364558555	0.5506821868424546	574725.436144652	770.5127040096124	4.157640627622641	593689.8270402047	17.285975588458385	723.1683402121203	1.2563300500885362	522972.4482851529	1.5783651947554638	721.4901095958123	528.0975467041135	0.781536	21.378176	0.1546126	0.0717444	-0.0215062986	-0.1200969565	0.0913245105	0.0060668448	-0.0805628203	0.0372394676	0.0257616162	0.1183740109	-0.0024643684	-0.0178948759	0.005736565	-0.0682553878	-0.0725294863	-0.0832771194	0.0124917872	-0.0563902755	0.0165756073	0.025023331	-0.0294904788	0.0324259673	-0.09678751	0.0588444709	0.0515770218	0.0223808818	0.0342916081	0.0145051944	-0.0828474848	-0.0125985064	0.0445121166	-0.0860325472	0.0418900605	-0.0107003888	0.1284250256	-0.1433793973	-0.0203785934	0.0671899292	-0.117229116	0.0280693708	-0.0725846324	-0.0391433978	0.0361413395	0.0525615564	-0.0265794705	-0.0055628072	-0.0598137814	0.0311824672	-0.1134473482	0.0120845184	-0.0578554993	-0.0473170847	0.0514181084	-0.0220354295	-0.040956708	-0.0064109652	0.1264275024	-0.0295675187	-0.105169832	-0.0613873863	-0.0718366098	-0.0052595947	0.0659096565	-0.0314053615	-0.0091135235	-0.0317200409	0.0306960722	-0.0113086663	0.1126254011	-0.0555334622	-0.02196149	-0.0106188163	-0.0659829574	0.0036435748	-0.0435705298	0.0143481729	0.0011217405	-0.0356894907	-0.0557097339	0.0583614345	0.1167750965	-0.0474536707	-0.0892309894	-0.0931071374	0.1240304444	-0.0498914674	0.0405290165	0.0326277196	0.0876200755	0.0226421208	0.0441824647	0.1047598039	0.0092205956	0.0763267445	-0.0185558277	0.1101846785	-0.002103952	0.0230610282	-0.0410845962	-0.0637535406	-0.0605152393	-0.0158654106	-0.1105285113	-0.0025529136	0.1125037874	0.1059762505	0.0953761056	0.0262592	0.0102252	0.00068954558464	0.00010455471504	0.0377401	0.0056406999999999	3.181749648999998e-05	0.0014243151480099	0.112205	0.0597804	0.012589962025	0.0035736962241599	-0.00100484	0.00079823	1.0097034256e-06	6.371711329e-07	0.000270916	0.000413862	1.7128175504399997e-07	7.3395479056e-08	-0.000218514	-0.000367234	4.7748368196e-08	1.3486081075600002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
