global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11
793.6931373530122	n/a	629948.7962812674	n/a	816.8661466953213	n/a	667270.3016168622	n/a	756.4080982187076	n/a	572153.211050842	n/a	749.2097931419415	606.315981581005	n/a	n/a	n/a	n/a	-0.1295766659	0.008552605	-0.0295974959	0.0242398295	-0.0021021249	0.169720231	-0.1589093073	-0.0893028948	0.1553608715	-0.0787528591	0.0249811838	-0.0511114262	0.1910641223	-0.1364890382	0.0805496883	0.0454838003	-0.1704188395	-0.0227687656	0.1196807485	-0.1579473586	-0.0885526467	0.0040298131	-0.0152720467	0.0159726746	-0.0590038204	0.0468632924	-0.0192810967	-0.0398666075	0.1007183231	-0.0624437364	0.0394304447	-0.0218773032	0.0573681552	-0.0157592591	0.0430148485	-0.0184727337	0.2133746949	-0.0839898295	0.1155668883	-0.0392419129	0.0087966555	-0.0070195404	0.1348966257	-0.0177330032	-0.0112361186	0.0731589375	0.1199513578	-0.1207352865	0.0680775102	0.0185906128	-0.076764785	-0.0632126158	0.1431644185	0.1476221288	-0.053197494	-0.001412365	-0.14620945	0.037629277	0.044922254	0.0934735458	-0.0325192883	0.306999615	-0.0364369125	0.0488211132	-0.0228607738	0.083890405	-0.0885285954	0.0057593952	-0.0267262064	0.0589733558	-0.0899514646	0.0140888552	-0.0829305785	0.0456818377	0.0495508817	-0.0536719836	0.1092191841	-0.1582069792	0.0493198507	-0.1047453844	0.0681484718	-0.0682670961	0.1832078981	-0.0552206386	0.0410218408	-0.0206105245	0.042091464	-0.0288648058	0.0440777616	-0.0387919745	-0.0688193184	0.1135618385	-0.0551348162	0.1064962339	-0.0760875364	-0.002331286	-0.0087938268	-0.0070839852	-0.0768996901	0.1147017419	0.1146833673	0.1146527451	-0.100063	n/a	n/a	0.010012603969	-0.269048	n/a	n/a	0.072386826304	-0.449634	n/a	0.202170733956	n/a	0.0037456	n/a	1.402951936e-05	n/a	-0.000240703	n/a	n/a	5.7937934209e-08	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
793.1872640726283	-0.5058732803838666	629146.0358870213	0.2559077758063341	820.1347701960066	3.268623500685294	672621.0412844565	10.683899589232183	755.9399543588722	-0.4681438598353225	571445.2145960939	0.219158673501514	748.1278133337477	601.5377068414625	1.323429	36.53484	0.08147805	0.0487493	0.0212862728	-0.0092033483	-0.0390683565	0.0183347637	-0.1069520936	-0.1128415919	-0.0325003335	-0.0396310265	0.0827276875	0.060866654	0.0909900056	0.0509304818	0.1748909992	0.0643435868	-0.0181404332	0.0894431302	-0.1540076418	-0.0243903608	0.1192447224	-0.2759394935	0.0319492836	0.0522500922	-0.0740768397	-0.0150666043	-0.1734271027	0.217104112	0.131510568	-0.0727099047	-0.0451758353	-0.0851267751	0.0367571703	-0.1586939582	0.0845556499	0.0008853139	-0.058494431	0.0898885265	0.1249693149	0.1769636396	-0.1106671038	0.0481438373	-0.017864661	-0.0535971071	0.0467606938	-0.0158641913	-0.0723854314	0.0695791935	-0.0570643269	0.1572923025	-0.1017152853	-0.0200158266	-0.0830048506	0.0040809281	-0.051340058	-0.0027255116	-0.118124706	-0.0027019923	0.0716433029	-0.0085530291	0.033043388	0.0780911776	0.0292371686	0.2606330108	-0.0569475151	-0.0342906723	0.1955531004	-0.1288549061	-0.0781679894	0.080743406	0.0058729809	0.0356879982	-0.0957697738	0.194049701	-0.2459095376	-0.0983735095	0.1542270316	0.1181431913	-0.0624621897	-0.006639306	0.0891453069	-0.0007123826	-0.1259800415	-0.0554106305	0.0867355024	0.1838248003	-0.0269780583	0.01783888	0.021116356	-0.0795959386	-0.0388909773	0.1116842975	-0.0516994795	-0.1190723817	0.1232519115	0.0225034346	0.0488390031	0.0360388081	-0.0379011596	0.0123220752	-0.0165462711	0.1146527451	0.1144874327	0.1142120884	-0.105634	-0.005571	3.103604100000007e-05	0.011158541956	-0.250923	0.018125	0.000328515625	0.062962351929	-0.450612	-0.000978	0.203051174544	9.564840000000672e-07	0.00452428	0.00077868	2.04691095184e-05	6.063425424000006e-07	-0.000598104	-0.000357401	1.27735474801e-07	3.57728394816e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
797.1210536475954	3.933789574967136	635401.9741682527	15.474700420120122	823.9698507835719	3.8350805875653577	678926.3150003018	14.70784311312065	760.925706004677	4.985751645804726	579007.9300587161	24.857719473644533	753.5302088965104	613.8860016891603	1.208432	33.360191	0.3345908	0.189709	0.0069144396	-0.0507521503	-0.0065161311	-0.0253785801	0.0008347886	-0.0401164972	-0.1764194331	-0.0405864062	0.1532252764	0.0235343586	0.0857748039	-0.0411719764	0.0121564753	-0.0814753143	-0.1124400059	0.1084365105	0.0041766225	0.0896321151	0.1643152793	-0.1744246542	-0.1135743815	-0.0012611933	0.0878194762	0.0313359243	-0.1449751747	0.0230583145	-0.0578688861	-0.1671714812	-0.0200370047	0.0131826421	0.0923103669	-0.0401955417	0.0562404895	0.0835743183	0.0691861202	0.1263551679	-0.0660730044	-0.0218288011	0.0172576881	-0.1289326656	0.0159669054	0.1566416798	-0.0216286084	0.0300599964	-0.0149525647	-0.1075546741	-0.0144381286	0.0314403214	-0.1183267128	-0.0585235246	0.078493127	0.1088464815	0.0757165656	-0.0628326219	0.0834530923	0.0602858986	0.155412338	-0.1886051192	-0.1210012178	-0.0283796399	-0.1016311671	0.1772603337	0.0072526916	-0.0007250125	0.0220063158	-0.0506452265	-0.1085726607	-0.0205734628	-0.1624018988	-0.0575409669	-0.127083134	-0.0486125819	-0.1584016787	0.0261318828	-0.0144814337	-0.0966447216	-0.1507872397	0.011765687	0.1323868676	0.1045072578	-0.0458062948	-0.0433752214	-0.1379890363	-0.0052300603	-0.0461879808	-0.0002318707	0.0929442502	0.1374474759	-0.0110330746	0.019905073	0.2425143852	-0.0409145279	0.0124386921	-0.1962698766	-0.0382855451	-0.0789777176	0.1085096023	0.0719136861	0.1343888903	0.1145547726	0.1140958982	0.1133324686	-0.05392	0.051714	0.002674337796	0.0029073664	-0.0816872	0.1692358	0.0286407560016399	0.00667279864384	-0.419794	0.030818	0.176227002436	0.000949749124	0.00389822	-0.00062606	1.51961191684e-05	3.919511236000004e-07	-0.000375625	0.000222479	4.9496905441000024e-08	1.41094140625e-07	0.0008079209999999	0.0008079209999999	6.527363422408384e-07	6.527363422408384e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
797.1628154793584	0.041761831762983	635468.5543829777	0.0017440505921997	820.7847634533699	-3.185087330202009	673687.6279172044	10.144781301013362	760.7983797322815	-0.1273262723954076	578814.1746032649	0.0162119796421095	753.2776352953092	612.4405246830768	1.157879	31.964624	0.2370781	0.179547	0.0958895574	-0.0883335852	-0.0165446233	0.0052983988	0.0057502251	-0.1165958236	-0.0298044742	-0.0906487316	0.1209956386	0.0370292363	0.0864047656	-0.1169085083	0.007333352	0.1748558175	-0.0167427691	0.0537733213	-0.0180631786	-0.072558451	0.0470115879	-0.1598266579	-0.0224476072	0.0853628581	-0.0418170944	0.0395268254	-0.1264509357	-0.0208941238	-0.0833644822	-0.0653753541	0.0920119127	-0.0416648956	-0.132522222	-0.0207873657	0.0146927919	0.0905258345	0.0101544517	-0.1245304284	0.0704512131	-0.0130781691	0.1184380024	-0.0249981822	0.0267818629	-0.0193693391	0.0492586655	0.130522792	0.1968955376	-0.0741426116	0.0312929128	0.0932531337	-0.0084497641	-0.0730460713	0.0449169137	-0.0064260819	-0.0574091538	-0.0392885693	0.0281414024	-0.0310983559	-0.0001696804	0.0430263689	0.0571358792	-0.0264805619	-0.0305410754	0.1655393843	0.1153655823	-0.0918586541	0.131367356	-0.0678100513	0.0448879924	-0.1168586035	-0.1075201038	0.1459124017	-0.0854209674	-0.0838575778	-0.0617196225	0.0766111114	0.0511795005	0.0436826009	-0.0155485956	-0.0683901606	0.0722201816	-0.0182677779	0.1015090759	0.0084819269	-0.004281863	-0.0104770032	-0.0123109285	-0.0189803849	-0.0555323192	-0.0165254012	-0.1372332727	-0.020908596	0.0466446307	0.0282712263	-0.0849540423	0.0441804379	-0.0878935412	-0.1914638059	0.022907129	0.0595511557	0.0300702746	0.1144078661	0.1135094328	0.1120172664	-0.0736109	-0.0196909	0.00038773154281	0.00541856459881	-0.257901	-0.1762137999999999	0.0310513033104399	0.0665129258009999	-0.443338	-0.023544	0.196548582244	0.000554319936	0.00403955	0.00014133	1.63179642025e-05	1.997416890000008e-08	-0.000420373	-4.4748e-05	2.002383504e-09	1.76713459129e-07	0.000641411	-0.0001665099999998	2.7725580099966684e-08	4.1140807092100004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
795.5909684561934	-1.5718470231649917	632964.9890890637	2.4707030642326457	823.217423403613	2.432659950243078	677686.9261952834	5.917834433516656	762.195712302227	1.3973325699454335	580942.3038518991	1.9525383110303096	753.904882574965	619.8410339022456	1.121777	30.967979	0.2934580999999999	0.184618	-0.0359098151	-0.042804993	0.1755592354	-0.0045975387	-0.03894364	-0.015808542	-0.0267508475	0.117921698	0.108753458	-0.0855016134	-0.0087861958	-0.0981360536	0.0945086859	0.0341651487	-0.0035107369	0.0593643087	0.0041393626	-0.1254289171	0.0673258216	-0.0459965102	0.0654921741	0.0330607744	0.0102345011	-0.0678093574	-0.0648067711	-0.0340694072	-0.1002191558	-0.146609261	0.1002855074	0.1033115194	0.1052543769	0.0162628674	-0.1026988953	-0.0037066331	0.059317332	-0.0730082324	-0.0029509141	0.0001272878	-0.0684108047	0.0098308727	0.0052779862	-0.0794189126	-0.0747070516	-0.0037230734	0.1913614161	0.033751716	-0.1163587506	0.0579477379	0.1142136485	0.1043131913	0.043296672	-0.0430445379	-0.0632435738	0.0489268516	-0.1686706496	-0.0190201357	-0.1475167657	0.0613231706	0.0024620341	-0.0786840512	0.1072687359	0.1361024393	0.0131798299	0.0492832275	0.0217930517	0.0676972676	0.0406728804	-0.0684193953	-0.0886394939	0.0541353378	-0.0557250166	0.0568494404	-0.0336983785	0.1489963291	-0.0825520202	-0.0298723655	-0.0256477396	-0.0955624212	0.0995160739	0.1868260137	0.0277710489	0.0151362256	-0.1432897426	0.0384028863	0.1005597572	-0.0029794793	-0.0364961446	-0.0507946055	0.0379089903	-0.057239002	-0.0813442074	-0.0815213978	-0.0205873204	0.0740976527	0.0078449101	0.0994105941	-0.0117242719	-0.1504199769	0.0645259964	0.1142120884	0.1127290384	0.1102715368	-0.0757956999999999	-0.0021847999999998	4.773351039999517e-06	0.0057449881384899	-0.0933158	0.1645852	0.0270882880590399	0.00870783852964	-0.36469	0.078648	0.1329987961	0.006185507904	0.00333266	-0.00070689	1.11066226756e-05	4.996934721000005e-07	-0.00045876	-3.838700000000002e-05	1.4735617690000018e-09	2.1046073760000002e-07	0.000425886	-0.000215525	4.645102562500002e-08	1.81378884996e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
794.3757673819572	-1.2152010742362336	631032.8598036733	1.476713650824896	821.7300221663467	-1.48740123726634	675240.2293295045	2.2123624406214395	760.4058175292824	-1.7898947729445354	578217.0073323764	3.20372329821417	753.0481593574574	609.6803956874098	1.222817	33.757305	0.195603	0.109716	-0.088758295	-0.0018334929	-0.0710920021	0.0403466784	-0.0201202937	0.0907489482	-0.1847199342	-0.0743374389	0.1023404566	-0.0513951976	0.0949109894	0.0639724876	0.1285198177	-0.1347929183	-0.0280974411	0.0105730617	-0.0464192134	0.0075048192	0.1299119795	-0.0387678553	-0.0710064974	-0.0149451615	0.1174199946	0.0393681936	-0.1285876548	-0.0305702696	-0.0676894897	0.0214045031	0.0206409577	-0.0704610465	0.0193418259	0.0077089957	-0.1752000872	-0.0089948579	0.0985905259	-0.1162662994	-0.1072220012	-0.0408286977	0.1507926164	-0.030364582	-0.0858070001	0.031212725	0.0421105561	-0.0112366723	-0.1053614728	0.1495343182	-0.0260935011	-0.1063069151	-0.1015611515	0.1822208797	-0.0203044338	0.0393880136	-0.0092430607	-0.0648031018	0.0021032817	-0.1936572498	0.0661782302	-0.1123036151	-0.0278156313	0.0247300056	-0.0748272911	0.1807720726	-0.0255081277	0.0287867765	-0.105621463	-0.0224197347	-0.0492081351	0.0108624157	-0.066556453	-0.063089911	-0.0562176555	0.0828384496	0.0092979128	0.0315470776	-0.0151357521	-0.1070413986	0.0997127752	-0.0674318661	-0.0049479704	0.0044410908	0.0425929575	0.2158619701	-0.0052116524	-0.1240895442	0.041515843	-0.0158743173	0.0153149703	0.1729311622	-0.0516603954	-0.1114874645	0.0411056201	0.0788702129	0.1199001171	0.1238613451	-0.101107661	0.0772271616	-0.0727909706	-0.0473928925	-0.0180662392	0.1139675232	0.1117560484	0.1081019891	-0.0697943	0.0060013999999998	3.601680195999872e-05	0.00487124431249	-0.169882	-0.0765662	0.00586238298244	0.028859893924	-0.293475	0.071215	0.086127575625	0.005071576225	0.0029199	-0.0004127599999999	8.525816010000001e-06	1.703708175999999e-07	-0.000347905	0.0001108549999999	1.2288831024999996e-08	1.2103788902500001e-07	0.000738679	0.000312793	9.7839460849e-08	5.45646665041e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
793.9201925523121	-0.4555748296451156	630309.2721423003	0.2075484254061761	816.2279496118879	-5.502072554458778	666228.0657276266	30.27280239452854	759.3302524523139	-1.0755650769685872	576582.4322892947	1.1568402347944429	750.8618198017226	601.9575565641837	1.183222	32.664246	0.2008917	0.108936	0.0974907175	0.0491637161	0.015243757	0.0141874412	0.0350226691	-0.0472777056	-0.0994075951	-0.0666333803	-0.0128718713	0.0755144519	0.0878484725	-0.1399917743	0.0472687714	0.0585259458	0.0001855729	0.022807592	-0.0831543512	-0.0209076027	0.121215243	0.0410002817	-0.0340432821	-0.0985948875	0.0911224039	0.042325285	-0.0278898455	-0.0307930722	-0.1640133156	0.1138216917	0.0943536447	-0.0066031139	-0.0821829663	-0.1471962352	-0.010707259	-0.0550873508	0.0215415716	0.0108682574	-0.087886816	0.0691751839	-0.033067459	0.0737273885	0.1213912752	-0.01210244	-0.0677525108	-0.0454813673	-0.1173044713	-0.0270761077	-0.1647635062	0.0971028127	-0.0828332442	0.0252190585	0.0765667198	-0.0543985131	0.0189358283	-0.0618182924	-0.0448228984	0.1136247354	-0.1203343999	-0.0656401333	0.054643782	0.0715763146	-0.0101564618	0.0837649212	0.1279549457	0.0278225829	0.0388605257	-0.1386149536	0.0338350003	-0.0366680396	0.008977181	-0.0984634409	0.0181244772	0.0919048066	0.0674302247	0.0928041714	0.0077780469	0.0653616495	0.1236006456	0.190000965	0.1194960524	-0.0637864665	0.0649625721	0.0806522856	-0.0469903078	-0.0302585442	-0.1695259667	0.047332651	-0.0468043903	0.0513911271	0.0956929683	-0.0382466515	-0.0245621171	-0.0660844108	0.1486786659	-0.001069494	0.0589008855	0.1743932558	0.0787644822	-0.0006132648	-0.0231289458	0.1136742748	0.110592125	0.105516962	-0.0638967	0.0058976	3.478168576000003e-05	0.00408278827089	-0.106167	0.063715	0.004059601225	0.0112714318889999	-0.220161	0.0733139999999999	0.048470865921	0.0053749425959999	0.0029199	0.0	8.525816010000001e-06	0.0	-0.00116469	-0.0008167849999999	6.671377362249998e-07	1.3565027960999997e-06	0.000396162	-0.000342517	1.1731789528900001e-07	1.56944330244e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
794.0851159434089	0.1649233910968632	630571.1713628572	0.0271997249308889	822.0385282253508	5.810578613462894	675747.3418869008	33.762823823232374	759.7475634959832	0.417311043669315	577216.3602380829	0.1741485071683729	751.408486250202	601.364072077744	1.052958	29.06815	0.0921325999999999	0.0437906	-0.0442811578	0.036384087	0.0673863463	0.0660970429	-0.0227630545	-0.0043985041	0.012286751	0.0878285679	0.0241054161	-0.0502157862	0.0121877424	-0.1959705673	0.0512647479	-0.042290114	0.143703041	0.0182682401	-0.0666137429	-0.1213458474	0.1262712807	0.0086275775	-0.0383953082	-0.0553247451	0.0439566739	-0.1089493214	-0.0013516465	-0.0678256835	-0.0904091143	0.0797348614	0.1041977258	0.0677588202	-0.041620005	0.0221261855	0.0581829642	-0.0719693483	0.0002755599	-0.0479926876	-0.0264755962	-0.0507878318	0.024195462	-0.096661597	0.0364378997	-0.0842486428	0.0914659804	-0.0460871554	0.0284960012	-0.0166483002	0.0013095882	0.0100270541	-0.0667999662	0.036167763	0.0904429652	-0.3032065116	-0.0985275812	0.2069018824	0.1322360192	-0.0492070896	0.0292678501	-0.063439407	-0.0636528965	0.0083219803	0.1003747522	0.1509097931	0.0548673576	0.1703680179	-0.0491292282	0.0225676879	-0.0516743107	-0.0056812711	0.0074128294	-0.0267369757	0.0841980802	-0.0299610293	0.0622883137	0.1616731126	0.0160879616	0.051217635	0.0762592866	0.1197240436	-0.0025427406	-0.0132610878	0.0953430467	-0.095436514	-0.0398647452	-0.0659640435	0.1168495645	0.1536437363	-0.0808460778	0.1132392626	0.0327932297	-0.0228825864	-0.0471976209	-0.0102108613	0.1264485929	-0.0570456517	-0.0951683418	-0.196570744	-0.0991587518	0.1348103113	0.0664573446	0.1133324686	0.1092392569	0.1025263906	-0.0758067999999999	-0.0119100999999998	0.0001418504820099	0.0057466709262399	-0.113324	-0.0071569999999999	5.122264899999995e-05	0.0128423289759999	-0.245546	-0.0253849999999999	0.0602928381159999	0.0006443982249999	0.00329855	0.0003786499999999	1.08804321025e-05	1.4337582249999996e-07	-0.0008263269999999	0.000338363	1.144895197690676e-07	6.828163109288348e-07	0.000159565	-0.0002365969999999	5.5978140409e-08	2.5460989225e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
796.2371700750837	2.1520541316747317	633993.6310091778	4.631336985658281	830.3869694014521	8.348441176101346	689542.5189517281	69.69647007082443	762.1499269469871	2.402363451003908	580872.5111452978	5.771350150719403	754.4799969929932	594.3405242840829	1.198179	33.077152	0.1559346149999999	0.0952477	0.1193319476	0.0552990815	-0.034938641	0.1068252022	-0.0346900786	-0.0347045356	-0.0270303443	0.0448786205	0.0117426708	0.0334190252	0.0781208575	-0.0525950808	-0.0812083633	-0.056130976	-0.0235177106	0.1561546999	0.0137988577	-0.2157818986	-0.0674030971	0.02653763	-0.1060064835	0.0444008355	0.0342678206	-0.1028830997	0.0319209816	-0.1148172739	0.1790570964	0.1410968795	0.0127110763	-0.1742993268	-0.0684069014	-0.092021782	-0.0219645461	-0.2538136438	0.1116245445	0.0725355306	-0.1463758411	-0.0931262595	-0.0340605883	-0.0206485751	-0.1187462385	0.0218011346	-0.0130628035	-0.0878214341	0.0198865066	0.0793184112	-0.0769288515	-0.0145158485	-0.0598574532	0.0608306411	-0.0812578096	-0.013788545	0.0564603182	-0.1931356579	0.1496475686	0.1008187728	0.1180413367	0.0280955599	0.0149992647	-0.0351485678	0.0616234097	0.0254709341	0.1356843441	-0.0693569233	-0.0897691315	0.0162285302	0.0174950346	0.1879989887	0.0558377142	-0.0145880615	0.205006796	0.0027937219	-0.0469115836	-0.1207241714	-0.1217813663	-0.1161434336	0.0369240076	-0.0151547383	0.0277748804	-0.1113384437	0.0725363896	0.1031894761	0.1159839534	-0.0173618978	0.0830019011	0.1164790219	-0.155117721	0.04140386	-0.0591474685	0.0057446991	0.0944686647	-0.2093230486	0.0605773754	-0.0562927837	0.1174013657	0.058621492	-0.1666147064	-0.0140047533	0.0208824113	0.1129422506	0.1076997553	0.099141769	-0.0756685	0.0001382999999998	1.9126889999971467e-08	0.00572572189225	-0.0335065	0.0798174999999999	0.0063708333062499	0.00112268554225	-0.256663	-0.0111169999999999	0.0658758955689999	0.0001235876889999	0.00409764	0.0007990899999999	1.6790653569599997e-05	6.385448280999995e-07	-0.000500777	0.0003255499999999	1.059828024999349e-07	2.50777603729e-07	-1.30313e-05	-0.0001725963	2.9789482773690003e-08	1.6981477969e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
796.8640487503585	0.6268786752748383	634992.3121908137	0.3929768735143362	829.6168477605983	-0.7701216408538585	688264.1140882317	0.5930873417114394	764.4771646408514	2.3272376938642765	584425.3352573153	5.416035283742716	757.0070597069487	609.0270953798565	1.188291	32.804192	0.220465785	0.112079	0.081457823	0.0857984598	0.1573246825	0.0395834855	0.1019418696	0.0560961807	-0.0216884323	0.0996432442	-0.0016947569	0.0053516212	0.0371085155	-0.1407908094	0.0044722457	-0.0180927188	-0.1333904919	0.1525823714	0.0761693568	-0.2899605171	-0.1674919478	-0.0609516075	-0.2199171801	0.0945776752	0.0485242164	0.1577850265	0.187687109	-0.1091852068	0.1703412897	-0.02933365	-0.0267310621	0.0300810466	-0.1258977496	-0.0214735626	-0.0097709355	-0.0952951106	0.0071485815	0.1598071449	-0.0643677262	0.0805306282	-0.0820988824	-0.1201747923	0.0706332573	-0.0690354127	-0.0370442549	-0.0152977046	0.0180010216	-0.1065747361	-0.0153469348	-0.1092444674	0.1376755383	0.1090559284	-0.0018177136	-0.0400943065	0.0802651804	0.105116679	-0.1720504718	-0.0723414347	0.0108822458	0.0333921057	0.0844537438	-0.0837340131	0.0889986335	-0.0111745945	0.2253965252	-0.1452549981	0.0133058508	0.1940278186	0.1270236346	0.2279990351	0.0645254045	-0.1030787057	0.1467620744	0.0529150887	-0.0396922492	0.0691443648	-0.065833595	-0.2412443745	-0.0899847252	0.0498997426	0.0542434286	-0.222347897	-0.2187518163	0.0344395399	-0.0362281076	0.0329695199	0.0508019026	0.0156219541	-0.1324598772	-0.0495748532	0.0290963913	-0.1011062419	-0.0585785262	0.0511438356	-0.0708078207	0.0828027042	-0.0348178421	-0.0130616937	0.1128420287	-0.0948932418	-0.1142424267	0.1125037874	0.1059762505	0.0953761056	-0.0759093	-0.0002407999999999	5.7984639999999686e-08	0.00576222182649	0.047693	0.0811995	0.00659335880025	0.002274622249	-0.214788	0.0418749999999999	0.046133884944	0.0017535156249999	0.00403664	-6.099999999999942e-05	1.6294462489600003e-05	3.720999999999929e-09	-0.00141469	-0.0009139129999999	8.352369715689998e-07	2.0013477961e-06	-0.000981128	-0.0009680966999999	9.372112205508898e-07	9.62612152384e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
