global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
761.8328831511059	n/a	n/a	580389.3418503265	752.0196423343618	n/a	n/a	565533.5424567015	725.3822242750769	n/a	n/a	526179.3712942579	725.1969287653068	620.6052338672259	n/a	n/a	n/a	n/a	-0.0134189518	0.0664496869	-0.2832518268	0.3477544904	-0.1238205094	-0.2561560674	0.1070881565	-0.0359980454	0.0308243321	-0.1610351352	0.1015604735	-0.1995891482	0.1699631713	-0.1665412642	0.066302137	-0.2417715126	0.0762954955	0.1619171109	-0.1156170532	0.0788498211	-0.1339406132	0.084535979	-0.062055777	0.0481304964	0.0457079126	-0.0703486816	0.0141125202	-0.1276912477	0.0167510163	-0.0857042106	0.1533675339	-0.0015181241	0.1711475795	-0.036903314	0.1047393062	-0.0757272304	0.0516570676	-0.1285923833	0.0185663888	-0.072004717	0.0313589039	0.1064310319	-0.0667566857	0.0544937067	-0.0940699275	-0.0103386945	0.0595294777	0.0826724473	-0.0573824824	-0.0968069613	0.0509530769	0.0326409244	-0.1612352131	-0.0109155244	0.0422132313	0.0537024419	-0.1029440547	-0.1474905049	-0.1759002269	0.0947646144	0.047846102	0.0478294395	-0.0352072473	-0.0532746927	-0.1794935177	0.0191631451	0.0240921261	0.0973992137	0.2140862215	-0.1468471911	0.0171783599	-0.0625833732	0.0764288038	0.0806470547	-0.0095737751	0.0088712485	-0.0174227625	0.1663036375	-0.020673812	0.0769100656	-0.0963439514	0.1343122539	-0.0909807644	0.0179221278	-0.0426069493	0.0520722825	-0.0318441206	0.1795095643	-0.1594046347	0.0043201201	-0.0956166045	0.1602606312	-0.0084691519	-0.0300256699	0.0774667351	-0.1349363496	-0.083222406	0.0295519719	0.0114020343	-0.1166557195	0.0906994172	0.085734637	-0.1736916917	-0.0936001207	0.0885327697	0.040333982	-0.1694015621	-0.0362889994	0.0264228953	0.0039236298	0.0128743461	0.1552650249	-0.0213476787	-0.0316329365	-0.0358195256	0.0636199504	0.1493635152	-0.1479176596	-0.1529147563	0.0110541661	0.1147017419	0.1146833673	0.1146527451	-0.0955957	n/a	0.00913853785849	n/a	-0.147956	n/a	n/a	0.021890977936	-0.0625627	n/a	n/a	0.00391409143129	-0.000496863	n/a	n/a	2.46872840769e-07	0.000317758	n/a	n/a	1.0097014656400001e-07	-0.000180078	n/a	n/a	3.2428086084e-08
754.6064333921727	-7.226449758933199	52.2215761183857	569430.8693168556	737.5224659238532	-14.497176410508589	210.16812387740663	543939.3877424012	722.9109695852885	-2.4712546897883385	6.107099741800857	522600.26994674193	722.0278059412544	547.1516694111621	1.428105	32.7202	0.27238225	0.147244	0.2103183589	-0.0612564846	-0.0903936998	0.1233793951	-0.2928836496	-0.1842030116	-0.0950458167	0.0056261137	0.0452518231	0.0559858407	-0.0109324303	0.0492849819	0.0619857729	-0.0245502786	0.1390656257	-0.1052132082	-0.0510037017	0.0420169544	-0.2377219327	0.2320258416	-0.0200662279	0.0501937839	-0.1069990797	0.0312826688	-0.1642317214	0.0819282476	-0.0283457266	-0.0467481779	-0.0734587656	-0.0133898039	0.0235407152	-0.1167682996	-0.0142823455	0.1040372602	-0.0891578036	-0.0231092651	0.0762940881	-0.1019175198	0.0379970703	-0.1097934816	0.026640102	0.0147377866	0.0528575342	-0.075493738	0.0217859725	-0.0011507383	0.0849049848	0.0018302147	0.0841652863	-0.0833801004	0.0194709119	0.0551124705	-0.2587399319	-0.0062609559	0.1053584969	0.1131707456	0.0015850979	0.0237137881	0.0519639599	0.0567556985	-0.1159596669	-0.0780404732	0.0337502902	0.0119186332	-0.0036872834	-0.1156348858	-0.0161728948	-0.0644152729	0.1134167395	-0.287076309	0.0323762331	0.1384118107	0.0447100653	-0.0898255268	0.1373623189	0.0019754851	0.0044827543	0.0297869566	-0.1974671172	0.0574365498	-0.1084597627	-0.0209277475	-0.0187855368	0.0112743403	-0.1544084369	-0.1039299406	-0.0419960638	0.0982842158	0.1301327866	-0.1038348424	0.015266757	0.0437444449	0.0635400094	0.0775370992	-0.040798677	0.0671293105	-0.0683975648	-0.0112194989	-0.0244903411	0.0666596726	0.0017335107	0.1418549294	-0.1128023908	-0.0556133017	-0.0482075096	0.0503885761	0.0010888818	0.0823977318	-0.0686585308	-0.0287969939	0.1760078855	0.0422761755	-0.0185561849	-0.0854084372	-0.0053835329	-0.1524730524	0.0697382945	0.0002123252	-0.0379902316	-0.0406196081	0.1146527451	0.1144874327	0.1142120884	-0.0874642	0.0081315	0.00764998628164	6.612129225e-05	-0.0369998	0.1109562	0.01231127831844	0.00136898520004	0.0142195	0.0767822	0.0058955062368399	0.0002021941802499	-0.00161543	-0.001118567	1.251192133489e-06	2.6096140849e-06	0.00055761	0.000239852	5.7528981904000025e-08	3.109289121000001e-07	-0.000351906	-0.0001718279999999	2.9524861583999998e-08	1.2383783283599997e-07
754.0086570628871	-0.5977763292855798	0.3573365398541419	568529.0549257785	734.2640609648427	-3.2584049590105906	10.617202876904807	539143.7112245822	721.2212779467867	-1.689691638501813	2.8550578332229417	520160.13176319614	719.786227684062	524.9008359342696	1.034686	23.706335	0.1064076	0.0646004	0.2799656434	-0.1400420794	0.0124294544	-0.0116133478	-0.2730341451	-0.0283969477	-0.0846340495	0.0396478114	-0.0407435163	-0.0407541998	-0.0772590533	0.06933633	-0.1563258479	-0.0382084746	0.1200842987	-0.1099061376	0.1467377925	-0.1033409628	-0.1497129228	0.2012292898	0.009010757	0.1005355715	-0.0196381022	0.0549425647	-0.0173117099	0.1199216327	-0.0871252689	-0.0811814777	0.0465343328	-0.0428279335	-0.0413371335	-0.0250881862	-0.0396274036	0.1253679436	0.0432227366	0.1709076604	-0.0004689912	-0.083301278	0.0217454912	0.1019265943	0.1364312992	-0.0546350151	0.038919137	-0.0627002428	-0.0158694558	0.0044515173	0.1011261318	-0.0159119965	-0.091643971	0.0171429997	0.027022494	-0.1075761239	0.0322372048	0.1083764831	-0.1551103515	-0.1194788167	0.0755670797	0.1251048937	-0.0823970522	-0.0357692629	0.1076270441	0.0982605435	-0.0220828371	0.1159418456	0.0509778747	0.0810667484	-0.1488489449	-0.093360897	-0.0355771052	-0.2198867163	0.038549672	0.1620723859	0.0726968355	-0.1586200676	-0.0514513666	0.0273758777	-0.0794929677	0.0406124609	-0.1898839407	-0.1242827543	0.180247633	-0.0239436299	-0.1590519879	0.0081264159	0.0480957343	-0.0398510779	-0.0077919201	0.0386652379	-0.0105267103	-0.2497158641	0.0731801785	0.0088101763	0.0692105313	-0.0530033399	0.0443978386	0.1424945916	0.0303593506	-0.001315251	-0.1152996296	-0.008138289	0.0445613732	-0.0664279034	-0.0318421083	0.0930404075	0.0306825083	0.010523915	0.0550295128	0.0067771826	0.0623281016	-0.0256932301	-0.0194641631	-0.1658552066	0.036164769	0.0350590464	-0.0651448086	-0.0261893955	0.0321813884	0.1108164183	0.0517708516	-0.1369911131	0.1145547726	0.1140958982	0.1133324686	-0.0879572	-0.0004929999999999	0.0077364690318399	2.430489999999935e-07	0.0228313	0.0598311	0.0035797605272099	0.0005212682596899	0.0239443	0.0097248	9.457173504000004e-05	0.00057332950249	-0.00207195	-0.0004565199999999	2.0841051040000003e-07	4.2929768025e-06	0.000828264	0.0002706539999999	7.325358771599998e-08	6.86021253696e-07	-0.000351906	0.0	0.0	1.2383783283599997e-07
758.6396922844519	4.631035221564844	21.44648722337414	575534.1827094479	734.3914710713776	0.1274101065349668	0.0162333352472516	539330.832782382	721.3037684649762	0.0824905181895019	0.0068046855911725	520279.126401776	720.0649309962072	531.3957250637634	1.175164	26.924919	0.2020738499999999	0.13984	0.2304025679	0.0174617777	0.1099459413	-0.0890203346	-0.2001776545	0.1403267094	-0.024731235	0.0903946449	-0.1200759467	0.0230925568	0.0562345359	0.0641413498	-0.0356939927	0.1381582631	-0.1761174826	-0.1706515493	0.0704624516	-0.1305406262	0.1361626465	0.1359464142	-0.0892227701	0.0808115526	-0.1056944262	0.1316047687	0.0190775084	-0.0465032512	0.1041588972	0.0428460191	0.0263364532	-0.040679898	-0.0552589448	0.0914450981	0.0043062556	0.0071999399	0.0725088096	0.0412403819	0.0192093008	0.1149809416	0.0663761894	0.0348264928	0.1403869297	0.0777015604	0.0340942596	0.0974198563	0.1072939818	-0.0118495775	0.1110568831	0.0154039253	-0.129720035	0.0542964208	-0.012390895	-0.0927062864	0.0201970125	0.1601997839	-0.0514329173	-0.0446602069	-0.0935261789	0.1054260585	0.002055168	0.0345716041	0.0736897389	0.0351339074	0.0346628811	-0.0096162436	0.1821061753	-0.0309213736	0.041887929	-0.0096130249	-0.110829207	0.0344256072	0.1927238631	0.0509811366	0.199747678	-0.0971595313	0.0898764548	0.2389630194	-0.0006647847	0.0162857668	0.0135665718	0.0286974177	0.0369616421	-0.0254976817	-0.0130519265	-0.0447257538	0.1293895259	0.0333981445	-0.0305993234	-0.0619530196	-0.0677497795	-0.0055111422	-0.0215988516	0.1102670936	0.0608268952	-0.1152226025	0.0226862988	0.0571422989	0.1209857333	0.1017652729	0.0510579538	0.0605353888	0.0600406772	0.0041833276	0.0958758908	0.1443057248	0.0254530552	0.0334715801	0.0201932111	0.0633842579	0.0995399616	0.0630053275	0.0537464794	0.05455182	-0.1860287023	0.0084429416	-0.0633301902	0.0300350609	-0.0855883665	0.1397309974	-0.116554338	0.114508717	0.1144078661	0.1135094328	0.1120172664	-0.0798596	0.0080975999999999	0.00637755571216	6.557112575999995e-05	0.152623	0.1297917	0.01684588538889	0.023293780129	-0.0131713	-0.0371156	0.00137756776336	0.00017348314369	-0.00174153	0.0003304199999999	1.0917737639999993e-07	3.0329267409000003e-06	0.000772792	-5.547199999999999e-05	3.077142783999998e-09	5.97207475264e-07	-0.000196419	0.0001554869999999	2.417620716899999e-08	3.8580423561000004e-08
763.7120469804391	5.072354695987201	25.72878216190341	583256.0907030525	736.3839455530326	1.9924744816549944	3.96995456004634	542261.3152682517	721.7610086028183	0.4572401378420636	0.2090685436538293	520938.9535393575	720.198057471748	558.0515524187546	1.159439	26.564642	0.2723393	0.219759	0.1309425484	0.0960414649	0.0091084369	-0.1540456133	-0.0870966826	0.2851721557	0.0225122929	0.1132532515	-0.0590675716	-0.1539327978	0.006937831	-0.1358115277	0.0643632104	-0.0661768375	-0.0947705885	-0.0224564349	-0.0388130911	-0.1260179055	0.0195421986	-0.1318209837	-0.1375268709	-0.1018056992	-0.1338130579	0.0204246011	0.0274082945	-0.0252672545	-0.1878049515	-0.0424122557	0.0007560791	-0.0581267235	-0.0137458585	-0.0078550572	-0.044205118	0.0408926849	-0.1062904964	0.0494003451	0.0171518275	-0.0177145698	-0.0669259354	0.057759211	-0.0814962066	0.0122963311	-0.1434064068	0.0592220744	0.048987049	0.0528389749	0.0464234687	0.0285821046	0.1370898115	0.0647876381	-0.0238573723	-0.1380277393	-0.0913444575	-0.0470107805	-0.0921416387	-0.1710975039	0.0141754519	-0.1564492266	-0.0004327433	-0.0548210571	-0.0378419477	-0.0188228354	-0.1540053857	-0.0426843764	0.2781856391	0.0510753872	-0.0653989691	-0.0382165558	-0.1972984728	0.0572304972	-0.0814179903	-0.1536004619	0.1793387909	-0.0174772752	0.0180740849	-0.0082248514	0.083543813	0.1439979051	0.0465079715	-0.1070045927	0.0618857007	-0.1592152944	0.0204594446	0.025274825	-0.1005144644	-0.0026803166	-0.0319192262	0.0551835628	-0.0110505698	-0.0270631147	0.0590426133	0.110472621	-0.0343085496	0.0404103447	-0.0711680007	0.081953053	-0.131719501	-0.0627489383	0.0113925034	-0.0682733055	0.0274934432	0.0146073873	-0.0795809724	-0.0157173595	0.0213909817	-0.2143971926	0.0586028094	-0.0119266443	-0.1340444283	0.1835128212	0.0223000974	0.076005636	0.0225029103	-0.0042356668	0.0273357347	-0.0243702561	-0.0745010386	0.1032329508	0.0309853261	0.0649586757	0.1142120884	0.1127290384	0.1102715368	-0.0641974	0.0156622	0.00412130616676	0.00024530450884	-0.0640172	-0.2166402	0.04693297625604	0.0040982018958399	-0.0202857	-0.0071144	5.061468736e-05	0.00041150962449	-0.00192007	-0.00017854	3.187653160000001e-08	3.6866688049e-06	0.000312176	-0.000460616	2.1216709945600001e-07	9.745385497600001e-08	-0.000177125	1.9293999999999995e-05	3.7225843599999976e-10	3.1373265625e-08
762.8382457020899	-0.8738012783492195	0.7635286740447301	581922.1891058421	742.9970152108608	6.613069657828191	43.732690299287874	552044.5646122481	722.3262070866521	0.5651984838337967	0.3194493261280225	521755.149444189	720.8676933224442	571.0174790073632	1.025611	23.498426	0.07576775	0.0376081	0.0865978062	0.085501659	-0.052780975	-0.0619037554	-0.0460136839	0.1365613131	-0.0008811957	0.0433328293	0.0495090427	-0.093170486	-0.0648656639	-0.1680958456	0.0322884778	-0.0354273074	-0.0692187889	0.0064277312	0.0058101003	-0.0698012355	-0.1352377379	-0.0607256489	-0.0630867396	-0.0201679721	0.0026728319	0.0648568614	0.0228129005	-0.0469319402	-0.0460169658	0.0829075892	0.0513411461	0.1411794845	0.0181492259	0.1032123749	-0.1121787651	0.0306180925	-0.1047492387	-0.0883297815	-0.0527301205	0.0351254502	-0.137946412	0.0592653656	0.0424687882	-0.081994722	-0.0054190219	0.0973195403	0.1050024126	-0.0786192905	0.0035518036	0.0108163695	-0.054424595	0.0056642014	0.0587444363	0.0677458504	0.0444858373	0.0075944972	0.0072939435	0.0721375976	0.0724769201	-0.1145583859	-0.0163012659	-0.0550885006	-0.0634099002	0.1756500097	-0.1480531454	-0.095114916	-0.0777452727	-0.0366567223	0.1000546354	0.0205557159	-0.1103867928	-0.0977048545	-0.113406283	-0.0867855534	0.0652719067	-0.0079400782	0.0587195325	-0.0180907975	0.005340801	-0.0540504153	0.1656776536	-0.1001773136	0.0195023038	0.0419635792	0.065553086	0.0632123815	-0.0345234779	0.0513820232	0.0313058127	-0.0610999999	0.082272709	0.1083147728	-0.0327108363	0.1380497649	0.1545713847	0.0692157776	-0.1001954034	-0.0021065431	0.0954909816	-0.0838584123	0.1025636356	0.0574788733	0.1181602881	0.0642310434	-0.0437226299	0.0012091638	-0.0643477445	0.02481319	0.0084591082	0.0227172304	0.0008435474	-0.1215032054	-0.2867861954	-0.0655491658	0.0703290922	-0.0102651662	0.0647219671	-0.0001464439	0.0591540208	-0.1824179741	0.0456494477	0.1065717504	0.1139675232	0.1117560484	0.1081019891	-0.0565888	0.0076086	0.00320229228544	5.789079396e-05	-0.0381078	0.0259094	0.0006712970083599	0.0014522044208399	-0.0195273	0.0007583999999999	5.75170559999999e-07	0.00038131544529	-0.0015772	0.00034287	1.1755983690000009e-07	2.48755984e-06	-0.0	-0.000312176	9.745385497600001e-08	0.0	-0.000351906	-0.0001747809999999	3.0548397960999994e-08	1.2383783283599997e-07
762.072446510112	-0.7657991919779761	0.5864484024341211	580754.4137299075	746.499516486199	3.5025012753382043	12.267515183745749	557261.5281141289	724.3087074919653	1.9825004053132036	3.930307857067016	524623.1037486813	723.1265613036575	563.0940664283922	0.959595	21.985893	0.1118023999999999	0.0747835	0.118044461	0.0741278176	-0.0297186396	-0.0179789377	-0.0398699154	0.0231927882	0.0159802445	-0.0799790648	-0.1079524145	-0.0403737773	-0.1568371862	-0.0207616888	-0.1626553669	0.0252664706	0.104960166	0.1530455719	0.0526362161	0.0668481074	-0.1172598494	-0.050299508	0.0710340952	0.1012115372	0.0079974963	-0.0362244301	0.0141042262	0.0089415209	-0.1401460459	0.0885040517	0.046502536	-0.0352966027	-0.0633149861	0.0106446875	0.0112212674	-0.1036360595	0.0494672258	-0.016771835	-0.0209981131	0.147864295	-0.0217138444	0.0285120887	-0.124761564	0.0808477655	-0.1315698782	0.148745381	0.0938852728	-0.0539796972	0.0155217679	0.0759119884	0.0699635846	0.0769057928	0.1641097736	0.1157508137	-0.0086798032	0.1124299584	-0.0338480004	-0.114512086	-0.0343768606	-0.0965599225	0.0412920351	-0.0654207404	0.0679991959	-0.0433824439	0.042775649	-0.0402277325	-0.0927234657	-0.0162656497	0.1644421963	-0.0449044407	0.050279594	-0.0834119782	-0.0478015296	0.0291149051	-0.00179494	0.0647504521	-0.0918455539	0.0353253648	-0.0709300982	-0.0443052881	0.1285446796	-0.1859613146	-0.0011210388	-0.0690776309	-0.0249084719	-0.001377275	0.0387143402	-0.0568438169	0.0225727188	-0.0243604239	-0.0550915614	0.2596745804	0.0221427996	-0.0336608617	-0.0517276614	-0.0577016125	-0.012587895	-0.0937730365	0.0647506759	-0.0372469902	0.1229966579	-0.1002581725	0.0911688048	0.069148416	-0.115750404	-0.0531002022	-0.1030032868	-0.0001328644	0.0840459501	-0.0017305334	0.069228843	0.1316455086	-0.0183855117	-0.0027963873	0.0112697292	-0.07991305	-0.0340417039	-0.0767090435	-0.1705201822	-0.1365147898	0.0224321356	-0.0476057791	0.1136742748	0.110592125	0.105516962	-0.048569	0.0080198	0.002358947761	6.431719204e-05	0.0323551	0.0704629	0.00496502027641	0.0010468524960099	-0.0129571	0.0065702	4.3167528040000026e-05	0.0001678864404099	-0.0015573	1.99e-05	3.960099999999999e-10	2.42518329e-06	0.000429856	0.000429856	1.84776180736e-07	1.84776180736e-07	-0.000266672	8.523399999999995e-05	7.264834755999991e-09	7.111395558400001e-08
765.4051231270078	3.33267661689581	11.106733432804102	585845.0025090699	751.0242349188775	4.524718432678469	20.473076895020306	564037.4014354852	724.6091301417487	0.3004226497833997	0.0902537685028792	525058.3914847816	723.9091742823077	573.7716862250304	0.994623	22.788439	0.12250765	0.0732754999999999	0.0912240901	0.089595257	-0.027890459	-0.0701936871	-0.0315185925	-0.0195224937	0.0248743984	-0.10156433	-0.1388719145	-0.0146233001	0.0264815173	0.0277962823	-0.1309621318	0.137282561	0.0300228825	0.004409189	-0.0277855796	0.0555893239	0.0927555374	0.1118051679	-0.030900939	0.0347746662	0.1495750438	-0.0037253815	-0.0073592631	0.0573410641	-0.0793709951	0.137831561	0.0870396978	-0.1088257138	0.0410433646	-0.1043019852	0.0892466569	0.0146242772	0.0092333412	0.0170382616	0.1383964839	0.2124620424	0.0804602723	-0.0152757837	-0.0485813786	-0.1262231126	0.0387484272	-0.0775049628	-0.2030106874	0.0230602765	0.0560578412	-0.004309344	-0.0963433854	0.1249946323	-0.0641268863	-0.0073815976	-0.0084129537	0.10892588	-0.1363205203	0.0940957133	-0.1162788239	-0.118944975	0.0455745086	-0.0192093497	0.0891351502	-0.0779540901	-0.0128048785	0.0201969414	-0.0629908754	0.0928951728	-0.0522537764	0.0621251036	0.0988706567	0.0064033119	0.1446044081	0.0456171142	0.0586314586	0.0203599915	-0.05639853	0.0535990594	0.0108605485	-0.1020486862	0.0497486468	0.0862062364	-0.0747912306	0.0288009759	-0.0581997572	0.1332170968	-0.0294108902	-0.0654460804	0.0457753813	-0.0676605997	-0.050338978	0.0683713641	-0.0223831111	-0.1749284995	-0.0807341456	-0.2042996055	-0.1522189856	0.1467087922	0.0141347484	0.1188535581	0.064438701	-0.012906922	0.0881584121	-0.0074068505	-0.0199400922	0.0578112282	0.0117470777	0.0688704099	-0.1508382378	-0.049572288	-0.0867324414	0.1530619387	0.057645753	-0.0452227759	-0.0553113658	0.0618625282	-0.0442186014	0.0573155683	-5.76391e-05	0.0329736887	0.0491365347	0.0595944899	0.1133324686	0.1092392569	0.1025263906	-0.0399469	0.0086221	0.00159575481961	7.434060841000002e-05	0.0942353	0.0618801999999999	0.0038291591520399	0.0088802917660899	-0.0523236	-0.0393665	0.00154972132225	0.0027377591169599	-0.00157565	-1.8350000000000094e-05	3.3672250000000344e-10	2.4826729225000004e-06	0.00033113	-9.8726e-05	9.746823075999996e-09	1.0964707690000001e-07	-0.000402373	-0.0001357009999999	1.8414761400999992e-08	1.61904031129e-07
767.1305617450854	1.7254386180776464	2.977138424753698	588489.2987633303	749.2021937961647	-1.8220411227127895	3.3198338528564832	561303.9271889859	723.1013777335181	-1.5077524082305445	2.2733173245250065	522875.60248011205	722.0425440011705	585.1497258490543	1.029716	23.592461	0.21689775	0.162391	0.0244001095	0.0510117259	-0.010867711	-0.0885971798	-0.0197272181	0.0707311034	0.0280963374	-0.0803992915	0.0017237338	-0.0776588161	-0.0105439061	0.068384611	0.009773815	0.0660335067	0.0723797378	0.1702034957	-0.1648365286	-0.0210376015	-0.003726495	-0.0270172266	-0.0720642903	0.111589761	0.0593058956	0.0427134568	0.0075786592	-0.0820755977	0.198270428	0.0318132688	-0.0754362927	-0.0547234756	-0.1762825598	0.0888055052	-0.0770082335	-0.002960839	0.0312911831	-0.0671951645	-0.0394125297	-0.003340966	0.1949457481	0.0409978325	-0.0826741541	-0.1265992046	0.1190923934	-0.0056301154	0.0223092642	-0.0064798065	-0.1052774793	0.0749458598	-0.0583869139	0.1565993384	-0.0337206264	-0.0039540113	0.0044239856	-0.0332215779	0.0662430905	0.0153848945	0.0221819999	-0.0475022356	0.0749262993	0.0155478459	0.0034754644	-0.0732003336	-0.0857350818	-0.0707461713	-0.0542700378	-0.0633958019	0.0601763766	-0.1033286368	-0.0337039189	-0.0385116118	-0.0213199347	-0.0172227487	0.0414012672	0.0833970346	0.0006443112	0.0271522408	-0.0012583736	-0.0390505329	-0.0029012805	0.1012162747	0.0442057885	-0.1102557581	0.0152271894	-0.1368153263	0.144278777	0.118924581	-0.0680404156	-0.0677950355	-0.0175086544	-0.0280142113	0.0681217617	-0.1808840997	0.109721257	0.0377504517	0.068880346	0.0042823044	0.0834359008	-0.0439057857	0.1238492646	0.0530275769	-0.0779511629	-0.0437374081	0.0590647293	-0.0371512029	0.0150442536	0.0164848681	-0.0841130901	-0.0633183276	-0.0372206761	-0.0282911678	-0.0154770449	-0.0399671605	0.0025202097	-0.0191017186	0.0402370594	-0.0328120087	-0.0615366265	-0.1774528346	-0.0517601102	-0.0161208048	0.1129422506	0.1076997553	0.099141769	-0.0317695	0.0081774	0.00100930113025	6.686987076000002e-05	-0.065734	-0.1599692999999999	0.0255901769424899	0.004320958756	-0.0283972	0.0239263999999999	0.0005724726169599	0.00080640096784	-0.00150279	7.286000000000011e-05	5.308579600000016e-09	2.2583777841e-06	5.293960000000001e-23	-0.00033113	1.0964707690000001e-07	2.802601248160001e-45	-0.00030987	9.250299999999996e-05	8.556805008999994e-09	9.60194169e-08
764.7256011559722	-2.404960589113216	5.783835435187787	584805.245063363	745.6024114575202	-3.599782338644445	12.958432885616473	555922.9559712693	721.4104239005129	-1.69095383300521	2.859324865355012	520432.9997123177	720.2172536114796	593.2420161828408	0.935282	21.428822	0.129382345	0.0834308	-0.0073440587	0.0419317593	-0.0649762569	-0.0349273286	-0.0369601491	0.0576201563	-0.0234180606	-0.0369364089	0.0317256257	-0.0608925411	-0.150772207	0.0843361073	0.1872720338	-0.0685779712	-0.0142419306	0.2238710948	-0.1270122507	-0.1072064507	-0.1367262772	-0.0956994814	-0.051883424	-0.0225604621	0.0603814351	-0.0923507952	-0.0371938329	0.1217795123	0.0530868411	-0.1093635042	-0.0059027329	-0.0164036188	-0.0346789406	0.0390644348	-0.060122337	0.0178180186	-0.017516625	-0.123162274	0.0645025495	-0.0383249104	0.1250501249	-0.1149432581	-0.0651565046	0.0030212097	-0.0973371288	0.0072752917	-0.0208942072	0.070185346	-0.0444231783	0.0137769824	-0.0296828434	-0.0720558904	0.0892353581	0.1234289862	0.0803832774	-0.0280127984	-0.0567110096	0.0099408454	-0.0710326969	-0.0995079514	0.021511154	0.0641993346	-0.2018032803	0.0043277886	0.0841489708	-0.068752189	0.020682029	0.0565394644	0.0308127521	0.1065089822	-0.1148401063	-0.1126442269	-0.0647331283	-0.0826394621	0.0311690694	0.0300680225	-0.0669117908	-0.1229246718	0.0114593604	-0.0265685323	-0.1570070734	-0.0306853287	-0.1085344859	0.0881478366	0.0987434643	-0.0512473901	-0.0847891758	0.0144936638	0.0439124948	-0.0485849709	-0.0991279095	0.1268050323	-0.0642876801	-0.137946183	0.0479449957	0.0292236617	0.0774192644	-0.1284063668	0.083643861	-0.1071914242	0.0338386856	-0.0823603493	0.0355679794	-0.0356929802	0.1436755828	0.0581089482	0.1145050366	0.0465232234	0.0079172432	0.0316051242	-0.0769602918	-0.0575156882	0.0426097675	-0.0038744574	0.0238165148	-0.0604706695	0.0445917298	0.0602920442	-0.0650121105	0.1430104974	-0.0354984857	-0.1041724663	0.1125037874	0.1059762505	0.0953761056	-0.0197051	0.0120644	0.00038829096601	0.0001455497473599	0.013174	0.078908	0.006226472464	0.000173554276	-0.0130805	0.0153167	0.00023460129889	0.00017109948025	-0.00175054	-0.00024775	6.138006250000008e-08	3.0643902916000003e-06	-5.7062000000000006e-24	-5.864580000000001e-23	3.439329857640001e-45	3.2560718440000006e-47	-9.57551e-05	0.0002141149	4.5845190402010015e-08	9.16903917601e-09
