global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
787.3274091832843	n/a	n/a	619884.4492512628	760.5745915417475	n/a	578473.709298896	n/a	737.7826864826711	n/a	544323.2924735874	n/a	723.1318859571157	654.0982737233936	n/a	n/a	n/a	n/a	-0.0121788028	-0.0819325867	-0.1041622352	-0.0568309116	0.0171954236	-0.0617595282	0.0042910482	-0.0167510747	0.0049699266	-0.1019978396	0.0622280192	0.0364903086	-0.0122336167	0.0081715651	-0.0062811286	0.0338606619	-0.0361224395	0.2709958502	-0.1027387921	0.0876750748	-0.0136891033	0.0544961013	-0.0883958268	0.0508564071	-0.0395412493	0.0297256992	-0.1170105447	0.0599501837	-0.1152523056	0.001729289	-0.014048282	0.1145939503	-0.0145707478	0.0247065849	-0.1733576469	0.1036583844	-0.082686048	0.025834272	0.0175203372	0.1994387335	-0.0617866355	0.0021924196	0.0588225558	-0.0385105499	-0.0210823987	0.065256838	0.0248721112	-0.117949279	-0.0478217065	-0.0490666149	0.0154330993	0.1115621573	-0.0429889444	-0.0370947015	-0.0512159686	0.021017098	0.0265608435	0.0278174608	-0.0592150229	-0.0273557459	-0.0270525873	0.0495135739	-0.0144992226	0.0345797996	-0.0212590486	0.0338826878	0.0044053761	-0.1510454487	0.2593947337	-0.0486570603	0.1029641332	-0.0206619763	-0.0800985475	0.0461026888	-0.0421892704	0.0220694477	-0.0612468749	0.1217607612	-0.072147146	0.0072448417	-0.0696805165	0.0077793204	-0.0142321238	0.1387679714	-0.0501220098	0.027076076	-0.123267659	0.0786254148	-0.0650258658	0.0218224399	0.1825123335	-0.0585617617	-0.040460902	0.0802043842	-0.077643253	-0.1036732322	0.0013627702	0.0010525544	0.0214911431	0.0591964477	-0.1647433988	-0.0533196978	0.1380061897	0.0079469	0.0149285501	0.0736632386	0.1147017419	0.1146833673	0.1146527451	-0.0112791	n/a	0.00012721809681	n/a	-0.120406	n/a	0.014497604836	n/a	-0.11412	n/a	0.0130233744	n/a	0.000497197	n/a	2.47204856809e-07	n/a	0.000933374	n/a	8.711870238760001e-07	n/a	0.0	n/a	0.0	n/a	0.0
785.9187271543392	-1.4086820289451225	1.984385058672947	617668.2456918966	759.4327200659635	-1.1418714757840007	576738.0563067881	1.3038704672091317	737.6443246371842	-0.1383618454868838	544119.1496694477	0.0191440002865363	723.0642061569456	648.3321280061147	0.8729179999999999	18.753235	0.0400863	0.021228	0.0033325491	-0.0963992566	-0.0714732032	-0.0501456628	0.0012304272	-0.0536179404	0.0795236177	0.0314564387	-0.1172818943	-0.107155041	-0.0719508133	0.0666605964	-0.0448049489	0.0014069355	0.0069378191	-0.0219809096	-0.0523615563	0.1644237619	-0.0566483941	-0.1145963301	-0.0110344805	0.1354929751	-0.2173696392	0.0766231294	0.0407433348	0.0669527614	-0.0744062171	-0.001047101	-0.0259753984	0.016344229	-0.0290412587	-0.0562526799	-0.0245985822	-0.0790583935	0.0404920229	0.0409350887	-0.1096527489	-0.0316215592	-0.0460138173	0.112956165	0.0105497336	0.0834113117	-0.0049817464	0.0716574837	-0.0177572739	0.1163658525	-0.0955367058	-0.0133294998	0.2196608057	-0.0097465985	0.0490229315	-0.0339159143	0.0119907899	0.0526670982	0.0382305701	0.0402605999	0.0463578821	-0.0400304333	-0.0445273864	-0.0797209528	-0.0425994806	0.0664384107	0.0051323246	0.0340486444	0.0368012378	0.0594194464	-0.0019225056	-0.1183573973	0.1818608903	-0.0176306368	0.1095050066	0.0547388008	0.0560499421	-0.0985455001	-0.00657167	0.147765076	0.0499602058	-0.0213936176	-0.0902337921	-0.0634616753	-0.1043397166	-0.0634278238	-0.0473951234	-0.0197553306	-0.0079371153	0.0180762839	-0.0509917987	-0.0495020961	-0.0541511668	-0.0680386671	0.0184663061	-0.0594516256	-0.0664222782	0.0045392253	-0.0384123207	-0.0587410474	0.0052237882	0.0937989012	0.0807764638	-0.1342961594	-0.0132807736	0.052504158	-0.0261578576	-0.0231898027	0.1384166746	-0.1032967212	0.1146527451	0.1144874327	0.1142120884	-0.01668	-0.0054009	0.0002782224	2.916972081e-05	-0.136848	-0.016442	0.018727375104	0.0002703393639999	-0.118956	-0.004836	0.014150529936	2.3386896000000068e-05	0.000560894	6.369700000000004e-05	3.1460207923600005e-07	4.057307809000005e-09	0.000728923	-0.000204451	5.313287399290001e-07	4.1800211401000017e-08	0.0	0.0	0.0	0.0	0.0
785.222223581864	-0.6965035724751942	0.4851172264707081	616573.9404068468	758.8096728414636	-0.6230472244999419	575792.119597769	0.3881878439570809	737.7219646210241	0.0776399838398447	544233.6970843035	0.0060279670906513	723.2533995487609	641.7654413417335	0.820337	17.623621	0.08933645	0.0463655	0.0153544268	-0.117885456	-0.0313242252	-0.0240605374	0.0302503085	0.0071317915	0.0734484392	0.0079885232	0.0658661738	-0.0090675275	-0.0740092753	0.0722159668	-0.0182593475	0.0361743916	0.0721747613	-0.0671723184	-0.0502860777	0.1618530142	-0.0382452505	-0.0621822301	-0.01029652	0.0080919923	-0.1782739114	-0.0571245373	0.0218029185	0.0479381446	-0.0154803648	0.0652327888	-0.0141484554	-0.0274697695	0.17187013	0.09161942	0.0366409952	0.2015137984	-0.0047219188	-0.1079760089	-0.0348320583	-0.0838873408	-0.0596952704	0.0602671076	-0.0829409506	0.038690245	-0.0992021737	-0.0438502929	0.027152144	0.0113056829	0.0081855561	0.1464907768	-0.0177219214	0.0299690512	0.0519322061	-0.0075518926	-0.0264150964	-0.0283731129	-0.0175806615	-0.0020621312	0.1151372411	0.0450941619	0.0416290754	-0.0021756776	-0.0589174187	0.0293156764	-0.0417019975	-0.0343630997	0.0330970352	0.0182105826	0.0853826289	-0.1044090084	0.1434145303	0.0776671477	0.0906583594	-0.0439443081	-0.0867523918	-0.1794727909	-0.0574463167	-0.013287284	-0.0391761638	0.0254475071	-0.1391365832	-0.0137931055	0.0589436141	0.0041647065	0.0045325287	-0.0092263923	0.061676188	0.0648281639	-0.0926682047	-0.0408950106	0.006658905	0.0656141007	-0.0289991433	0.059335468	0.2016299855	0.0481599136	-0.0100897435	-0.0667799744	-0.2125665268	-0.0009299723	-0.0339198649	-0.1171027917	0.0123336738	-0.0486933998	-0.0414217984	0.0221082814	0.0574778645	0.0228197163	0.1145547726	0.1140958982	0.1133324686	-0.0145379	0.0021421	0.0002113505364099	4.588592410000004e-06	-0.115621	0.0212269999999999	0.013368215641	0.0004505855289999	-0.100926	0.01803	0.010186057476	0.0003250809	-0.00012842	-0.000689314	1.64916964e-08	4.75153790596e-07	0.000863803	0.0001348799999999	7.46155622809e-07	1.81926144e-08	0.000134553	0.000134553	1.8104509809000005e-08	1.8104509809000005e-08	0.0
785.9767867877401	0.7545632058761385	0.5693656316620757	617759.5093691808	756.8156926615841	-1.993980179879486	572769.9926588333	3.975956957752228	737.5048388605027	-0.2171257605214123	543913.387342656	0.0471435958820016	722.9377232922411	648.972826692691	0.87161	18.725143	0.0736715	0.0394574	0.013252532	-0.1454073844	-0.0099071568	-0.0072755469	0.0466815404	-0.0206495555	0.0447220401	-0.0618679682	-0.0431467796	0.0048066324	-0.0841607211	0.0920473626	-0.0672782676	-0.0542502654	0.0040722291	0.0116918773	-0.0744359174	0.2452678667	-0.0746286242	0.0812934549	0.0758398698	0.0636262775	0.0568935314	0.0112773911	-0.0994967001	-0.1526912138	0.0208566966	-0.0668221734	0.2449437833	-0.0025092472	0.0321147544	0.1366349116	-0.0502015572	-0.0208172974	0.1476354741	-0.0480080511	-0.0774908951	-0.008986262	-0.0052762065	0.0438775078	-0.0739567524	0.0273553922	-0.0467102307	0.022476112	0.0995260138	-0.1373641451	-0.0012303505	0.0453735234	-0.1535266084	-0.0258948087	-0.017291155	-0.0323274402	-0.0914930598	0.0398508704	0.0104733376	0.087634303	-0.0402888735	-0.1097923312	-0.1234476911	0.0239681755	-0.0666294616	0.0645978574	0.0424253666	0.0241548097	0.0145039561	0.0319146485	0.0468416703	-0.112055138	0.1773452382	-0.0065442508	0.1910440111	0.0287233268	-0.1732163862	0.1317071943	-0.0204369525	-0.0162428515	0.0877456558	-0.0712761012	0.1018176217	-0.045159981	0.1542437364	-0.0258958015	0.0148143054	0.0256872398	2.65552e-05	-0.0306598038	0.1364997204	-0.014476369	0.0434828051	0.0682926304	0.1067402542	0.0702777489	-0.02709565	0.1005341666	0.1557986043	0.0383743659	-0.0898353884	-0.0060168832	-0.0185464236	-0.0217366051	-0.0839179428	-0.0993994169	-0.0897667482	-0.040806872	0.0003865954	0.0568610512	0.1144078661	0.1135094328	0.1120172664	-0.0135979	0.0009399999999999	0.00018490288441	8.835999999999998e-07	-0.110884	0.004737	0.012295261456	2.243916900000005e-05	-0.111605	-0.0106789999999999	0.012455676025	0.0001140410409999	0.000526724	0.000655144	2.77438172176e-07	4.2921366073600006e-07	0.000602252	-0.000261551	3.6270747150400004e-07	6.840892560100003e-08	0.000364168	0.000229615	1.32618332224e-07	5.272304822499999e-08	0.0
786.0010664090968	0.0242796213566407	0.0005895000132218	617797.6763962373	754.5952688475901	-2.220423813993989	569414.0197671668	4.930281913751612	737.5657677621066	0.0609289016039156	544003.2617745057	0.0037123310506596	723.1720436295731	648.0076947548037	0.8877279999999999	19.071405	0.0587151	0.0344694	-0.0013696285	-0.1139720674	0.0270779854	-0.0001337873	0.0639065693	-0.0256540665	0.0510139461	0.037932757	-0.0075945306	0.0208195228	-0.0342150341	0.1017144892	-0.034900239	-0.0252642742	0.0441613612	-0.0775099383	-0.0441706566	0.1001619894	-0.0021709876	-0.063573244	-0.0085284255	0.0867989286	0.0448605176	0.0032127264	-0.0231019155	-0.0832267649	0.0325182794	-0.0352798142	-0.0553831946	0.0356402141	-0.0377254395	0.0285693337	0.0005608927	0.1392026552	-0.0056406555	-0.0635014282	-0.1068080249	0.0206243352	0.007412886	-0.0168383139	0.1711121213	0.0257659568	0.0936072089	-0.0705694519	0.0197287083	-0.1079007875	0.0046975599	-0.1011308279	0.137863908	-0.037425522	-0.0960815181	-0.0611868179	-0.0980029286	0.0531243246	0.0177217501	0.0298560337	0.0042306713	0.1159644553	-0.0885253066	0.0221542254	-0.0851317499	0.0313500941	-0.0018741229	-0.0305248642	0.0710941498	0.044968764	0.0625773907	-0.0489197644	0.0882375413	0.0711887671	0.115606372	0.0968228735	-0.0259669239	-0.0067754439	-0.0042827293	-0.0355956826	-0.0669766941	0.0073105952	0.0053785549	-0.0074597646	0.0072747912	0.0209325282	0.039394357	0.0014490706	0.0024214327	0.1466762159	-0.030190822	0.0238128677	0.1534808782	-0.010695271	-0.0021695989	-0.0370259661	0.0027307161	-0.0970053809	0.0138628741	0.0362103624	0.0957163812	0.0457520213	0.0256900049	-0.0984744798	-0.0081876323	-0.127393111	-0.0179374315	-0.0131674723	0.024722869	-0.0237036916	0.1142120884	0.1127290384	0.1102715368	-0.0156366	-0.0020387	0.00024450325956	4.156297690000004e-06	-0.140056	-0.029172	0.019615683136	0.000851005584	-0.109542	0.0020629999999999	0.011999449764	4.255968999999981e-06	0.000410958	-0.000115766	1.68886477764e-07	1.3401766756e-08	0.000631146	2.889400000000001e-05	3.98345273316e-07	8.348632360000007e-10	0.0	-0.000364168	0.0	1.32618332224e-07	0.0
786.6704018307008	0.6693354216040461	0.4480099066138662	618850.3211164763	757.5089308680458	2.913662020455717	573819.7803448498	8.489426369446095	737.5744042860232	0.008636523916607	544016.001857882	7.458954536212601e-05	723.8684851252048	660.1048476536977	0.947482	20.355118	0.0788316	0.0577318	-0.0165598761	-0.1061772493	0.0698654641	-0.016681385	0.0551269905	0.0258913095	0.0466655785	-0.0400617752	0.0873856036	0.0544711831	-0.0515999971	0.1112236882	0.0375303847	0.0456980236	-0.0500736397	-0.0531843935	-0.0163851207	0.1028222094	-0.003018009	-0.1033642299	0.0972571951	-0.0448568649	-0.0234863554	-0.1344999849	-0.0611012005	-0.0908063792	-0.0385173085	-0.1761224184	0.05349824	0.1591630357	0.009756587	0.0153350015	0.0028840844	-0.0145083945	0.0458277739	-0.0185926514	-0.133154071	0.0077317406	0.0613456032	-0.011782796	0.1039279358	0.0303323831	0.0029797933	-0.0359948149	-0.1108887492	-0.0704953159	0.0927995689	0.008351528	0.0461376656	-0.0481982755	0.0806044952	0.0640396141	0.1323690954	-0.1272392606	-0.0006447494	-0.0683766915	-0.0996520451	-0.1037429084	0.0004855452	-0.1291438233	-0.0807258045	-0.0231937035	-0.0010607449	-0.0883620802	-0.0431549834	0.0477016655	0.1379025628	0.0052530874	0.0426747831	0.0468712888	0.1201288244	0.0243489855	-0.1073423023	-0.0386144181	-0.1098617866	-0.0408357204	0.0130083249	-0.1353088363	0.14773423	-0.080681885	-0.0270328323	-0.0993357527	-0.0021215427	-0.0948158593	-0.1352674662	0.0255383665	0.0466873876	-0.0218694782	0.0398857009	0.0638686173	0.0070285784	-0.0758554508	0.039223418	0.0232884814	0.031200966	-0.1209273922	0.0849866137	-0.0750963813	-0.0207379331	0.0919594101	-0.0445056445	0.082161158	0.0517023885	0.0235230549	0.0586888004	0.0811920243	0.1139675232	0.1117560484	0.1081019891	-0.0156622	-2.5600000000000626e-05	0.00024530450884	6.553600000000317e-10	-0.0835517	0.0565043	0.00698088657289	0.00319273591849	-0.113278	-0.003736	0.012831905284	1.3957696000000025e-05	0.000246202	-0.000164756	6.0615424804e-08	2.7144539536000002e-08	0.000564843	-6.630299999999998e-05	3.19047614649e-07	4.396087808999997e-09	0.000140255	0.000140255	1.9671465025e-08	1.9671465025e-08	0.0
786.1325534515872	-0.5378483791135977	0.2892808789151243	618004.3915963126	757.7288298884577	0.2198990204118445	574152.9796441311	0.0483555791780888	738.1401557568385	0.5657514708152576	544850.8895407297	0.3200747267296272	724.3955890850485	654.6495063318858	0.97256	20.893879	0.0969665499999999	0.0575608	-0.0186528622	0.0084541483	0.1290345988	-0.0130220646	0.0487645407	-0.0015518074	0.0624904544	0.0005228196	-0.1005722229	0.0081509984	-0.1036172458	0.085876743	-0.0006345732	-0.060511485	0.0018958705	-0.0647223116	0.0591403545	0.175569619	0.012549074	-0.0301652835	0.0629209259	-0.1146323657	-0.1005289883	-0.0462827147	-0.0885767129	0.1293710626	0.0631017988	-0.0700061761	0.0059013377	-0.0245106254	0.0097695079	0.0029605893	0.1131242949	-0.066855595	0.0100378189	0.065519259	0.0491745072	0.0913622704	0.1046537031	0.0164130636	-0.0735108586	-0.0406205066	0.0312312841	-0.0274202085	-0.0528915895	0.0857036953	0.0463047733	-0.0098448887	0.0390640364	0.0246957495	0.0576005814	-0.0441138896	-0.1143768601	-0.0300781457	-0.0433977986	-0.2206199457	-0.0294699813	-0.0062376713	0.0658807254	0.0462892465	-0.0800484529	-0.0422850782	0.0740795317	-0.03005749	0.0433439735	-0.0260355974	0.1078144876	0.0101384736	0.0732282253	-0.0603491269	0.0405210386	-0.1803609412	0.0501954895	-0.0609375476	0.018585746	-0.0304066959	0.0799639753	-0.0821286602	0.0932422158	-0.0264905406	0.0074428955	-0.0636161359	-0.0924895075	-0.0185377593	-0.0070439586	-0.053164577	-0.1143085291	-0.0053276172	-0.1488239677	0.0602537719	-0.0745358877	0.0322525297	-0.0603946336	-0.0576537387	-0.0108116501	-0.0309401663	0.0266582387	0.1555446386	-0.0832464927	-0.0899995669	-0.0118734802	0.0137193238	0.0288996415	0.0549254267	-0.052192563	-0.1023417456	0.1136742748	0.110592125	0.105516962	-0.0156754	-1.3199999999997936e-05	0.0002457181651599	1.742399999999455e-10	-0.133646	-0.0500942999999999	0.0178612533159999	0.0025094388924899	-0.133819	-0.0205409999999999	0.0179075247609999	0.0004219326809999	0.000543083	0.000296881	2.94939144889e-07	8.8138328161e-08	0.000629457	6.461400000000006e-05	3.9621611484900004e-07	4.174968996000007e-09	0.000305121	0.000164866	9.3098824641e-08	2.7180797956e-08	0.0
787.4259224918834	1.2933690402961702	1.6728034743966362	620039.5834121936	756.315847790038	-1.4129820984196613	572013.6616183639	1.9965184104544291	738.5925676398157	0.4524118829772305	545518.9809727757	0.2046765118590033	724.5650328018849	658.8608702749879	0.913067	19.615768	0.0842753999999999	0.0515487	-0.0378507458	-0.0318936336	0.1070758323	0.0050568114	0.098719252	0.0296999903	0.0012398322	0.0843296139	0.031506031	0.102336141	-0.0942250913	0.0762681725	0.0597428864	0.0115280931	0.0071123922	-0.0530782192	0.07958073	0.1280831703	0.0776991746	0.0695725604	-0.0891277821	0.0078869294	-0.0497761174	0.1031158686	0.1429309612	-0.0613886537	0.0654234577	0.0974622219	0.0455760382	-0.0018413953	-0.0415959971	-0.0826691871	-0.0464369554	0.1339062511	-0.0472331935	-0.0825822019	0.0749463203	0.0522903062	0.0952039991	-0.0224251193	-0.0073737341	-0.0873405716	0.1338221006	-0.050199171	0.0478890199	0.0726960683	0.0530739345	0.0168246528	-0.0050684952	0.0981165359	0.0785101472	-0.0173465156	0.0876282561	0.0561811134	0.0008542013	0.0093028027	-0.0116520776	0.0747662745	-0.0728897953	0.0582874029	-0.0736187858	-0.0801992358	-0.0204616395	-0.0881719202	0.0407132644	-0.0148422356	0.1061317141	0.0162452723	0.113430542	0.011284332	-0.0390771227	-0.0236605953	0.0408400621	0.0430519807	0.0726381935	0.0846536821	-0.1740012696	0.137283164	0.0216607695	0.1145414872	-0.0399212875	-0.0233972903	0.0553142303	0.0254363467	0.1586323477	-0.0934890335	0.0034203262	0.0186039177	0.1056150999	0.0513610574	-0.0033436481	0.0620489069	0.1008628737	-0.019018469	-0.1904897949	0.0433213026	0.1266585364	-0.0653793013	0.0157778597	-0.0467352301	0.0341999405	0.0905203959	0.0309242773	0.0494813563	0.0103829075	0.036509168	0.1133324686	0.1092392569	0.1025263906	-0.0156727	2.699999999997843e-06	0.00024563352529	7.289999999988353e-12	-0.102268	0.0313779999999999	0.010458743824	0.0009845788839999	-0.123698	0.0101209999999999	0.015301195204	0.0001024346409999	-0.000219029	-0.000762112	4.7973702841e-08	5.80814700544e-07	0.000567052	-6.240500000000008e-05	3.21547970704e-07	3.8943840250000095e-09	0.000336078	3.095700000000002e-05	1.1294842208400001e-07	9.583358490000012e-10	0.0
788.4389263697302	1.0130038778468131	1.0261768565326814	621635.9406150528	759.2853026423095	2.9694548522714967	576514.1708086235	8.817662119678737	738.7034819024441	0.1109142626283983	545682.8341747945	0.0123019736544013	724.9605572067069	670.6068545712113	1.022262	21.961666	0.07123055	0.0357619	-0.0660012209	-0.0021046722	0.1156659579	-0.0289386862	0.0815838215	0.0100164818	0.0433018355	-0.0345788395	-0.058012997	-0.0107468578	0.0814957779	0.0885276153	0.0199419352	-0.0444826743	-0.0783222882	0.0151877554	0.0241164458	0.006703405	0.1011386793	0.0004474599	0.1224023395	0.0407202631	0.1373452968	0.1538335097	0.0245520568	-0.0914582365	-0.0429425002	0.0892511016	-0.0324101897	0.0391693807	0.1109462441	-0.0965665028	-0.0653470249	0.0286235533	0.17559814	-0.0632172421	0.0086361093	0.130104907	0.0246188862	0.1030039124	-0.0227488285	-0.1389913209	0.0276008324	-0.0282144088	-0.1684598173	0.1837680207	-0.1154695938	-0.0112993086	-0.1487875916	-0.0300249749	-0.2306477578	-0.1195982525	-0.0114651083	0.0581678141	0.0172483838	-0.0338697244	-0.0105731642	-0.0573251719	-0.0018334278	0.0116545999	-0.0722214898	-0.0369903676	0.0714874296	-0.0162783172	-0.0427997729	-0.0030241166	0.1117740992	0.0365111978	0.0861754782	-0.0009690561	-0.0976642733	0.083815942	0.1097816142	0.1331704306	-0.1626149846	-0.0067169862	-0.0081683434	0.0439234229	0.0327242441	0.0507465786	0.0100600875	0.0496051971	-0.0577669814	-0.0035330803	0.0502355518	-0.0347564137	0.1511605791	0.1901754415	-0.1732973744	0.1216893044	-0.1013303202	0.035952888	-0.0163782232	0.0535657141	-0.118628541	0.0491903771	0.0215215199	-0.1061628092	0.1293888381	0.0071411338	0.0049513495	-0.1431102509	-0.0456305729	-0.2029526759	-0.098419739	-0.1078934023	0.1129422506	0.1076997553	0.099141769	-0.0115154	0.0041573	0.00013260443716	1.7283143290000007e-05	-0.0960767	0.0061912999999999	0.00923073228289	3.833219568999996e-05	-0.104791	0.018907	0.0109811536809999	0.000357474649	0.000318726	0.000537755	1.0158626307600001e-07	2.89180440025e-07	0.000315476	-0.0002515759999999	9.952510657600003e-08	6.329048377599998e-08	0.00028591	-5.016800000000001e-05	8.17445281e-08	2.5168282240000004e-09	0.0
787.226717592553	-1.2122087771772383	1.4694501194655358	619725.9048915452	760.9762672077526	1.690964565443096	579084.8792534448	2.8593611615841588	738.5440315584895	-0.1594503439546315	545447.286550667	0.0254244121872503	724.8405301497376	662.3249265371937	1.045718	22.465572	0.01808985	0.0083865399999999	-0.0432282711	0.101190264	0.0969581147	-0.061363384	0.0097257741	0.0812400292	0.0443892033	0.0867582037	-0.1453566746	-0.013334283	0.0240678822	-0.0228433578	0.0279070071	0.0100386589	0.0041575539	0.0230532452	-0.0640593728	0.0835736279	0.0315475476	-0.0141777389	-0.019009227	0.036950304	0.1448603438	0.0868766504	0.1623427216	-0.0550022195	-0.0196890125	-0.0156215155	-0.0061560268	-0.1101709888	0.1076241963	-0.0132350209	-0.0593922366	-0.1602060628	-0.0501695888	0.0790659959	0.050307908	-0.0666164992	0.1189972881	-0.1045625231	0.0404730349	-0.0301217265	0.1397927344	0.0413008117	-0.1049429507	-0.0172732211	-0.0122159184	-0.0224437405	-0.0646635035	0.0103429021	-0.008993504	-0.1306712804	-0.1046837094	-0.107434208	-0.0017794595	0.0751251033	-0.0429660525	0.0659344563	-0.0463783912	0.128958745	0.0221723377	-0.0908078428	0.0026592963	0.0125723413	0.0311469257	0.0032401088	0.0773376577	-0.1978255805	-0.0445517184	-0.0331115317	-0.0737568666	0.0421148881	0.0661792443	0.0596069856	0.0985775505	0.1105804652	0.1370401051	0.0051229645	-0.0193997495	-0.1471097593	0.0252910124	0.0494765061	-0.0027070915	-0.0328751927	-0.0268728578	-0.0360347122	-0.0801116477	0.1761963253	0.0340865201	0.0642076838	-0.0145351045	-0.0049657208	-0.0077508811	-0.1626631818	0.0688602243	-0.0042096714	0.0580391962	-0.1233048325	0.0235507306	0.0274635082	0.0275528542	0.0268503822	-0.0764575058	-0.0972138582	-0.1130044954	-0.0521428729	0.1125037874	0.1059762505	0.0953761056	-0.015739	-0.0042235999999999	0.000247716121	1.7838796959999995e-05	-0.0998984	-0.0038216999999999	0.0099796903225599	1.460539088999998e-05	-0.105037	-0.000246	0.011032771369	6.051600000000497e-08	0.000393638	7.491199999999995e-05	1.54950875044e-07	5.6118077439999925e-09	0.00034477	2.9293999999999967e-05	1.188663529e-07	8.58138435999998e-10	0.000194145	-9.1765e-05	3.7692281025e-08	8.420815225e-09	0.0
