global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
701.8360097222004	n/a	n/a	492573.7845427806	879.0343068076601	n/a	772701.3125448235	n/a	714.9346305494521	n/a	n/a	511131.5259588816	736.2620258557088	588.5922608088551	n/a	n/a	n/a	n/a	-0.1181786175	-0.0353859326	0.105202659	-0.0167681757	0.0090049907	0.0347341021	-0.0634638872	0.0748163379	-0.128822587	0.0695441363	-0.0571751327	0.0337765173	-0.0368953684	0.0073170993	-0.0403551341	0.0279791657	-0.385958872	0.0881548292	-0.0148029969	0.3539527098	-0.0948241243	0.1065689279	0.0811931864	-0.0004397512	0.0085193861	-0.1046738722	0.0569710888	-0.0560247765	0.0078599512	-0.0100836553	0.0533279343	0.1062751124	-0.0380922537	0.0153475725	-0.0279906497	0.0186798919	-0.0957193337	0.017897113	-0.134106934	0.1120202607	-0.0988824539	0.0436148436	-0.0205082013	0.1255903261	-0.1177829342	0.0061484553	0.0173420499	0.0078254023	-0.1268018918	0.1188398778	-0.0932853148	-0.1118017746	0.082218737	-0.0397633861	-0.0283005928	-0.1506575189	0.0203532333	0.0551927455	-0.0896503141	0.0960998176	0.0601011073	-0.0598889713	-0.0643125885	0.0025667601	0.0133523872	0.0243649722	0.0595597705	-0.1108629726	-0.0476660892	0.1386956548	-0.0077753584	0.0850985882	-0.0100310091	0.0633745032	-0.0445972234	0.0480733378	-0.0199529607	0.200950766	-0.0700566458	0.1031918469	-0.0605291581	0.0896583932	-0.0944189031	-0.1016211702	0.0309841034	-0.0155504993	0.0537962868	-0.0078184333	0.0494350732	-0.0500649213	0.0605135364	-0.129252967	0.1478688016	-0.0759559044	0.0309403477	-0.0178105595	-0.0379812227	0.0954748479	-0.0685962933	0.1304228136	0.0684704492	-0.1161930424	0.0094154407	0.1538299803	-0.050468817	-0.0376136715	0.2374006612	0.0381134938	0.1394049505	-0.1029346696	-0.0215603253	-6.14506e-05	0.0638599968	-0.0111456666	-0.0075391083	-0.0379246968	-0.0135331891	0.0398732658	0.1147017419	0.1146833673	0.1146527451	0.0703754	n/a	0.00495269692516	n/a	0.0260131	n/a	n/a	0.00067668137161	0.0168311	n/a	n/a	0.00028328592721	-0.000260325	n/a	n/a	6.7769105625e-08	0.00151177	n/a	n/a	2.2854485329e-06	-4.04762e-05	n/a	n/a	1.6383227664399996e-09
700.6386741843647	-1.19733553783567	1.4336123901642333	490894.5517628244	875.0953057232898	-3.939001084370261	765791.7940989381	15.515729542670094	715.3832382650479	0.4486077155958128	0.2012488824920936	511773.1775905863	735.8551641772823	585.7757545754268	1.075891	23.253067	0.04608099	0.0201835	-0.0145756921	0.0855593763	-0.0951665986	-0.0396897877	0.0108186463	0.0042088053	-0.0894691025	-0.0181084425	0.0568915832	0.0550870392	0.0058693778	-0.09459027	-0.0685205408	0.0405813333	0.0047890046	0.0157242541	-0.073989665	0.1183528865	-0.0109858175	0.0120581661	0.1523788213	0.0679726797	-0.0378544651	-0.1156651261	-0.0348638748	-0.0567876617	0.1812324934	-0.0672554701	0.0227914037	-0.0635618272	-0.0088265452	0.0310092152	0.205226955	0.0662835143	0.0226287628	0.1678763537	0.0534092814	0.0407739468	-0.0192410072	0.12108545	0.0171058838	0.0374628189	0.085998104	-0.0200341415	-0.0454761807	-0.1872631684	-0.0417008217	-0.0766804797	0.0569467622	-0.0114849686	-0.105917956	0.0148873186	-0.1122690104	-0.0540952093	-0.0788137855	-0.0072395059	0.047783215	0.0564741603	0.1348721488	0.0311396762	0.0744670542	-0.1775557168	0.0623691815	0.0322773168	-0.0560994068	-0.1244326117	0.0047058059	-0.0582911697	0.0540536196	0.0491079221	-0.0308229763	-0.0005347595	-0.0132383915	-0.1173175041	0.1185459057	-0.0144601425	-0.0020005087	0.185814788	-0.016065945	0.1615462788	0.13437231	0.0011332418	-0.0976370311	0.0579998242	-0.0510788561	-0.0505576544	0.0337797707	0.0839575043	0.0970176624	0.0507729349	0.0483986776	-0.0932616469	0.0235025312	0.0116615116	0.0771727369	0.0334203125	0.0728329233	0.0191927739	-0.1235935987	-0.0614977852	0.0304215328	0.0452727083	0.0689703554	-0.0870185622	-0.1467638353	-0.0572910496	0.0102824219	-0.0515905317	-0.007059166	0.1443545068	0.0218379716	0.1204751358	-0.0352163711	0.0232971461	0.0703635576	0.071647901	0.0760224326	0.0995550939	0.1146527451	0.1144874327	0.1142120884	0.0604187	-0.0099567	0.00365041930969	9.913587489000012e-05	0.0375966	0.0115835	0.00013417747225	0.00141350433156	0.021927	0.0050958999999999	2.5968196809999968e-05	0.0004807933289999	-0.000121752	0.000138573	1.920247632900001e-08	1.4823549504e-08	0.00142376	-8.800999999999991e-05	7.745760099999985e-09	2.0270925376e-06	-0.000202791	-0.0001623148	2.634609429904e-08	4.112418968099999e-08
700.6415204595194	0.0028462751546385	8.101282255912608e-06	490898.5401918271	873.1811102238563	-1.914195499433504	762445.2512517663	3.664144410051481	715.5604782815942	0.1772400165463068	0.0314140234653351	512026.79807858384	736.2135904629592	591.8514826052693	1.160604	25.083954	0.0621025599999999	0.0324715	0.1255179889	-0.0913265477	0.0201860742	0.1207513998	-0.0178217395	-0.0735777806	0.0471063952	-0.0298658665	0.0238469045	0.0228789501	0.0999199114	0.0003670113	0.0217577708	0.0309947616	0.0020014659	-0.0560183196	0.0159126353	-0.0263513194	0.0077448389	0.1635933444	0.0600224856	0.0182449248	-0.0868911527	0.0176825409	-0.0944610862	-0.0924114794	-0.0238829411	-0.0539543638	0.0578654505	-0.0501466548	-0.0647607275	0.0626271857	0.0939811647	-0.1356108004	-0.0424525964	-0.0002584984	-0.0251092708	0.0420299191	-0.0150204715	0.0615478932	-0.0821729368	0.0122823811	0.116890751	-0.0760871289	0.0229407965	0.0477113676	0.0284765891	-0.0015454148	-0.0389902017	0.0436092239	0.1710628457	0.0909060987	0.0176019625	0.0790510235	0.0079726557	0.1336027078	-0.0891701873	0.143049711	-0.0915970399	0.0760557278	0.0226605109	-0.0395277279	-0.0220414461	0.08829634	0.0041010424	0.0117078475	0.015588574	-0.1167880534	-0.0597378506	0.1169944782	0.0486900902	-0.0685570265	-0.0310243071	-0.0179224195	-0.0171550773	0.1172155486	0.1052225332	0.0988661189	-0.0624275206	0.0048016598	0.0174542478	0.006157027	0.0496509679	0.0492891937	-0.0316092007	0.0244172943	-0.0876122745	0.0286547164	-0.0370196331	0.1301616823	0.229440395	-0.0912707541	-0.0159078286	-0.0263342712	-0.0470717266	0.0188267523	0.0385661649	0.0436291331	-0.002864496	-0.0738973907	0.0465358097	-0.0665171887	-0.0408759332	0.0277563819	0.0980552933	0.0941861144	0.0073196695	-0.1790395092	0.0136446998	0.0138367504	-0.1094111262	0.0304048716	0.0361371539	-0.1209496694	0.0762186645	-0.0338743167	0.0617481608	0.0345633002	0.1145547726	0.1140958982	0.1133324686	0.0689359	0.0085171999999999	0.0047521583088099	7.254269583999993e-05	0.0376089	1.2299999999999813e-05	1.5128999999999535e-10	0.00141442935921	0.00968549	-0.0122415099999999	0.00014985456708	9.38087165401e-05	0.00025692	0.000378672	1.43392483584e-07	6.60078864e-08	0.00102931	-0.0003944499999999	1.555908025e-07	1.0594790761000002e-06	-0.0002563	-5.3509000000000006e-05	2.8632130810000007e-09	6.568969e-08
700.4959288538453	-0.1455916056740989	0.0211969156427623	490694.5463408115	873.0763647914683	-0.1047454323879719	762262.338757485	0.0109716056061432	715.6150195555681	0.0545412739738822	0.002974750566694	512104.8562135161	735.6966762149309	587.2283476255611	1.248139	26.97583	0.0808635949999999	0.0524826	-0.1469294821	0.0067883354	-0.0302380547	-0.0289084179	-0.049565324	0.1222900739	0.0104741823	0.0622384533	-0.0372857641	0.0261751781	-0.0594072497	-0.0167304039	-0.0005316945	-0.1125835455	-0.060639817	-0.1076665111	0.0497152592	-0.0094881105	-0.0967279829	-0.0068487518	0.0711622254	0.0092537546	0.0456029955	-0.085102559	0.0451097155	-0.0375572643	0.1263172741	0.0096530978	0.0013960897	-0.0797162011	-0.0878852652	0.0045087306	0.0060066247	0.0676130806	-0.0467137966	0.0427586804	0.0319727875	-0.0693726529	-0.029855419	0.0407213429	0.0290894234	0.0182971948	-0.0422908912	-0.1044003829	-0.073447814	0.0573010801	0.0455465844	-0.1492469104	-0.0313711497	0.087983966	-0.1819329003	0.0991590082	0.1107897774	0.0035651798	0.0049212229	0.0556199578	0.0605849289	0.0278316957	0.1109337825	0.0006497573	0.0794996897	-0.0808079389	-0.0736462898	0.0169733297	-0.0604700022	0.0088269157	0.0286288375	-0.1061038522	0.1882724035	0.032510802	-0.0859137627	0.0478248684	-0.0308440722	0.0310438835	0.0729108311	-0.0921565901	-0.0886895593	0.0886619845	-0.0003081598	-0.0033208417	0.0869701528	0.0675478193	-0.0222543468	-0.1350005926	-0.0422162332	-0.0906743031	0.0610756862	0.0163552417	0.1529649311	-0.0444115101	0.08148611	0.0137441147	0.1268074781	0.0269524427	-0.0554951251	-0.1196385667	-0.0267898657	-0.1334044314	-0.0613503345	0.0466495852	-0.0965140229	0.0448908311	-0.0740735201	-0.0423880145	0.0216689699	0.006987635	-0.0149706756	-0.0593407981	0.0104013041	-0.0052960376	-0.1132582013	0.0043540347	0.0212438313	-0.0419339612	0.1644230129	-0.1385981022	0.0788510443	0.0864097711	0.1144078661	0.1135094328	0.1120172664	0.0607532	-0.0081826999999999	0.00369095131024	6.695657928999991e-05	-0.0102257	-0.0478346	0.00228814895716	0.00010456494049	0.0218945	0.01220901	0.0001490599251801	0.00047936913025	3.19063e-05	-0.0002250137	5.063116518769e-08	1.01801197969e-09	0.00104719	1.787999999999985e-05	3.196943999999946e-10	1.0966068961e-06	-0.000246448	9.851999999999973e-06	9.706190399999947e-11	6.0736616704e-08
701.3496040347851	0.8536751809398311	0.7287613145526534	491891.2670797498	874.452376077096	1.3760112856276692	764666.958026879	1.8934070581747109	716.4660699673442	0.8510504117761002	0.7242868033842697	513323.62941445137	736.2842728534636	580.404784277371	1.13893	24.615522	0.1098651649999999	0.066643	0.0690419535	0.1303009224	-0.0547386155	0.0087521526	0.0510678555	-0.0705998656	-0.0433597978	-0.0168776573	0.1255229077	-0.0039451433	-0.0606829761	-0.0269016938	-0.0426727614	-0.1189081857	-0.0033689597	0.0115788509	0.0386753723	0.0214027359	0.0294452038	0.0419276936	-0.1638447703	-0.1058798447	-0.0755729018	-0.0788692216	0.0414794002	0.058228985	0.0874075867	-0.0562727649	-0.054128962	0.1198140087	-0.0203751467	0.0714161454	0.0010401257	0.0043396569	0.0754344059	0.0111930723	0.0579528773	-0.0132730342	-0.2084678248	-0.076516279	0.0421270678	-0.0677212887	-0.0027048719	0.0880181066	-0.0144551803	-0.1091691947	-0.1298210745	0.0839532086	-0.0761212033	-0.1555956965	-0.0627297697	0.0942971787	-0.0709936152	0.0683857443	0.045076646	0.1145109044	-0.0142029877	-0.0173647941	0.027463233	-0.0803789361	-0.0902209416	0.0151064887	0.0121575328	-0.0744117281	0.1260677777	0.0994243236	0.0741652044	0.0470803702	0.0878661235	0.105691795	0.0050511147	-0.0970551119	-0.012308683	-0.130349866	0.0793026619	-0.0139859423	-0.093703442	0.0099884602	0.0556852274	0.0653831849	-0.0481899413	0.0517835293	-0.0880003938	0.0127854567	0.0203805067	-0.0668983242	0.0411682834	-0.0839231479	-0.1564097627	0.1421971737	-0.052965437	-0.1524078675	0.0879012375	-0.106642295	0.0007105793	0.0049005003	-0.2178071867	-0.0031974336	0.1209913698	0.0669757671	0.0230274673	0.0760625757	0.1665193917	-0.121866203	-0.0947942233	0.0120785669	-0.0369687085	-0.0223416255	0.0054716961	-0.0489169967	0.0013832501	-0.0783397003	-0.0116816119	-0.1204512195	-0.0220852533	0.0989372429	-0.0177912322	-0.1753809402	0.1142120884	0.1127290384	0.1102715368	0.0631084	0.0023551999999999	0.0039826701505599	5.546967039999976e-06	0.0496886	0.0599143	0.00358972334449	0.00246895696996	0.0329016	0.0110071	0.00012115625041	0.00108251528256	-0.000121752	-0.0001536583	2.3610873158890002e-08	1.4823549504e-08	0.000522732	-0.0005244579999999	2.750561937639999e-07	2.7324874382400004e-07	-0.000192793	5.365500000000003e-05	2.878859025000003e-09	3.7169140849e-08
702.0916944929733	0.7420904581881587	0.5506982481339112	492932.7474760145	873.372870742004	-1.0795053350919943	762780.1713481293	1.165331768492079	716.3761495359889	-0.0899204313552672	0.0080856839751173	513194.7876240096	736.9720466718467	588.3408433927839	1.2219	26.40873	0.10152436	0.0585581	0.011982922	-0.1207983516	0.0698049363	0.0290489799	0.0094980879	-0.0984891632	0.0138135921	0.0932151441	-0.0318934773	-0.0410318115	-0.0383817278	0.1344891532	0.0492777694	0.104713567	0.0849073424	0.0196162556	0.0338577382	0.0747111569	-0.1156204094	0.0877927063	0.0694599185	0.0082058604	-0.0291370075	0.1363476231	-0.0336938892	-0.1318641428	-0.0195401836	-0.0158659994	-0.1506272318	0.0509065006	-0.0463777981	0.1013656808	-0.0178784732	-0.1021895457	-0.0592474255	-0.0383087135	-0.015876355	0.0338325897	-0.0780779729	0.0111053865	0.1113968101	0.0485766221	0.0057836884	0.065849198	-0.0398732134	-0.1089720558	-0.0249401265	-0.0208871066	-0.0332657101	0.147846826	-0.086910739	0.0302216835	0.1397598159	-0.0604269741	0.0366659402	0.1165748127	0.0181775855	0.00633004	-0.1009944067	-0.0290252192	-0.1924638277	-0.0537090755	0.0570701083	0.0916141234	0.0603186537	-0.0128275263	-0.0792773239	0.027635574	-0.0671164357	0.052886391	0.1188515881	0.0412699933	-0.0289910099	0.1059022565	0.0226014889	0.1569205534	0.011057227	0.071637737	-0.0226234393	-0.0202096667	-0.0444029579	-0.0535623378	-0.1100108456	-0.0717303375	-0.1200069973	-0.0003728853	-0.0087818174	-0.084444514	0.0246061194	-0.1001799379	0.1319784841	-0.0913237721	0.0776469321	-0.0138355008	-0.0904454459	0.0395485109	-0.0631451729	-0.0252717846	0.0561627694	0.089065311	0.0172786703	-0.0298617117	0.082751716	-0.019013387	-0.0275545676	-0.0171799459	0.1654351374	-0.13796653	-0.0774550092	0.0355705451	0.0218016897	-0.0182897118	-0.0962062524	0.1170177558	-0.1301145715	0.1483571337	0.0299791351	0.0035214895	0.1139675232	0.1117560484	0.1081019891	0.0461088	-0.0169995999999999	0.0021260214374399	0.0002889864001599	0.00110344	-0.04858516	0.0023605177722256	1.2175798336e-06	0.0327895	-0.0001121	1.2566410000000868e-08	0.00107515131025	0.000521912	0.000643664	4.143033448960001e-07	2.7239213574400005e-07	0.000463675	-5.9057000000000055e-05	3.487729249000006e-09	2.14994505625e-07	-0.000178964	1.3829000000000006e-05	1.9124124100000014e-10	3.2028113296e-08
702.3710126105553	0.2793181175820791	0.0780186108095961	493325.0393555769	876.7360447228042	3.363173980800184	768666.0921161869	11.310939225131357	717.2159933606163	0.8398438246273372	0.7053376497646735	514398.7811322556	737.5886125800935	588.0960532977219	1.151039	24.877222	0.05853164	0.0363338	-0.0950308474	0.0447642815	0.057350751	-0.0659240085	-0.0440524739	0.107569427	0.0213010097	-0.0639364032	0.0003984139	0.0438723783	-0.2412077969	0.0179065713	-0.0725084271	-0.0267138981	-0.0911845514	-0.0124826681	0.0383086705	0.0383731755	-0.042392195	0.0602489443	-0.0172936551	-6.90224e-05	-0.0465216075	-0.028142729	0.102619258	0.0168760691	0.0615172261	0.0981000824	0.0053378939	0.0397087425	0.0923635438	-0.0328590749	-0.0570044715	-0.0171021356	0.0477420973	-0.0119927447	-0.0030600227	0.0661064569	0.0054223001	-0.0736679372	0.0361335945	-0.1524391781	0.0607368473	-0.1212512586	0.1878290122	-0.0601728424	0.0185271424	-0.1053861129	-0.069983397	-0.0493772299	-0.0810824883	0.0774784174	0.047733743	0.0027432443	0.0329322907	0.0583983282	-0.0556322947	-0.1072763911	0.0543902004	-0.0833074568	-0.1120712254	0.0054187942	-0.0978756201	0.0046306178	-0.2199814906	-0.0344159291	-0.1299518732	0.0345532251	0.1283403483	0.0465351298	-0.0818901535	-0.0334047586	0.0660217556	0.0939361479	0.0627861145	-0.0818738804	-0.1610212645	0.0802686821	-0.0295682208	-0.0101909247	0.0622710837	-0.0505165345	0.0710923988	0.0320638427	0.0349860463	0.0552648719	-0.0493943485	0.0040728869	-0.0098387763	-0.0167057146	0.0320313959	-0.0035107062	0.2072666252	0.0426889249	-0.0956210314	-0.0092570015	-0.0475980286	-0.0062343083	0.1183829657	0.0244253856	-0.046400396	0.019094976	-0.0170581058	0.0328897581	-0.0363502075	0.1921220466	-0.3066642346	-0.0540494132	0.0129948502	-0.0830915916	0.0377184308	0.0615762247	-0.0655374299	0.0306802803	0.0516705384	-0.1486361154	-0.0805391711	0.0021628792	0.1136742748	0.110592125	0.105516962	0.0445272	-0.0015815999999999	0.00198267153984	2.5014585599999857e-06	0.00169558	0.0005921399999999	3.506297795999999e-07	2.8749915364e-06	0.022763	-0.0100265	0.00010053070225	0.0005181541689999	0.000521912	0.0	0.0	2.7239213574400005e-07	-0.000153064	-0.000616739	3.8036699412100004e-07	2.3428588096000003e-08	0.000130925	0.000309889	9.603119232100001e-08	1.7141355625e-08
702.5868568974786	0.2158442869232431	0.0465887561974032	493628.2914850781	876.320609062578	-0.4154356602261941	767937.8098678077	0.1725867877875738	717.028082225249	-0.1879111353672442	0.0353105947950067	514129.2706996185	737.7024313737247	592.3309114227358	1.017487	21.990776	0.08802965	0.0476387	-0.0274175483	0.0980560227	-0.057647207	-0.0341816274	-0.0969381281	0.0141087962	-0.1575370083	-0.0752145916	0.063366032	0.1085830489	-0.0418553722	0.0836537436	-0.1427754552	0.0263898976	-0.0241358547	0.0511386609	0.0516125076	0.0587943733	0.140279196	0.0310884187	-0.0104563809	0.0318500346	-0.0709532067	0.0357882783	0.1695201042	-0.0105335659	0.1877988139	0.0047493739	0.0440113526	-0.0639185904	0.0674762272	0.0433500309	0.0127674706	-0.0225250333	0.0576946394	0.2328417917	-0.0481706214	-0.0005876083	0.1207338305	0.0420727311	0.0373070381	0.0146491017	-0.152049946	0.0952326602	-0.0148361521	0.1612690936	-0.0072691359	0.0148098272	-0.0063794831	0.1272865785	-0.0352894543	-0.0354333502	-0.1345725484	0.1545229813	-0.1800171104	0.1961951331	0.0631957042	0.0321600612	-0.0011010506	0.0627230762	-0.0588800531	0.0244909083	0.1094450127	0.0371545275	0.0842490933	0.0948929356	0.0164957655	0.1674981597	-0.1355441723	-0.029648172	0.0068545932	-0.0101715518	0.1709768174	-0.0428250095	0.1623867007	-0.0115424998	-0.0405767515	0.0510324442	-0.0186063714	0.0520640245	0.0190257648	-0.0297327733	-0.0340423033	0.0183796172	0.0874342794	-0.2075724322	0.0477937018	-0.1555971175	-0.0013707343	0.0623336747	0.0856097524	-0.0008149531	-0.1208530786	0.2037380785	-0.0526784026	-0.0282435798	-0.0455886559	-0.1515021562	0.0694815432	-0.0316846744	0.074069305	-0.0415845452	-0.1115475314	-0.0131988733	-0.1345372257	-0.1822845467	0.0701963769	0.0691235946	-0.1086964415	0.0558484526	0.1455138139	-0.0055956763	0.1655455834	-0.0332846763	-0.065553438	-0.0124424135	0.0265064093	0.0098922599	0.1133324686	0.1092392569	0.1025263906	0.0507654	0.0062381999999999	0.00257712583716	3.891513923999999e-05	0.0425609	0.04086532	0.0016699743787023	0.0018114302088099	0.0368295	0.0140665	0.00019786642225	0.00135641207025	0.000433177	-8.873500000000005e-05	7.873900225000008e-09	1.87642313329e-07	0.000236221	0.000389285	1.51542811225e-07	5.5800360841e-08	7.17524e-05	-5.91726e-05	3.5013965907599997e-09	5.14840690576e-09
701.6531175964151	-0.9337393010634968	0.8718690823505477	492317.0974327687	872.3237797707435	-3.996829291834501	760948.7767535166	15.974644388066285	717.1396891238857	0.1116068986366372	0.0124560998232886	514289.33371670335	737.2522581189606	572.5256359661819	1.336098	28.876863	0.3456258	0.177564	0.0990572822	0.0594570237	-0.0293911108	0.0243835376	0.0316987625	-0.1618032248	-0.0132451051	0.0838982167	0.1363242555	-0.0159381312	-0.0343532788	0.1903301034	0.0617196193	-0.2643637379	-0.1159832958	-0.0486014984	0.1070401255	-0.0052234005	-0.0731653317	-0.0058645724	-0.0822880802	-0.0458179232	-0.0960714398	0.1181035681	0.0101583186	0.0905534449	0.1372315517	-0.0200818062	0.0559122208	-0.1764870435	0.0060807455	-0.1367982228	0.0428915005	-0.0092878539	0.126309287	0.0424815382	0.0473229788	-0.0829285595	-0.1294969398	-0.1341714135	0.0341689136	-0.0960188308	0.0766689034	-0.0370880867	-0.0852342327	0.0509239501	0.1780860879	-0.0586206563	0.0570670305	-0.1106967572	0.1514276142	-0.0304421085	0.0172478842	-0.0322710822	-0.1333047886	-0.093090573	-0.1024573947	0.0514974855	0.0137214923	-0.0873710496	-0.0564315646	0.0791332542	-0.0723656036	-0.0995268828	0.0951945233	-0.0353347428	0.0357494001	0.0471367909	-0.0791852318	0.0282775518	0.1457728153	-0.042852402	-0.0311327737	0.0295599681	0.1789492349	0.0029577303	-0.1178047977	-0.0482814506	0.3753912534	-0.1594482883	-0.0478500011	-0.068067993	0.1546968934	0.0511280025	0.1733302342	-0.1186079788	-0.0382071489	0.0505422853	-0.0260799937	-0.0433019854	-0.0217217047	-0.0112292035	0.0401489396	-0.02726229	-0.0201002391	-0.0310943734	0.0705662084	0.0356791269	0.0302858371	-0.1327369836	0.0748283894	0.0439524084	-0.0198854007	-0.1161772433	0.0311412661	0.0477802266	0.0665275615	0.1271149183	-0.0087476515	0.1185978691	-0.0300054209	-0.0135442607	0.0295059793	-0.0651986818	0.0115617656	0.1367605447	-0.0576818173	-0.0232227898	0.1129422506	0.1076997553	0.099141769	-0.00889228	-0.05965768	7.907264359840002e-05	0.0035590387829824	-0.063069	-0.1056299	0.0111576757740099	0.003977698761	0.0987402	0.0619107	0.00383293477449	0.00974962709604	-0.00150406	-0.001937237	3.752887194169001e-06	2.2621964836e-06	0.000216966	-1.9255000000000005e-05	3.7075502500000014e-10	4.7074245156e-08	-0.000340306	-0.0004120584	1.6979212501056e-07	1.1580817363600001e-07
702.6798397805362	1.0267221841211267	1.0541584433664568	493758.957234	873.8826864012048	1.5589066304612516	763670.9495917864	2.430189882496053	716.9592745451095	-0.1804145787762081	0.0325494202349966	514030.60135624965	736.9176991832371	591.267068607368	1.209554	26.141893	0.18698362	0.105833	0.0997417863	0.0410742679	-0.0032586204	-0.0121298216	-0.1030345741	-0.1110754986	0.1256985754	0.0277055405	-0.0182145278	-0.1172213313	-0.110374394	0.1806917773	0.0267411614	-0.048080071	-0.0649903609	-0.1631883031	0.0627849109	0.2083850075	0.3127708576	-0.0671631883	-0.0543256453	-0.0781315496	-0.090142862	0.0996163729	-0.0465643409	-0.0543322424	0.1581066746	0.0380393938	-0.0153380604	-0.0016834132	0.0391412303	0.1026630615	-0.150991784	-0.0364577906	0.0110821841	0.0124611919	-0.0799242721	-0.1382283296	0.0615844841	-0.1339753245	-0.0300727628	-0.0486561882	0.0799987928	0.0742641798	0.0473549588	0.0947685341	-0.0415367482	0.0421728787	-0.0897331089	-0.0302851362	-0.0197539058	0.1175484978	-0.0419107279	-0.0373939753	0.1056743121	0.0266410922	0.0424093505	-0.1058065951	0.0276843863	0.0065545207	-0.0113570287	0.0187392364	-0.0170284003	0.0304731039	0.0059272986	0.1940705682	0.0904720128	0.046151102	-0.1149163108	-0.0145992312	0.1298398567	-0.0548761091	-0.0514718272	0.0626718265	0.0143376103	0.0384015097	-0.1226393999	0.0768633281	-0.0030270815	0.0266386329	0.1077395821	-0.0131189866	0.0978751541	-0.150455396	0.2684942737	0.0778285072	-0.1122120743	-0.1585523324	-0.1366465074	0.0863571216	-0.1471701651	0.0735448436	-0.0141141638	0.0218526606	-0.0005819741	-0.1168693286	0.0110088038	0.0209047118	0.0803897827	-0.0182717835	-0.0877430931	0.0895957684	0.0511561646	0.0412521019	0.0324806384	0.0202190972	0.0239949838	-0.0806183073	-0.0439524377	0.0598802213	-0.0001978598	0.00431264	0.0768659901	0.0251542267	0.0078928378	0.0171604006	0.1498599754	-0.0225070216	0.1125037874	0.1059762505	0.0953761056	0.00912054	0.01801282	8.31842498916e-05	0.0003244616843523	0.0143211	0.0773901	0.00598922757801	0.00020509390521	0.0596759	-0.0390643	0.00152601953449	0.0035612130408099	-0.000535208	0.000968852	9.38674197904e-07	2.86447603264e-07	0.000222465	5.4990000000000095e-06	3.0239001000000105e-11	4.9490676225e-08	-0.000416283	-7.597699999999997e-05	5.772504528999995e-09	1.73291536089e-07
