global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
712.3147252736345	n/a	507392.26784165343	n/a	762.5903105628836	n/a	581543.9817643953	n/a	694.8658346070566	n/a	n/a	482838.5281041614	709.5312351307925	488.39081360796246	n/a	n/a	n/a	n/a	-0.0312082237	0.1573544002	0.0127903579	0.1824993815	-0.1465992477	0.1593255333	-0.093839662	0.1308450528	-0.0898473052	-0.1166960418	0.17811119	-0.0717605542	0.1046530133	-0.1582242309	0.1064283014	-0.0119880853	0.210150022	-0.0903843369	0.1305122013	-0.081041012	0.0323357772	-0.0505317018	0.1131106145	-0.0192080772	0.1320242249	-0.0025324767	0.0655334446	-0.0947955087	0.0413566402	-0.1254212024	0.0206720476	-0.0515680351	0.0011268082	-0.0255314437	0.1636376441	-0.01368552	0.0042459357	-0.0592424849	0.095942979	-0.0127926378	0.0553565863	-0.0275177243	-0.0215300156	0.0844578819	-0.0101832122	-0.0923291648	0.0441876563	-0.0426398745	-0.0090869814	-0.0869494423	0.0348733469	-0.0205287133	-0.0611035673	0.0386208222	0.002909652	0.0052351352	0.0091803834	-0.0126515233	-0.1069865854	0.0513704063	0.0986995192	-0.1076901482	-0.089831368	0.0894081473	0.1636276041	-0.1668022051	0.1103042251	-0.0579367036	0.0852847178	0.0818526677	-0.0863339397	0.2052514731	-0.1056970483	0.0166137699	0.0113858287	-0.0566568748	0.2008436621	-0.0700495455	0.0518980083	-0.0885905121	0.1131334538	-0.030301669	0.2099339265	-0.0436171801	0.0521013885	-0.0257046974	0.0298286912	-0.0437988069	0.1235314585	-0.0380615289	-0.0008167778	-0.0665506752	0.0680826837	-0.023347052	-0.0650507382	0.0772032714	0.0065234224	-0.0499903035	-0.0417320547	0.0334792771	0.1149130298	-0.012379731	-0.0090686098	-0.0715876721	0.0893532627	0.0184831323	0.0405514802	-0.039386645	0.1139199947	0.0698557411	0.0519946314	0.1147017419	0.1146833673	0.1146527451	0.0178736	n/a	0.00031946557696	n/a	-0.00340911	n/a	n/a	1.16220309921e-05	0.137588	n/a	0.0189304577439999	n/a	-0.00286929	n/a	n/a	8.2328251041e-06	-0.000818155	n/a	n/a	6.693776040249999e-07	-0.000454981	n/a	n/a	2.0700771036100002e-07	0.0
712.5219478956884	0.207222622053905	507687.5262330661	0.0429412150908955	767.4232683011762	4.8329577382926345	588938.4727300591	23.35748050012266	693.4104760353127	-1.4553585717438864	2.1180685723484047	480818.088275519	708.3986563694108	506.189069898925	1.095439	23.314434	0.21158819	0.104303	0.0329601506	0.0200874697	-0.0859643238	-0.0575702286	-0.0682908076	0.0181491911	0.0799634985	-0.0301125433	-0.0200014202	-0.0846082673	0.0012153528	-0.0048148842	-0.05839082	-0.0319981401	0.1023772118	-0.121914295	-0.0785434876	0.0522777312	0.1007730696	0.0013676223	-0.0268634167	0.0389941875	0.0717434698	-0.0004650938	0.0525627652	-0.0201029058	-0.1036541792	0.025819238	0.1160914791	-0.0635704428	-0.1644663794	-0.0502426578	0.0360671052	-0.190441332	0.1136869148	-0.0274033484	0.0283219358	-0.067467276	0.1273967274	-0.1414004145	0.0530646745	0.1118352641	-0.058972562	0.073918916	-0.1413956241	0.1625597689	-0.0468652613	-0.0740622477	-0.0459707884	0.0205608361	-0.028194245	-0.0714940181	0.1293984475	-0.0693003057	-0.0051917936	0.0271379177	0.0407854047	-0.085624806	-0.0013974685	0.0521074163	-0.0371126705	0.0268052896	-0.0072253108	-0.0519754337	-0.0382825157	-0.0469991693	0.1352076451	-0.0019660746	0.0435267441	-0.0382684867	-0.0424114217	0.0558206613	0.0862229167	-0.0164415146	0.1169598427	-0.0301518008	0.2081190715	0.07746978	-0.0662103819	-0.1370439073	-0.1318470467	-0.0682930341	0.0426092529	0.0645028586	0.0097728159	0.0715420856	-0.0978365017	-0.0471536241	-0.0214073148	-0.0753193045	-0.088221496	0.0497656383	0.0921687375	0.1766818451	-0.0081841611	-0.0763393846	0.0734000891	0.087376791	-0.0488669618	0.0702196247	0.0230687402	-0.0449372655	0.1605893488	0.036009999	0.1240920486	0.0042469683	0.1054402228	-0.1535162779	0.0805072338	-0.0210174849	-0.0141721015	0.1146527451	0.1144874327	0.1142120884	0.0255974	0.0077237999999999	0.0006552268867599	5.965708643999999e-05	-0.0695829	-0.06617379	0.0043789704829641	0.00484177997241	0.0789507	-0.0586372999999999	0.00623321303049	0.0034383329512899	-0.00228119	0.0005880999999999	3.458616099999998e-07	5.203827816100001e-06	-0.00117447	-0.0003563149999999	1.2696037922499997e-07	1.3793797808999998e-06	0.00018167	0.000636651	4.05324495801e-07	3.3003988899999994e-08	0.0
711.5762256810729	-0.9457222146155572	506340.7249545211	0.8943905072173541	766.6988213348407	-0.724446966335563	587827.0826362339	0.5248234070328004	693.3105327688525	-0.0999432664602864	0.0099886565107518	480679.4948482301	708.180464361342	505.4667834488978	0.949087	20.199596	0.10845955	0.0702502	0.0882001563	-0.0486026932	-0.0620412109	-0.1099333282	-0.0077390463	0.0300213741	0.0135451929	0.0010579884	0.0585576193	0.0408372624	-0.0037530862	-0.106279854	-0.0373599455	0.0829789993	-0.03547817	-0.0384317929	-0.0424656604	0.0816715086	-0.0573473216	-0.0585535201	-0.0541595751	-0.0838433531	-0.0349597751	0.0093547756	0.0102160042	0.0033208585	-0.0878348075	0.0545547443	-0.0403924126	-0.0378617475	-0.0666698672	0.0064713983	-0.0147924344	-0.0963117169	-0.0101079907	-0.1036508482	0.1135149582	-0.0308082608	0.063250933	-0.1439969595	-0.0287107818	0.0706444557	-0.0683305441	0.0782260244	-0.0851361056	-0.0095926886	0.0160278433	-0.029256595	-0.0200007827	0.0059608972	-0.0442038152	-0.1098281711	-0.0727045413	0.0471176592	0.0680075742	-0.1162888155	0.0180926483	0.0042036743	0.1070247265	-0.0650039707	0.1007725547	0.0200598231	-0.0770242663	-0.094759292	-0.0996107778	-0.0093993818	0.0151819577	-0.0076024812	-0.0346659086	0.0411135585	0.0718833717	-0.0643701146	0.0133295343	-0.0143172008	0.0625677763	-0.0123773384	0.1519376464	0.083617166	-0.1306755189	-0.0407756389	-0.1260641012	0.0031434076	-0.0785088906	0.1143369233	-0.0080956283	0.0545714957	0.0113093555	0.1075085507	0.0048512205	0.0341773649	-0.0860346398	-0.0019358557	0.129404915	0.0333876371	-0.0252772804	0.1278002863	0.0802974172	0.1177510224	-0.0267229889	-0.0379159535	0.0116645093	-0.0713120511	0.0528953304	0.0013516746	-0.1532583608	-0.0106363424	0.0128539421	-0.0358112429	0.009080274	-0.2345659667	-0.0095126098	0.1145547726	0.1140958982	0.1133324686	0.0255918	-5.599999999997968e-06	0.00065494022724	3.1359999999977235e-11	-0.0046824	0.0649005	0.00421207490025	2.192486976e-05	0.0642663	-0.0146844	0.00413015731569	0.00021563160336	-0.00228119	0.0	0.0	5.203827816100001e-06	-0.000902643	0.000271827	7.388991792899999e-08	8.147643854489999e-07	0.000487224	0.000305554	9.336324691600003e-08	2.3738722617600006e-07	0.0
710.7638250184754	-0.8124006625974971	505185.21495489386	0.6599948365888523	767.9933765659881	1.2945552311474555	589813.8264492276	1.6758732464912425	693.3389937980039	0.0284610291514582	0.0008100301803601	480718.9603208285	708.6565944310869	501.0817556564701	0.910293	19.373922	0.06049165	0.028797	0.1120395273	-0.0118710533	0.0337353976	-0.1106338798	-0.0311764644	0.0275262435	-0.0729097323	0.0037800923	0.0262802966	0.0742402696	-0.0892911407	0.0254030285	-0.0445533938	0.2208738549	-0.0921152895	-0.0532909338	0.0257521401	0.1500095653	-0.1626201272	0.0321441026	0.0326030525	-0.0772762289	-0.0819709231	-0.0735830252	-0.0681873731	0.0104753437	0.1346283112	-0.0266500569	-0.1052678522	-0.0135165616	-0.018250489	0.0683530811	0.0066357107	0.0426350892	-0.0583823528	-0.0481771361	0.1314528545	2.73757e-05	0.0308899647	-0.118280281	-0.0570330977	-0.0345801265	0.0064286745	0.000739661	0.1131114431	-0.0289948097	0.0407616132	-0.0634037991	0.1302050887	-0.0180095693	-0.0473255367	0.0493937418	0.0451830101	-0.0577970571	0.1523014501	-0.0111193966	-0.0396444692	-0.0858795748	0.0322977954	0.0542586481	0.0892002458	0.0247107351	-0.0851736531	0.0023798014	-0.1525573163	-0.0083242905	-0.0773033086	-0.0393350332	-0.0197279926	0.0936970028	0.031144846	-0.0723749269	-0.0811940902	0.0056850054	-0.0970350986	0.0014371914	0.0270458299	0.0233121032	-0.1912193157	0.0124653702	0.1242309433	0.0313484547	-0.1395600787	0.0101462156	0.0596268847	0.0175346115	0.0015474037	0.0879340095	0.1077019257	0.0789308433	-0.1349459067	0.0570953845	0.0167826399	-0.0652806513	0.143755938	0.0387290287	-0.0336420203	-0.1846568265	-0.1104221297	0.009835187	0.1096657819	0.0472867421	-0.0308867146	0.017859774	-0.0372468393	0.0152398565	-0.0332703213	-0.15128372	0.0660483442	0.0556822841	-0.0483540628	0.1144078661	0.1135094328	0.1120172664	0.0202601	-0.0053317	0.00041047165201	2.8427024890000015e-05	0.0139657	0.0186481	0.00034775163361	0.00019504077649	0.07897	0.0147037	0.0062362608999999	0.00021619879369	-0.00236226	-8.106999999999993e-05	6.572344899999988e-09	5.580272307600001e-06	-0.000635136	0.0002675069999999	7.155999504899996e-08	4.03397738496e-07	0.000399638	-8.758600000000001e-05	7.671307396000003e-09	1.59710531044e-07	0.0
709.3227753489482	-1.4410496695271604	503138.7996287344	2.076624150044338	765.4820411793434	-2.51133538664476	585962.755368094	6.306805424214184	693.8933520096322	0.554358211628255	0.3073130267996772	481487.9839631633	708.5953739574986	492.3464126921021	0.954594	20.316803	0.09587435	0.04909	0.0715354984	0.0817044316	0.113044564	0.0017275484	0.0553683347	0.0801095751	-0.153545453	-0.0285763365	0.1229410879	0.2123418812	-0.0709234114	-0.0243289937	0.1079194683	0.0611908222	0.1002509688	0.0304412582	-0.02564566	0.0567124026	-0.0102669788	-0.0570579807	0.0468731736	-0.1756807888	-0.1566453324	-0.0113355186	0.0157534348	-0.0789819327	-0.0924834547	0.0496679715	-0.0522752392	-0.005467189	-0.0382216703	-0.1194005433	-0.0953268707	0.0769047455	-0.1011096345	0.0123550271	0.1240349209	-0.1467979957	0.0621748008	0.1448473687	-0.0270039023	-0.0906946566	0.0091979774	-0.0072897816	0.0723453073	-0.0395369072	-0.0892292923	-0.0672764321	-0.0738897708	0.0868188322	0.0341585372	0.0569334935	0.1620508851	-0.0185107886	0.0087508378	-0.0047205392	-0.1069897617	0.1041835486	0.0336041902	-0.0511736503	-0.1174565528	0.0129324668	0.1288647846	-0.0426536314	-0.0167561924	-0.0230966864	-0.0800596623	-0.0935145944	-0.0395777204	0.1531467471	0.0798367319	-0.107960962	-0.0848238911	-0.0181532762	0.0404745311	-0.0230343899	0.0012744448	0.0577184645	0.0168351654	0.1457313991	-0.093682227	0.0712973779	0.0262670758	0.077237964	0.0255323406	0.036241093	0.1409692861	0.0494033802	-0.1446513719	0.0014257263	-0.1158275519	0.0825574531	-0.1314062924	0.1140360087	0.1597918354	0.0178480744	0.0860549648	-0.0615022935	0.1552401733	0.0059135197	-0.0797472493	-0.0295474768	0.0530123013	-0.0157135818	-0.0392034484	0.0295505971	0.0359423293	-0.0097003104	-0.0218280467	0.1557043563	0.0489268054	0.1142120884	0.1127290384	0.1102715368	0.0231	0.0028398999999999	0.0005336099999999	8.065032009999997e-06	0.0466053	0.0326396	0.00106534348816	0.00217205398809	0.0876324	0.0086624	0.00767943752976	7.503717376000001e-05	-0.00264626	-0.0002839999999999	8.065599999999999e-08	7.002691987600001e-06	-0.0012141	-0.000578964	3.351993132960001e-07	1.4740388100000002e-06	0.000571323	0.0001716849999999	2.9475739224999997e-08	3.26409970329e-07	0.0
708.4920451925476	-0.8307301564005911	501960.9781011189	0.6901125927533506	761.7960840894227	-3.685957089920634	580333.2737339789	13.586279668736193	693.2296825673151	-0.6636694423170866	0.4404571286654727	480567.3927923804	708.675846152341	486.9146474242846	0.957061	20.369312	0.08530212	0.0558093	0.0400685039	0.1801036661	0.0105029946	0.0668514114	0.0502684283	0.1689665497	-0.0204568055	0.1254121066	0.043271132	0.0485264181	0.0060352235	-0.0048573841	0.0035797711	0.1095190472	0.1059323948	0.0038167782	0.0661312889	0.0748748245	0.0679336678	-0.0084472206	0.0965721448	-0.1374340517	-0.0626889277	-0.0212021546	0.0244152566	0.0160774161	-0.016648776	0.001476571	-0.001065259	0.0429830993	-0.0551545286	0.0072246552	-0.1362960055	-0.0351700312	-0.0186002037	-0.0690641885	0.0044236092	-0.0963465257	-0.0250037543	0.0251056487	-0.0119963902	-0.084210878	-0.0239032379	-0.0600226289	0.1472750941	-0.1073466914	-0.1248977167	-0.043156312	0.0001977143	-0.0760296346	-0.0894081584	-0.0313843921	-0.043514218	0.0389643208	0.0145393395	-0.0208356814	-0.0810580739	-0.0144722626	-0.0047216838	-0.104067328	0.0164937882	-0.0477955547	0.0380370915	-0.0249184249	-0.0213219649	0.0426846638	0.0480603915	-0.0963173003	-0.0087017904	0.1592614095	-0.0681473017	-0.0802242176	-0.0611014212	0.0453752428	-0.0246137868	-0.0203284477	-0.0243442172	-0.010086672	-0.0706066004	0.118206553	-0.1340733184	-0.0040152252	0.0277663058	-0.0137654301	-0.0741290769	0.0173158921	0.1152426758	0.0100559922	-0.0088231318	-0.0402602457	-0.0823706699	0.0135302306	0.0146088168	-0.0608348951	0.0466069322	-0.0947155004	-0.0686880776	-0.0758242607	-0.0295753593	-0.0471571946	0.0336852483	0.0389609696	-0.0895538725	0.0184087833	-0.0250928322	-0.123657753	0.0671034813	-0.0010047983	-0.0252980537	-0.107552984	0.023544641	0.1139675232	0.1117560484	0.1081019891	0.0312428	0.0081428	0.00097611255184	6.630519184000003e-05	-0.00466922	-0.05127452	0.0026290764012304	2.18016154084e-05	0.0789556	-0.0086767999999999	0.00623398677136	7.528685823999997e-05	-0.00234053	0.00030573	9.347083290000009e-08	5.4780806809e-06	-0.00125253	-3.842999999999989e-05	1.4768648999999912e-09	1.5688314009e-06	0.000571323	0.0	0.0	3.26409970329e-07	0.0
708.2549127654938	-0.2371324270537798	501625.02145645727	0.0562317879604161	762.4506304036553	0.6545463142325616	581330.9638029314	0.4284308774754313	692.7782895460919	-0.4513930212232253	0.2037556596090311	479941.7584664087	707.8862280543195	485.3413418913395	0.875549	18.634462	0.04059717	0.0224853	0.0946033339	0.1957536268	-0.0395033715	-0.0205570304	0.0371821287	0.1970340724	-0.0746413763	0.0738688075	0.0606205589	0.1538371445	-0.000871878	0.1640056456	-0.0087111429	-0.0705311953	-0.0422902932	0.0627617621	-0.0154048826	0.1528123081	0.0922620491	0.0048857806	0.0620064877	-0.0754303743	-0.0943659203	-0.0550615147	0.0510665978	0.103037337	0.0171515186	-0.0040944151	0.0133706772	-0.0272712657	0.0060668135	-0.1075044033	0.0494772522	-0.0371229868	-0.0272237492	0.034372719	-0.0957184015	0.0489337375	0.0585242671	0.0697170185	0.0648370602	-0.1123557479	-0.0307113137	0.0798875321	0.0377860114	-0.0150049072	0.0300965435	0.0590607315	-0.1037483359	-0.0005033312	-0.0101646912	-0.0114149402	-0.0033079253	-0.0052791971	0.0953362613	-0.0608612954	0.0403305067	0.0774024388	0.0004746247	-0.0069274347	-0.0180334184	-0.0195854941	0.0190067625	0.064569963	-0.0846029222	0.0189375851	0.0806490767	-0.1366878245	0.0069771702	0.1622137787	0.0006374195	-0.0520349171	-0.0726013048	0.1099049108	-0.027844394	0.0703954501	0.0212776571	-0.0240467147	0.0603539214	-0.0138487322	-7.61546e-05	-0.0818196679	0.0080783229	0.0070368156	-0.0019621676	-0.0356947991	-0.0015784778	-0.0558008395	0.0258839105	-0.0731090657	0.0673644171	-0.0090858828	-0.0724198841	0.1726867006	-5.45414e-05	0.1057879645	0.0314740629	-0.0233175355	0.0473785678	-0.0663903402	0.0589370289	0.0070940086	0.0394463472	0.0219606451	0.001195277	0.0737839683	-0.099584612	-0.0333791192	0.0958895862	0.00196575	0.0206604585	0.1136742748	0.110592125	0.105516962	0.0310046	-0.0002382	0.00096128522116	5.673924000000044e-08	0.0076843	0.01235352	0.0001526094563904	5.904846649e-05	0.0750872	-0.0038683999999999	0.00563808760384	1.4964518559999954e-05	-0.00267319	-0.00033266	1.1066267560000017e-07	7.145944776100001e-06	-0.00110245	0.0001500799999999	2.2524006399999976e-08	1.2153960025e-06	0.000571324	1.000000000015745e-09	1.0000000000314906e-18	3.26411112976e-07	0.0
708.3461179142906	0.0912051487968028	501754.2227642461	0.0083183791670469	763.3907154302044	0.9400850265491272	582765.3844050394	0.8837598571418731	692.2102227885692	-0.5680667575226153	0.3226998410022577	479154.9925330007	707.1779572293792	482.9698060531763	0.8804739999999999	18.739281	0.0123487	0.0075008699999999	0.1595989968	0.1578341889	-0.0390049336	-0.0406996459	-0.005038987	0.1898926577	-0.0152082157	0.0105034081	-0.0405352847	-0.0278940791	-0.0283820093	-0.0424147238	-0.1070932957	0.0112273314	-0.0151396464	-0.03365233	0.0206265064	0.1567456925	0.1395783583	0.0327336678	-0.0129290307	-0.0818156083	0.0330395072	0.0862958652	0.026884007	0.1087782902	-0.0578876095	-0.1188696481	0.099277404	-0.0694644802	0.0343336289	-0.1248177549	0.0650200075	-0.0669928153	0.0376106606	-0.0880446398	0.0234891379	-0.0003676752	0.0183858399	-0.0510696903	0.0863180112	0.0402236654	0.1060905666	-0.1478039206	-0.0304676392	-0.0522767468	0.0488996841	0.1041462994	0.0497966018	-0.1586343328	0.1372307932	0.0164903227	0.0348110101	0.0274034957	-0.1354732215	0.0305042932	0.1141152325	0.0164776804	0.1136719806	-0.0586198547	-0.0249797982	0.0074192051	0.0400290037	0.0567610883	-0.079508324	0.0032233713	0.1279049683	-0.1293810462	-0.0248781554	0.10324244	0.0455922006	-0.0287240892	0.0913041649	0.0862259352	0.0871381873	0.0504098835	0.1037555567	-0.0652429319	0.0759175282	-0.0663548858	-0.022097344	0.0583003805	0.0570397326	0.1021130744	0.0744649643	-0.032559556	-0.0596732167	-0.1129848841	-0.0880277932	-0.0557665878	0.020491984	-0.0752435811	0.070305774	-0.1012904191	-0.0448797363	0.0214351128	0.0241936122	0.0213946076	-0.0113529832	-0.047793867	-0.1144805045	0.1997566383	-0.0831200761	-0.0379766354	-0.1049904654	-0.1353092822	-0.0017782779	0.1233506196	0.0315425429	-0.0196043539	-0.0485566676	0.1133324686	0.1092392569	0.1025263906	0.0316677	0.0006630999999999	0.00100284322329	4.397016099999998e-07	0.0042941	-0.0033901999999999	1.1493456039999997e-05	1.8439294810000004e-05	0.0696138	-0.0054734	0.00484608115044	2.995810756000004e-05	-0.00261834	5.485000000000039e-05	3.008522500000042e-09	6.855704355599999e-06	-0.00110086	1.5900000000000985e-06	2.5281000000003127e-12	1.2118927395999998e-06	0.000571324	0.0	0.0	3.26411112976e-07	0.0
709.0402199151065	0.6941020008158603	502738.03345726256	0.4817775875365805	764.2758006369014	0.8850852066969992	584117.4994391766	0.7833758231138698	692.1182189404725	-0.0920038480967377	0.0084647080646076	479027.62898933183	707.4488114458604	486.2789025764864	0.897617	19.104155	0.02714779	0.0134367	0.1908334301	0.0822253437	-0.0037134649	-0.132562627	0.0007767092	0.1976481026	-0.0539868425	0.0033971911	-0.0497632781	-0.0012982208	-0.0567662739	0.0318421142	-0.0890040813	0.0214036492	-0.0244633989	-0.054714163	0.0310078725	0.1915253971	0.0972257863	0.004256021	-0.0867846595	-0.1040939971	0.0410158719	0.0560547249	-0.0942135883	0.11406312	0.0361924981	-0.170948276	0.0032055493	-0.1388111135	-0.013953867	0.0329836091	-0.0093027928	-0.0397112014	-0.0692007231	0.0490983707	-0.013454476	0.0341861795	-0.0993447812	-0.0353362171	0.0214782809	-0.0789235171	-0.1269487616	0.062284139	0.1549747283	-0.0251086175	-0.1063956706	0.0677940299	-0.0123252727	0.0083091504	-0.0383654554	-0.0292563525	-0.0446607798	-0.0729054781	-0.0004943072	0.1218590599	0.0063462872	0.0291600747	-0.0279435838	-0.0139240944	-0.1024825612	-0.0090577441	-0.0260720616	0.035653966	-0.1468081252	0.0136165484	0.0939281402	-0.0798083245	0.0759859267	0.0475568246	0.070522638	-0.1327228069	0.0659945987	0.0652105882	0.0298288822	0.1028753714	0.1334009358	-0.0936900305	0.0467804157	0.0887659534	0.1656755416	-0.0346878426	0.0196179505	0.0004619332	-0.1062561766	-0.1232310038	0.0083497518	-0.0215201289	-0.0041268615	0.1710153363	-0.0457289145	0.0073762004	-0.0474220208	0.1438939034	0.0134921023	-0.0607415707	-0.0173320625	-0.0386902458	-0.0084458702	-0.0144507968	-0.0548215621	0.0199389914	-0.0305922512	-0.1012387922	0.070594296	-0.0919115848	0.0181865433	-0.0140589771	-0.0712722802	-0.0127561339	0.0557178485	0.1129422506	0.1076997553	0.099141769	0.0295911	-0.0020766	0.00087563319921	4.312267560000005e-06	-0.00471139	-0.00900549	8.109885014010003e-05	2.2197195732100003e-05	0.0610186	-0.0085952	0.00372326954596	7.387746304000007e-05	-0.00266696	-4.862000000000009e-05	2.363904400000008e-09	7.1126756416e-06	-0.00120165	-0.00010079	1.0158624100000024e-08	1.4439627225e-06	0.000571324	0.0	0.0	3.26411112976e-07	0.0
710.4034836153478	1.3632637002413048	504673.10953282175	1.8584879163956145	765.6413468249506	1.3655461880491655	586206.6719679242	1.8647163916956075	693.093448741483	0.9752298010105278	0.9510731647790336	480378.52868836274	707.8490372291694	486.19540032812495	0.983421	20.930336	0.20833599	0.0981378	0.1362774877	0.0864808035	0.1124647109	-0.0608667265	0.0075900961	0.1166712081	-0.1113048646	-0.110723386	-0.0758202076	0.0724136868	0.0089594334	-0.1008397641	-0.0104275429	0.0145578148	0.0760239206	0.0562977307	-0.0618048607	0.1296672955	-0.0652328907	-0.0170453335	0.1212173275	-0.0645416446	0.150891287	0.1008873808	-0.0198178153	0.0219381948	0.0352747961	0.0224446603	0.0924248405	0.0368729161	0.0941358345	0.0667072427	0.0791189661	-0.0239422336	0.0447356496	-0.031773758	-0.0337187578	0.0118059577	-0.0392852944	0.0727963908	0.0736046848	0.0848553435	-0.0752053006	-0.1540084942	-0.017383036	0.1064780332	-0.1292516334	-0.0400365197	-0.0709300472	0.1467644283	0.0953615825	0.1263268887	-0.147651969	0.0461420909	-0.0197468499	0.1029177924	0.0557010451	-0.0706860398	0.058908947	0.1331648059	-0.0226894576	-0.0587892856	-0.0837028491	-0.1479509844	-0.0653020767	0.000937745	-0.0559836347	-0.1935548383	-0.0179591707	0.0072288007	-0.0217534667	0.0774482678	0.1277024452	0.0584444447	-0.0253841009	0.0182085303	-0.0031326296	-0.0070550196	0.000247295	-0.0892524447	0.0092432807	0.1443033048	-0.0192524873	-0.1125204584	-0.0600898609	0.0621142534	-0.0398357011	-0.1174069542	-0.0241105257	-0.0710544599	0.1170953818	-0.0390355963	-0.0269751254	-0.039919543	-0.0716383802	-0.093125768	0.0593264162	0.1993720004	-0.0631745775	0.0988314002	0.1600180499	-0.0053729569	-0.0631110082	-0.0237842414	0.0577081512	-0.0074065501	-0.0307644205	0.1129952061	-0.0392639042	0.0700328089	-0.0337758237	0.1125037874	0.1059762505	0.0953761056	0.0151515	-0.0144395999999999	0.00022956795225	0.0002085020481599	0.040816	0.04552739	0.0020727432402121	0.0016659458559999	0.10546	0.0444414	0.0111218116	0.00197503803396	-0.00114525	0.00152171	2.3156013241e-06	1.3115975625e-06	-0.000644808	0.000556842	3.100730129640001e-07	4.1577735686400005e-07	0.000571324	0.0	0.0	3.26411112976e-07	0.0
