global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
798.046354162281	n/a	n/a	636877.9833917088	1041.2305776055452	n/a	1084161.1157407777	n/a	749.2848908233212	n/a	n/a	561427.8476161164	798.7836299171304	625.6741055394	n/a	n/a	n/a	n/a	-0.0965435211	-0.1259181373	0.0756664169	-0.0313080314	0.1215869344	-0.0145195758	-0.1851185223	0.120542423	-0.0495103024	0.0763124847	-0.0012966331	-0.1858243949	0.0663131351	-0.1313316239	0.2210209378	-0.0976028245	0.1092854168	-0.2983015712	0.1228286815	-0.1962779748	0.0736073991	-0.0695233063	-0.08815239	0.0539156087	-0.139347505	0.0998558248	-0.1192476464	6.07858e-05	-0.0094527775	0.0964634981	0.0160539412	-0.2189949918	0.0061008112	-0.125184544	0.0646411711	-0.0515332478	-0.1276907911	0.0919147952	-0.0702171119	0.010649883	-0.1340575208	0.0804819785	-0.0813136276	0.1276613372	-0.0045310382	0.0136101853	-0.0566963186	0.0399631358	-0.018513983	0.1240338632	-0.0947600906	0.033951321	-0.0606033661	-0.0921221724	0.1025577707	-0.2315073125	-0.0293154837	0.0292821513	0.0435319471	-0.046300247	-0.0232873342	0.0567446533	0.0967623006	-0.0238299311	-0.0117697072	-0.0181123648	-0.0993417011	0.1093658075	-0.0107676101	-0.0927082886	0.0023729181	0.0893364684	0.0635812046	-0.0386846496	0.1786609683	-0.0361599136	0.004158576	-0.0422420298	0.0245861076	-0.0879616612	-0.0864324027	0.1451777199	-0.11449793	0.1468217034	-0.0410774105	0.1012963946	-0.1238074685	0.1118998683	-0.036686819	0.0186219482	-0.0971012486	0.0220624476	-0.1999896387	0.0044307501	-0.0014822134	0.0675853883	-0.0378011295	0.0389909689	-0.0624570527	0.0771428583	-0.0644077754	-0.0293828283	0.1515126569	-0.1320918938	0.1433022124	0.017532939	-0.0457896232	-0.00278639	-0.2302809855	0.0756650261	0.0720765465	-0.0739452431	-0.0531354243	-0.0588870384	0.0662880319	0.0948026732	-0.0705610177	-0.0983371485	0.1147017419	0.1146833673	0.1146527451	0.121162	n/a	0.014680230244	n/a	-0.0946365	n/a	0.0089560671322499	n/a	-0.144898	n/a	n/a	0.020995430404	0.00179933	n/a	n/a	3.2375884489e-06	-0.000113504	n/a	1.2883158016e-08	n/a	0.00251053	n/a	n/a	6.3027608809e-06	0.0	0.0
796.566454046658	-1.479900115622968	2.1901043522208736	634518.1157124665	1035.1796386762703	-6.050938929274935	1071596.8843299337	36.613861925814895	749.4786684727286	0.1937776494073659	0.037549777409844	561718.2744956543	798.8995666551187	621.1051796628685	1.371369	27.995382	0.1643347	0.0916022	-0.061291295	0.1270212878	0.0104460417	-0.119951269	0.0533499935	0.0023590936	0.0467832467	-0.0417431516	-0.0618190036	0.0530893804	-0.0479426563	-0.1513536354	-0.0051840247	-0.1088315384	0.205874542	-0.1025583021	-0.1647516591	-0.0108532573	-0.1881131107	-0.1017386863	-0.0679808098	0.0721231259	0.1468657803	0.05755408	-0.1151714645	-0.0548841186	-0.0079535256	0.0211163943	-0.0422834065	-0.0168476626	-0.0232081111	-0.173147527	-0.0668460484	0.0068668489	0.0383048575	-0.0285466796	-0.0688977062	-0.0733593149	0.2442079564	0.0255157557	-0.1829086339	0.0122844109	-0.0274433496	-0.0067708525	0.0325014856	-0.1140790008	0.0469497667	0.1450497762	0.0753569589	0.0992556188	0.0779453124	0.077299319	-0.1331316516	0.012619434	-0.0163238086	0.0294575618	0.1079831643	-0.0229189673	0.037388591	-0.0582539341	-0.1812416403	-0.0611485174	-0.0386635327	-0.0981000821	-0.0326029608	-0.0204086958	-0.0586449703	0.0910626135	0.1069140864	0.1094533564	0.0190197503	0.0279113459	0.0864352625	-0.0132145951	-0.0060582981	0.0594366311	0.0813636315	0.1009247167	0.083077326	0.0050150006	-0.1052487925	0.0668176552	-0.0339441482	0.1509102589	0.1966507722	0.1704144526	-0.0507787618	0.0702412772	0.0363235272	-0.0089768183	-0.0027788254	0.1028841942	0.1072900267	-0.0501794638	-0.0336107815	0.1072491064	-0.2145223509	0.1049651919	-0.1226141524	-0.0439073817	-0.0361962892	0.0672140883	-0.1400093874	-0.0283218232	0.0685298441	-0.0202740804	-0.031316106	0.0714188272	0.0899287603	0.0228225052	0.1705551852	-0.0918761694	0.0278131933	0.0598391896	-0.0512567781	0.0025953719	0.0187275906	-0.0786473814	0.1146527451	0.1144874327	0.1142120884	0.114118	-0.007044	0.013022917924	4.961793600000012e-05	-0.16937	-0.0747335	0.0286861969	0.0055850960222499	-0.116736	0.0281619999999999	0.0007930982439999	0.013627293696	0.00130024	-0.00049909	2.490908281e-07	1.6906240576e-06	-0.000363388	-0.000249884	1.3205083854400002e-07	6.244201345600002e-08	0.0021716	-0.0003389299999999	1.1487354489999993e-07	4.71584656e-06	0.0	0.0
793.4458216651774	-3.1206323814806183	9.738346460345396	629556.2719179285	1031.85504392427	-3.324594752000394	1064724.831671957	11.05293026502856	747.4524173487091	-2.026251124019496	4.105693617590268	558685.1162004288	797.6256724160116	627.5660476548063	1.14966	23.469374	0.20256295	0.121719	-0.0360986311	0.0796955975	0.0768476023	-0.0443252497	0.0414401836	-0.0444398988	0.085252342	-0.1568214467	-0.0797247614	0.0323173464	0.0917996652	0.0908089022	-0.0442052813	-0.0998180265	-0.0467549691	-0.1988401084	0.0209796287	0.0620550903	-0.1987361747	-0.0619892544	-0.0277055793	0.0395612651	-0.0137895472	-0.0187034322	0.048180821	0.0809997947	0.179540559	0.0810633797	0.0658391127	-0.1288238505	0.0029605031	-0.1415425972	0.0224739909	0.0191257836	-0.0337869862	0.0751446009	-0.0683844616	0.0283068176	0.0100599275	0.0639720905	-0.0297618549	-0.1095839566	-0.1323759079	0.0379384078	-0.0041540843	0.1484264783	0.0541930668	0.0877456529	0.1533175688	0.0601507202	-0.1052827812	-0.1301658591	-0.0021679946	-0.0807683715	-0.0197894868	0.0314299826	-0.0269141958	0.0055907565	-0.1105515246	-0.1094093928	0.1095065704	-0.0613514746	0.1081955092	0.0473736798	-0.1091727105	-0.1287419383	0.0432566571	-0.1345010611	-0.1053544687	0.0366949782	0.0728117955	-0.0164512594	0.1167369076	-0.0325470763	-0.0754169887	0.0448172807	0.1794789113	-0.0446082525	-0.0981050604	0.0050630674	-0.1050668023	0.0681803081	-0.0476195917	0.1173084955	0.1329040513	0.206173939	-0.0220247571	0.0087069263	0.1573635771	-0.0079227015	0.1045826345	0.0345959672	-0.1239328339	-0.0148678445	-0.0813220288	-0.0090597554	0.1855341475	-0.0660227835	-0.0260667106	0.0217203697	0.0995336311	0.0125732686	-0.0394320878	0.0332069841	-0.0344388791	0.0581639861	0.086491659	0.014514197	0.0945938271	-0.0559890805	0.0251451567	0.0962751139	-0.0857389233	0.089986302	0.0626667318	-0.0083814598	0.0594012901	0.0763256442	0.1145547726	0.1140958982	0.1133324686	0.101121	-0.0129969999999999	0.010225456641	0.0001689220089999	-0.0547711	0.1145988999999999	0.00299987339521	0.0131329078812099	-0.0878450999999999	0.0288909000000001	0.00083468410281	0.0077167615940099	0.0008280629999999	-0.0004721770000001	2.2295111932909449e-07	6.856883319688345e-07	-0.000615604	-0.0002522159999999	3.78968284816e-07	6.361291065599997e-08	0.00197447	-0.00019713	3.8860236900000096e-08	3.898531780899999e-06	0.0	0.0
792.081257801442	-1.364563863735384	1.86203453821244	627392.7189603144	1029.822606580257	-2.032437344013033	1060534.6010237546	4.130801557338752	746.6495210706317	-0.8028962780773554	0.64464243335047	557485.5073150038	796.6240911023473	602.505888598856	1.316339	26.871998	0.1169427999999999	0.0824493	0.0234574886	0.1019214711	0.1034597551	0.0332267146	-0.0409188239	0.0032851371	-0.0846554749	-0.2397080938	0.0533998435	-0.0276318078	0.085692182	-0.005499578	-0.066610827	-0.0869383144	0.048066827	0.025081847	0.1759763255	-0.1131577159	-0.1015856883	0.1709125336	-0.1281445589	-0.0499849951	0.0592491282	-0.0070285968	-0.089398637	-0.0576048083	-0.1478932781	0.0986695285	0.1064725986	-0.0222910134	0.03722233	-0.1541943837	0.0053721969	-0.0404467061	0.0237477804	-0.1573625213	-0.1260430918	0.118642895	-0.0851680945	0.1406953094	0.1044667731	-0.1094289823	0.0389148514	-0.0630852757	-0.0094280642	0.0285242491	0.0485397767	0.100973298	-0.0075554482	0.0156242123	0.0135799714	-0.0585841491	0.0484860581	-0.1229909745	0.1471961851	-0.0400404008	0.0150063617	0.0535038268	0.0452079416	0.1000601087	-0.1042032475	-0.0440038299	-0.1872873164	0.1415118271	0.0426765265	-0.0095791733	0.0433248553	0.0327774861	0.0143744029	0.1489183136	-0.1382055538	-0.0252883995	-0.1511964234	0.0040990075	0.0987028355	-0.0719131948	0.1780508319	0.0620839589	-0.0090169843	0.0850360394	-0.1282541809	0.0201160145	-0.0533517827	0.0213740457	-0.0323687637	0.0362323727	0.0502109506	0.1163557007	0.0111546416	0.1141118426	0.1720119972	-0.0704150549	-0.0527335216	0.1876327966	-0.008638833	-0.0731713058	0.0536408281	-0.0030868041	-0.1254914992	0.0188623952	-0.0284156311	0.0228848456	-0.0527235314	-0.1240102291	0.0930051965	-0.0871793987	-0.1393774481	-0.1678086371	0.0776823781	0.0483134353	0.0736877362	-0.0111997686	0.0799608895	0.022080221	-0.0410971883	-0.0718454639	-0.0725530384	0.0865690398	0.1144078661	0.1135094328	0.1120172664	0.117492	0.0163709999999999	0.013804370064	0.0002680096409999	-0.134313	-0.0795418999999999	0.018039981969	0.0063269138556099	-0.0957341	-0.0078890000000001	6.223632100000165e-05	0.00916501790281	0.0008280629999999	0.0	0.0	6.856883319688345e-07	-0.000446436	0.0001691679999999	1.99305102096e-07	2.8617812223999992e-08	0.00188082	-9.36499999999998e-05	8.770322499999964e-09	3.5374838724000003e-06	0.0	0.0
793.1265888996232	1.0453310981812365	1.09271710482479	629049.7860195519	1030.5714289299494	0.7488223496925457	1062077.4701267178	0.5607349113990652	746.4316938944186	-0.2178271762131771	0.0474486786970065	557160.273650091	794.8265128701138	587.3469744783073	1.089695	22.245255	0.13440105	0.0797371	0.0422480211	0.1082853668	-0.0413475974	0.0388502068	-0.0673353588	0.0310739226	0.1337010443	-0.0890310747	0.0981660191	-0.0957569959	-0.0463019277	-0.0550538309	0.0073275648	-0.0513763663	0.1295210751	0.0275637614	-0.0866874389	0.1145877906	-0.0538665672	0.0565583774	-0.2390406715	-0.0587480595	-0.0947012309	-0.00436024	0.0398260657	-0.0109121805	0.0055708898	0.1355068699	0.1671790867	-0.0831263077	-0.0959471747	-0.0141995038	-0.047264183	0.0006750671	-0.0179294166	-0.1151367211	0.057571962	-0.0502834247	0.1911717338	-0.0696091381	-0.0231891913	0.0233446946	0.0055079948	0.0473728388	0.0637843906	-0.0516204904	0.0041513735	0.0011712768	0.0188821718	-0.1218749618	0.0948362128	-0.1942315272	0.1343294882	-0.040517214	0.0439380345	0.0323758599	0.0550122309	0.0194878828	0.0402855613	-0.1077708191	-0.1588612878	-0.0789425532	0.050461589	0.0434344822	-0.141627543	0.0100694666	-0.0834883526	-0.1475497947	0.0323388982	0.0003361332	-0.0434749557	-0.0022770722	-0.0520743342	0.0853042195	-0.1141589585	-0.1196372849	0.1434838859	-0.0059441739	0.0417666901	0.02478791	-0.0756543356	-0.0225524349	-0.1277293703	0.0997111228	0.0509587309	0.0100739023	0.142026443	-0.0374120191	-0.0006846375	-0.0026957724	-0.0104108517	0.0543910591	0.1812945064	-0.033929853	0.0625851061	0.0142800301	-0.0199788496	0.0241429465	0.0353390343	-0.0129068949	0.2367528201	0.0160031178	-0.0058253606	0.0099991979	0.114131525	-0.1480863023	0.0115603289	-0.0365185267	0.0863378449	0.0229913639	-0.031764893	0.0999248824	-0.0444700053	0.0390631114	0.0289325378	0.0339310628	-0.0714994666	0.0468794381	0.1142120884	0.1127290384	0.1102715368	0.112861	-0.0046309999999999	0.012737605321	2.1446160999999964e-05	-0.0593468	0.0749661999999999	0.0035220426702399	0.0056199311424399	-0.0858050999999999	0.0099290000000001	9.858504100000208e-05	0.0073625151860099	0.000329074	-0.0004989889999999	2.489900221209003e-07	1.08289697476e-07	-0.000615604	-0.0001691679999999	3.78968284816e-07	2.8617812223999992e-08	0.00165148	-0.0002293399999999	5.259683559999999e-08	2.7273861904000003e-06	0.0	0.0
795.287325871204	2.160736971580718	4.668784260355813	632481.9306913705	1031.0374129018528	0.4659839719033698	1063038.1468033458	0.2171410620708405	746.7329723007233	0.301278406304732	0.0907686781055191	557610.1319210728	794.8323759025405	607.0266849515394	1.131819	23.105171	0.079904925	0.037485	0.0017224973	0.0096634148	0.1645208815	0.021087021	-0.0517925274	0.0405789496	0.0118367888	-0.1259597216	0.0806320632	0.1212299421	-0.1366349962	0.132773596	0.0738613404	-0.02136173	0.0387974255	0.0827153886	-0.0090670479	0.0940318005	0.015681848	-0.1630147361	0.0220488211	0.0141535049	-0.0566990276	-0.1637290045	0.0701819155	-0.0432847466	0.0827402872	0.1031376086	0.1729794012	0.0730906921	-0.0915851419	-0.1263087527	0.0817853917	0.0587824519	-0.1072967649	0.0145600827	-0.0613995844	0.0469119848	-0.1527171336	0.0048882544	0.1586068521	0.0635700361	-0.0069208059	-0.0564502959	-0.0964328428	-0.0391256787	-0.1073389619	-0.2409873877	0.0268391533	0.0186996804	-0.0138667472	0.0592901809	0.0925777571	0.0311095805	-0.079341292	-0.0659043612	-0.0739343786	0.0124108224	-0.1021107775	-0.0234835043	0.1011939784	-0.0188445368	0.0761223514	0.0238144622	0.1158144482	0.0096257135	0.0860960351	0.0297039735	0.0774957593	-0.0131648405	0.0917678644	0.1371195648	-0.1587918199	0.0959214704	0.0246304486	-0.1585058885	0.1682245526	-0.0617928977	-0.1172108689	-0.1241006679	0.1239657435	0.0003505409	-0.1487325445	-0.0640620727	0.0869140407	0.026854193	-0.0133734588	-0.0601024524	0.0184381592	0.0284741356	-0.00098765	-0.1424671693	-0.0875553126	-0.0734795516	0.0585268383	0.031096415	0.0088370861	-0.1331643371	0.144353685	-0.0502364413	-0.0189653248	-0.1292024904	0.0701037256	-0.0370009076	-0.0379523661	-0.0100950757	-0.0373111103	0.1154469329	-0.0617470189	0.0869722326	-0.0108794266	-0.0362044582	0.1301362172	-0.1014922165	0.0774402277	-0.0240673271	0.0501340256	-0.0377762025	0.1139675232	0.1117560484	0.1081019891	0.0963751	-0.0164858999999999	0.00928815990001	0.0002717848988099	-0.0519046	0.0074421999999999	0.00269408750116	5.538634083999994e-05	-0.0670957	0.0187093999999999	0.0003500416483599	0.0045018329584899	-7.77385e-05	-0.0004068125	1.6549641015625e-07	6.04327438225e-09	-0.000445408	0.0001701959999999	1.98388286464e-07	2.8966678415999983e-08	0.00148314	-0.00016834	2.8338355600000043e-08	2.1997042596e-06	0.0	0.0
794.8929711845202	-0.394354686683755	0.1555156189094426	631854.8356385544	1031.0682031401252	0.0307902382724023	1063101.6395266063	0.0009480387728713	747.2324552275575	0.4994829268341618	0.2494831941988206	558356.3421454037	795.7288696672528	601.8119197990798	1.097574	22.406097	0.103513525	0.0531809	-0.0030955043	0.065373547	0.015578721	-0.0090400349	-0.151012555	0.0202408244	0.0148216691	-0.1742381467	0.118385918	0.1331002112	-0.1595721458	-0.0854154399	-0.1030169271	-0.0765382043	-0.0905926071	-0.05570596	-0.031204815	-0.0330213288	-0.0377111199	-0.0723800187	0.0531288811	0.0536647413	-0.0469346824	0.1155581695	0.1195090516	-0.0682014207	0.0286160449	0.0796323181	0.142226042	0.019558731	-0.1654739661	-0.038508187	0.0696278341	0.010471556	-0.0652009914	-0.082123588	0.0573775802	0.1020032629	-0.0058784628	0.0703681921	0.0231782958	0.0629567009	-0.0692255319	-0.0152812548	0.1595475521	0.1087535946	-0.0902968222	-0.0064464593	-0.1055915588	0.0733781573	-0.0536556178	0.0470762448	-0.0392870616	0.0557652728	-0.1143463747	0.0505232852	0.1679893991	0.0596196061	0.1261493465	0.0443247467	-0.0036203575	0.0666268857	0.011683421	-0.1636654408	0.1932485104	0.0366401467	-0.052032204	0.0663664856	-0.0840356803	-0.0576346002	-0.0020691782	-0.067813851	0.1735242693	0.0823152063	0.000821767	-0.1305572042	0.1660489151	0.0328955357	0.1452046977	-0.0974718745	-0.0078885996	-0.0479287026	0.0759547653	-0.0201441763	-0.0045466459	-0.0781729107	0.0537712572	-0.0546232784	-0.1059858711	-0.0894656137	-0.1540095214	0.0149150462	-0.2102884046	0.0605756633	0.0603227121	0.0739011773	-0.1275457071	-0.2424565173	0.0269445743	-0.053897657	-0.1244892441	0.050498953	-0.0133092526	0.1745120649	0.0507882884	-0.0480529058	-0.0033514861	0.0701581135	-0.025677396	0.0692596429	0.0645260919	0.0934965634	0.1173349047	0.0796432013	0.0374183381	0.0352830675	0.0599596077	-0.0647597559	0.1136742748	0.110592125	0.105516962	0.109576	0.0132009	0.012006899776	0.00017426376081	-0.0977986	-0.045894	0.00956456616196	0.0021062592359999	-0.0573239	0.0097717999999999	9.548807523999994e-05	0.0032860295112099	0.000271226	0.0003489645	1.2177622226025e-07	7.356354307600001e-08	-0.000391156	5.425200000000002e-05	1.53003016336e-07	2.9432795040000023e-09	0.00119342	-0.00028972	8.393767840000002e-08	1.4242512964e-06	0.0	0.0
794.1883704210125	-0.7046007635077558	0.4964622359357124	630735.1677119833	1032.0253289615448	0.957125821419595	1065076.2796181848	0.9160898380281344	748.1845150850797	0.952059857522272	0.906417972305329	559780.0686130959	797.3001107767101	605.3184993937141	0.975628	19.916668	0.1502365899999999	0.0953661	0.0270676412	0.1063212896	0.0136121787	-0.0111769055	-0.0726827281	0.0194061867	0.1252294128	-0.1251247475	0.0064763465	0.0835857967	-0.0888311269	0.0190505524	-0.1389015433	-0.0085464751	0.0153178504	0.006675676	-0.0572305799	0.1113758404	0.031626214	0.1057987354	-0.0363599566	0.1158189361	-0.024705705	-0.0457972861	0.0728757583	-0.0388357422	-0.0118859766	0.0505234736	0.0528399775	-0.1081745892	-0.140677975	-0.020953658	-0.1550062919	-0.0185188764	-0.027884772	0.1274915541	0.0750242431	-0.1216025251	-0.1372493107	0.0885427306	-0.1047948612	0.0314985387	-0.000929524	0.0816723144	-0.023854853	0.1110387021	-0.0989162208	-0.0506419686	0.0513561945	-0.1228676382	0.0546412007	-0.1535773458	0.0477237838	0.0284665124	0.010000555	-0.0338922726	0.0210454984	0.0286934255	0.0273297769	0.0079679361	0.1715913168	0.1103821077	-0.0661392373	-0.029402498	0.0844189595	-0.1365589527	0.148920355	0.0432387239	-0.0101436459	0.0366013544	-0.0401699835	-0.0734944492	0.0899968655	0.049645284	-0.0992342709	0.0185780817	0.118893666	0.0108089377	0.0389962408	-0.0919903204	0.099407359	0.1139887794	0.0434779934	0.0354596022	-0.0936342339	-0.0684469568	0.0283000464	-0.1632432152	-0.0753197605	-0.0790699009	-0.1305951637	0.0396139763	-0.0824366966	-0.0674958713	-0.0416974872	-0.0418417743	0.1221524657	0.0369665367	0.0049010135	0.1052680142	0.0626167213	0.0153383295	-0.0626492187	0.0772043428	0.0998769878	0.0484921748	-0.0268598755	-0.0370716225	-0.1056221989	-0.1333427472	-0.0064352136	-0.0381572345	0.0396076347	0.0229144018	-0.1017713884	-0.0139602733	0.1026287752	0.1713715559	0.1133324686	0.1092392569	0.1025263906	0.100708	-0.008868	0.010142101264	7.864142400000002e-05	-0.00595951	0.09183909	3.55157594401e-05	0.0084344184520281	-0.0474046	0.0099192999999999	9.839251248999998e-05	0.00224719610116	-0.00018028	-0.000451506	2.03857668036e-07	3.25008784e-08	-0.000615604	-0.0002244479999999	3.78968284816e-07	5.0376904704e-08	0.00107717	-0.00011625	1.3514062500000008e-08	1.1602952088999995e-06	0.0	0.0
793.5337699133157	-0.6546005076967276	0.4285018246768136	629695.8439928391	1030.8597119230426	-1.165617038502205	1062671.7456660585	1.358663080446651	749.3343713118932	1.1498562268134265	1.32216934234161	561502.0000293902	798.3721172540702	604.2013050993339	0.959572	19.588896	0.05027959	0.0232483	0.0568885707	0.0351725768	0.1404475849	0.0185124417	-0.0520152186	0.0097685709	-0.0546008266	-0.1881562848	-0.0899485102	0.025199186	0.1042813027	0.0317813814	-0.0354608078	0.0142149757	0.0677262785	0.104338664	-0.1298261576	0.1010057181	0.0578577172	0.1026732065	0.0415002436	-0.1286783368	0.0545240698	0.0948455773	-0.0022637162	-0.0123591096	0.0173553851	0.0326357499	-0.0644521278	-0.0649873314	0.0499688824	-0.1480368323	-0.0867838187	-0.0037120653	-0.1925211119	-0.1210972899	0.0990893848	-0.2461046595	-0.0191951587	0.0610126405	-0.0104830463	0.0540434693	0.0408813915	-0.0501551781	0.026079513	0.0544271529	-0.0834367899	0.0188583277	-0.2089959321	-0.1135441341	0.0081381055	0.2000480349	-0.0119718498	0.1249957184	-0.0268495396	0.1232373493	-0.1220366487	-0.0518552121	0.0519238162	0.2123374963	0.1448755362	0.0704059632	0.0483308926	0.0942171065	-0.0295222067	0.0071239365	-0.0017442245	-0.1316289235	0.0404400622	-0.0289287036	0.0816872229	0.1385766417	-0.0140373242	0.0195897724	0.0212916203	0.1059234302	0.1323392383	0.0453318992	-0.009960513	-0.03511209	0.1063547741	0.0974478291	-0.142307539	0.0070562718	-0.1413449912	-0.1550140033	-0.0077498735	-0.1180893298	0.0053594315	0.0165111068	-0.1495897427	-0.0082853715	0.2255503818	0.1613254984	-0.1004550614	-0.1540630689	-0.1286813561	-0.0686987546	-0.160369351	-0.0363775116	0.0798244367	-0.0415100397	0.1275051338	0.0071047834	-0.1589648217	0.1039337807	-0.0980228637	-0.0256390458	0.0403865481	-0.0552463701	-0.0268289485	-0.0233022405	0.0316448217	0.0171234062	0.0457182166	0.0540625785	0.0130824866	0.0111844807	0.1129422506	0.1076997553	0.099141769	0.0988873	-0.0018207	0.00977869810129	3.3149484900000302e-06	-0.0142649	-0.00830539	0.00020348737201	6.89795030521e-05	-0.0366525	0.0107521	0.00011560765441	0.00134340575625	-0.000419854	-0.000239574	5.7395701476e-08	1.76277381316e-07	-0.00036871	0.0002468939999999	1.359470641e-07	6.095664723599997e-08	0.00117873	0.00010156	1.031443360000002e-08	1.3894044129e-06	0.0	0.0
793.0560594407492	-0.477710472566514	0.2282072955997221	628937.9134156891	1032.9981315201337	2.138419597091115	1067085.1397240874	4.572838373223327	749.0284776569717	-0.3058936549214195	0.0935709281211844	561043.6603411207	798.3267260352819	597.7657001962403	0.871141	17.78364	0.057826865	0.0289538	0.0819418417	0.0684126929	0.0936402726	0.0185765499	-0.0438279616	0.0616270739	-0.0719579464	-0.0944626985	-0.0970808963	-0.0680823342	0.1315237994	-0.0664463963	-0.0366308317	0.0163516215	0.0984799663	0.0451274088	0.0100239413	0.0362830922	0.0701776832	-0.0335741839	0.0082587045	0.0370977305	-0.0028944712	-0.2089423037	0.0519134904	-0.0287062411	-0.0436679814	0.064885599	-0.0628312765	-0.0535805171	0.1057701881	-0.2017164163	-0.0348231996	-0.0043730223	0.0383893918	0.0856988934	0.0794656611	0.043621592	0.0281253432	-0.0038247003	-0.0689288683	0.1004377451	-0.0453759899	-0.0327303196	-0.1281889785	-0.0431720848	-0.0261144048	-0.0903923303	-0.0360094742	-0.1365345731	-0.1091284563	-0.0325159812	0.0072877637	0.0090027948	0.1156424662	0.0268067118	-0.1457613635	0.0853804601	-0.0731647171	-0.0922503347	-0.0876965696	0.0758236494	-0.0115888246	-0.0543225133	0.1218828279	0.0685283855	-0.1626368605	-0.0096848424	-0.1584140931	-0.0492632161	0.0200703122	0.063155528	-0.1176601035	0.0288161454	0.0935650711	0.0846241639	0.1162248891	0.0223897926	0.0055706945	0.0474278866	-0.0068798989	0.0931010022	-0.0786737294	0.0068607142	0.0534160264	-0.0671865377	-0.1189700829	0.0393889432	-0.1116027718	-0.0430478817	-0.0239215159	-0.0347148862	-0.0641534406	0.0366328116	0.0484336203	0.0603369509	-0.0470135024	0.1787366995	-0.011992197	0.1207214025	-0.0068210868	0.0733810091	0.1779409138	-0.0323181915	-0.0511971405	-0.0675583113	0.1358119571	0.0661715221	0.0081337789	-0.0201333068	0.0289358983	0.114317603	0.0718490356	-0.0837332557	-0.0599840811	0.0221413357	0.1229587148	0.09818542	0.1125037874	0.1059762505	0.0953761056	0.0979408	-0.0009465	0.0095924003046399	8.958622500000054e-07	-0.0301722	-0.0159073	0.00091036165284	0.00025304219329	-0.0288996	0.0077528999999999	6.010745840999995e-05	0.00083518688016	-0.000527539	-0.000107685	1.1596059225000013e-08	2.7829739652100004e-07	2.04683e-05	0.0003891783	4.189513048899999e-10	1.5145974919089e-07	0.00101119	-0.00016754	2.8069651600000034e-08	1.0225052161e-06	0.0	0.0
