global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
741.2812871688974	n/a	n/a	549497.9467067773	803.5714960458678	n/a	645727.1492573941	n/a	717.1824472064073	n/a	n/a	514350.66258097126	713.853653697297	616.8350771842798	n/a	n/a	n/a	n/a	-0.0127450659	0.1426810263	0.0215110188	-0.0011599566	0.0558496879	-0.0133408296	0.0999306547	-0.0727859418	0.0083367154	-0.0671927937	0.0286789727	-0.0424994657	0.0662533023	-0.1569150532	0.1646812444	0.1202133881	-0.0863272185	0.0600302314	-0.058364358	0.0330917852	-0.066422963	0.0238246028	-0.0109713703	0.0956962975	-0.0580003381	0.0591405583	-0.0817876164	0.0058923941	-0.1286248111	0.0617051353	-0.0339968059	0.1091301656	-0.0142280054	0.0262191248	-0.0530448762	0.0451446094	-0.0462573204	0.0576191869	-0.0693610437	0.0188883731	-0.0810285772	-0.1531732526	0.0990944811	-0.0949033204	0.0477701241	-0.1336414923	-0.0009267606	-0.0111118175	-0.0121396936	0.0445656515	-0.0553618498	-0.0258082967	0.027716684	0.0509415833	0.0149190891	-0.0712267451	0.0576035353	0.040320163	-0.0326099454	-0.0163875033	-0.0112348921	-0.1184937037	0.1278362501	0.0337913356	-0.0979508819	-0.0840552566	0.0005878429	-0.0251263717	0.0564786328	-0.0638750368	0.0454493917	-0.1079972758	0.0297774307	-0.0772122083	0.0667554495	-0.0344089807	0.0108059506	-0.0897772699	0.0334920516	-0.0730564538	0.0176754972	-0.028327211	0.0826501023	-0.0555682674	0.01574855	-0.0719399569	0.0263107353	-0.1094135827	0.0167855318	-0.0434248619	0.0228187907	-0.0901220934	-0.015238358	0.0798617357	-0.0597103028	-0.0603720344	-0.0998946937	0.1134401499	-0.0728748968	-0.0256974321	0.0155774481	0.0457589623	-0.0479216136	-0.0479333893	0.1009414796	0.0535923479	-0.0702673392	-0.1214648834	0.0319263084	0.0184736123	0.1147017419	0.1146833673	0.1146527451	-0.0430519	n/a	0.0018534660936099	n/a	-0.0222786	n/a	n/a	0.0004963360179599	-0.133293	n/a	0.017767023849	n/a	0.0020286	n/a	n/a	4.115217960000001e-06	-0.000173641	n/a	n/a	3.0151196881000013e-08	-0.000402328	n/a	1.61867819584e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
738.1973526175409	-3.083934551356492	9.510652317050369	544935.331411546	789.1081462176629	-14.463349828204857	622691.6664270764	209.1884882530334	715.2377385578022	-1.9447086486051148	3.781891727959532	511565.02265727904	712.527821880579	597.0972956718658	1.395228	40.620502	0.14655924	0.0690307	0.0854418241	0.0574747914	-0.0040132345	-0.1789737473	-0.0455309314	-0.05843011	-0.0647056871	-0.1011719308	-0.1159663372	0.1154171572	0.0559624501	-0.0877981194	-0.0982123413	0.0111669347	-0.0143318662	0.2004819501	0.0569655501	0.0404087188	-0.0395085253	0.1826842086	0.1340160831	0.2880684162	0.2034900285	-0.0783743804	-0.1304510281	0.1723099755	0.1079514169	-0.0936130708	0.0739305094	-0.1102274319	-0.0487207478	-0.1493085997	0.1158404052	-0.0539149009	0.0929353157	0.0798903554	0.0475303913	-0.1358922988	-0.0694385148	-0.0249043353	-0.0259538217	0.0054111623	0.1384188723	-0.1087305318	-0.0919026474	0.0754685119	-0.0261439121	0.0002495997	-0.0815704155	-0.1298783068	0.1396964401	-0.065381592	0.109613191	-0.052381009	-0.0195218372	-0.0656398658	-0.0432825926	-0.0255791034	-0.0880192606	0.0422378304	0.0358191261	-0.074188496	-0.0072497133	-0.1176692205	0.0445827794	-0.084333643	-0.0427657816	0.1757288369	0.0244575186	0.2455404402	0.1226536568	0.0422515598	0.2777889106	-0.0483838528	-0.1307211345	0.1049531639	-0.013919293	0.2046337578	-0.1231007018	-0.0390848645	0.0053235989	-0.0917712427	-0.0323635239	-0.0777841122	0.0266448867	-0.0272984507	-0.0491279019	-0.0794066828	0.1076920357	0.0500443744	0.2149307615	0.0814397282	0.0512985641	-0.1124173913	-0.03011444	-0.0264928126	0.0356202781	-0.0339930453	-0.2588830572	-0.0794314452	-0.0910783009	-0.0614791578	0.0070895252	-0.053150964	0.0269083828	-0.0240397807	0.0086337696	0.0723316485	0.029375339	-0.1053624078	0.1146527451	0.1144874327	0.1142120884	-0.029684	0.0133678999999999	0.0008811398559999	0.0001787007504099	-0.00760361	0.0146749899999999	0.0002153553315	5.78148850321e-05	-0.160478	-0.027185	0.025753188484	0.000739024225	0.00260067	0.0005720699999999	3.272640848999996e-07	6.763484448899999e-06	-0.00102587	-0.0008522289999999	7.262942684409999e-07	1.0524092568999998e-06	0.0	0.000402328	0.0	1.61867819584e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.5025753135166	1.305222695975658	1.7036062860899652	546864.0588953232	800.5874535103429	11.479307292680003	640940.2707181755	131.77449591977634	715.0116701496272	-0.2260684081750241	0.0511069251747893	511241.6884501593	712.4138465616852	595.2935917339535	1.149358	33.462257	0.19620879	0.107954	-0.0626592913	0.0016159398	-0.0596402278	-0.1578219584	-0.0082927537	-0.0145950821	0.0204322406	-0.0145206963	-0.0748219446	0.0662943034	-0.0504527425	0.1164328695	-0.0105980468	0.0847595731	0.0576682664	-0.0376132225	-0.0240900761	0.0108225875	0.0492535245	-0.01780605	0.2134148196	0.1314160007	-0.0902457977	-0.0009928564	-0.0921470837	0.0074025853	0.0015358962	-0.0109938081	-0.0764799812	0.0119292564	-0.0108154515	-0.1123796317	0.0307799715	0.04808796	-0.0621187775	-0.2104932104	-0.1437577499	-0.1093438412	-0.0883706738	0.0176737719	-0.0320861706	0.122393907	0.0038678851	0.1060432891	-0.0518956512	0.0935106913	-0.0802742043	0.0818866218	0.1007831135	-0.2026936132	0.0512192466	0.1185556455	-0.0287708622	-0.1572203556	-0.0429813363	-0.0925197078	-0.1561191199	-0.0426396841	-0.0649605917	-0.0077739841	-0.063490545	-0.063591365	0.0278894155	-0.085861495	-0.0008407419	0.0103646967	-0.1116524101	0.0777994856	-0.1186746774	0.1413430147	-0.1196326246	-0.1573226003	0.1064543755	-0.0468891536	0.0146639099	0.1440623461	-0.2367756155	0.0158272364	0.0849815941	-0.2034981196	-0.1213547445	-0.0484505413	0.0731359481	0.1073340587	0.0004567077	-0.0189191528	-0.0508171047	0.029401032	-0.0339072231	0.0805438501	-0.1606400224	0.0345596868	0.2022984915	-0.012817708	0.0609707925	-0.0374709808	0.1281401704	-0.1804413685	-0.0149681125	-0.0250848507	0.0219919768	-0.0059745935	-0.0617904469	-0.1187511526	0.0416811808	-0.0254136343	0.0964021875	0.1672182281	-0.010653037	-0.0152271996	0.1145547726	0.1140958982	0.1133324686	-0.0208144	0.0088695999999999	0.00043323924736	7.866980415999997e-05	-0.0902513	-0.08264769	0.0068306406623361	0.00814529715169	-0.219344	-0.058866	0.048111790336	0.003465205956	0.00274878	0.00014811	2.19365721000001e-08	7.5557914884e-06	-0.00036756	0.0006583099999999	4.3337205609999977e-07	1.3510035360000002e-07	-0.00011009	-0.00011009	1.21198081e-08	1.21198081e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.5719794376362	1.0694041241196146	1.14362518068404	548446.8567281786	792.0921887531877	-8.495264757155269	627410.0354838155	72.16952329416436	716.4628565034604	1.4511863538332364	2.105941833551803	513319.0247490982	712.830227888748	594.6981821987395	1.064407	30.989017	0.3599771600000001	0.203606	-0.0322257189	0.0802070317	0.0338957216	-0.0265281327	0.0180108175	-0.0892939268	0.0401064545	-0.0620608773	-0.0166687902	0.0051321361	0.0187403835	-0.0412838732	-0.0108217597	0.0641922886	-0.0040015146	-0.0369625436	-0.0855129603	-0.0090044117	-0.0083273703	0.0548672634	0.018296425	-0.0936966231	-0.0922061176	-0.0204798433	0.0048926542	0.0069427599	0.0319912247	0.0043630823	-0.1033268417	0.013023872	-0.0466375072	0.0603586241	-0.0282245333	-0.021993582	-0.0661130877	-0.1648081553	0.0486749293	-0.1281108532	0.0010052109	0.1307338365	0.0025662826	0.0516524487	0.0100910869	-0.003156134	0.1205699687	0.1035247322	0.1873274298	0.0747292132	-0.0592153896	-0.0233182012	0.1185098546	-0.182665029	-0.1041442218	-0.0872574749	0.0541681871	-0.0150154516	-0.0186756959	0.2697671922	0.0766347399	-0.0082309426	0.0015261792	0.0361095568	-0.0430770108	-0.0077741886	-0.0865588822	-0.0150587198	0.0210626999	0.0544422389	0.0196770286	-0.0445591612	-0.1061716026	0.0266302509	-0.0475240626	-0.0418313429	0.1213510252	-0.0058485885	0.0584745517	-0.0094046526	-0.003116242	-0.1523601569	0.0285203326	-0.0984436212	0.1110596096	0.0774344751	0.015675165	-0.0682225714	0.027316177	0.1102086368	-0.0791063237	0.069436988	0.1543390725	0.0186042256	0.0899352731	0.0454818426	-0.068039231	0.0833029874	0.1423129241	0.0653919405	0.0521472207	-0.0434651353	0.0632214286	0.0019765407	-0.0815299601	0.0956568985	0.1247492853	0.0904567966	-0.0794037089	-0.1120020263	0.0879735844	-0.1983356328	0.1144078661	0.1135094328	0.1120172664	-0.0147262	0.0060882	0.00021686096644	3.706617924e-05	0.0558103	0.1460616	0.02133399099456	0.00311478958609	-0.139632	0.079712	0.019497095424	0.006354002944	0.000603302	-0.002145478	4.603075848484e-06	3.63973303204e-07	-6.08208e-05	0.0003067392	9.408893681664e-08	3.6991697126399998e-09	0.0	0.00011009	0.0	1.21198081e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
742.3634654891551	1.791486051518973	3.2094222727870405	551103.514893068	799.0859653991928	6.993776646005131	638538.3800979599	48.912911774206776	717.6456783786701	1.1828218752096973	1.399067588474585	515015.3196955817	714.9595345430076	606.0991246359122	1.188213	34.593483	0.15743994	0.10224	0.1483372814	0.0070475472	-0.0085517364	-0.0576297204	0.0318145703	0.1402452706	-0.0768408117	-0.1291486041	-0.0234111737	0.0452676222	-0.0897642874	0.054201809	0.0647733241	0.0599777027	0.0380062837	0.0249034475	0.0801673641	0.1620014705	-0.0313755026	0.0603309277	-0.0381380137	-0.0254299182	-0.1128177865	-0.0662101072	-0.0293505046	0.0103865552	0.1215281006	-0.0883194638	0.0363744571	-0.1600823334	0.0451116483	0.1003753309	-0.1270824552	-0.0369540467	-0.0874650566	0.1041669712	0.1132269282	-0.1744481921	0.0180313681	-0.0896444093	-0.0396097533	0.0263102277	0.0015187571	-0.1918637776	-0.0935953322	0.0872673676	0.0208065345	-0.1222551752	0.0220756527	0.0415472581	0.0330300981	-0.050930965	0.0091796639	-0.0648459206	0.0579863469	0.013338467	-0.0080185381	-0.0756970562	0.0350672786	-0.0727712799	0.0861722324	0.0400177515	-0.0066677917	0.1445837576	0.079727612	-0.1573734662	-0.0446809477	0.0290241273	0.0650393937	0.0163773662	-0.0355722829	-0.0159949347	-0.0755788747	0.0447434725	-0.1252868771	-0.1034307028	0.0068625545	0.1488246807	-0.0065213699	-0.1190133484	0.0350103394	0.1565579422	0.0334511648	0.0393166729	0.0562702978	0.0161907009	-0.0162810811	-0.1710763701	-0.0488449531	-0.0754821162	0.1643967841	0.1332318759	-0.0505762365	0.0761584466	0.0272928395	0.038917517	0.1045378262	0.0287411058	-0.0063396675	0.094046415	-0.0544922361	0.0679227858	0.1224802739	0.0097036564	-0.0032123366	0.045313702	0.0612982588	0.0913628978	0.0437167764	0.0845317664	0.1142120884	0.1127290384	0.1102715368	-0.0132348	0.0014914	0.00017515993104	2.2242739600000013e-06	-0.0389365	-0.0947467999999999	0.0089769561102399	0.00151605103225	-0.10062	0.039012	0.0101243844	0.001521936144	0.000861731	0.000258429	6.678554804100001e-08	7.42580316361e-07	0.000124545	0.0001853658	3.436047980964e-08	1.5511457024999998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.4846683924802	-1.87879709667493	3.529878530474146	548317.5441243214	796.330529600292	-2.7554357989007485	634142.3123734816	7.5924264418638066	718.2464461139335	0.6007677352633891	0.3609218717335016	515877.9573552956	715.1153552949429	602.0902834130752	1.140156	33.194366	0.0691645999999999	0.0358706	-0.0043333369	-0.1406510443	-0.1143658846	0.0012448291	0.1302500086	0.0321787862	-0.1147738879	0.1042526252	-0.1002329782	-0.1338245851	-0.1350575747	-0.0192346956	0.0842945102	-0.0133932565	0.077314753	-0.0419258234	0.0667355839	0.0885202299	0.1840853657	-0.0270380557	-0.050894777	-0.0357738481	-0.0296984779	0.1610410423	0.0164880666	0.0004380021	-0.0099212405	0.0522175611	-0.0619835149	-0.0549611503	-0.0603937045	0.0654312024	-0.028566103	0.0190487832	-0.0433581812	-0.0165528643	-0.0984653968	-0.0870396891	-0.0007465522	0.0899265361	-0.0088999869	-0.1307309632	-0.027015825	0.0973077134	-0.0116135807	-0.0042886374	0.0194387158	-0.1911424728	-0.0139411287	0.0504498224	0.0291040122	0.1759692618	0.0655643218	-0.0127024671	-0.0447546785	-0.082178417	-0.0292574036	-0.1029878524	0.1031094183	-0.0665916344	0.0415081728	0.1145286765	-0.1749571504	-0.0093914288	0.1045057455	0.0488840001	-0.1696683531	-0.0629933925	0.0818749758	-0.0986888794	0.0249413684	-0.1167015598	-0.0640055758	-0.0447121833	0.1091350932	0.0466962001	0.043877255	-0.0106731689	0.0099930976	-0.0378534986	0.010456356	-0.0324390303	-0.0180391303	0.0440630435	-0.0903780851	0.0153132555	0.0339882702	-0.0570870212	-0.0157989541	-0.1691738918	-0.0001284108	-0.0746128429	0.0491904201	0.0449033757	-0.0701751406	0.0063266596	-0.0116913727	-0.0938314028	-0.0076265601	0.0125804678	-0.1398085802	0.0509436155	-0.0308605669	-0.1080897862	0.0415896589	0.0278091032	0.0320086614	-0.1245922107	0.0555114181	0.1914115856	0.1139675232	0.1117560484	0.1081019891	-0.0103855	0.0028492999999999	0.00010785861025	8.118510489999994e-06	-0.0143999	0.0245366	0.00060204473956	0.00020735712001	-0.12307	-0.0224499999999999	0.0151462249	0.0005040024999999	0.000925954	6.422299999999997e-05	4.124593728999996e-09	8.57390810116e-07	0.000302546	0.000178001	3.1684356001000004e-08	9.1534082116e-08	-0.00014435	-0.00014435	2.0836922500000003e-08	2.0836922500000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.407005163681	-1.0776632287992245	1.161358034705969	546722.7192851237	794.5109088014676	-1.8196207988244169	631247.584204534	3.3110198515144087	716.43854927141	-1.807896842523519	3.2684909932065094	513284.19488212257	713.3125068031252	600.7899403724381	1.112113	32.377918	0.07273095	0.0348512	-0.0995729029	0.0311184659	-0.0356978045	-0.0742847816	-0.0175403953	-0.0074724549	0.1071961208	0.1006978114	-0.0724995457	0.0335194137	0.0170323045	0.0966499562	0.0502628923	-0.0409431799	0.0564943926	-0.033109696	-0.0746827615	0.0096352425	0.0660613022	-0.0861839403	0.0253605248	0.068548878	0.0242617126	0.043295196	-0.0077546151	-0.0428423093	0.1139860131	-0.1147756545	0.0792522474	0.0896055602	0.0336705567	0.0209259533	0.0266825666	0.1065642952	0.060973785	0.1218053098	-0.0497085131	0.0473580528	0.0180304967	0.1262189155	0.0616469833	0.1196029803	0.0103454059	0.0217105397	-0.05049423	-0.0842520166	-0.0102472229	0.0683396968	0.0060282633	0.0779771958	-0.0088408418	-0.026358907	-0.022746487	-0.0675178191	-0.0304081191	0.1593461409	0.1966345734	0.1787309575	0.0144690491	0.0527246448	-0.034678965	0.048757001	0.0684422242	-0.0151140807	-0.0928441484	0.0515242769	-0.0959394112	-0.0430550493	-0.0382334999	0.0350172603	0.0543459021	-0.0996476931	-0.0279900829	-0.0625752912	-0.0664274315	-0.1169321031	-0.0267906473	-0.1413245616	-0.1123805839	0.0543997798	0.0203638549	-0.0097844476	-0.0643995305	0.0322755158	0.0821389029	-0.0209896802	0.0519231335	0.1305276505	0.0783019822	-0.0398266717	0.0103619994	0.0713547476	-0.0213334264	-0.1339898801	-0.0717878066	-0.0443802349	0.0072993119	0.0789942366	-0.0295882178	0.0087056585	0.0484511082	-0.0461958863	0.0123111754	-0.0307202055	0.0085874078	-0.058390106	0.0112180224	0.0108861453	-0.0054720102	-0.0326316843	0.1136742748	0.110592125	0.105516962	-0.0103882	-2.6999999999995777e-06	0.00010791469924	7.28999999999772e-12	-0.030775	-0.0163751	0.00026814390001	0.000947100625	-0.146412	-0.0233419999999999	0.0214364737439999	0.0005448489639999	0.00050986	-0.000416094	1.7313421683599998e-07	2.599572196e-07	0.000202767	-9.9779e-05	9.955848841000001e-09	4.1114456289e-08	0.0	0.00014435	0.0	2.0836922500000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.4857200575211	1.0787148938401288	1.1636258221925202	548319.1016091056	800.0615177665759	5.550608965108268	640098.432210957	30.80925988354027	715.4445730323592	-0.9939762390507668	0.9879887637975068	511860.9370814549	712.59300188981	601.3899148924085	0.935848	27.246161	0.1191887249999999	0.0624184	-0.0278314398	0.0774644117	0.059931864	-0.0015859728	-0.032113726	-0.121823744	0.0804731842	-0.0191550382	0.0126193277	0.0286175834	0.1041776435	-0.0007214058	0.0206950421	0.0258726753	0.0048185723	-0.0910328256	-0.058514687	-0.0331573887	-0.076139965	-0.0244061855	-0.0191927001	0.0184030378	0.0829534975	-0.0391486713	-0.1134013875	-0.0259839994	0.0327617799	-0.0518085956	0.0137254931	0.0121058026	-0.0399317892	0.0208748553	-0.0932166333	-0.0015203561	-0.0799398739	-0.112203992	-0.0002624418	-0.014504781	-0.1748207307	-0.0972260322	0.0423892949	-0.1007289482	0.029992929	-0.0904362631	0.0404612134	-0.0029346267	-0.0146302764	-0.0028888964	-0.0381723152	-0.0360823931	-0.1678074325	-0.0241091619	-0.0025119353	0.1005149313	0.1109046594	0.1510098964	0.0035839222	-0.0377800155	0.0566756053	-0.0581318664	0.0987796856	-0.0379333747	-0.1156495084	-0.0133539278	-0.0957857222	-0.0237024386	0.0609404783	-0.0052960375	-0.0558068261	-0.0210965685	0.0173316856	0.0150657507	0.0648250617	0.0106731219	-0.0848509342	-0.094826964	-0.0429277866	-0.108386343	0.0393093718	-0.067957423	0.0051408237	0.0374179523	0.1065960664	0.0235777784	-0.0279122762	-0.0589914681	-0.0127591945	-0.1545323615	0.001189639	-0.037990348	0.0018826879	0.0004053482	-0.1293967351	0.0214748265	0.0131649092	0.0042425225	0.0554696954	0.0334587853	-0.0434384087	-0.006992402	0.0498680801	-0.0720170722	0.0718402944	0.0699589782	-0.0069874589	-0.0558212823	0.0025774616	-0.1962336656	0.1488117126	-0.1580615216	0.1133324686	0.1092392569	0.1025263906	-0.0159522	-0.0055639999999999	0.00025447268484	3.095809599999999e-05	0.00803125	0.03880625	0.0015059250390625	6.45009765625e-05	-0.122648	0.0237639999999999	0.0150425319039999	0.0005647276959999	-0.00022678	-0.00073664	5.426384896e-07	5.14291684e-08	-8.16825e-05	-0.0002844495	8.091151805025e-08	6.6720308062500005e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.7558130570435	0.270092999522376	0.0729502283909941	548719.1745778016	794.6774551203273	-5.384062646248594	631512.2576765198	28.98813057872941	715.2821159814538	-0.1624570509054592	0.0263922933888989	511628.5054429059	711.98998381868	603.3658400130431	0.960187	27.954767	0.0877259849999999	0.0447904	0.1065733354	0.0576083513	0.0534433372	-0.0109885725	-0.0107223686	0.1202175972	-0.0389102246	-0.100328321	0.0603399279	0.0467098444	-0.0579900508	0.0395747464	-0.0158987032	0.125003765	0.0804879147	0.0420960716	0.0079331586	0.043387786	-0.1578414734	0.0088245963	0.0319487313	0.0671949245	-0.0809889152	0.0459236652	0.0163800722	-0.092048272	0.069046068	-0.0455367323	0.0451756952	0.0382775237	0.0414777116	-0.1503516829	-0.0894669396	-0.0835013523	0.138911152	-0.0588933402	-0.1400775599	0.0192104562	-0.0053589152	-0.1060426957	0.055314153	-0.0215895936	0.0423503241	-0.0482418932	-0.0067179671	-0.1175155471	-0.0922337067	-0.0573922875	-0.0046793426	0.0409733318	0.0400347618	0.0281462533	0.0214257951	0.0317016072	-0.0449746026	-0.0100516576	-0.0389459919	0.0393615062	0.2354803664	-0.0249831333	-0.0544569411	0.1515324193	0.0488138388	-0.0967341329	0.0239381352	-0.1435267874	0.0977053664	0.0168053997	-0.0079663663	0.0500445172	-0.08096588	-0.0882149884	0.0187697124	0.1411027156	-0.0263737422	-0.0421633903	-0.0485993423	0.0835453532	-0.0679720994	0.0912222563	-0.0590204923	0.0596089259	0.0272857101	0.1212945312	0.0532095779	-0.0839936715	-0.035581752	0.0910786794	0.0317690901	0.0529265337	-0.0527339423	-0.0516801433	-0.117989076	0.0419541612	0.1024774863	-0.0374928863	-0.0804756655	-0.011104303	-0.057532207	0.0639660229	-0.0230791548	-0.041110587	0.0786355026	-0.0785396229	-0.0194165445	0.0593289956	0.0551614137	0.0230518232	0.1398271869	0.1379759264	0.1129422506	0.1076997553	0.099141769	-0.0396507	-0.0236984999999999	0.0015721780104899	0.0005616189022499	0.00676991	-0.00126134	1.5909785956000014e-06	4.58316814081e-05	-0.0915608	0.0310871999999999	0.0083833800966399	0.0009664140038399	0.000294953	0.0005217329999999	2.722053232889999e-07	8.699727220899998e-08	3.01634e-05	0.0001118459	1.250950534681e-08	9.0983069956e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
741.100501450413	0.3446883933695517	0.1188100885236828	549229.9532500537	798.6160125934845	3.938557473157175	637787.5355707166	15.512234969362233	716.4965484084355	1.2144324269817162	1.4748461197047014	513367.3038812016	713.621543764323	607.2691516273326	1.080881	31.468626	0.05746786	0.0272186	0.0641835653	-0.1155024703	-0.0710781881	0.0013824787	-0.0059940612	0.0730160799	-0.1591742168	0.065348765	-0.0529564075	-0.0899680585	-0.0339083197	0.0243288899	0.0822262607	-0.0400589691	0.1313990587	0.0209788078	0.1334883313	0.0186354016	0.0927146554	0.013133898	0.0383686998	0.0006941433	0.0360147378	0.1847468102	0.1343980312	0.0073447578	-0.0541001607	0.0037282896	-0.0264685697	-0.0356992903	-0.023052932	-0.0803744529	-0.0013916896	-0.0310037811	0.0010575942	-0.0278150768	0.0529897191	-0.0366240463	-0.0888096804	0.106922817	0.060514919	-0.0615951886	0.0137770045	-0.0441347853	-0.1418740379	0.0220774728	-0.1363265141	-0.0938004858	-0.0707324293	0.0717723227	-0.06298467	0.0738385915	0.0672006918	-0.0169727124	0.0585171995	-0.0900309048	-0.0540665745	0.0246487195	0.0168337709	-0.1237981	-0.0202044738	0.0111047139	-0.0203383224	0.0414727656	0.1576761673	0.0264703987	-0.0580917062	0.0418076582	0.0226808413	-0.0103868191	0.0404670334	-0.1025182984	-0.1031298361	0.0198577672	0.0626919511	0.1380523609	-0.0043321238	0.0594062831	-0.028418814	0.0563000149	0.0790344844	0.0384245499	-0.0995841607	0.0897330584	-0.1104320203	-0.0282532361	-0.023119924	-0.0959387836	-0.0152372681	-0.0428062835	-0.0702797068	-0.0391563749	0.0195557102	-0.0051252505	-0.0597452449	0.1087347516	0.0209833085	-0.0319634738	-0.1124720355	-0.0494219858	-0.0344423456	0.0894416884	-0.0144956986	-0.0763037692	0.0496159825	0.0967838245	0.1281643161	0.0329793375	-0.0624143896	0.0101210949	0.1125037874	0.1059762505	0.0953761056	-0.0296608	0.0099898999999999	0.00087976305664	9.979810200999992e-05	-0.00934378	-0.01611369	0.0002596510054161	8.730622468839999e-05	-0.098394	-0.0068331999999999	0.009681379236	4.669262223999997e-05	0.000553809	0.000258856	6.700642873600003e-08	3.067044084810001e-07	-0.000201602	-0.0002317654	5.371520063715999e-08	4.0643366404e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
