global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
746.3481209205661	n/a	n/a	557035.51760166	754.3345279580961	n/a	569020.5800697637	n/a	701.5061987252082	n/a	n/a	492110.9468498912	694.3749460828591	575.474748448627	n/a	n/a	n/a	n/a	-0.0199261275	0.0027459012	-0.0916895763	0.027646012	-0.1028910098	-0.0092565522	0.0285150517	-0.1282729938	0.0244179145	-0.0625351307	0.0265844574	-0.1244869797	0.0022063916	-0.1363626733	-0.0480804675	0.0805103448	-0.0184790898	0.0615935302	0.0084821265	-0.0129829449	0.0044360845	-0.0509513188	0.0311453887	-0.010879135	0.1356751443	-0.0456539454	0.0763927787	-0.0063317881	0.0575963521	-0.0125786795	0.0039024117	-0.1377869374	0.1313785855	-0.0919318126	0.0960593504	-0.0180243468	0.1345763063	-0.1609467961	0.0135276386	-0.0756264529	0.0199022854	-0.0223096436	-0.0022388114	0.0393318886	0.0307821853	0.1176694648	-0.039193801	-0.0736962907	0.0677511057	-0.0921525901	-0.0585378361	0.0741166711	0.0273615248	0.046823499	-0.2355928578	-0.0122858083	-0.0779860861	0.0447835697	0.1346762112	0.0392703085	-0.1336382471	-0.0090036579	-0.0113732301	0.0549916297	-0.050108892	0.0012921649	-0.0672813117	0.0317148398	-0.0875540057	0.0130149257	-0.0072053711	0.1798651798	-0.0225998215	0.0885367872	-0.1161974833	0.0067423692	0.0726152404	-0.0492606773	0.0059147882	-0.0052125979	0.0911533253	-0.0423374294	0.0274912482	-0.1668216093	0.1096384851	-0.0373747154	0.017363002	0.0162309265	-0.0847335785	0.066126769	-0.0553787446	0.0142168709	0.0732584393	-0.0654824748	0.1114335382	-0.0775829524	-0.0027282326	-0.039121702	0.1033626813	0.0262446611	0.0283710629	-0.0432945286	-0.0621537338	0.1246064435	0.0954274276	-0.1138140508	-0.0041080365	0.2282685493	0.1086068371	-0.0016955395	-0.0725549564	0.1147017419	0.1146833673	0.1146527451	1.70268e-05	n/a	n/a	2.8991191824e-10	-0.112845	n/a	n/a	0.012733994025	-0.0830387999999999	n/a	0.0068954423054399	n/a	0.00119311	n/a	n/a	1.4235114721000002e-06	0.00121479	n/a	1.4757147441000003e-06	n/a	-0.000325886	n/a	n/a	1.06201684996e-07	0.0	0.0	0.0
744.7896150608844	-1.5585058596816452	2.428940514662024	554711.5707025405	747.3641323853917	-6.970395572704433	558553.1463761693	48.58641443997756	701.958629451933	0.4524307267248559	0.2046935624847813	492745.9174620362	694.1567016376033	583.4975468180725	1.106648	31.845266	0.2987233232	0.202168	-0.010720203	-0.0337339278	-0.0676888368	-0.0796677121	0.101513956	0.0213790776	-0.0474276396	-0.0720321424	0.0686104968	-0.0321907861	-0.1104141086	0.0843112184	-0.0838490074	-0.0654330949	-0.0431307528	-0.0323646948	0.0686060596	-0.0755429116	0.0705655661	0.1439799088	9.47353e-05	-0.0141978627	0.0182044796	-0.0279226684	-0.007878343	0.0322938987	0.1193676602	-0.017281333	0.0402401124	0.0156618537	0.0016012192	-0.0037422309	0.1164712778	-0.1673203	0.0747850705	-0.1001173744	0.0958514248	-0.0642855588	0.0175665222	-0.0325966743	0.2214834042	-0.0809722714	-0.1547693927	0.0739994236	0.0456505762	-0.044918651	-0.0555944871	-0.1504833309	-0.0188783606	0.1144070072	-0.0036770634	-0.0903192865	-0.0272213733	-0.0234617146	0.0331123359	0.0950171427	-0.069633615	0.0585425898	-0.1935888841	0.1118003167	-0.1249126616	0.046662827	0.1890168809	0.0193543289	-0.051116605	0.0413979938	0.0378761148	-0.0426872718	0.1395512959	0.1110245299	0.0248784254	0.061746439	-0.0257925111	0.0505876289	-0.0918149229	-0.0678078114	0.0472045414	-0.0227027932	0.0052869911	0.1085403418	0.1517490474	0.0773780652	-0.0315807426	-0.1973826849	0.0977984207	-0.038622799	0.1011204415	-0.0377305541	-0.0470527566	-0.1307481746	-0.0648375389	-0.0257632856	-0.0556809479	0.0451639378	0.1623925313	0.0298006839	0.11576928	0.2108124768	-0.0028026221	0.0925970557	0.0236565952	-0.0589167733	-0.0409550706	-0.0209104029	0.0330897992	-0.0627240309	0.0634711378	0.0824296484	-0.0096106308	0.1452785011	0.1609055103	0.1146527451	0.1144874327	0.1142120884	0.00504605	0.0050290232	2.529107434613824e-05	2.54626206025e-05	0.0653735	0.1782185	0.03176183374225	0.00427369450225	0.0082836	0.0913223999999999	6.861802896e-05	0.0083397807417599	0.0008707679999999	-0.0003223420000001	1.0390436496406452e-07	7.582369098238258e-07	0.00116636	-4.843000000000013e-05	1.3603956496e-06	2.3454649000000126e-09	-0.00021359	0.000112296	1.2610391616000002e-08	4.56206881e-08	0.0	0.0	0.0
743.0362755068842	-1.753339554000263	3.074199591621841	552102.9067191423	748.7587120220095	1.3945796366177774	560639.6088288586	1.944852362868972	701.3509599482895	-0.6076695036434785	0.3692622256583115	491893.1690203872	694.3724751118518	574.8440922431188	1.163129	33.470577	0.09410869	0.0535348	0.0185027833	-0.0626987513	-0.0066898952	0.0956919463	0.1543622772	-0.0538922983	0.0664715183	-0.0252355052	0.0205414001	-0.0570041776	-0.1594579054	-0.0015682483	0.0205897768	-0.012856959	-0.0392167364	-0.0109631945	-0.1339868861	0.0425795039	0.1545520796	-0.0173597598	0.0319750908	-0.0722930588	0.052614551	-0.0255944664	-0.0276690401	0.0108450587	0.0870414895	-0.0327183318	-0.0869082141	0.0261886311	-0.0629912534	-0.011024645	-0.1442174565	0.0597814363	0.1050313687	-0.0955790359	-0.04687572	-0.1110472653	0.031734354	-0.073494639	-0.060889589	0.0262247553	0.0160234783	-0.1884577571	0.0837120071	-6.9365e-06	0.0761595802	-0.1194137757	0.1742056146	-0.0471705831	-0.0299264603	-0.2231138991	0.1090627473	-0.0539909994	-0.0219611959	0.0759271389	0.1149949621	0.0156947433	-0.0916414667	0.1574946717	0.0573961491	-0.0692244022	0.0833572218	0.0903194596	0.0338469311	-0.0538479015	-0.0620372369	0.1239767032	0.0935547593	-0.0921854393	-0.0281737594	0.0579352495	0.0365493737	-0.0035702399	-0.0700600939	-0.0113804849	0.0979247255	0.0119293106	0.0868946173	0.0370632958	-0.0165750529	-0.0375655045	-0.2062695928	-0.0239761311	0.0508438825	0.0924107703	0.001182595	-0.0097678972	-0.1296903201	0.1094562839	-0.0315387263	0.0062401932	-0.0441205121	-0.0725427185	-0.040990067	-0.1278371	0.0351869546	0.036713178	0.0682031792	0.0481925677	-0.176970803	0.048068415	0.0481158868	-0.1147611456	-0.1284587834	-0.085951798	0.0906586614	-0.0835567152	-0.1863913232	-0.0846820357	0.0202634673	0.1145547726	0.1140958982	0.1133324686	0.00797129	0.00292524	8.557029057600005e-06	6.354146426410002e-05	0.0173636	-0.0480099	0.00230495049801	0.00030149460496	0.00993765	0.0016540499999999	9.875688752249998e-05	2.7358814024999964e-06	0.00116568	0.0002949120000001	8.697308774405905e-08	1.3588098624000003e-06	0.00141887	0.00025251	2.0131920769e-06	6.376130010000005e-08	-0.000496558	-0.000282968	8.007088902400001e-08	2.46569847364e-07	0.0	0.0	0.0
741.4822418398998	-1.5540336669844237	2.415020638121055	549795.9149639236	747.2239862038742	-1.5347258181352572	558343.6855584077	2.3553833368509345	700.3706301991873	-0.9803297491022248	0.9610464169748312	490519.0196456068	693.0313297042292	565.4533190893638	1.055806	30.382219	0.1122109652	0.0574228	0.0376956225	0.0396758025	-0.0640974768	0.022142054	-0.0419725159	-0.0618577458	-0.044752443	-0.0439891706	-0.0281670165	-0.0519920342	0.0156939045	-0.1283372488	0.0314754842	-0.0700015004	0.0022593146	0.0719380666	-0.0369630515	0.1674625842	0.0610010064	-0.1189333942	0.0168075116	-0.0153155028	0.027317372	0.1375108469	0.0504109408	-0.04949987	0.0358443055	-0.0174715804	0.0970094444	0.0425858979	0.0443415544	-0.0643279319	-0.0355934325	-0.0278801713	-0.0095549658	0.0589967093	0.094713136	-0.0419375709	-0.0248457143	-0.037075619	-0.0366653865	-0.0097021967	-0.095692843	-0.1219379911	0.1078159995	-0.1043326874	0.0561937457	-0.0038415527	-0.0565398082	0.0139943931	-0.1595885805	-0.027504357	0.0477913729	-0.157426069	-0.1407014478	-0.1508551746	-0.1058580453	-0.0851522259	-0.0414796192	0.0310291947	0.017699331	-0.0454354945	0.1038200281	0.0003867873	-0.0346777588	0.0112136397	-0.1249666318	0.0408063552	-0.1073242252	-0.1435723674	0.0103887607	-0.0019500724	0.0179497949	0.1213879793	-0.11730828	0.0950733039	-0.0258246553	0.0278974186	0.0709655603	0.0211553847	0.0245721116	-0.0219975621	-0.0820700798	-0.0747518845	0.0533645495	-0.0586794981	-0.0507939765	-0.0938117788	0.003312655	0.0753842558	-0.0183072472	-0.0649984916	0.1306864083	-0.011515851	0.033132425	-0.1047792231	0.0258482505	-0.0496372554	-0.0808713442	0.2168332159	0.0323059263	0.0041356518	0.0286998542	0.0810601851	0.0309755291	-0.1573028879	0.1380511698	-0.0581682361	-0.07082091	0.0452372543	0.0040278126	0.1144078661	0.1135094328	0.1120172664	8.742479999999998e-05	-0.0078838652	6.215533049177107e-05	7.643095655039997e-09	0.0317437	0.0143801	0.0002067872760099	0.00100766248969	0.0497148	0.03977715	0.00247156133904	0.0015822216621225	0.000569889	-0.000595791	3.549669156810002e-07	3.24773472321e-07	0.00126751	-0.00015136	1.6065816000999998e-06	2.290984960000004e-08	-0.000240312	0.000256246	6.5662012516e-08	5.7749857344000013e-08	0.0	0.0	0.0
740.5703782305592	-0.9118636093405712	0.8314952420396139	548444.4851125535	744.289988354651	-2.9339978492232603	553967.5867649665	8.608343379246717	701.3647004089495	0.9940702097621852	0.9881755819366348	491912.4429797355	693.944834369019	563.4110389328613	0.937239	26.97028	0.0703825501999999	0.0389424	0.0633981615	-0.0012740701	-0.0449879084	-0.0618743476	-0.0958672783	-0.0272435637	-0.0681800398	-0.0825501697	-0.0262252841	0.0682327144	0.0640087935	0.0622043304	-0.0138604453	-0.0251404314	-0.064011242	0.1012934012	0.0234565865	0.0615352637	-0.065645627	0.0928418234	-0.1162760617	0.0715240707	0.0644780702	-0.0308406982	-0.1042400209	-0.0522469286	-0.0446372609	0.0561427675	0.1231695463	0.0959240888	-0.0107652725	0.056371214	-0.108839782	0.0296813852	0.0811062154	0.0731426151	0.0536528523	0.0216800686	0.009197817	0.1452268765	0.0558029055	0.0554747554	-0.0507685142	0.0120905874	-0.0689237617	-0.0225221138	0.2563476509	0.1069571498	-0.0124844844	0.0969152512	-0.0056896719	0.0520764929	-0.0594909934	0.0149084158	0.0136985184	0.0698102261	0.0988074097	-0.0084798281	0.1100318748	0.1268927938	-0.055232138	0.0460403882	0.0940053646	0.0269754213	-0.094136045	-0.0018460313	-0.0780545543	0.0150924877	-0.0805921176	0.1399077414	-0.0547424059	-0.0468776289	0.0772132313	-0.0081953688	0.0705496477	-0.0755726804	-0.016722886	0.1069869157	0.1428032691	0.0532672839	-0.075067494	-0.0986502861	0.0198968399	-0.0194539778	0.0306302989	0.0431169637	-0.0073768844	-0.0466656118	0.0284015612	-0.1726308258	0.0935732824	-0.0854573299	0.1010184843	0.0355869003	0.0865034575	0.0520028096	0.1043473274	-0.047386335	-0.0418177533	0.1387238272	-0.1019694379	0.0472328566	0.0200090688	-0.0281936906	-0.1058042768	0.1148499359	-0.0300758782	0.1295883872	0.1241324982	-0.065187711	0.0784012381	0.1142120884	0.1127290384	0.1102715368	0.00646172	0.0063742951999999	4.063163929674304e-05	4.17538253584e-05	0.0561692	0.0244255	0.00059660505025	0.00315497902864	0.050914	0.0011991999999999	0.002592235396	1.438080639999994e-06	2.70869e-05	-0.0005428020999999	2.946341197644099e-07	7.3370015161e-10	0.00119157	-7.593999999999982e-05	1.4198390649000002e-06	5.7668835999999724e-09	-0.000389241	-0.000148929	2.2179847041000003e-08	1.5150855608100005e-07	0.0	0.0	0.0
740.8904047763357	0.3200265457764999	0.1024169900016381	548918.5918896425	741.974760922931	-2.315227431720018	550526.5458466406	5.360278060588871	701.243158927277	-0.121541481672466	0.0147723317671383	491741.9679423063	693.3772804414853	556.4881762687845	0.960516	27.640106	0.09204543	0.0484753	0.0525722169	-0.0473986699	0.0699696713	-0.0668750987	0.1066776977	-0.045131964	-0.0464516562	0.0572436559	0.0022917558	0.0329728541	-0.0580005959	0.1873576884	-0.0622963724	-0.0463934255	-0.0213483562	-0.0423334645	0.0739780127	-0.0317786788	-0.1153865847	0.1358549845	-0.0656590169	0.0097156279	-0.0468177843	-0.0533242154	0.0733324588	0.0668940059	-0.0010063928	-0.1275224509	-0.2326312134	-0.099019482	0.0179994082	0.0872197708	0.0384620329	0.0397696391	0.0201380908	-0.1099560594	0.0737508019	0.0165772701	0.1179075246	-0.0987527519	0.0169848596	0.026815252	0.0288324613	-0.0693755203	-0.1146815374	-0.0392380876	0.0163247635	0.0760245553	0.0462820805	-0.1192323608	0.0427243401	-0.0258951136	-0.1558435515	0.0590065735	0.0071820025	-0.0562753899	0.1214467435	-0.1953722571	-0.0005832919	-0.0241774946	0.1112151223	-0.0855249978	0.0032010541	0.0066655538	0.0010306256	0.0497760681	0.0548767804	-0.1036857981	0.0564514328	0.103280387	-0.1118474902	0.0032192751	-0.0401699969	0.0238509731	0.14446881	-0.0636233991	0.036674478	-0.0844003824	-0.0965446123	-0.1224499286	0.0589903506	0.1112524112	-0.0472442464	0.0122886292	0.1147519286	0.0161973683	-0.0548167275	0.0658979515	-0.0928354375	-0.0920982841	0.0357867036	0.0953696833	-0.0236225664	0.0328318669	-0.0297140133	-0.0614456982	-0.014797919	-0.1375986894	-0.0420290921	-0.1912595377	-0.014249392	0.0199870285	0.0421063761	-0.0547757054	-0.0246437178	-0.01252859	0.0827509578	-0.0331371946	-0.0095703783	-0.1227275733	0.2141233505	0.1139675232	0.1117560484	0.1081019891	0.0158067	0.00934498	8.732865120039999e-05	0.00024985176489	0.0727301	0.0165609	0.00027426340881	0.00528966744601	0.0925648	0.0416508	0.00856824219904	0.00173478914064	-2.75911e-05	-5.4678e-05	2.989683684e-09	7.6126879921e-10	0.000941572	-0.000249998	8.865578311840001e-07	6.249900000400004e-08	-0.000204142	0.000185099	3.4261639801e-08	4.1673956164000004e-08	0.0	0.0	0.0
741.9320114907949	1.041606714459249	1.084944547606591	550463.109674777	741.5351356987661	-0.4396252241648426	549874.3574757875	0.1932703377219881	699.2254149221652	-2.0177440051118083	4.071290870164641	488916.1808730741	691.7169210906796	554.3213256419169	1.087647	31.298475	0.0593890352	0.0290762	0.0447695395	0.0136842215	0.0748490693	0.0909198225	0.0927846116	-0.0470280875	0.0154963612	0.0919130551	-0.0572895082	-0.0750286883	-0.0789818859	-0.06625599	-0.0241263918	-0.0401718456	0.0697796854	-0.0467700432	-0.0617015238	-0.0275722659	0.0525261447	0.0863599894	0.0632704268	-0.0158619445	-0.0160578149	-0.0111087521	-0.0013451266	0.0040022797	-0.0666234638	0.1028792473	0.0619534455	0.0777201809	0.1886796711	0.0352063716	-0.0543150012	0.0067648054	-0.0780253539	0.0198346645	-0.019162873	0.1016489731	-0.085318908	-0.027509932	-0.0294783962	0.0795411848	0.0327016473	-0.0145240933	-0.0402152035	-0.1131708101	-0.0252895635	-0.1997586847	-0.047081506	-0.092993683	-0.1566461581	-0.0194592129	-0.1530063136	-0.0537914633	-0.0657015344	0.0927557869	-0.0295528495	-0.0773625528	0.0218218152	-0.0450964553	-0.0154334155	0.0052999587	-0.099093594	-0.0112740238	0.1105520485	-0.0360895304	-0.0469812493	-0.0142273307	0.1048646261	-0.0221897016	0.0375137372	0.0204412734	-0.0558238012	-0.0102932894	0.0804588347	0.0134888611	0.0428295344	0.1412663716	-0.0136749633	0.0145223159	-0.0200481461	0.0578467331	-0.0107801315	-0.0065661771	-0.1143822387	-0.1896991253	-0.0722002838	-0.0416914483	0.1418922335	-0.0079557069	-0.0133156474	-0.1604255209	-0.0072344851	-0.0097276622	-0.055018856	-0.0130080165	0.0553788146	0.0108354114	0.1542796156	-0.0006528775	0.0193946681	0.0127987107	-0.1364068462	-0.0017589611	0.138890727	-0.0472297117	0.1008895217	0.032059364	-0.0140342541	-0.0754985289	-0.0599248205	0.1136742748	0.110592125	0.105516962	9.74098e-05	-0.0157092902	0.0002467817985878	9.48866913604e-09	0.0548971	-0.017833	0.000318015889	0.0030136915884099	0.0990519	0.0064870999999999	0.00981127889361	4.2082466409999945e-05	-0.000255029	-0.0002274379	5.172799835641e-08	6.503979084099999e-08	0.000941572	0.0	8.865578311840001e-07	0.0	-0.000363897	-0.000159755	2.5521660025e-08	1.3242102660900002e-07	0.0	0.0	0.0
742.6699768834718	0.7379653926768697	0.5445929207887265	551558.6945640965	743.1166811861731	1.58154548740697	552222.4018571525	2.5012861287373505	700.6614920609101	1.4360771387448494	2.0623175484255936	490926.5264570207	692.9735208196452	565.6489978085907	1.061139	30.535681	0.0525740698	0.0375996	0.0251411452	0.0414154089	-0.0432129192	-0.0545930418	-0.1577029986	0.0174540487	-0.0532678884	-0.0327706845	-0.0197224803	0.0878704872	0.1197488106	-0.0702613731	0.0103750801	-0.0390706659	0.0201045523	0.0319415366	0.0096873875	-0.0038650246	-0.1025183721	0.1058729956	-0.0753314265	-0.0865587647	-0.0298295516	-0.1534086413	0.005033799	-0.0203180211	-0.1038620674	-0.0267319045	0.1462947052	0.0188749373	0.1107951332	-0.10178763	-0.1151870587	-0.0707113835	0.1542400834	0.054211648	-0.1059331464	0.0979300201	0.116064403	0.053113322	-0.0060611257	-0.0053634464	0.0599880118	0.0087809161	-0.0650007807	-0.0475855735	0.0672997332	0.0224045884	0.0552391185	-0.0176120151	-0.0343955134	-0.0349510589	0.0263266029	0.0703034878	-0.0381256611	0.0075875187	-0.0311284205	-0.0694617729	0.012817531	-0.0207877335	0.0420621416	0.0124284822	0.0097935111	-0.0392967175	-0.0351338192	-0.0039927098	-0.0349245563	-0.0469445635	-0.082874392	0.140648065	0.0239682996	0.0946322558	-0.0912164297	-0.009853119	0.0327820663	-0.1612233224	-0.0800007453	0.0341143504	0.1382720038	0.0380906908	-0.0027451	-0.1166471826	-0.0114684022	0.0829714798	-0.0736885203	-0.0782783982	-0.0880624505	0.09533587	-0.0030111694	-0.0334255953	0.0720102468	-0.0875547444	0.0008710483	-0.016851148	-0.0288395206	0.0781880072	0.062412352	-0.1076568707	0.0042074605	0.0890433705	-0.0927904716	0.0444727953	-0.0752781472	0.0301892071	0.0233500764	0.0194018468	-0.0476794676	0.0753535239	-0.0761746093	0.0272876536	0.1147098583	0.1133324686	0.1092392569	0.1025263906	9.96296e-05	2.219800000000002e-06	4.927512040000009e-12	9.926057196160002e-09	0.0539667	-0.0009303999999999	8.656441599999961e-07	0.00291240470889	0.0629597	-0.0360922	0.0039639238240899	0.00130264690084	-0.000339039	-8.401000000000003e-05	7.057680100000005e-09	1.1494744352100001e-07	0.000941572	0.0	8.865578311840001e-07	0.0	-0.000136922	0.000226975	5.1517650625000015e-08	1.8747634083999995e-08	0.0	0.0	0.0
743.5538294319026	0.8838525484308093	0.7811953273676361	552872.297262847	744.3617298523325	1.2450486661593914	554074.3848687568	1.5501461811052797	702.1236855510887	1.4621934901786062	2.1380098027206937	492977.66981184407	693.8139024980991	563.3175965206591	1.043365	30.024208	0.0680371043999999	0.0357172	0.0025344009	-0.0202788535	0.0649427709	-0.0586230274	0.088566631	0.0621331124	-0.0113369781	0.0635657849	0.0436181934	-0.0002482747	-0.0597832107	0.150748571	-0.0101642897	-0.0731689104	-0.0422202698	-0.0764453946	0.1210277025	-0.0850839029	-0.0906870827	-0.0160761341	0.1001561008	0.0556925773	0.0828506757	0.0772913774	-0.0999135728	0.1507788947	0.0267257357	0.0536625179	-0.029235725	0.0886072737	0.0616259814	0.067756067	0.0902555107	0.2630272289	-0.0215128393	0.0891097792	0.0253684749	0.0339334774	0.0473930731	-0.0309405562	0.0730212128	-0.0212502748	-0.0539678897	-0.0378438096	-0.0789685397	0.0348750901	-0.1752356132	0.0710047899	-0.0293839775	0.0292152199	0.0776364785	-0.0106688276	0.1171292072	0.0557356161	-0.0140045946	-0.1620103247	-0.0556518636	0.0928344967	0.0582059008	-0.038274786	0.0678495958	-0.0166051723	-0.0616245115	0.0049223933	-0.0195272565	0.0458429601	0.138927626	-0.1261438244	0.1128253747	-0.0391321186	-0.063268476	-0.0593004249	0.1234843282	0.0985430177	0.0978824623	-0.0173288957	0.1229868006	-0.059144512	0.0169164642	-0.0257725126	-0.0349844304	-0.0045414211	0.1400067392	-0.12130611	-0.1330636265	0.0690332081	-0.1690372648	-0.1030612087	-0.0091570094	-0.0110223309	-0.0177206451	0.0588021146	-0.1348472986	0.1410617487	-0.0017658607	-0.0020847704	-0.1370677017	0.0336167297	-0.1040899045	-0.0914749373	-0.004218728	0.0286746644	-0.0466114647	0.0981483188	-0.0294619643	-0.0281127304	-0.071847077	0.0109595601	0.0264154416	0.0763773774	-0.0854587268	0.1129422506	0.1076997553	0.099141769	0.000128184	2.8554399999999985e-05	8.153537593599992e-10	1.6431137856e-08	0.0615779	0.0076111999999999	5.793036543999998e-05	0.00379183776841	0.0847054	0.0217457	0.00717500478916	0.00047287546849	-0.000320349	1.8690000000000023e-05	3.4931610000000097e-10	1.02623481801e-07	0.000465874	-0.000475698	2.1703858387600006e-07	2.2628858720400003e-07	-0.000415567	-0.000278645	7.7643036025e-08	1.72695931489e-07	0.0	0.0	0.0
744.4796210933207	0.9257916614180886	0.8570902003512647	554249.9062232544	748.1187736916728	3.7570438393403274	559681.6995499324	14.115378410725102	700.4139931977943	-1.709692353294372	2.9230479429132474	490579.7618672798	692.8970982732217	575.7527170578145	1.005078	28.922449	0.046578512	0.0244537	-0.0119576539	-0.0235677073	0.0603360471	0.0035874192	0.1155380341	0.0002115461	0.0472252936	0.0217264392	-0.0642560003	-0.0639369698	-0.0954807904	-0.0805496504	0.074246723	-0.0039614115	0.0228254717	-0.0885427767	-0.0282028859	-0.0133447763	0.101727076	-0.0866132853	0.0669286506	-0.0269269636	0.0429987285	-0.0748179969	0.0079661642	0.0904541708	-0.1121990028	0.0329868653	-0.0653603198	-0.1380496167	0.0666210653	0.0074928438	-0.0253654056	0.1015767596	0.1400728562	0.0555217774	-0.0236403729	0.1138954028	-0.0071769424	0.0035396788	-0.0548267257	-0.0677701958	0.0137656586	0.084655678	0.1333579498	0.0567537671	0.0744673902	-0.0671966174	0.0219922208	0.0055060316	0.0223705882	0.1110150744	0.0318481153	0.0283393139	0.1232968379	-0.1585551623	-0.08116289	-0.0839021925	-0.0294415639	0.0609888416	-0.0677386381	-0.003824287	-0.0861657838	0.0161067963	0.0705429963	0.0112602971	0.0139992524	0.0753935357	0.0771452272	-0.1269186395	0.0962094154	0.0502142705	0.0124097668	0.0215416359	0.1039580186	-0.0211740631	-0.0158606016	0.0269578023	-0.0927482398	0.0142189561	0.0794836901	-0.0260418059	-0.0449108653	0.0271314884	-0.0893449726	0.0925926418	-0.081793229	0.1365210877	0.0343182001	-0.0430702465	-0.0701764959	0.0686860487	-0.0035377699	-0.063435231	0.0281369014	0.0348720023	-0.159930783	-0.0922932032	0.0043731651	0.1048779343	0.1602158572	0.0752339776	0.088010468	0.0301756927	-0.1154209365	-0.0223547373	-0.0353747675	-0.0265406694	0.0229647286	0.0092239114	0.0878123319	0.1125037874	0.1059762505	0.0953761056	0.000113872	-1.4311999999999994e-05	2.0483334399999984e-10	1.2966832384e-08	0.0802388	0.0186609	0.00034822918881	0.00643826502544	0.0935638	0.0088584	0.00875418467044	7.847125056000004e-05	-0.000157027	0.0001633219999999	2.667407568399999e-08	2.4657478729000005e-08	0.00068345	0.000217576	4.671039025000001e-07	4.733931577600001e-08	-0.000415567	0.0	0.0	1.72695931489e-07	0.0	0.0	0.0
