global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
736.9034258358469	n/a	543026.6590086075	n/a	812.1389796239295	n/a	n/a	659569.7222245974	729.4957883619603	n/a	n/a	532164.105237838	729.2471695065467	566.0290138985531	n/a	n/a	n/a	n/a	-0.0751086966	-0.124408678	0.0166454364	0.1109305499	0.0243377866	-0.0523077487	0.0249898965	-0.1220548524	0.0607603283	-0.092455166	-0.0579541274	0.109716729	-0.0117831529	0.0763222506	-0.1543486503	0.0099650437	-0.0745238541	0.0635453309	-0.0227605757	0.1120746691	-0.0339353733	0.0430738374	-0.042355763	0.066983929	-0.0711069146	0.0080246207	-0.0929319631	0.116909874	-0.0081903259	0.1169511162	-0.1032780705	0.0818469621	-0.0193364404	0.0688698438	-0.0135521657	-0.1184944565	0.0505462209	-0.029419592	0.0302221302	0.0337772475	-0.0823058368	-0.1519225143	0.0657662317	-0.0989051726	-0.0485426077	0.0356089245	0.0005354825	0.0223818893	0.098702779	-0.0697111085	0.0815836169	0.0493443032	-0.0866327036	-0.0859238826	-0.0133126409	0.0198561997	0.0797623598	-0.0105435235	-0.0898254536	0.0235050328	-0.0338103502	0.0541356091	-0.1450279021	0.0698297879	-0.0377695079	0.0655508803	-0.07914172	0.1970509846	-0.0496420131	-0.0089721558	0.0483681986	-0.1381623702	0.001647746	-0.0427370969	0.0757987441	-0.0517798579	0.0090350493	-0.0701851378	0.1568942305	-0.145617538	0.0407852763	-0.0073745071	0.140432685	-0.0321226609	0.0196437178	0.0037116315	0.0622297236	-0.0300811079	0.0024895165	0.0706959601	-0.1316573379	0.0360047982	-0.1080828077	-0.0164349028	-0.0574089537	0.0243834765	0.0258569133	-0.0130004981	-0.0367873831	0.0452829844	0.0110653972	0.0386565956	0.0364752951	-0.0675285973	0.1147017419	0.1146833673	0.1146527451	0.00209228	n/a	4.377635598400001e-06	n/a	-0.134021	n/a	0.017961628441	n/a	-0.194827	n/a	0.037957559929	n/a	-0.0029628	n/a	8.778183839999999e-06	n/a	-0.0007933359999999	n/a	n/a	6.293820088958413e-07	-6.11997e-05	n/a	3.74540328009e-09	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735.3713379180375	-1.5320879178093492	540771.0046313645	2.347293387897387	806.6311592071258	-5.507820416803611	30.3360857437587	650653.8270038316	729.5868279434533	0.0910395814929643	0.008288205398414	532296.93950859	729.7458726797896	560.842595015699	0.964818	23.685141	0.078585665	0.0404981	-0.0651472345	-0.0616751969	0.0715904561	0.0588457547	0.0242608482	0.045160818	0.0887906488	-0.0502748651	-0.0127815031	-0.2255173574	-0.0185751397	0.0332469736	-0.105419044	0.0747542128	-0.155883316	-0.0261716393	0.0126692664	0.0996999416	-0.0094048539	-0.020118356	-0.0978305893	-0.0348211831	-0.0586226855	-0.0241544596	0.153116872	0.003170549	-0.0803382249	0.068891269	-0.0337086528	-0.0748565749	0.0538503142	0.0588598072	-0.0237738046	-0.0070617713	-0.1033283135	-0.1639169312	0.0731581237	-0.053842865	0.1346525533	-0.012403557	-0.0409253052	-0.0561360823	0.1336698007	-0.0443819579	-0.072514919	0.1153155886	-0.030019907	0.0681343778	-0.0282944243	0.01288309	-0.0892862821	0.0213555265	0.136352567	0.111751684	0.0192339698	0.1539901121	0.0059551007	-0.0567581253	-0.0626494538	0.0164206583	0.0783331975	0.0249777374	-0.170181147	0.0408380217	-0.0993745893	0.1142887035	-0.1087729449	0.0749023579	0.0242735288	-0.0354808064	-0.0265552958	0.054653141	-0.1248292959	-0.011490393	0.0367770111	-0.0012669723	-0.0922570081	-0.0242962744	-0.0098391215	-0.031713494	0.0408606467	-0.0388402463	0.0662753473	-0.1126039079	-0.0175474593	-0.0198502127	0.0701268684	0.0487985159	0.0404120752	0.0367562634	-0.0032487608	0.2363299784	-0.1066582323	-0.0511277155	-0.1369390874	0.0692003494	-0.0975281817	0.017875558	0.0011434667	0.064593969	-0.0456225254	0.057172203	-0.0091825658	0.0358917936	0.1146527451	0.1144874327	0.1142120884	-0.0013077	-0.00339998	1.71007929e-06	1.1559864000400002e-05	-0.117114	0.016907	0.013715688996	0.000285846649	-0.159459	0.035368	0.0254271726809999	0.001250895424	-0.00274715	0.0002156499999999	7.546833122499999e-06	4.650492249999998e-08	-0.000861518	-6.818200000010004e-05	4.6487851240136414e-09	7.422132643240001e-07	0.000113182	0.0001743817	1.2810165124e-08	3.040897729489e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735.5873609242175	0.2160230061799666	541088.765551455	0.0466659391990298	807.2125948794733	0.5814356723474248	0.3380674410781019	651592.1733320527	730.4640657778533	0.8772378344000344	0.7695462181028623	533577.751392712	730.3572714584897	569.0539766513848	1.009683	24.786522	0.0349051999999999	0.0184544	-0.0652940093	0.0394935648	-0.0033154765	-0.0186466081	-0.1081426983	0.0277726328	0.1003290661	-0.0494137422	-0.0487641544	-0.1167241713	-0.038707598	-0.1115541979	-0.0673536982	-0.0589964757	-0.1149495641	0.0348276053	-0.1649726288	0.062311821	0.0453659911	0.0374304883	0.0559492433	0.0260474517	-0.0053744158	-0.0759246004	-0.0205357453	0.0123066864	0.1100069608	0.0891663236	0.0057405019	-0.1425964272	0.1152751499	-0.1033066864	0.1165970889	-0.0266536466	0.031311918	0.0446686758	0.1261847895	-0.1772161522	-0.1680809747	-0.0739441161	-0.0124695995	-0.0087297636	0.0006601151	0.0451311532	-0.078896452	0.0791779436	0.1167449659	-0.0928892059	0.0887062204	-0.0012745019	0.1650826555	0.0343608179	0.1004376557	0.0211710081	-0.0124771701	0.0457418392	-0.0975906725	-0.0273132867	0.0132535994	-0.1151275667	0.0715901	-0.0195714166	-0.1655552391	0.0024708822	0.0037533586	-0.0645187765	-0.055704445	0.0293598565	-0.1588881027	-0.0432096986	-0.042748355	0.0363469959	0.043124253	0.1002386094	0.0861722756	0.1316209973	-0.0310642075	-0.1312922807	-0.0317343687	0.1305840838	0.0730984134	0.0413637306	0.0102810146	-0.0263809227	0.0061754895	0.0348067293	-0.1392718202	0.1061861546	0.1153760482	-0.1670684571	-0.0500106853	-0.0747443638	0.0541363341	-0.0516703379	-0.0705506259	0.0122642754	0.0706845549	0.145285478	-0.0789526184	-0.0579664371	-0.0906520114	-0.0579538323	0.105346102	-0.023500443	0.1145547726	0.1140958982	0.1133324686	-0.00441845	-0.00311075	1.95227004025e-05	9.6767655625e-06	-0.115485	0.0016289999999999	0.013336785225	2.6536409999999724e-06	-0.152739	0.0067199999999999	0.023329202121	4.515839999999968e-05	-0.00301519	-0.00026804	9.0913707361e-06	7.184544160000012e-08	-0.000949205	-8.768699999999992e-05	7.689009968999986e-09	9.00990132025e-07	0.0	-0.000113182	0.0	1.2810165124e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735.8405925531476	0.2532316289301661	541461.3776489674	0.0641262578906253	804.576788792017	-2.635806087456217	6.947473730671251	647343.8090628741	730.4426472247344	-0.0214185531189059	0.0004587544177073	533546.4608846778	729.795640900146	552.434451903845	1.008377	24.754465	0.1457937	0.086968	-0.0404344371	-0.0195258003	-0.1350643681	-0.0422761676	-0.1031164602	-0.1046293446	0.0243273884	-0.05759632	-0.0482528025	-0.0479229584	-0.0366591031	-0.0599506874	0.1101298671	0.0209228051	-0.0745243213	-0.015514838	-0.1031244115	0.0319233439	0.0837682754	-0.0626625367	0.0764963564	0.0666033233	-0.0278799436	-0.0701112819	-0.0633700555	0.0555376869	0.12828285	-0.146853929	0.074269181	0.0299096439	-0.1133674107	-0.0384462693	0.0640011677	-0.0175640116	-0.0285334915	0.0441162854	0.1061072052	-0.0437157915	-0.0650066445	0.0407836791	-0.0523853285	0.125301634	-0.0433674313	-0.0890821935	0.0405336016	0.1478254285	-0.0225365055	0.0460216287	0.1591009576	0.1567475255	0.1118142496	0.0423445796	-0.0963660525	-0.0845610142	0.0302033019	-0.0869549332	-0.0544542858	0.0270925228	0.0147387598	-0.0910797226	-0.0941070807	0.0213084922	-0.115080834	0.0605670054	-0.0252964381	-0.0397819096	-0.0408801003	-0.1372469571	-0.0909504455	-0.0121134429	-0.0250991059	-0.0614286047	0.0908898469	-0.0102383102	0.0197348509	0.0474596556	0.0159215497	0.1181629967	-0.1053918119	-0.0268498005	-0.0023554626	0.0283649196	-0.0336164147	0.1378185103	0.0128737371	-0.0783905129	-0.0990026466	-0.0425522297	-0.0415861696	0.0167504435	-0.1196584175	0.0107938735	0.0798761994	0.0240168776	-0.0902028798	-0.1143434898	0.1334610398	0.1082023612	-0.0477350481	0.0292583344	0.0717472248	-0.0551357834	-0.0617059672	-0.0192214887	0.1144078661	0.1135094328	0.1120172664	-0.0053172	-0.00089875	2.827261584e-05	8.077515625000004e-07	-0.0465708	0.0689142	0.00216883941264	0.00474916696164	-0.103196	0.049543	0.010649414416	0.002454508849	-0.00266982	0.00034537	7.127938832399999e-06	1.1928043690000018e-07	-0.000996038	-4.683300000000014e-05	2.193329889000013e-09	9.92091697444e-07	-0.000136552	-0.000136552	1.8646448704e-08	1.8646448704e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
736.0069425477559	0.1663499946082538	541706.2194784957	0.027672320706166	808.4098820856566	3.833093293639536	14.692604197744384	653526.5374537451	730.7092416804877	0.2665944557533066	0.0710726038384017	533935.9958772734	730.2964832479533	555.1700934468452	1.100663	27.019958	0.08378199	0.0411733	-0.0453636	-0.1456168365	-0.0309044611	0.0543716862	0.0027549683	-0.1218951683	0.0341624895	0.0279751071	-0.1053326675	-0.0804455841	-0.0555671347	0.087584965	0.0681221844	0.0213327234	0.0346009223	0.0183314016	0.0399321738	0.1760208319	0.1012258416	-0.0145826973	-0.0767357791	-0.0159016657	0.0811648521	-0.037515924	-0.07821976	-0.1304633911	0.0372518812	-0.0332907876	-0.099572209	0.0008362818	-0.0926085398	-0.0518821964	-0.0738513058	-0.0691646359	0.0828323737	0.124702959	-0.2075774815	-0.0684787081	-0.0200423045	-0.0588716959	-0.0062084112	0.1551606613	-0.0996003217	0.0014727531	0.1101600967	-0.0542954763	-0.0428214425	0.0393631997	-0.0533448901	-0.0415316135	0.0496903808	0.1105333255	0.0782429634	0.18139397	-0.043873484	0.1153844964	0.0264356426	0.064582774	-0.0527762318	0.027605331	-0.1081887876	0.0586528247	-0.087459817	0.0042852542	0.0161678109	-0.0962924061	-0.1059737224	-0.035674622	0.0443986746	0.1181120692	-0.0829514089	-0.0900617944	-0.0525985845	-0.0173377692	-0.2193128949	0.0241611632	-0.015760781	0.0410656094	0.0377130077	-0.0354422471	-0.0148145782	0.0716152348	-0.017620253	0.071150508	-0.0684203714	-0.0404702408	-0.1205031999	0.0095140064	0.0103263492	-0.1612109144	0.2001443133	-0.0096510961	0.0538099493	-0.0148899951	0.0441704334	-0.0704087891	-0.0996058422	0.0581515774	0.0215355773	-0.0769887779	0.0658707246	0.0114245752	-0.0814923711	-0.2598937277	0.1142120884	0.1127290384	0.1102715368	0.00605684	0.01137404	3.66853107856e-05	0.0001293687859216	-0.0696019	-0.0230310999999999	0.0048444244836099	0.0005304315672099	-0.113297	-0.0101009999999999	0.0128362102089999	0.0001020302009999	-0.00320467	-0.00053485	1.02699098089e-05	2.860645225000004e-07	-0.0008819229999999	0.0001141150000001	1.3022233225022846e-08	7.777881779288236e-07	-4.23516e-22	0.000136552	1.7936580225599999e-43	1.8646448704e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
737.2085526900233	1.201610142267441	543476.4501593189	1.44386693399998	806.4666684902613	-1.943213595395264	3.776079077328988	650388.487385781	730.8011611824996	0.0919195020119332	0.0084491948501217	534070.3371856898	729.6930901680016	569.0883263408389	1.025884	25.184237	0.07211146	0.03958	-0.0455292822	-0.0595374658	0.0644061008	0.0349807165	0.0347287897	0.0330138669	0.1110230256	-0.0063450624	-0.1708474863	-0.0772301648	-0.0470710741	0.034326805	-0.1040145541	0.011724516	-0.1042771135	0.1216580659	-0.0171557253	0.0627119113	-0.1035208438	-0.0663543587	-0.2273131955	-0.0136625078	-0.1041718513	0.0871199567	-0.1354501468	-0.1886808427	0.0792608224	-0.0394626763	-0.044700518	0.0525331357	-0.0955925861	0.0512050904	-0.0036424027	-0.0197229927	0.1828346508	-0.0092757036	0.1352120964	0.0304393781	0.0037536602	-0.1132581787	0.0111667664	-0.0239478972	-0.0312431154	0.0642927632	0.0905952552	0.1037985047	-0.0213020983	-0.0711886041	-0.1376518508	0.0842178959	-0.0700370754	0.0294744983	0.0101665271	0.0892806038	-0.096432441	0.0294248496	0.0449091879	-0.0961960815	-0.0589191612	0.0210964998	0.0629305564	0.0192818333	-0.1518034682	0.076802066	0.0656187033	-0.0547510285	-0.1049233076	-0.069072798	0.107047516	-0.045351375	-0.0967818064	-0.084128425	0.088917613	0.1573187406	-0.2219775309	-0.0937937295	0.1915985853	-0.04730652	0.1297612579	0.0389864858	-0.0637422851	-0.0999093812	0.1100052302	-0.0043256709	-0.0467757998	0.0748552925	0.0170059561	0.1103108245	0.0988013907	0.0037363182	-0.0201174269	-0.0413441729	0.1186194149	0.1038808667	0.000962606	-0.0596132585	-0.2078670634	0.0328262352	0.0615175177	0.1095998325	0.0122536655	-0.0527259332	-0.0056385125	0.0563187444	0.1139675232	0.1117560484	0.1081019891	0.0119558	0.00589896	0.00014294115364	3.479772908160001e-05	-0.100306	-0.0307041	0.010061293636	0.00094274175681	-0.119302	-0.006005	0.014232967204	3.606002500000012e-05	-0.00269962	0.00050505	7.287948144399999e-06	2.550755025000004e-07	-0.000796905	8.50179999999e-05	7.228060323982996e-09	6.35057579025e-07	0.0	4.23516e-22	0.0	1.7936580225599999e-43	0.0	0.0	0.0	0.0	0.0	0.0	0.0
737.5034019982005	0.294849308177163	543911.2679589193	0.0869361145325516	802.5076687219848	-3.958999768276499	15.673679165213372	644018.558357595	730.7416699708309	-0.0594912116687282	0.0035392042658134	533983.3882317587	729.773665743258	568.1842455882048	1.06937	26.251766	0.0681575799999999	0.0485766	-0.0305557723	0.0864063519	0.011175868	-0.0851158862	-0.1122359204	0.0369591076	0.1383634853	-0.0984582617	-0.1705073713	-0.0026469191	-0.0223220572	-0.1200568141	-0.0668311136	-0.0418935326	-0.0993563122	-0.0074083771	0.0727575804	0.089188016	0.1358592616	-0.0150619542	-0.0072944561	-0.0987178485	-0.0696515021	0.1173539068	-0.0530235512	0.0596741153	0.0315105783	-0.0635625735	0.0891251036	-0.1727348594	-0.0028555048	0.0937151694	0.0628105674	0.0272676967	0.0677444918	0.0525910829	0.0657322066	-0.0430336487	0.0229195465	0.0789847316	-0.0281135704	0.1133890959	-0.0208866937	0.0858173575	0.0846642139	-0.0423398193	0.148485054	0.1220708353	-0.0152926808	-0.126240161	0.0785008062	-0.1001087841	-0.0380455195	-0.1640227336	-0.0586056911	-0.0191541001	0.0372919348	0.1184010928	0.0400618599	-0.1158874913	0.0746532962	-0.0496047592	-0.0964180663	0.0409844767	0.0133188014	-0.0654587095	-0.069433488	-0.1117035366	-0.0282535	0.2005348583	-0.0043942253	-0.0234362088	-0.0289352423	0.0888998695	0.0510835584	0.0778297067	0.127837802	0.0030546574	0.0816610245	0.1453862544	-0.0035329971	-0.0971581813	-0.1387891534	-0.1221266333	0.0684426536	0.0184985942	-0.0719169013	0.0681654404	0.0590536979	0.106907177	0.0119582963	0.0603161773	0.0673535446	-0.0090812998	0.0236347258	0.0186359085	0.092077158	-0.0445371896	-0.1183576669	-0.1336843482	-0.0244831052	-0.0035050336	0.0265584884	-0.1090493661	0.1136742748	0.110592125	0.105516962	0.00754782	-0.00440798	5.6969586752400006e-05	1.9430287680400005e-05	-0.0567471	0.0435589	0.00322023335841	0.00189737776921	-0.116943	0.002359	0.013675665249	5.564881e-06	-0.00239191	0.0003077099999999	5.7212334481000005e-06	9.46854440999998e-08	-0.000747981	4.8924e-05	2.3935577759999996e-09	5.59475576361e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
737.9260701150658	0.4226681168653385	544534.8849554651	0.1786483370144914	805.8352122490427	3.3275435270578555	11.072545924464633	649370.3893004596	730.6045740616897	-0.1370959091411805	0.0187952883032468	533783.043639863	730.4612645128782	566.152004229585	1.033167	25.363014	0.09082044	0.0571572	-0.0154678429	0.0161215154	-0.149712383	-0.0733188423	-0.0877500997	-0.0879932238	-0.0242674199	-0.0485798724	-0.0537450168	-0.0770966854	-0.0068442427	-0.0410210484	0.0812742665	0.0004415509	-0.1582102623	0.0168118182	0.09262523	-0.1487705631	0.026898958	-0.071351501	0.0457987489	0.0848103281	-0.0539514054	-0.0542639655	-0.0496047258	-0.075713537	0.1383071987	0.0842719453	0.0551298386	-0.0204560816	0.0416162671	-0.029061401	-0.0716582744	-0.0342936785	-0.0245081175	-0.0276169911	-0.0037607865	-0.09057541	0.0442791279	0.0745337718	0.0026220387	0.081145773	0.0915046145	-0.0729293647	-0.0166965092	-0.0451510423	-0.0128441505	-0.0443301764	-0.0468309135	-0.0991631859	-0.0543019389	-0.1189996592	-0.0920499914	-0.0796911371	0.0308938026	0.0801623122	0.0910093797	-0.0587637781	0.0528412449	-0.0843142523	-0.0889637468	-0.0052907242	-0.0694338114	0.1178528752	0.0730790107	0.0260522356	-0.0054712966	-0.1215437302	0.1256183499	0.0014258076	0.0378937956	-0.0280689284	0.1408597379	-0.0012539718	0.024365464	0.0817874266	-0.0656742202	-0.0318081024	-0.0157084789	-0.0480858132	-0.0034282996	0.078857577	0.0561890477	0.006972292	-0.0749767993	-0.0203857764	-0.0824432263	0.0221038749	-0.0218562993	0.0926547124	-0.0878838341	-0.0427200286	-0.0538305803	-0.0463483733	0.0203351204	0.0132706837	0.0350600831	-0.0789660485	-0.0192960724	-0.1159928474	-0.0555571705	0.0551943695	0.0627320754	0.0361319886	0.1133324686	0.1092392569	0.1025263906	0.00809519	0.00054737	6.55321011361e-05	2.996139169000002e-07	-0.00757443	0.04917267	5.73719898249e-05	0.0024179514749289	-0.0920188	0.0249242	0.0084674595534399	0.00062121574564	-0.00242109	-2.9179999999999744e-05	5.861676788099999e-06	8.51472399999985e-10	-0.000453637	0.000294344	8.6638390336e-08	2.05786527769e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
737.1274488112533	-0.7986213038125243	543356.8757909869	0.6377959869032161	807.8380657534766	2.002853504433915	4.011422160223215	652602.3404803184	730.0394504737895	-0.5651235879001888	0.3193646696011824	532957.5992480726	729.8777398269862	569.4842699088751	1.087147	26.688156	0.1009819599999999	0.0611155	-0.0301914606	-0.1074307055	-0.0300654479	0.0587120017	0.0145721605	-0.0796702015	0.0247804753	0.0333476662	-0.1404499469	-0.0104143273	-0.0194096508	0.1107928551	0.0788422277	-0.006591339	-0.1011930814	-0.0360533287	-0.0350955453	-0.2467107365	0.0881185008	0.0108986326	0.0098349552	-0.0836212902	0.1005610157	0.1616082465	0.0447169887	0.0134135098	-0.0186776878	0.0381359344	-0.0295118228	0.0607541477	0.0464034641	-0.0739178813	-0.1604316689	0.0336816358	-0.0106618391	-0.0067078389	0.0330342709	0.0922480664	-0.0786863967	0.1029756234	0.0435404055	-0.0040239217	0.0015456992	0.1499979189	0.1738137382	-0.0972514383	-0.0775446642	-0.0742355812	-0.0745316799	-0.0140719215	0.0447383397	0.1604545943	-0.1716638184	0.004548061	-0.0235432623	-0.1936145243	-0.0511142872	-0.072622601	-0.0413648364	0.0413001309	-0.0968202312	0.0204873957	-0.0422014914	0.1643034927	0.1014053495	-0.1300881051	0.1896288534	-0.0346052007	0.1146846539	0.0536581533	0.0590999263	0.0229927299	-0.0682044247	-0.1061621759	0.1596212962	-0.085516765	0.0567636004	0.0216233688	-0.0592058458	0.0235411838	-0.0009204624	0.0676864549	0.0875303289	-0.0266717377	-0.0313065382	-0.0299978826	-0.0631852183	-0.0208960926	0.0635294292	0.0961506068	0.118408029	-0.0180976687	-0.0062495515	0.1665004099	0.1197951023	-0.1268914288	0.0440704442	-0.0770516968	0.0372153781	0.1199802209	0.0126107272	0.1922926143	0.1186546023	0.056894322	0.1129422506	0.1076997553	0.099141769	0.00747905	-0.00061614	5.59361889025e-05	3.796284996000003e-07	-0.0637633	-0.0561888699999999	0.0040657584268899	0.0031571891118768	-0.101584	-0.0095651999999999	0.0103193090559999	9.149305103999992e-05	-0.00192227	0.0004988199999999	3.6951219529e-06	2.488213923999999e-07	-0.000647052	-0.0001934149999999	3.7409362224999986e-08	4.186762907039999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
736.5982436185363	-0.5292051927169723	542576.9725019126	0.2800581359986078	805.7382706764657	-2.0997950770108678	4.409139365439074	649214.1608327016	730.3338804640069	0.2944299902173952	0.0866890191394154	533387.5769536144	729.6698833651523	564.0671625075843	1.013689	24.884865	0.0529357699999999	0.0241899	-0.0139823823	-0.0177333021	0.0742526271	0.0201872032	0.0382842704	0.0849324559	0.0006294894	0.0548253928	-0.1378432752	0.0226216019	-0.0273033124	0.0659223124	-0.0792930646	-0.0143089666	-0.0814828836	0.0395352099	-0.062953974	-0.1334239136	-0.0807744762	0.0758914597	0.0995948901	-0.1227817037	0.0213673456	-0.094887476	0.0807776393	0.0487415634	0.0367196935	0.0069463804	-0.055008768	-0.0326684944	-0.0354078869	0.0343637864	0.0359007846	0.0150395618	0.0419746259	-0.0077120943	-0.1135457922	-0.0035754611	-0.0382047819	0.0132265377	0.0549527579	-0.0283385455	-0.0025441528	0.0677547863	-0.0685498377	-0.2019023509	0.0317666592	0.0935546586	-0.0748822564	0.0864540528	-0.0464840091	-0.1401160188	0.0964663173	-0.114547197	-0.1346424159	-0.0345402177	-0.0423834396	-0.0320664249	-0.0458377586	0.0571243759	0.0770133963	-0.02693203	-0.0112224241	0.1201821227	0.112076808	-0.0131913235	0.0942775099	0.0139415568	-0.0399820744	-0.0907125949	0.0522538336	0.073567125	-0.0511828979	0.0210275919	0.0547221997	0.0526277326	0.0172606059	-0.0120527697	0.0439870183	-0.0763857017	0.043591487	0.0293908942	-0.1072240844	-0.1185908625	0.0164292134	0.1017819484	0.0518827345	0.0670638057	-0.1412602572	-0.0921760659	0.151143315	-0.0639248877	-0.047746019	0.0613740895	-0.0653280474	0.1118169194	-0.0284631969	-0.0389738685	0.0897757297	-0.0494475333	-0.0613810989	-0.051146305	-0.0748497141	0.0586437778	0.1125037874	0.1059762505	0.0953761056	0.00697083	-0.00050822	4.85924708889e-05	2.582875684000002e-07	-0.0541831	0.0095801999999999	0.0029358083256099	9.178023203999996e-05	-0.0935804	0.0080036	0.0087572912641599	6.405761295999999e-05	-0.00163528	0.00028699	2.6741406784e-06	8.236326009999999e-08	-0.000458186	0.0001888659999999	3.5670365955999985e-08	2.0993441059600005e-07	0.000221019	0.000221019	4.8849398361e-08	4.8849398361e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
