global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
717.8778792448437	n/a	515348.6495090744	n/a	813.7341727920352	n/a	n/a	662163.3039695378	700.5226021987289	n/a	490731.9161912786	n/a	715.8948150732175	551.6610745607995	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.00227267	n/a	n/a	5.1650289289e-06	-0.00580777	n/a	3.37301923729e-05	n/a	-0.021444	n/a	n/a	0.000459845136	-0.000745991	n/a	5.56502572081e-07	n/a	-0.0	n/a	0.0	n/a	-0.000166641	n/a	2.7769222881e-08	n/a	0.0
717.306095245659	-0.5717839991847313	514528.0342765744	0.3269369417236848	810.5947792793208	-3.1393935127143777	9.85579162767312	657063.8961948908	699.965509340078	-0.5570928586508899	489951.71426571487	0.3103524531598203	715.3365538128525	565.3013094912587	1.319877	30.509867	0.2419123212	0.138544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.79312e-05	0.0023106012	5.338877905441439e-06	1.43877593344e-09	0.105537	0.11134477	0.011138058369	0.0123976578063529	0.0558938	0.0773378	0.00598113530884	0.00312411687844	-0.000391157	0.000354834	1.53003798649e-07	1.25907167556e-07	-0.000496908	-0.000496908	2.46917560464e-07	2.46917560464e-07	0.0	0.000166641	0.0	2.7769222881e-08	0.0
714.6434749603444	-2.662620285314574	510715.2963033964	7.0895467837686645	811.4615408670395	0.8667615877186563	0.751275649944566	658469.8323063101	701.0950140792042	1.1295047391262187	491534.2187667196	1.2757809557085875	717.6896065434725	548.3187465416175	1.349563	31.196093	0.1912463638	0.127236	-0.183296661	-0.0203549147	0.1433759829	-0.0716051223	-0.0868005893	-0.2421257971	0.0370780081	-0.0250526675	0.1634478854	-0.177057053	0.1455307722	-0.0465675983	0.1876112607	-0.2918189894	0.0356089413	-0.003570415	0.1976018408	-0.0667056555	0.0285860235	-0.0653545578	0.1105321359	-0.077065174	0.0791799269	-0.0481596778	-0.1002410876	0.0627485362	-0.083120007	0.0615071992	-0.0576507222	0.2794368747	-0.0960249836	0.174049043	-0.0508730223	0.1076485419	-0.0044432587	0.0108034673	-0.0809889462	0.0087037906	0.1444553359	-0.0162607829	0.0149150136	0.0761438613	-0.0595681906	-0.1245242406	0.0722264039	-0.0350381636	0.0583635445	0.0150001515	0.0151847225	0.0713644628	-0.1167193664	0.0452248501	0.0689656458	-0.0140605714	-0.0199639213	-0.0119638471	0.0694371704	-0.1192677863	0.2534603167	-0.0043335925	0.1227605262	-0.1486166532	0.0351164954	0.05081069	-0.150590594	0.0407084303	-0.1741587795	0.0359409075	-0.0412435829	0.0085251336	-0.2477176791	0.1713269593	-0.0861208525	0.0898529838	-0.0207927581	0.2270118639	-0.1731207241	0.0641188879	-0.1404987573	0.0233828225	-0.0789954669	0.0212667091	-0.1774741273	0.0449184582	-0.0677649831	0.0795919342	-0.0652576946	-0.0467338399	0.027756172	0.0640673823	-0.0140550195	-0.0729640259	0.1453221253	0.0396923403	-0.0297427547	-0.001429538	0.0837398906	0.1154637225	0.1154447293	0.1154130763	0.0	0.0	0.0083645	0.0083265688	6.933174798113343e-05	6.996486025e-05	-0.0184384	-0.1239754	0.00033997459456	0.01536989980516	0.0832728999999999	0.0273790999999999	0.0007496151168099	0.0069343758744099	5.04799e-05	0.0004416369	2.5482203040099998e-09	1.9504315144161e-07	-0.000496908	0.0	2.46917560464e-07	0.0	-0.000189669	-0.000189669	3.5974329561000003e-08	3.5974329561000003e-08	0.0
712.8453603571285	-1.798114603215936	508148.5077826844	3.2332161262984025	808.7290528990487	-2.732487967990778	7.466490495214371	654042.6810029923	698.9673694616379	-2.127644617566375	488555.3835721218	4.526871618659166	715.2394828880958	560.9595986402566	1.282615	29.648542	0.362800395	0.232964	-0.2028904545	0.0548399875	0.0826225448	0.0745282194	-0.0038044943	-0.2494802121	0.0269105444	0.0784579418	0.1012578947	-0.1401590862	0.0209765981	0.0923372885	0.0533352289	-0.1702168942	0.0468449799	0.1235414086	0.0467138501	-0.1646597662	-0.0275636944	0.1089995687	0.0036394338	-0.0860001995	0.1243373717	0.1232008932	0.0320694791	-0.0613131493	-0.0527850095	0.010012298	0.2350694988	0.1001141896	0.0613112051	-0.0054954712	-0.0458259908	-0.0300172714	-0.0495075129	-0.021500036	-0.0774158722	-0.1697542701	0.0019180163	-0.0357186395	0.0784951854	-0.0015577437	-0.033557446	0.0271226088	-0.0244549146	0.0494619633	-0.0563519591	-0.0325731172	-0.1811568534	0.0843777943	-0.0722389092	-0.0020090753	-0.0825829509	0.0152039688	0.0158417925	-0.1162940625	-0.0476478531	-0.0157008919	0.194732905	-0.1368125419	0.0566667204	-0.1993566387	0.0355219782	-0.1363367766	-0.0614707956	0.1647988127	-0.0458411235	0.1251657712	0.0935825421	0.0621117384	-0.1193045594	-0.0029778427	0.0620939922	-0.1136066756	-0.09761995	0.1791827006	-0.1205388467	0.0128858777	0.1003475466	0.1525525196	0.0206427523	-0.0824874863	0.019292107	0.077290123	-0.0125166044	0.0491086549	-0.0206981989	0.0230025928	-0.0446738319	-0.0788896127	0.0267446737	0.0047516389	0.0193000703	0.0626740453	0.0014785459	0.0902449233	0.058622208	0.1154130763	0.1152422001	0.1149575937	0.0	0.0	0.0121089	0.0037444	1.402053136e-05	0.00014662545921	0.181323	0.1997614	0.032878030329	0.03990461692996	0.195026	0.1117531000000001	0.01248875535961	0.038035140676	-0.000604705	-0.0006551848999999	3.6566813702500005e-07	4.2926725318800994e-07	-0.000390932	0.000105976	1.5282782862399997e-07	1.1230912576000006e-08	0.0	0.000189669	0.0	3.5974329561000003e-08	0.0
710.275737084632	-2.5696232724964148	504491.6226911173	6.602963762555184	800.9854751289525	-7.743577770096181	59.96299668152774	641577.7313675538	698.0730639038691	-0.8943055577688028	487306.0025481353	0.7997824306561695	714.27844211428	545.463487808067	1.166159	26.956572	0.2441448045	0.169357	-0.1670653232	-0.1376537652	-0.0584569311	-0.0659583484	-0.05754646	-0.1287694666	-0.0573669063	-0.1251621988	0.0152662965	-0.1692209862	-0.0447923056	-0.1685617057	0.2049390252	-0.1680204533	0.0012146059	-0.0146352909	-0.0270369839	0.0782187427	-0.0762606919	-0.0265640934	0.1451303364	0.0177175852	0.0579489394	0.0063039168	0.1022154217	-0.0877104665	0.0420839669	0.024363309	0.0047945101	-0.05961248	0.0525798904	-0.2089074788	-0.0798337122	0.117802725	0.0052651457	0.0044567925	-0.0053263732	0.0211631737	0.1182629218	0.1564039668	0.026653369	0.0131361825	0.0456223474	-0.1267060432	-0.1837395867	-0.0313362561	-0.0167989453	0.047295645	-0.0310772878	0.1219361513	0.1688257909	-0.0669583004	-0.0258746003	-0.0033852049	-0.1140605753	0.1838113371	-0.064024504	-0.0695385262	0.1738790987	0.0451302139	-0.0081481465	-0.0120923212	0.1502114857	-0.0728912971	0.0158078285	-0.0714382263	-0.0998601932	0.0600168422	0.0917737712	0.184109797	-0.1403701497	0.0298476657	0.0580659709	0.0361930103	0.0484984902	-0.0175573744	0.1923207013	-0.1524875515	-0.0220412131	0.1724729149	-0.028854906	0.0424425743	0.0837748326	-0.1068119819	-0.0555830585	-0.1778876543	-0.1379256069	-0.0260771911	0.1289252401	-0.135508347	0.0799244655	-0.0500739032	-0.0973764726	0.1546463143	-0.0081086176	0.0435849948	-0.0784109735	0.1153118061	0.1148374968	0.1140484259	0.0	0.0	1.65955e-05	-0.0120923045	0.0001462238281207	2.7541062025000004e-10	0.0149486	-0.1663744	0.0002234606419599	0.02768044097536	0.222509	0.027483	0.000755315289	0.049510255081	-0.000230082	0.000374623	5.2937726724e-08	1.40342392129e-07	-0.000496908	-0.000105976	2.46917560464e-07	1.1230912576000006e-08	-0.000283303	-0.000283303	8.0260589809e-08	8.0260589809e-08	0.0
709.5407655448844	-0.7349715397476757	503448.0979700206	0.5401831642390692	804.8186759057832	3.833200776830608	14.69342819549478	647733.101086738	696.81765671279	-1.25540719107903	485554.8467067037	1.57604721541294	712.8411772867561	546.1055254491765	1.142484	26.409319	0.2861375544999999	0.194828	-0.1442902668	-0.027112922	0.0114987833	0.1242039139	0.0426246719	-0.1590367898	0.1287943294	-0.0634227411	-0.0124629723	0.0651220559	0.0555716277	-0.0169472322	-0.0091238948	-0.0891291094	0.0254902358	0.0766921871	-0.0253705947	0.0832058369	-0.0303463634	-0.0405525424	0.2545022055	0.095934343	0.0132357886	-0.0175514844	-0.0760519583	-0.0309474156	-0.0235986018	-0.0513137005	0.0062875175	-0.0659621997	0.0018538165	0.0828024325	0.0657780248	0.0062306282	0.0156864178	-0.0195745937	0.1072164799	-0.1692146195	-0.0517656835	-0.1060982539	-0.050509867	-0.022762582	-0.1252193747	0.0884754291	-0.0506538085	0.0238367415	-0.0947146352	0.188112409	-0.0332045667	0.0311820147	0.0334298992	0.0931633225	0.0021058605	-0.0056907227	-0.0076548634	-0.1139685374	-0.2686032568	0.0267900812	0.1259541234	-0.0720783079	0.0333967037	0.0907414406	0.0123336731	-0.1298865651	-0.1662794537	0.0369282167	-0.1266346894	0.1605794338	0.0784773292	0.0602575947	-0.0768258947	-0.1010827792	-0.0519974993	-0.0605539091	0.0495384113	-0.0558500771	0.1051334738	-0.0433064658	0.1470759907	-0.063366359	-0.0273392263	-0.191616358	0.0301493209	-0.0570460506	0.1845889929	-0.0118998393	0.0098710743	0.0538418546	-0.0417707642	0.1322463457	-0.1641072563	0.0842414584	0.1496565757	-0.1072284216	-0.0813616941	-0.1040232267	0.061370798	0.1151599564	0.1142313295	0.112689161	0.0	0.0	0.0126589	0.0126423045	0.0001598278630707	0.00016024774921	0.188852	0.1739033999999999	0.0356650779039999	0.0302423925315599	0.307722	0.0852129999999999	0.0072612553689999	0.094692829284	-0.000225808	4.273999999999993e-06	5.098925286400001e-08	1.8267075999999943e-11	-0.000496908	0.0	2.46917560464e-07	0.0	0.0	0.000283303	0.0	8.0260589809e-08	0.0
708.5555834992547	-0.9851820456296992	502051.0149079693	0.9705836630311184	802.9475852593463	-1.871090646436869	3.5009802071835407	644724.8246738152	697.0290155146994	0.2113588019093413	485849.44846939103	0.0446725431445521	713.0625867148774	532.6174204047069	1.111933	25.703112	0.1645614999999999	0.142802	-0.134060756	-0.0033626314	0.0966990439	-0.1002507512	-0.0704375182	-0.1290851457	-0.0547013283	-0.0122940385	0.0723487509	0.0643436625	-0.0286606947	-0.1699519729	0.1493720901	-0.1049697814	0.064352887	-0.0075986164	-0.1456723343	0.0536429759	0.0245064312	-0.0467132415	-0.0035233487	-0.1062164419	0.0239740368	-0.1067196842	-0.1452558604	0.1124089101	0.1294323322	0.0426527039	-0.052201361	0.0851709737	-0.0988758071	-0.1016421471	0.0033531547	0.0717118111	0.2213572801	-0.0649447784	0.1040536529	0.020965856	-0.1127369753	-0.1420474643	0.0505124333	-0.0342877089	0.0524605244	-0.0283067063	-0.1236137178	-0.1250920948	0.0466622907	-0.02285323	-0.020723308	0.0734382236	-0.1667725665	0.0678947657	-0.1554396558	-0.0830078373	0.0765869033	0.111295732	-0.1037615311	-0.0937347106	0.1014646999	0.0042254608	-0.0651621036	0.0593743313	-0.09309817	-0.0564575558	-0.0117032925	-0.0257813454	-0.1485717859	0.1056482217	-0.1369790785	0.0015006837	-0.0845444331	0.0954313771	-0.0370986875	0.0443685567	-0.0493637355	0.1060386843	0.1181456257	0.1354177158	-0.1425681523	-0.0690745294	0.0100377864	0.1214804311	0.1596669233	-0.0886483454	0.1216170627	-0.056024612	0.1670102689	-0.079127777	0.0114838757	0.1329666116	0.0314846483	-0.0968449365	-0.1389973615	-0.060569929	-0.1243257223	0.011140105	0.1046647156	0.1149575937	0.1134247617	0.1108851636	0.0	0.0	0.0274199	0.014761	0.000217887121	0.00075185091601	0.0466821	-0.1421699	0.0021792184604099	0.0202122804660099	0.304414	-0.0033079999999999	1.0942863999999852e-05	0.092667883396	-0.000139356	8.645199999999999e-05	1.9420094736e-08	7.473948303999999e-09	-0.000496908	0.0	2.46917560464e-07	0.0	0.0	0.0	0.0	0.0	0.0
710.2232590942803	1.667675595025571	504417.0777585011	2.7811418902438927	798.7098149891864	-4.237770270159899	17.958696862651106	637937.3685600604	696.7807308297548	-0.248284684944565	485503.38685564726	0.0616452847780219	711.1624764635139	529.7659060351624	1.07152	24.768923	0.27721445	0.180043	-0.1107914741	0.0192036417	0.0134105192	0.0349338963	0.0150066373	-0.0802218612	-0.1096551431	-0.0030067907	-0.0406488225	0.1209583721	0.0089028342	0.0538867607	0.0641700668	-0.0268161624	0.0217550913	0.1066938735	-0.0714668547	-0.1352476284	-0.0335787017	0.0321026805	0.1715508531	0.0312072813	-0.0073525924	0.0385399882	-0.055251038	0.0908137871	-0.231880988	-0.0260042628	0.0158063261	0.0397638081	-0.0295721486	-0.1550091326	0.1741674124	-0.0035935462	0.0685208145	-0.0277857392	0.0174112105	0.0500114818	0.0547009767	0.0272153321	0.0583114068	0.1110053351	0.0105843172	-0.1122766509	0.0698440094	0.0484609221	-0.0267178332	-0.0247299517	0.0580613234	-0.0726020177	0.0736388512	-0.0607901055	-0.1210291449	0.1462219372	0.1574053904	-0.0049855711	0.0862397319	0.0474225035	0.0579970471	-0.0532375785	-0.1483175004	-0.029373524	-0.0111956298	-0.0440620875	-0.1353932672	0.0830737742	-0.0866274482	-0.0322335353	0.0735417503	-0.1028225129	-0.0643380624	0.104661843	-0.0335943214	0.0291299056	-0.123859104	-0.1699132291	-0.1357455901	0.0342549596	0.043171163	0.0989079108	-0.0186005226	0.0914327085	-0.0824973266	0.0469186644	0.0852383887	-0.0398821467	-0.0127662923	0.02265602	0.0272360024	0.0684110162	0.035258591	0.0467956888	-0.0281636029	-0.0958671057	0.2052048329	0.0474676344	-0.2490233352	0.1147048067	0.1124192083	0.108643553	0.0	0.0	0.0389042	0.0114843	0.0001318891464899	0.00151353677764	0.213036	0.1663539	0.045384337296	0.02767362004521	0.364516	0.0601019999999999	0.0036122504039999	0.132871914256	-0.000652491	-0.000513135	4.257445050810001e-07	2.633075282250001e-07	-0.000769258	-0.00027235	5.91757870564e-07	7.41745225e-08	1.05879e-22	1.05879e-22	1.1210362640999999e-44	1.1210362640999999e-44	0.0
712.2790864955864	2.0558274013061464	507341.49705898704	4.226426303961183	801.6588635734738	2.949048584287425	8.696887552487665	642656.9335459135	698.9231846443308	2.1424538145760152	488493.6180333734	4.590108347591319	713.7948115407376	537.286853695694	1.026372	23.725304	0.2328941	0.173733	-0.1193246259	-0.0157634245	0.0466186918	-0.0659668842	-0.0724916386	-0.1182957252	-0.1093392423	-0.0256432251	-0.0032020078	-0.0421504388	0.0516412751	-0.036640147	-0.0079241082	-0.1458107351	-0.0205233702	-0.0870395031	-0.0210823667	-0.0836066359	-0.1105999351	0.0833212911	0.1254078022	0.0317668208	0.0942067891	-0.0276249689	0.0136182124	0.0306602574	0.0206438554	-0.0221243488	0.0957055559	-0.1468599616	-0.0847870401	-0.0978055011	-0.0137563895	-0.0552021541	0.0039751923	0.0480833878	0.1759003343	0.0432553785	-0.0564197676	0.0545503638	-0.1011739035	-0.059909632	-0.0427935374	0.0745504445	0.0296657969	-0.013328463	-0.0093816935	0.215982856	0.1012133543	0.0529896627	-0.0439394349	-0.0535936582	-0.0018597242	0.0431786011	-0.0459989198	0.0842249012	0.0350838127	-0.0785757539	0.1024646554	0.0448364581	-0.0994457952	-0.0730986035	0.0594151623	-0.0136797379	-0.0174574835	0.0160118822	0.0004535171	-0.0690641103	0.0226664795	0.11898442	-0.1145705562	0.0282186249	-0.0052986876	0.0032280221	0.0343854811	-0.2032178901	0.0349543444	-0.019998373	0.1402272015	-0.1746578961	0.057455226	0.0542857928	0.1273254232	-0.0755818967	-0.0342033889	-0.0956222581	0.0832630937	0.1146452787	-0.0985096705	-0.0224612058	-0.0780802184	0.0881793667	-0.0226115867	-0.1332414442	-0.0644767937	-0.0102167034	0.0905205686	0.1144017065	0.1112164334	0.105973176	0.0	0.0	0.0432748	0.0043706	1.910214436000002e-05	0.00187270831504	0.0452156	-0.1678204	0.00204445048336	0.02816368665616	0.321299	-0.043217	0.001867709089	0.103233047401	-0.000626822	2.566900000000008e-05	3.92905819684e-07	6.588975610000041e-10	-0.000627242	0.000142016	3.93432526564e-07	2.0168544256000005e-08	-0.000182037	-0.000182037	3.3137469369e-08	3.3137469369e-08	0.0
711.0904829981934	-1.1886034973930464	505649.6750106039	1.4127782740149817	803.9026841979395	2.243820624465684	5.034730994777572	646259.5256606521	698.2181940345622	-0.7049906097686289	487508.6464808856	0.4970117598619432	713.4275750470505	545.9055039396897	1.141764	26.392673	0.22236005	0.151816	-0.12389251	-0.0749821591	-0.0734824631	0.1083025467	0.0309469174	-0.0977459019	-0.021245566	-0.0700895386	-0.0384973471	-0.055346367	0.071721568	0.1232042383	-0.0121069652	-0.0906169393	-0.0427471448	0.0938355656	0.0465547578	-0.0668600168	-0.1274256403	0.1658654732	-0.024896393	0.1157500527	-0.0975513599	0.1184640821	0.1009317055	0.0769439017	0.1076839992	-0.0297210801	0.0739892457	-0.0310917898	-0.0138199733	-0.0567481268	-0.0343112967	-0.0330416263	-0.0494287836	-0.0354282856	0.0377334223	0.1305658648	-0.1893760022	0.0124598124	0.0990369315	0.074394593	0.0157496868	0.0293535859	-0.0977085454	0.1084805673	-0.0086834014	-0.0356318608	0.1517628944	0.0482729356	-0.0972395558	0.053520794	0.0192697611	0.0074872685	-0.0533010204	-0.09469138	0.0160339204	0.0580143169	0.1022409849	-0.030609076	-0.0007441021	-0.0773750465	0.1538157189	-0.0250013244	0.0018778096	-0.0244281992	0.0371280618	-0.1326429409	0.0977707562	-0.0681761055	0.1358917986	-0.0651822699	-0.0351454802	-0.0223314118	-0.1511872431	-0.0124631216	0.0315102902	0.1389282253	0.1087720875	-0.0748431573	-0.0959698796	0.0671783236	0.1503536378	-0.0188913701	-0.0996766283	-0.0067073176	0.0464131551	-0.0103187637	-0.0984954229	-0.0999997465	-0.0608546353	-0.0106203515	-0.0751073245	0.0083426148	-0.03861607	-0.0164362646	-0.0396605415	0.1140484259	0.1098185471	0.1028845713	0.0	0.0	0.0467097	0.0034348999999999	1.1798538009999984e-05	0.00218179607409	0.188129	0.1429134	0.035392520641	0.02042423989956	0.367955	0.0466559999999999	0.0021767823359999	0.135390882025	-0.000963709	-0.000336887	9.28735036681e-07	1.13492850769e-07	-0.000559051	6.8191e-05	3.12538020601e-07	4.650012481e-09	0.0	0.000182037	0.0	3.3137469369e-08	0.0
