global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
738.838097581001	n/a	545881.7344371127	n/a	826.4250807753311	n/a	n/a	682978.4141345127	705.2616063907204	n/a	n/a	497393.9334488195	715.7393925380943	560.5055385848275	n/a	n/a	n/a	n/a	-0.0293458486	0.0180333922	-0.2285492452	0.0843310569	-0.0592827103	0.0978135622	-0.0770964139	0.04977121	-0.00771223	0.0391320644	-0.1478849032	0.0738006178	-0.1848693478	0.1258063573	0.1370296898	-0.0081429837	-0.0503387062	0.1000413011	0.0096042769	-0.0554257801	0.0443753917	-0.1841193828	0.0523076215	-0.0851562779	0.0956246423	-0.1889407749	0.0395933163	-0.0039541956	0.0545040339	-0.058821269	0.0564210988	-0.0360590495	0.0263973606	-0.0284631874	0.1274324692	-0.0889225344	0.0861821639	-0.0375706158	0.1204458495	-0.0409252605	0.0426081227	-0.0661477817	-0.1026765694	0.058645562	-0.085486676	-0.0447528932	-0.0118828723	0.0745694476	0.0243440614	-0.1193217591	-0.0969284836	0.0936565863	-0.1547746955	-0.0702117602	-0.0289789996	0.0284974661	0.074961057	-0.0844417468	-0.0204323807	-0.0469397128	0.0088830775	-0.2254168009	0.0085583832	-0.085341787	0.0440114289	0.014136922	-0.004935475	0.0012451518	-0.0174914532	0.0546417403	-0.197458444	0.0254843245	-0.11022295	-0.0418170517	0.0386660937	-0.0652581886	0.0323073405	-0.0183898614	0.040320123	-0.008379853	0.0105224892	-0.1571715581	0.0011496967	-0.2022079069	0.0849760493	-0.0190021905	0.0683000235	0.1974323699	-0.0490627104	-0.0005395026	0.0729614237	0.1120051295	-0.0183027301	0.109682058	0.0253584596	0.0052289663	-0.0736086047	0.0496465808	0.0498799967	0.0123341019	-0.1167047315	0.1147017419	0.1146833673	0.1146527451	-0.0225839	n/a	0.00051003253921	n/a	-0.0461864	n/a	0.00213318354496	n/a	-0.0716005	n/a	0.0051266316002499	n/a	-0.000446599	n/a	n/a	1.99450666801e-07	-0.000785051	n/a	n/a	6.163050726010001e-07	0.000412243	n/a	1.69944291049e-07	n/a	0.0	0.0	0.0	0.0	0.0
735.0055616752423	-3.8325359057586175	540233.1756935385	14.688331468929034	820.3296307903593	-6.095449984971879	37.15451051929367	672940.7031526471	705.0350857131967	-0.2265206775236947	0.0513116173457937	497074.4720866147	715.9343917314845	537.5472411746827	1.168546	26.297722	0.234867449	0.120209	0.1219623151	0.0276461441	-0.2679477093	0.1502616621	-0.1168883918	0.0131442252	-0.2414753493	0.1613089545	0.0276361311	0.0474367705	-0.024326531	0.0470055973	-0.0442455591	0.0037910011	0.1301573581	0.0059051948	0.0407645096	-0.0270620248	0.0559193664	0.0862641123	0.0443259556	-0.1800823743	0.0497829525	-0.1452452356	0.163559157	-0.2259722444	-0.0586784574	-0.2039755688	0.0585559608	-0.0572848155	-0.1844954689	0.0521469473	0.0020876529	-0.0974996626	0.0794247994	-0.061670572	0.0169867146	-0.0298358521	-0.0541459124	-0.1041564819	0.0691316893	-0.0902941475	0.1116474635	0.0387569028	0.0596694464	-0.0123517704	0.0841662346	-0.0461336893	0.0091864468	-0.0630590147	0.1238641262	0.0088958045	0.0849854422	0.0521035394	0.1126116221	-0.1052957615	0.0231715086	-0.0627457614	0.0750646332	-0.0384621599	0.0403739962	-0.2191623643	-0.169783945	0.0341862937	-0.0004356568	-0.1202974956	0.1292608666	-0.0864807157	0.0215101124	0.1337630081	-0.1531169313	-0.0573141328	0.0497862116	-0.1224588654	-0.0769268048	-0.1388772293	0.0341106342	-0.1676062255	0.0576285076	0.0530159517	-0.1649186981	-0.0951503547	-0.0389149656	-0.1200259868	0.0888746469	-0.1060941599	0.0284656609	0.0060432538	-0.0073269497	0.0034168651	-0.0822139698	0.0892140988	-0.0586409715	-0.0865857448	0.0568574385	0.0040310883	0.0105174864	-0.0868571918	0.0032505007	0.0955818494	0.1184183649	0.1146527451	0.1144874327	0.1142120884	-0.0394853	-0.0169014	0.00155908891609	0.00028565732196	-0.000382641	0.045803759	1.4641413488100001e-07	0.00209798433853	0.0338194	0.1054199	0.00114375181636	0.01111335531601	-3.82892e-05	0.0004083098	1.6671689277604e-07	1.46606283664e-09	-0.000112803	0.000672248	4.519173735040001e-07	1.2724516809e-08	0.000157953	-0.00025429	2.4949150209000002e-08	6.46634041e-08	0.0	0.0	0.0	0.0	0.0
731.2779999046198	-3.727561770622515	534767.5131445011	13.894716753806458	809.3417912473968	-10.987839542962432	120.7326178218889	655034.1350595448	700.4876640382466	-4.547421674950101	20.679043889805985	490682.96746975946	709.7932626691211	491.22369953992455	1.358691	30.576874	0.1647781489999999	0.0863537	0.2982519069	0.0362192878	-0.1023944034	-0.0115009326	0.0598567265	-0.1352578318	-0.2275682197	0.1062657573	-0.056787711	0.0413909706	-0.0121566743	0.0429396111	0.0207327537	0.0081990019	0.0597572248	0.1171141697	-0.057620719	0.0803623694	0.1033460751	0.0847845094	0.220553091	-0.2377435947	-0.0997254151	-0.0154872551	0.0419158794	0.0928608595	-0.0420588755	0.0017292095	-0.1116643683	-0.0603026055	-0.1278319721	0.079739938	0.1359305455	0.0573664542	-0.0614721682	-0.0327710791	-0.0874468496	0.0173872079	0.1012607219	0.0064196704	-0.0080117754	0.1273469324	-0.0938978782	-0.0689723587	-0.0697902307	-0.0152894861	-0.1530697113	0.0040890132	-0.0552415925	-0.1188137201	-0.0229512577	-0.0609909413	-0.0595103403	0.0226365913	-0.0287171769	-0.0665415551	-0.0180440292	0.0927183161	-0.0819054686	0.0770094339	-0.0334673323	-0.2577202782	-0.092174281	0.0191102274	-0.0433874584	-0.0883079913	-0.0066828031	-0.085312219	0.1669330366	-0.1202502967	0.0779751374	0.0924440823	0.0407586648	-0.1074371611	0.0362424895	0.0094513006	0.0568438721	0.1560496766	0.0941441714	-0.0150063311	0.0026378406	0.1492625616	-0.024098982	0.0083767654	0.0035196501	0.0715442182	0.0918971891	0.0213170766	-0.0211314161	-0.099060341	0.1144543581	-0.0372621592	-0.1585478108	-0.1034340899	-0.0121436208	0.0325295426	0.1084046064	0.2298905887	-0.0804957228	-0.0387197529	-0.0169986955	0.1145547726	0.1140958982	0.1133324686	-0.0555076	-0.0160222999999999	0.0030810936577599	0.0002567140972899	-0.0262707	-0.025888059	0.00069014967849	0.0006701915987874	0.0565485	0.0227291	0.00319773285225	0.00051661198681	-0.00141283	-0.0013745407999999	1.88936241086464e-06	1.9960886089e-06	-0.00043592	-0.000323117	1.0440459568900005e-07	1.900262464e-07	-0.000147163	-0.000305116	2.1656948569e-08	9.309577345600001e-08	0.0	0.0	0.0	0.0	0.0
737.5547697204316	6.276769815811804	543987.038337359	39.39783932068615	806.9838901864063	-2.357901060990571	5.55969741342046	651222.9990203858	701.2380684448694	0.7504044066228062	0.5631067734789258	491734.8286362914	708.003986080077	491.2097188920099	1.461278	32.885559	0.44015825	0.222628	0.2444096653	0.0681637699	0.1273033351	-0.0716668181	0.0184521907	-0.1825275132	-0.0921156847	-0.1149490022	-0.0193606782	-0.0016112085	-0.2604157793	0.0101829069	-0.0008853065	0.1356430428	-0.0373587473	0.1384701028	0.1620498349	-0.0429509695	0.1270531565	-0.0036097273	-0.0621900028	-0.102521352	0.1819371623	0.3463424092	-0.010627455	-0.0113316085	-0.0341646221	-0.0823444862	0.0077745619	0.1101705491	-0.0409565793	0.1581936416	-0.1126863571	0.1027836072	0.0655509128	-0.149382403	-0.0828207441	0.0180430593	-0.0923139015	0.0122839714	-0.1499308965	-0.055718667	0.0119623239	0.0031439516	0.003521298	-0.0147890536	0.0252649511	0.0150443675	-0.1471211929	-0.0722082577	-0.0487754849	-0.0942877395	0.0265276006	0.0978177927	-0.0955142059	0.0631743547	0.045323963	-0.0638440649	0.0875202815	0.1494021912	0.0734882664	-0.0530095417	-0.0380658158	0.1394872435	0.1065053162	-0.1546747914	-0.3203072224	-0.1584679632	-0.081607112	-0.0244601604	-0.0225761885	-0.1912987104	0.0285361472	-0.1348197156	-0.1915439113	-0.1883468044	-0.1394718827	0.0357230012	0.0575209011	0.0800489003	0.0613670352	-0.1264274939	0.0460127365	0.0059731214	-0.0012476138	0.1277395014	-0.1376495163	-0.1545411569	0.1550372766	0.083042769	-0.0822972126	0.0257839215	-0.0340852557	0.1179665819	0.0423546662	-0.1271157907	0.1722826161	-0.0047882116	0.0063336902	-0.1680589801	0.0415850011	0.1144078661	0.1135094328	0.1120172664	0.0127049	0.0682125	0.00016141448401	0.0046529451562499	-0.140833	-0.1145623	0.019833933889	0.01312452058129	0.0735611	0.0170126	0.00541123543321	0.00028942855876	-0.00196523	-0.0005524	3.0514576000000024e-07	3.8621289529e-06	0.00295236	0.0033882799999999	1.1480441358399996e-05	8.716429569599998e-06	-0.0010139	-0.000866737	1.02799321e-06	7.512330271690002e-07	0.0	0.0	0.0	0.0	0.0
727.8023069947376	-9.752462725694045	529696.1980668623	95.11052921605172	795.9427747945099	-11.04111539189637	121.90622909717092	633524.9007475838	679.3355305019154	-21.90253794295404	479.72116834254143	461496.76300231885	682.6578801432971	509.2259672244798	1.800722	40.52462	0.3536276	0.161575	0.0935374201	-0.1135584247	0.1786742093	-0.1500410659	-0.0160671273	-0.4061322776	0.1780189814	-0.1277069863	0.1080851202	-0.1688082025	-0.1102517808	0.0341610738	0.2784188717	0.1157382739	0.1682494092	0.7241627506	0.2571805552	-0.0376740334	0.1214690641	-0.0053536975	-0.1520439342	-0.0651602439	-0.024677629	0.0060789262	-0.1069398726	-0.0421851687	0.0523946858	0.0687562603	0.0106386433	0.0703749356	0.0415335191	-0.0279751232	0.0693349814	0.0697327234	-0.0113016603	0.0960655719	-0.0068213074	-0.0516371602	0.0194445792	0.0271092521	0.0172268964	0.1061133686	0.0411039445	0.0579297464	0.0458955466	-0.0809028746	0.0265752158	-0.0725278437	0.0219911106	-0.0104394035	0.0395555044	0.0753357476	-0.0302422454	-0.0068993768	0.0145518342	0.0268785207	-0.0836634413	0.0728604288	0.0243235324	0.7038925757	0.2014989025	-0.000779278	-0.0144654873	-0.0396608748	-0.0830502899	-0.2151871523	-0.1896278255	-0.0372846561	-0.1899992922	0.1275529942	-0.0705334678	0.0369139781	-0.1190411367	0.1434437316	0.0377260326	0.1450955829	-0.010205237	-0.0243498794	-0.1317109688	-0.0556088909	-0.0648276249	0.162909921	0.0416574852	0.058615454	0.0635545123	-0.1027123651	-0.0028826308	0.0584419518	-0.021849045	-0.0817408148	-0.0544643661	-0.0030692381	0.017951568	-0.0071563589	-0.007437788	0.0803037303	-0.0547845322	0.0083858804	0.0413028983	0.0173078585	0.0202959703	0.1142120884	0.1127290384	0.1102715368	0.0978821	0.0851772	0.00958090550041	0.0072551553998399	-0.108488	0.032345	0.011769646144	0.001046199025	0.143138	0.0695768999999999	0.0204884870439999	0.0048409450136099	-0.00346563	-0.0015003999999999	2.2512001599999995e-06	1.20105912969e-05	0.00456083	0.00160847	2.587175740900001e-06	2.08011702889e-05	-0.0012356	-0.0002216999999999	1.5267073599999995e-06	4.915088999999991e-08	1.0	0.0	0.0	0.0	0.0
719.4531679092577	-8.34913908547992	517612.8608146665	69.70812346868846	771.0621106663623	-24.8806641281476	619.0474474576907	594536.7785052655	687.1484562510658	7.812925749150395	61.04180876173726	472173.0009282229	690.4456838101578	520.6071885597771	1.872063	42.130127	0.3941603	0.254085	0.0209934632	-0.0516971788	0.0603828142	-0.2150737337	-0.0395177817	-0.6365779348	0.3691582649	0.2508346636	-0.1043245448	0.0809868456	0.0438547122	-0.0255012029	-0.1604709322	-0.0571201125	-0.045922282	0.4530783607	-0.051070487	0.0768354016	-0.2641930602	-0.0283952188	0.0152078685	0.3710799323	-0.097363457	-0.08686373	0.1383924759	0.1052399523	0.0214195102	0.0085477977	0.0510759379	-0.0854350575	-0.0279572441	-0.1129349046	-0.0457554647	-0.1478385014	-0.0930272907	-0.0491397938	0.0438609785	0.0662663261	-0.0654304679	0.0179114368	0.0498126932	-0.1588984668	-0.0766615389	-0.0727709727	-0.0589543561	0.1490511927	-0.0077255014	0.1251321828	-0.0241862223	0.1178329665	0.0004695331	-0.077858219	0.0375425369	-0.0223654573	-0.01223897	-0.080117221	0.0666636937	-0.1154453359	-0.0901706534	0.5050501469	0.082133234	0.1849903327	0.1807771482	0.0573056932	-0.0331553325	0.318426404	0.2951884902	0.1384029976	0.2407099734	-0.1737325216	0.04652599	-0.0605481033	0.1318111097	-0.0984159841	0.0446448868	-0.087373814	0.1160211128	-0.0580603777	0.087840246	0.0252730121	0.0792658458	-0.1334275303	-0.1015462287	-0.0693383572	-0.1021756646	0.1070288912	0.0170085234	-0.0645114953	-0.0881074107	0.1225507386	0.0399671237	-0.0135748126	0.0032466436	0.0047794431	-0.0006460527	-0.0227667646	-0.0124521389	-0.0501233611	-0.0598434166	0.0292025791	-0.0649380291	0.1139675232	0.1117560484	0.1081019891	0.0632543	-0.0346278	0.00400110646849	0.00119908453284	0.124223	0.232711	0.015431353729	0.054154409521	0.155725	0.012587	0.024250275625	0.000158432569	-0.00382797	-0.00036234	1.3129027560000005e-07	1.46533543209e-05	0.00273019	-0.00183064	3.3512428096000004e-06	7.4539374361e-06	-0.00114389	9.170999999999984e-05	1.3084843321e-06	8.41072409999997e-09	0.0	1.0	0.0	0.0	0.0
739.6528189448921	20.199651035634474	547086.2925731255	408.02590196140886	812.8900189647974	41.82790829843509	1749.5739126222952	660790.1829325886	707.5906029369709	20.442146685905072	417.8813611280597	500684.461364706	715.1485060040046	547.8724680432225	1.834235	41.278828	0.30609695	0.157503	-0.0566926874	-0.0415753649	0.119065362	0.025915854	0.0050068622	-0.1477746867	0.1773466379	0.0993889631	0.0616435599	-0.0743077716	0.1401647025	-0.0249296291	-0.0349887358	-0.2145611332	-0.0783433295	-0.0525696172	0.0969318428	-0.1226642806	-0.0403835942	0.0194886202	-0.2009332919	0.0631424312	-0.1334473009	-0.202265454	-0.081564132	0.1652787939	-0.1339888141	0.0075714723	-0.0025985312	-0.2174776108	0.010751403	0.097920899	-0.1157964458	-0.030840203	0.0256562893	0.0167277229	0.0605384426	0.164996311	0.0384171624	-0.0836354579	-0.0919882539	-0.0296920273	0.0061878626	-0.0708088361	-0.1157360206	-0.1527290681	0.0182052786	-0.1055586181	-0.0001404854	-0.0525926669	-0.0744367672	-0.1169497934	0.1283909962	-0.0696886268	-0.0132333277	-0.0073958199	-0.0440607374	0.0569237992	-0.0045979033	-0.0007203194	0.0359400487	0.3595693226	0.0363992219	-0.0551065109	-0.1055950391	-0.0063075864	0.2033029809	-0.0378092589	0.0428978339	0.0580016556	0.0781926888	0.2089848138	0.0637910929	-0.1494539745	-0.1222760591	-0.0490389641	-0.1096984491	0.0647085373	0.0239562448	0.0780144438	-0.0204558979	-0.2138476984	0.1367439272	-0.0630872156	0.0261398165	-0.1063919392	0.0838389165	0.0439327858	0.19672055	-0.1227385704	0.0735466815	-0.0288555426	0.0021092316	-0.0474053761	-0.0397567353	-0.0897631437	-0.023034855	0.0581610704	-0.0639831297	0.0454561116	0.2149299947	0.1136742748	0.110592125	0.105516962	0.0108536	-0.0524007	0.00011780063296	0.00274583336049	0.0867855	-0.0374375	0.00753172301025	0.00140156640625	0.123669	-0.032056	0.015294021561	0.001027587136	-0.00265591	0.00117206	1.3737246435999998e-06	7.0538579281e-06	0.000218195	-0.002511995	6.310118880025e-06	4.7609058025e-08	-0.00114389	0.0	1.3084843321e-06	0.0	0.0	0.0	1.0	0.0	0.0
743.982435295292	4.329616350399874	553509.8640279134	18.745577741649925	833.9702143614353	21.08019539663792	444.3746379604345	695506.3184420583	708.3448779014615	0.7542749644906053	0.5689307220573039	501752.4660492364	717.1854203458528	558.1921340697828	1.283718	28.889618	0.16584055	0.0696781	-0.1152752298	-0.145024239	0.0123330964	-0.0487057707	0.0237331527	0.0863443184	0.1243203992	-0.0228770115	0.0196872095	-0.0260879383	0.224865199	-0.0267258857	-0.058400214	-0.0712301351	-0.1593530532	-0.0760631875	0.0186334016	0.0273902456	-0.0145922179	-0.0003611087	-0.1338944359	0.0468662449	0.0758027476	-0.1944097924	0.0206242962	0.1777080433	0.0910498246	0.0084965048	-0.0786425497	-0.0677818012	-0.1089857745	-0.0578986173	0.1861361809	-0.0354203197	-0.0227044353	0.0527775597	0.0082652596	0.1009576876	-0.0200663286	0.1464066247	-0.0589214506	0.1567654739	-0.017744413	0.1134075766	-0.0216104845	-0.0148657213	0.0037514969	-0.0471261117	0.1034554063	0.0462425023	-0.0099927373	0.0577626595	-0.1420493576	0.0863066106	-0.12860475	-0.0540601548	-0.0487938793	0.0051619779	0.1329375504	-0.0576742193	-0.0262037003	0.1544873202	0.0465919342	0.0158933974	-0.1745920804	0.0033555079	0.08355724	-0.0020411366	0.132431388	0.1772090397	0.1297162786	0.0839060352	0.1189477214	0.0703923339	0.0075169996	-0.0936683406	0.0292329164	-0.0564465191	0.0271023472	-0.0363977723	-0.2089047144	0.2535359369	-0.0097364854	0.1523506753	0.1606083355	0.0347785049	-0.0644313713	0.120645785	0.0450061082	-0.0461576075	0.0086246439	-0.032921876	0.063052689	0.0805881725	-0.0310134969	-0.0177426398	-0.0031131284	0.0986938042	0.0013699304	-0.0034414904	-0.0591257826	0.1133324686	0.1092392569	0.1025263906	-0.0153584	-0.026212	0.0002358804505599	0.000687068944	0.0489227	-0.0378628	0.00239343057529	0.00143359162384	0.0990679	-0.0246011	0.00981444881041	0.00060521412121	-0.00201981	0.0006361	4.046232100000002e-07	4.0796324361e-06	-0.000366985	-0.00058518	3.424356324000001e-07	1.34677990225e-07	-0.000821877	0.000322013	6.75481803129e-07	1.03692372169e-07	0.0	0.0	0.0	0.0	0.0
747.5886734790697	3.606238183777691	558888.8247141951	13.00495383813622	835.6540682581456	1.683853896710275	2.8353639454663773	698317.7217963894	708.6607191451654	0.3158412437039715	0.0997556912244715	502200.0148593431	719.0056501455563	567.2682450272251	1.23961	27.896988	0.22826385	0.114149	-0.1294358531	0.0370281539	0.0288216796	-0.1076547445	-0.0019229977	0.1373299197	0.0939942642	-0.0698012442	-0.0126732328	-0.0209616798	0.0311153074	-0.0018641643	-0.0500297379	-0.199949494	-0.1288753827	-0.0796485309	-0.04944707	0.1251202531	-0.1388662569	-0.1862151652	-0.1094257992	0.0217570973	0.0702402457	0.0323155574	0.0564824212	0.0724866149	-0.0587648724	-0.0747146021	-0.0294323903	0.0070652927	0.1190729195	0.0191739042	0.0380767711	-0.0596324676	0.0235775682	0.143037566	0.0344073526	0.0062567258	-0.1731958128	0.0239359059	0.0342009676	-0.0664815993	0.0630804375	0.030346138	-0.0438216017	0.0198117942	-0.1328462333	-0.0420829874	-0.0025109885	-0.0730422661	0.0323136912	-0.0397222673	0.0370192824	0.0036849708	-0.0195511556	0.0115102279	0.0248515567	-0.1909910041	0.0975302991	-0.0904090714	0.0001775122	0.0297007426	0.1486713779	-0.1115352979	-0.0010119003	0.189246764	-0.0199191521	-0.0837490606	0.051813732	0.1165029122	0.0534268385	0.0202554939	-0.0330032163	0.0143881334	-0.1861085804	0.040066435	0.0215684295	-0.0169658549	-0.0107293115	0.0462416828	-0.0374048753	-0.0393100258	-0.0274386446	0.0073693359	-0.031211266	0.0016612823	-0.1023385173	-0.0275754094	0.02848185	-0.0759683923	-0.0470015468	-0.0818985965	0.1048766842	-0.0287354215	0.1109879256	-0.094161865	0.0532231154	-0.0884390704	-0.080927117	-0.1467268246	-0.0518502842	0.1129422506	0.1076997553	0.099141769	-0.0344919	-0.0191334999999999	0.00118969116561	0.0003660908222499	-0.0368799	-0.0858026	0.00136012702401	0.00736208616676	0.0336416	-0.0654262999999999	0.00113175725056	0.0042806007316899	-0.00172327	0.0002965399999999	8.793597159999993e-08	2.9696594929e-06	-0.000814465	-0.00044748	2.002383504e-07	6.63353236225e-07	-0.000407868	0.000414009	1.66356305424e-07	1.7140345208100005e-07	0.0	0.0	0.0	0.0	0.0
747.0154840817787	-0.5731893972910029	558032.1334579341	0.3285460851668232	834.3583134718592	-1.295754786286352	1.67898046618399	696153.7952596053	707.5765349477974	-1.0841841973680175	1.1754553738225324	500664.5528087316	716.7520753966205	564.765928970808	1.186021	26.690998	0.1389098799999999	0.0774038999999999	-0.1366289541	-0.0716520264	0.1231174558	0.019425089	-0.1179478467	0.1169010462	0.0942551623	-0.0995777714	0.1040332921	0.0132826305	0.1247987051	-0.1006663332	0.0933162243	-0.0196792413	0.0449322023	-0.0621749768	-0.0496292904	-0.0315844373	-0.0934083084	-0.0130838442	-0.0447586242	0.0116110159	-0.0174173499	0.0940511966	0.0487295241	0.1353309953	0.152489997	-0.0720979733	0.0825705358	0.0079381422	0.1221265582	-0.0185196719	0.1082167492	0.0193508064	0.0036649221	0.0378080301	0.0676350735	-0.012991648	0.006872493	-0.080639122	0.156338312	0.1012633111	-0.0181307982	0.1109752119	-0.0795428024	-0.0667056206	-0.0588311064	-0.0025968062	0.0041847323	-0.0577665974	-0.0626839576	0.0287651328	0.0249964594	0.0069346638	0.1037603354	0.0732707349	-0.1323245574	0.1407033287	0.0180217823	-0.0483783116	-0.0480762213	0.1271288883	-0.0055399722	0.0239049695	-0.0133885783	0.0794497309	0.0098116916	-0.0554334399	-0.0109087689	0.047878388	-0.1010228015	0.0764154659	-0.1412590541	0.2389804364	-0.0282911085	0.0115197834	0.0434375279	0.1433956871	0.028736851	0.0745953007	0.1247962796	0.0730193336	-0.0760788564	-0.0028731843	0.0210040917	-0.1739987238	-0.0552135627	0.0908936603	-0.0939165903	-0.0257010707	0.0063246593	0.0164588375	0.0094034976	-0.0699201348	-0.0737476249	-0.1376637021	0.0808663639	-0.0100855201	0.0289511589	-0.0486496559	-0.0288621597	0.1125037874	0.1059762505	0.0953761056	-0.0325048	0.0019870999999999	0.00105656202304	3.948566409999995e-06	0.0252237	0.0621036	0.00063623504169	0.00385685713296	-0.00660928	-0.04025088	4.3682582118400005e-05	0.0016201333407744	-0.00180471	-8.14399999999999e-05	6.632473599999983e-09	3.2569781841e-06	-0.000407328	0.000407137	1.6576053676900005e-07	1.65916099584e-07	-0.000610657	-0.000202789	3.729019716490001e-07	4.1123378521000025e-08	0.0	0.0	0.0	0.0	0.0
