global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
741.554031943828	n/a	n/a	549902.382292148	936.7095114105318	n/a	n/a	877424.7087669573	709.2800559852064	n/a	503078.1978183776	n/a	771.4732036747507	615.9768865489813	n/a	n/a	n/a	n/a	-0.0925767489	0.1243267966	-0.0943948144	0.0246560958	0.0187159901	-0.0874203065	0.091631566	-0.1111106086	0.0613048434	-0.0419503326	0.096857469	0.0259375568	-0.0358348019	0.0176556843	-0.0623732186	0.1318809569	-0.1454846864	0.1339755958	-0.0198216533	0.0470799375	-0.1142286822	0.0966104729	-0.0554559988	0.0925255133	-0.0296872113	0.0150080874	-0.0060744474	0.1415681821	0.0560827141	-0.025448416	0.0273165142	-0.109947414	0.0080365354	-0.064796901	0.0028417043	-0.1163699393	0.021136317	-0.0161120144	0.0347649504	-0.0014604419	0.0150664913	-0.025151901	0.0971029814	-0.036026983	0.1089076466	0.041739008	-0.0274659491	0.1009629984	0.0265116927	-0.0701060852	0.0033888451	0.0281652334	0.1137121996	-0.0428958181	-0.0028783702	0.1991129338	-0.1087978607	-0.0371755348	-0.0619799614	-0.0669717052	0.0942406698	0.013725506	-0.1095632353	-0.0484260362	0.0391767402	-0.0038716705	0.1046657854	-0.032110606	0.0659657004	-0.0478266799	0.0073997909	-0.0678688861	0.0212984517	-0.0359667418	0.0140242625	-0.0066268285	0.1576127199	-0.0998557446	0.0343392951	-0.1303167149	0.172738304	-0.0584632272	0.0551319188	-0.1667343645	0.0196122569	-0.02279547	0.1031764027	-0.0652997091	0.0339063832	-0.0205921193	0.0974666297	-0.0775820517	0.1655310864	-0.1031414983	0.0230860764	0.0237836284	0.0245191672	-0.1860956027	0.0472840805	0.0786361753	-0.120717578	-0.0161966178	0.1147017419	0.1146833673	0.1146527451	-0.00606981	n/a	n/a	3.68425934361e-05	0.107448	n/a	n/a	0.011545072704	0.12489	n/a	n/a	0.0155975121	-0.00576063	n/a	n/a	3.31848579969e-05	0.000894327	n/a	7.99820782929e-07	n/a	0.000275832	n/a	7.6083292224e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.3339258107245	-2.220106133103513	4.928871242243836	546614.653854698	930.0006073421904	-6.70890406834144	45.00939379820832	864901.129656843	707.5521772304048	-1.7278787548016226	500630.0835034862	2.985564991294806	767.7828424445464	595.4829068241381	0.972005	27.774776	0.11724769	0.0478827	-0.0757445951	0.0181620989	0.056892871	-0.1162604845	0.0004242699	-0.0537297625	-0.0238548374	0.044698014	0.1192929686	0.0306514122	-0.0321947591	-0.0719593492	-0.0625960287	-0.0407271133	0.0293893862	-0.0410969514	0.0159113755	0.0223458006	0.0578836908	0.1058612345	-0.1130460167	0.062886552	-0.0045464875	-0.0282112044	-0.0377469337	0.0044114443	-0.0556939833	-0.1315200481	-0.0295234445	-0.0648360808	0.0328393593	-0.0017157358	0.0194595594	-0.0241280182	0.0724998848	-0.1002164263	0.0723943087	0.0199302326	-0.0394996758	-0.0670634929	0.0658875979	-0.0692659498	0.2351567023	0.1648018634	0.0140812941	-0.0218019006	0.0982393066	-0.0793011253	0.0336758183	-3.0835e-06	-0.0489913376	0.0041761297	0.0466173285	-0.0282863357	-0.0366750698	0.0738690452	0.0980826445	0.1115139083	0.0470311189	0.00616644	0.1125326784	0.1335121564	0.0321766963	-0.0446895834	0.0607220251	-0.1249319812	0.0214622491	-0.0198129401	0.106859972	0.0041704095	0.0585447757	0.0097893616	0.0606959475	0.0169317564	0.0250827866	0.0184024403	-0.2018101864	0.0126971917	0.0425909183	0.0073558548	-0.025348441	0.0165654717	0.0181932315	0.0365785999	0.0034609006	-0.0472678484	-0.0195068755	-0.1826191061	0.0815465459	0.1011557301	0.0373911944	-0.0620912328	-0.0338434413	-0.0966975411	-0.0103693451	0.0865181039	0.1262152176	0.0763023377	-0.0584132693	0.0822269301	-0.0675132483	-0.1424608348	0.1146527451	0.1144874327	0.1142120884	-0.0249367	-0.0188668899999999	0.000355959538272	0.00062183900689	0.123853	0.016405	0.000269124025	0.015339565609	0.150347	0.025457	0.000648058849	0.022604220409	-0.00525563	0.000505	2.5502500000000026e-07	2.76216466969e-05	0.000422237	-0.00047209	1.78284084169e-07	2.228689681e-07	0.000429118	0.0001532859999999	1.84142257924e-07	2.3496597796e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.4798974620159	0.1459716512913473	0.0213077229807227	546830.5187504335	927.6641248559616	-2.3364824862287605	5.459150408453731	860560.7285447771	708.6912293535842	1.13905212317934	502243.2585626944	1.2974397393193624	769.3256821174314	593.9529679769087	0.912151	26.064463	0.17719709	0.110579	-0.1292619025	-0.0437100036	0.0921348061	-0.0535324571	-0.0952867027	0.1122926546	-0.0543995794	0.1488094142	0.0950021202	-0.0646515254	-0.076055636	-0.0062662997	-0.0287436061	0.0415717518	0.0965621754	0.0861899202	0.0311227825	0.0609818105	0.0273420684	0.0052320528	-0.0953644291	-0.0645697923	0.007238569	0.0030434417	-0.1677119019	0.1495664493	0.0825084675	0.0737434534	-0.0336314896	0.0784656314	0.0650943367	-0.0102168551	0.0527240201	-0.091530775	0.0355972066	-0.0949869465	-0.070219118	0.1319301122	-0.0146478615	-0.0587780912	-0.1240754728	0.1344590966	0.0213249236	-0.1050205941	-0.0415610672	-0.0584375522	0.0365344378	0.0055169205	-0.1053944096	0.126386027	0.0027027103	-0.1666338185	-0.0037979297	0.0331057095	0.0296704986	-0.09740064	0.0125513592	0.1088218232	0.0041591597	0.1073081213	-0.1527372417	-0.0241597341	0.1405795133	0.0570486784	-0.0529937183	-0.1375773188	0.0688517856	-0.054881864	0.0299448924	0.1436517071	-0.0095823822	-0.0586805491	-0.0133710075	-0.038670117	-0.0755421526	0.0180541198	0.0282118387	-0.0130567611	-0.053621649	0.0355604347	0.105025863	0.0170716404	-0.0174488149	0.094919871	0.1336420769	0.0846218485	0.1485023577	-0.1372169941	-0.0206197786	-0.0934520546	0.0960523529	0.0319375778	0.0003495961	-0.0156711211	-0.0474523896	-0.082361217	-0.0471944261	0.1186727772	-0.0031116864	-0.0987890224	-0.0365386449	0.073544562	0.1145547726	0.1140958982	0.1133324686	-0.00545806	0.01947864	0.0003794174162495	2.97904189636e-05	0.0304554	-0.0933976	0.00872311168576	0.00092753138916	0.0951145	-0.0552325	0.00305062905625	0.00904676811025	-0.00518261	7.302000000000003e-05	5.3319204000000054e-09	2.68594464121e-05	0.000422237	0.0	1.78284084169e-07	0.0	0.000320371	-0.0001087469999999	1.0263757764100001e-07	1.1825910008999992e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
738.9243461868907	-0.5555512751251399	0.3086372192931689	546009.1893877239	928.0692090543296	0.4050841983679447	0.1640932077674004	861312.4567947289	706.901849937507	-1.7893794160771677	499710.22544506966	3.2018786946806657	767.6581884602805	603.0973264873071	1.093832	31.255949	0.3436942199999999	0.242591	-0.0366197583	0.1401419288	0.0370456022	0.0217652044	-0.032025327	-0.0980627251	0.0601908505	0.0318266216	0.0800459683	0.031267989	0.0289133958	0.076802034	0.0004448799	-0.1790452113	0.1208142714	-0.0338228942	0.0794753472	0.0315508385	0.0270796074	0.1924567757	-0.0751403108	0.0575372536	-0.0622775109	0.0068486456	-0.0992806247	0.077884737	0.026863989	0.1667010121	-0.0559031696	0.0677914288	0.0117020607	-0.1059932807	-0.0409281727	0.1349258849	0.0501659515	-0.0971746043	-0.0801403702	0.0065665031	0.1058741986	0.0065286005	0.1226199295	-0.0100627558	0.0045655196	-0.0232476409	-0.0807032241	0.0154258637	-0.0660496325	0.0229182883	0.0162444028	-0.0034246871	0.00781564	0.1918747202	0.1059955324	-0.0037625199	0.0305067401	-0.0596249194	0.0557496824	-0.0431390528	-0.0109329179	-0.1072236393	-0.0583099653	0.0752685663	-0.001981165	-0.0564598598	0.1377920898	-0.0691850051	0.035521148	-0.0638348023	0.1163787685	0.0227197634	0.0131251515	0.133215611	0.0525129806	-0.0900675765	0.0031807606	0.0209515476	0.1100537232	0.09237282	-0.0640916426	0.0515556329	0.1013359042	0.0703781115	0.1096597115	-0.0769036374	-0.1489337155	0.0996908486	0.1651307678	0.0746593967	0.115680019	0.0528102288	0.0308360817	-0.0082671842	-0.0897697975	-0.0634651255	0.0400358667	0.0390163498	0.0188444054	-0.0601152446	-0.1217774126	-0.0506649124	0.0156705291	0.035645951	0.1144078661	0.1135094328	0.1120172664	-0.00734338	-0.00188532	3.5544315024000007e-06	5.39252298244e-05	0.229697	0.1992416	0.03969721517056	0.052760711809	0.233656	0.1385414999999999	0.0191937472222499	0.054595126336	-0.00514946	3.315000000000002e-05	1.0989225000000014e-09	2.65169382916e-05	0.000422237	0.0	1.78284084169e-07	0.0	0.000367737	4.7365999999999966e-05	1.3523050116899998e-07	2.2435379559999972e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.3800515993823	1.4557054124916249	2.119078247957412	548162.620806304	929.1177268348872	1.0485177805576311	1.099389536145501	863259.750318828	709.3094527280119	2.407602790504938	503119.8997293118	5.796551196847167	769.5991545339268	596.5402685328668	1.105012	31.575434	0.47119902	0.290661	-0.1052105653	-0.0534324436	0.0507488418	-0.0181930532	0.0064617158	0.0922791143	-0.1629816095	-0.0074624903	-0.0194575917	-0.0289610757	0.1494655697	-0.0049132844	-0.0888197343	-0.0265917853	0.0439208213	-0.0512734429	0.0536621999	0.0526283503	0.0122195789	0.0110166419	-0.0864753518	-0.1211409377	-0.0234845898	0.0169862156	0.0212122375	-0.1014073039	-0.0688737223	-0.1435218543	0.0516389629	-0.0321336655	0.0362673235	0.1346618507	-0.0742702972	-0.0372081094	-0.08466331	0.0755770281	-0.1391355321	0.1207783526	0.1848886825	-0.0282212097	0.0460781888	-0.0424829496	0.0991915553	0.0272405052	0.0872657842	0.0098071602	0.034538527	0.0332946972	0.0137690646	-0.076162154	0.0610037844	0.07141133	0.0360916241	-0.0519523202	-0.1452779441	0.0508379843	0.0538979947	0.0559985474	-0.0874039415	0.0638801605	-0.0310383102	-0.0851308236	-0.0201120734	0.0375282616	-0.0411354836	-0.1333879156	0.0189729299	0.0276229946	-0.0401829055	-0.1439754961	0.0618879046	-0.0632821703	-0.0533809333	-0.0406856203	0.0184706533	0.0571532982	0.0186939739	0.0354337252	0.0219056171	0.1296256987	0.1410038057	-0.0312371612	-0.0841260743	0.0513827879	0.0735146226	0.0084166107	-0.1505189803	-0.0658468676	0.0421008366	-0.0051124096	-0.1873781315	-0.1260414228	-0.0540581519	-0.0072630447	0.1157416629	-0.0010289308	-0.0233862351	0.0383560363	-0.0059909768	0.0047324998	0.0642963554	-0.0641713065	0.1142120884	0.1127290384	0.1102715368	-0.0271177	-0.01977432	0.0003910237314624	0.00073536965329	-0.0069088	-0.2366058	0.05598230459364	4.773151744e-05	0.0784263999999999	-0.1552296000000001	0.02409622871616	0.0061507002169599	-0.00430137	0.00084809	7.192566481000002e-07	1.85017838769e-05	0.000235574	-0.000186663	5.549510947600001e-08	3.4843075569e-08	0.000210704	-0.0001570329999999	4.4396175616e-08	2.465936308899999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.623343523442	0.2432919240596902	0.059190960312666	548522.9369718424	929.2867481937908	0.169021358903592	0.0285682197656168	863573.86036859	708.9386970584578	-0.3707556695541143	502594.0761869439	0.1374597665065196	769.4375364447125	604.5246881895374	0.932005	26.631784	0.2568648	0.185584	-0.0610001472	0.0691390378	0.0490885269	-0.0444959958	0.0719748908	-0.0460256911	0.0512468529	0.0716485584	-0.0374852839	-0.1193226691	-0.0571966472	-0.0106668782	-0.1126347532	-0.1013498405	-0.0556905483	-0.1075672432	-0.036473179	0.0689681653	-0.0212033547	0.0693962301	-0.0848090471	0.0222838247	-0.0233681843	0.0205262845	-0.0208685267	0.1036355041	-0.0187942606	-0.0456940522	0.0620001169	0.1720927627	0.0212444067	-0.0668623037	-0.0209891808	0.095393473	0.0129259949	0.0488472425	-0.0656745153	-0.0916567185	-0.0880863852	0.1084846461	-0.0942574839	-0.0154637171	0.0867179153	-0.0927405716	-0.0671319251	-0.0110606793	0.1340587422	-0.0989983813	-0.022355878	-0.0581301554	0.0141119921	0.1158457382	-0.0667662583	0.0406607449	0.1661668434	-0.0741810357	-0.135763489	0.1117256626	-0.0157519887	0.0149303383	0.0052793956	0.0096111544	0.0567656176	-0.0753653249	0.0265223877	-0.0520172042	0.0392242956	-0.1000963587	0.0502391481	0.0262540658	-0.0244441651	-0.1203482473	-0.0839244262	-0.0179496982	0.0667492601	-0.0438918267	-0.0676725634	0.1756345763	-0.0117263694	0.0137240789	0.032154938	-0.0035018262	0.144049699	-0.0468981362	-0.0890500812	-0.0126964723	0.0903220624	0.0630595661	0.0403347584	-0.0103792986	0.0250950344	-0.015163755	-0.099500788	-0.0269881481	0.1172960347	0.0359753672	0.0312071531	0.0548312786	-0.0495230818	-0.0836451736	-0.0019083607	-0.0057593605	0.1139675232	0.1117560484	0.1081019891	-0.0270421	7.560000000000205e-05	5.715360000000311e-09	0.00073127517241	0.164636	0.1715448	0.0294276184070399	0.027105012496	0.146994	0.0685676000000001	0.00470151576976	0.021607236036	-0.00450033	-0.00019896	3.958508160000025e-08	2.02529701089e-05	0.000204393	-3.1181e-05	4.177649844900001e-08	9.722547609999999e-10	0.000314099	0.0001033949999999	9.865818180099999e-08	1.0690526024999993e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
738.9908891459918	-1.6324543774502445	2.6649072944564653	546107.5342407835	929.304583239779	0.0178350459882494	0.0003180888654029	863607.0084304594	709.496375245374	0.5576781869161778	503385.10648632457	0.3110049601621153	770.369286252023	592.9412042167038	0.8495019999999999	24.274309	0.22724955	0.139203	-0.0894693717	-0.0430166721	0.0852883314	-0.0214132712	0.0408266416	0.0824520955	0.0062631534	0.087729283	0.0267076145	0.0293275304	0.0142856068	-0.0944118563	-0.1031313601	-0.176472512	-0.0378751557	-0.0365101357	0.0527134584	-0.0420661785	0.036040865	0.0061697762	-0.06048725	-0.0999435194	-0.0283457439	-0.0323107551	0.0144113798	-0.083374155	0.0838807719	0.0154802028	-0.0778693129	0.1555865259	0.0944864265	0.0696254642	0.1014977403	0.0622112365	0.0681580461	0.1420886265	-0.0008488036	0.0692005974	-0.071850544	0.0256032169	-0.0556739957	-0.170978772	0.0756409695	0.0401834668	-0.0645292073	-0.0065462458	0.0005667062	-0.0046697459	0.0904200164	-0.0879162315	0.0443785129	0.0940489565	0.0267506528	-0.0161155273	-0.0215132228	-0.1204380937	-0.0817128002	-0.0131719334	0.0775877546	0.0595265138	-0.1814673443	-0.0296263781	-0.0843755613	0.007483613	-0.0580646296	-0.0737874426	0.0061718311	-0.0851123261	-0.0374334762	0.0348781655	0.0626839478	-0.0222576797	-0.1092804668	-0.0580757156	0.0822926685	-0.071989498	-0.0548246267	0.0945590665	-0.2145494436	-0.0140796995	0.0438897896	-0.1069095435	-0.0518934725	0.0283466128	0.0324946534	-0.0760260978	-0.0371383874	0.0157004268	0.1260744793	0.0591546848	-0.1022564222	-0.0573166938	0.057288764	0.0594515713	0.1044224886	-0.071340021	0.1497722907	0.131434021	0.0025965121	-0.1559040494	0.0219903577	0.0952686729	0.1136742748	0.110592125	0.105516962	-0.0397998	-0.0127577	0.00016275890929	0.00158402408004	0.04773	-0.116906	0.013667012836	0.0022781529	0.0823765	-0.0646175	0.00417542130625	0.00678588775225	-0.00391944	0.00058089	3.374331921000007e-07	1.5362009913599997e-05	0.000192505	-1.188800000000002e-05	3.7058175025e-08	1.4132454400000046e-10	0.000380688	6.658900000000004e-05	1.44923353344e-07	4.4340949210000055e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.4395602130439	0.4486710670521461	0.2013057264097114	546770.8632080598	928.3440516860966	-0.960531553682472	0.9226208656196634	861822.678300958	709.1229760984063	-0.3733991469676994	502855.3952306609	0.1394269229562055	770.4927499497159	596.3695133352348	0.838767	23.967552	0.2299757	0.136493	-0.0630670164	0.0641121304	0.0338663725	0.0474262909	0.0486331082	-0.0164003281	0.0753703748	0.1325763534	-0.0659651135	-0.1040372157	-0.0125962897	-0.0160887781	-0.0893744332	-0.0329797489	0.0753522244	0.0390888174	0.0552505622	-0.0494670072	0.0060392765	-0.0106089762	-0.0368904712	0.053790846	-0.1078891086	-0.002113556	-0.006640133	-0.0097066307	0.0658896535	0.0795899786	-0.0072397002	-0.0172592013	0.0657437574	-0.0737674285	-0.1016297958	-0.0184131134	0.0623958207	-0.0243081073	-0.0511364123	-0.0662185385	-0.0061810347	0.1089161355	-0.0631922643	0.0583954782	0.0469533204	-0.0541871754	0.0354491953	-0.1282633412	-0.1086403992	0.0528073136	-0.1602603754	0.0011611989	0.0490115436	0.0296600834	0.0684989397	0.0648622105	-0.036571045	0.0321288383	-0.0558883907	0.0601943814	-0.0733943603	0.0280396718	0.0779359476	0.0346921068	0.0014013968	-0.0562660183	0.0130197245	0.0295621372	0.0386334879	-0.1888111214	0.0106884132	0.0157493432	-0.0215729908	-0.0251266795	-0.0361529919	-0.0960352662	-0.0195558179	-0.038551689	0.0849994093	0.0244098971	0.0226613707	0.0022412975	0.0791283976	-0.0479638574	0.0016811142	-0.1860461932	-0.0090526378	-0.0387510238	0.0327975954	-0.0267756181	0.0375559256	-0.0348466657	-0.0841265123	0.0628707123	0.0519106998	-0.1079765184	0.0761531677	0.0429789138	0.0016680107	-0.0641933524	0.1058313449	-0.139487225	0.0165878918	-0.0405922563	0.1133324686	0.1092392569	0.1025263906	-0.0270116	0.0127882	0.00016353805924	0.00072962653456	0.144785	0.097055	0.009419673025	0.020962696225	0.174824	0.0924475	0.00854654025625	0.030563430976	-0.00404099	-0.00012155	1.477440250000016e-08	1.6329600180100005e-05	0.000422237	0.000229732	1.78284084169e-07	5.2776791824000017e-08	0.000583106	0.000202418	3.40012607236e-07	4.0973046724e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.6448328020587	0.2052725890147257	0.0421368358008085	547074.4786907854	930.8172695249016	2.473217838804999	6.116806478183269	866420.7892457932	709.5241476827807	0.4011715843744241	503424.5161449764	0.1609386401094857	770.9205519883271	604.1878105458435	0.8639299999999999	24.686575	0.21584527	0.131123	-0.0812861543	0.0378070455	-0.0586997111	0.081236667	0.0571471841	-0.0349170728	0.076083574	0.0003894567	0.0659040066	-0.002788917	0.1382240193	-0.0797197661	-0.0500695783	0.0653648351	0.0113865678	-0.0877414192	0.0697245276	-0.0099441777	-0.0078075149	0.0198260015	-0.088058619	-0.1137573612	-0.01580786	0.0154624595	0.0653914654	-0.0432088838	-0.101607403	0.025704101	0.0762533561	0.0297620463	0.0725800799	-0.145119148	-0.0581674604	-0.106334917	-0.0376827486	-0.0015913078	-0.0590141013	-0.0361031523	-0.0606938619	-0.0140478827	0.0159711021	-0.0017377919	-0.0374501204	0.0168444211	-0.0792363532	0.0032939062	-0.0436214068	0.1190396664	0.1078998586	-0.0032790276	-0.0111454565	-0.0915035581	0.0785993418	0.0138747003	0.1092683165	0.0121287358	-0.1079351755	-0.0958239654	0.0359231493	0.0980508419	-0.054824783	0.040387986	0.0519704966	-0.0453790165	-0.005184223	-0.0362117436	0.068408525	0.0004301278	-0.0138572249	-0.1366591667	0.0339737698	0.0080792068	-0.0198307149	-0.0911208031	0.1010116108	-0.121819771	-0.0755350119	-0.0293931342	-0.0236185469	0.0081163908	-0.0262958616	-0.0140955897	0.0786357129	-0.136290329	0.0029472129	0.0315516956	0.0592770843	-0.0070437779	-0.0183251081	-0.0965194883	0.049705098	-0.0181792551	-0.0602866224	-0.0888491292	-0.0242828069	-0.1956357899	-0.0947200229	-0.0548749115	-0.0338265204	-0.0294855792	-0.0160642971	0.0920391588	0.1129422506	0.1076997553	0.099141769	-0.0269562	5.540000000000059e-05	3.069160000000065e-09	0.00072663671844	0.0585892	-0.0861957999999999	0.0074297159376399	0.00343269435664	0.0822168	-0.0926072	0.00857609349184	0.00675960220224	-0.00369301	0.00034798	1.2109008040000025e-07	1.36383228601e-05	3.04796e-05	-0.0003917574	9.2900601616e-10	1.5347386045475998e-07	0.000583106	0.0	3.40012607236e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
738.6613607523142	-0.9834720497444778	0.9672172726286046	545620.6058684604	930.041490755302	-0.775778769599583	0.6018326993614429	864977.1745263445	709.8029549271133	0.2788072443325973	503820.2348232617	0.0777334794923366	770.8438518781916	601.0060951329291	0.821291	23.46818	0.30174721	0.135134	-0.0624740523	0.032031184	-0.0611565744	-0.0464406985	0.0228996577	-0.0156217712	-0.0461480871	0.0272630319	0.051643504	0.0164573422	-0.0638061543	-0.023740047	-0.0156671307	0.1019045362	0.0178606153	0.1014384794	-0.024390394	0.0884007015	0.0156592199	0.018998894	-0.0323243262	0.0289389522	-0.0009904689	0.0083819073	-0.0220465411	-0.0462283721	-0.0543954728	0.0484547134	0.0530539637	-0.0571166272	0.1407831641	0.0390484685	-0.0095123313	-0.0896305769	-0.0114731982	0.1022652618	0.031366712	0.0293237325	0.0360374611	0.0862020538	0.0816135568	0.0209077928	-0.1432276854	-0.215565772	0.1690276307	-0.0104296562	-0.0462534683	0.0318141728	0.077131834	-0.0103775972	-0.011302565	-0.0498809845	0.0941496954	-0.0991346938	0.1907429771	-0.0301101656	0.1633970607	-0.0452584201	0.0278302129	-0.0562778848	0.0498301485	0.0857610346	0.1376008485	-0.0425834628	-0.0229856347	-0.007453089	0.0310843952	-0.0269600815	0.0325559648	-0.0325662634	0.0274449099	-0.0525869401	0.0237416638	0.0463708853	-0.1099007511	0.0616032057	0.0454581518	-0.0713110843	-0.0409032471	-0.0341009295	0.1680112161	0.0925724278	-0.1225429396	-0.0207834355	0.1171152426	0.0772006685	-0.0451194551	0.0461609758	-0.0132808886	-0.0531279321	-0.1096562907	0.1061036722	-0.0319042863	-0.0011180276	0.0122235105	-0.1855718826	0.0891043172	-0.0054711725	-0.0732350331	0.2783738568	-0.0996529808	-0.0499346958	0.1125037874	0.1059762505	0.0953761056	0.00568199	0.03263819	0.0010652514464761	3.22850103601e-05	0.127522	0.0689327999999999	0.0047517309158399	0.016261860484	0.138129	0.0559121999999999	0.0031261741088399	0.019079620641	-0.00174871	0.0019443	3.78030249e-06	3.0579866641000004e-06	0.000653489	0.0006230094	4.270478731210001e-07	3.8814071248836004e-07	0.000265135	-0.000317971	7.0296568225e-08	1.01105556841e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
