global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
790.2315427026064	n/a	624465.8910821412	n/a	949.1463933099564	n/a	900878.8759332984	n/a	770.6070437743713	n/a	593835.2159146757	n/a	784.4033860274711	585.2967311163333	n/a	n/a	n/a	n/a	-0.0736229247	-0.0808693104	-0.0746184941	0.0051448875	-0.036733488	-0.0981770166	0.0174168375	-0.0558501813	0.0541245126	-0.0489480966	-0.0370492178	-0.0160122258	0.0068134014	-0.002318473	-0.0181217608	0.0273050262	-0.0539627887	0.0870099465	-0.0550719146	0.0266213659	-0.0886638059	0.0480042762	-0.0451655411	0.0921152032	-0.0482120496	0.0312647152	-0.1395287464	0.0540230573	-0.0614240264	0.0594143709	-0.0034215424	0.0368921017	-0.0533812598	0.0254666656	-0.0254330275	0.0444579477	-0.0714046727	0.0968906139	0.0020388445	0.0473279707	-0.0312456284	0.0023048548	0.0320869853	-0.1160146423	0.0166982598	0.0570153927	0.0416448801	-0.0018526759	-0.0289057083	0.1007710723	0.0035257689	0.0099994194	0.1295141227	-0.0223976071	-0.009478985	-0.0052940186	0.1028689002	-0.0470447909	-0.0095632268	0.0178970151	-0.0093896535	0.0413127027	-0.0079304885	0.0227379654	-0.1151159224	-0.0163789137	0.0229079284	-0.0058800931	0.0198305886	-0.1456579476	0.0048474346	-0.0264009125	0.2284887063	-0.0198336323	0.0066545213	-0.0666592171	0.0925798695	-0.0191103144	0.0250057721	-0.0561177178	0.0541842637	-0.0075629484	0.035866468	-0.012214944	0.0421336738	0.0135062925	-0.0492669489	0.0971647505	0.0267271614	-0.1674105497	0.0009995485	0.0647310364	-0.0505716393	-0.0579507152	-0.0474874163	0.0923244351	-0.0636925064	-0.0921057957	0.1223929831	0.1147017419	0.1146833673	0.1146527451	5.97443e-05	n/a	n/a	3.56938138249e-09	-0.0502092	n/a	n/a	0.00252096376464	-0.0424847	n/a	0.00180494973409	n/a	0.00134959	n/a	1.8213931681e-06	n/a	0.00114048	n/a	n/a	1.3006946303999998e-06	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
789.1354276811928	-1.096115021413539	622734.7232215791	1.2014681401684024	945.5746713272944	-3.571721982661984	894111.4590557207	12.757197921430851	769.8709136189433	-0.7361301554279862	592701.2236364664	0.5418876057304312	783.4138475755774	587.4574755528758	0.8772569999999998	17.500416	0.1862849943	0.0924306	-0.0568076605	-0.0676962728	-0.0511400902	0.0125929987	-0.00184614	-0.0558066281	-0.0129198435	-0.0806167568	0.0015689563	-0.0711400252	-0.0391513799	0.0207140382	0.1120259562	-0.0775851278	-0.0331253251	0.0721348291	-0.1175592974	0.0561714721	-0.0225859157	-0.0335949619	-0.0371759119	-0.0232551434	-0.0355971053	-0.0715455787	0.0453572548	-0.1169363326	-0.0789201556	0.0164513038	-0.1565145237	0.012323123	-0.1297404077	-0.0217053525	-0.0503454082	0.1244986399	0.0872639166	0.0003966978	0.0414773972	0.0977892743	0.0625130158	0.0098977292	0.0048849871	0.0118349102	-0.1630026895	0.0362748692	0.0291407813	0.0062008485	-0.0410464189	0.1197150727	-0.0615119548	-0.0719392815	-0.0399754884	0.0084548896	0.0704604413	0.070805262	-0.00676665	-0.0575126028	-0.0032527253	-0.0440854497	-0.0261866056	-0.0100655894	0.0627303384	0.0781092566	0.0251634143	0.1002733435	-0.0594461596	-0.0425808423	0.1083489365	-0.0110150292	0.0245328161	-0.0416229114	-0.0114848748	0.0258548832	0.0125366715	-0.0935719585	0.0354216087	0.1033125797	0.072377916	0.0651346429	-0.0891473207	-0.0491310979	-0.0281684357	0.0969418456	0.0798389751	0.0064657821	0.0059092666	0.0403465281	-0.1982409333	0.0311879494	0.1235562745	-0.0810927856	0.0626956046	-0.0686402235	-0.0711063657	-0.0571610566	-0.0519237074	-0.1217586016	-0.0793300856	-0.0238539423	0.0846763868	0.1146527451	0.1144874327	0.1142120884	-0.0172401	-0.0172998443	0.0002992846128042	0.00029722104801	0.0115717	0.0617809	0.00381687960481	0.00013390424089	-0.0150761	0.0274085999999999	0.00022728879121	0.0007512313539599	0.000666246	-0.0006833439999999	4.43883732516e-07	4.6695902233599996e-07	0.000227911	-0.0009125689999999	8.327821797609999e-07	5.1943423921e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
787.7782831979554	-1.3571444832374482	620594.623478318	1.84184114838184	942.6430200695424	-2.931651257751924	888575.8632858278	8.594579097078434	770.2486875786681	0.3777739597247773	593283.0407166606	0.1427131646461377	783.3113469138713	584.6063671882647	0.90457	18.045275	0.1815379995	0.109338	-0.0517014673	-0.0758760268	-0.0855898671	-0.0249626551	0.0220715636	-0.0362275019	0.0454273601	-0.0647866761	0.015356085	-0.0411332098	-0.0318022671	-0.0061094596	0.0220101439	-0.0254017757	-0.0292651808	-0.0479303668	-0.0186435865	0.1518269685	-0.0402180234	-0.0199004089	-0.0852451062	0.0553131758	0.0576170201	0.0033593464	0.0759168343	-0.098307041	-0.072943313	0.0987495627	-0.0762859298	0.1258720449	-0.0080136402	0.0804497068	-0.0330656159	-0.0951004059	0.0898259514	0.1137426976	0.0303114642	0.1443875514	0.0634905246	-0.1142770329	-0.1563644392	0.0462238242	-0.1233848368	0.0561773287	-0.1059270776	-0.0195381192	-0.0165874498	0.0258703019	0.0812459868	-0.06236068	-0.0210165554	0.0449508076	-0.1483317483	-0.0366333183	0.0023303551	0.0014417211	-0.0749697216	-0.0240113086	0.0067147963	0.0130508081	0.0407139411	0.0416898893	0.0178678808	0.0609080378	-0.0578636685	0.0017855086	-0.0531462183	0.0180194518	0.1018473261	-0.0373952451	-0.1021533589	0.0873147879	0.1170785159	0.0092279389	0.0274002119	0.0578569185	0.0699809487	0.1204602838	-0.017832339	-0.0105373895	0.1726981438	0.1558653904	-0.0002059747	-0.0004448695	0.0577023323	0.0992458908	-0.1187660375	-0.0127049578	0.0103357448	-0.0048230181	-0.0366841815	-0.0478069542	-0.0772227041	0.0662687911	-0.0680462534	-0.1004861674	0.1947297068	0.047433723	0.0244920922	0.1145547726	0.1140958982	0.1133324686	6.20895e-05	0.0173021895	0.0002993657614939	3.8551060102500014e-09	-0.0896195999999999	-0.1011912999999999	0.0102396791956899	0.0080316727041599	-0.0375637	-0.0224875999999999	0.00141103155769	0.0005056921537599	0.0008437409999999	0.0001774949999999	7.118988750808313e-07	3.1504475024964494e-08	0.00079057	0.000562659	3.16585150281e-07	6.250009248999999e-07	-7.09842e-05	-7.09842e-05	5.038756649639999e-09	5.038756649639999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
787.8053215229894	0.0270383250340273	620637.2246199407	0.0007310710206457	941.0251353634168	-1.6178847061256647	885528.3053857369	2.6175509223153286	769.4244971430398	-0.8241904356282248	592014.0568038197	0.679289874181043	782.9713908346928	582.3642486907609	0.917911	18.311419	0.0623588665999999	0.0376156	-0.0775660046	-0.0613219033	-0.087889197	-0.0403695283	0.0048821894	-0.0297354509	0.108806513	-0.0478066778	0.0233617236	-0.0164407879	-0.0079450446	0.0291361867	0.0387786928	0.0728796496	0.0627569368	0.013270998	-0.0575894465	0.1073067643	0.0896944488	-0.0578972324	-0.0515002283	0.0171596815	0.0866373405	-0.0235220682	-0.0468645105	-0.0182715424	-0.0332774098	-0.0624431266	0.0056612862	0.1331803591	-0.0453965469	0.0555799131	-0.0635285907	0.002462081	-0.0283160983	-0.0464177098	-0.0240738226	-0.0493035898	-0.0515443067	0.0179314179	-0.0783864856	-0.0100760231	0.043225265	-0.1835886653	0.1074697701	-0.0312945175	0.0150507339	0.1092407775	0.0197883764	-0.0220555295	0.0185690576	0.0887947133	-0.0521915821	-0.085890832	-0.0606555747	-0.0344923651	0.119528906	-0.0250721181	-0.0240231812	-0.0772473336	-0.0136071916	-0.0337316499	-0.0717164742	0.0910240904	-0.0316330441	0.0407822263	-0.0354352351	-0.0418981389	-0.0218655534	-0.0938336793	-0.0001498475	0.0622331053	0.0791293586	0.0227925903	0.0148865644	0.0980889361	0.0483739286	-0.1202960964	0.0495074964	0.0159576547	0.0305452805	-0.042446917	-0.067433823	0.0211240957	0.0447121163	0.0671868379	0.0257232509	-0.0954776951	-0.0860347691	-0.1546800787	-0.0088844212	-0.0242073904	-0.0633002082	-0.0989277198	0.0897738847	-0.0642828938	-0.0280635848	-0.0197731672	-0.0280048266	0.1144078661	0.1135094328	0.1120172664	6.01929e-05	-1.8966000000000048e-06	3.5970915600000187e-12	3.6231852104099997e-09	-0.0659044	0.0237151999999998	0.0005624107110399	0.00434338993936	-0.00960364	0.02796006	9.22299012496e-05	0.0007817649552035	0.000789822	-5.3918999999899965e-05	6.23818791684e-07	2.907258560989212e-09	0.0008793009999999	8.873099999990002e-05	7.873190360982258e-09	7.731702486008241e-07	0.0	7.09842e-05	5.038756649639999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
789.60359105799	1.7982695350005995	623473.8310116736	3.2337733205112733	944.773040941636	3.7479055782192745	892596.0988901063	14.046796223247156	770.32989641369	0.9053992706501504	593408.1493087263	0.8197478392938242	783.6526487591159	588.5963273555723	0.970399	19.358515	0.1887498729	0.112185	-0.072971735	-0.0437083665	-0.0409914301	-0.0265602948	0.001126271	-0.0563928048	0.0089586116	-0.0347886297	-0.0006799958	-0.0591888837	-0.0567803134	-0.0033811823	0.0915425684	-0.0625425671	-0.0072550549	0.0527382403	-0.1043197871	0.0290658883	0.0394582215	-0.1365328593	-0.0488203886	0.0701695971	-0.0195301633	-0.015982387	-0.0195376001	-0.109472621	0.0787351925	-0.1406321492	0.0688440321	-0.1158385685	-0.0347529571	0.0270923368	0.029367745	-0.1185457711	0.0517946422	0.0568516475	0.1311260946	0.0155985749	0.1747230754	-0.1142018638	-0.0868531048	-0.0105246144	-0.0287399844	-0.0236678591	0.0943232181	-0.046111892	-0.0377323409	-0.0145077931	-0.1145040551	0.0330506929	0.0326978692	0.0693936272	0.0628001182	-0.0732402449	0.0576481987	0.0572792135	0.0330814189	-0.0539023668	-0.0025052036	0.0030421354	0.0728666815	0.089224428	-0.0228003027	0.076984067	-0.014704237	0.0162948067	0.0890938955	-0.0754147477	0.0207903493	-0.0489954164	-0.0638906357	0.0720291635	-0.0118076454	-0.0886855676	-0.0790272392	0.0816034116	-0.1059905982	-0.1131624406	0.0024035266	-0.0853231708	-0.0465579489	0.0944141765	0.024069861	0.0875817905	-0.0432658747	0.093088804	0.0347832547	-0.1309550295	0.0546220676	0.0509028333	-0.0682943973	-0.1534542846	-0.0539345999	0.1725383832	-0.0512775716	-0.038430455	-0.0256528572	0.0608369161	-0.0825125435	0.1142120884	0.1127290384	0.1102715368	-0.0089932399999999	-0.0090534328999999	8.196464727480062e-05	8.087836569759821e-05	0.03756	0.1034644	0.01070488206736	0.0014107536	0.0178014	0.02740504	0.0003168898419599	0.0007510362174015	0.000339056	-0.000450766	1.1495897113600001e-07	2.0318998675600002e-07	0.000570771	-0.0003085299999999	9.519076089993833e-08	3.25779534441e-07	-0.000217244	-0.000217244	4.7194955536e-08	4.7194955536e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
788.5688995689397	-1.0346914890502603	621840.9093673686	1.070586477513045	942.4518146089772	-2.3212263326588527	888215.422859754	5.388091687428867	769.4947404641666	-0.8351559495233687	592122.1556020152	0.6974854600242796	783.1986584693827	584.3412918264346	0.985182	19.653412	0.2214344079	0.147603	-0.0467380789	-0.0285324567	-0.0859715862	-0.0638021469	-0.0123729547	-0.0078159747	0.0367352921	0.0357230383	-0.0350088167	-0.0247145215	-0.0123403047	-0.0206863297	0.0784262956	-0.0243605662	0.0507087042	-0.1150668569	0.0208831241	0.0743067736	-0.0042979033	0.0473710889	-0.0212889538	0.0114006207	-0.168555469	0.2131448911	0.0872319217	-0.0680102863	0.004982336	0.0854107132	0.0571268627	0.0693809774	0.0987173161	-0.0850969277	0.0103122821	-0.1381290835	-0.0966027492	-0.0211268769	0.0997127882	0.0740241433	-0.0184263484	-0.0920718498	-0.106642378	0.0151477259	0.0937060998	0.0082980795	0.0339149577	0.0247041637	0.0135142429	-0.0153694175	-0.0046227694	0.1127713849	-0.019851482	0.0157016469	0.0775212192	-0.1199577342	-0.1056896932	0.0046401368	-0.0642057453	-0.0103050067	-0.0018302202	-0.021076531	0.0697091505	0.0269336074	0.0101441064	0.055554704	-0.0187123498	0.0638720257	-0.0964137478	0.0206557361	0.1108580191	-0.017523109	-0.0289771331	0.0167842791	0.1129315549	-0.1535186158	-0.114999172	-0.1403101706	-0.0658848695	0.005762377	0.0143663044	0.1103653645	0.1241794963	-0.0056849847	0.0988468763	0.095379485	-0.0685342747	0.0497474976	0.0886913078	0.007722592	-0.0064711843	-0.0260515943	-0.0863344683	0.0522616208	-0.0730220435	0.1094106258	0.0309402491	0.0405593351	0.046236316	-0.054941037	0.0472668949	0.1139675232	0.1117560484	0.1081019891	2.52679e-05	0.0090185078999999	8.133348474236063e-05	6.3846677041e-10	-0.0990076	-0.1365676	0.01865070936976	0.00980250485776	-0.0339555	-0.0517568999999999	0.00115297598025	0.0026787766976099	0.000426803	8.7747e-05	1.82160800809e-07	7.699536009e-09	0.0008901869999999	0.0003194159999999	1.0202658105593613e-07	7.92432894968822e-07	-0.000142579	7.466500000000002e-05	5.574862225000002e-09	2.0328771241e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
789.4291186587305	0.8602190897908031	623198.3333863	0.7399768824405177	941.9932995373092	-0.4585150716679891	887351.3763731867	0.2102360709467012	770.2746846510267	0.7799441868601207	593323.0898142387	0.6083129346168948	783.1988364219204	587.4258693028574	0.962258	19.19611	0.0893708193999999	0.0540903	-0.0953995849	0.0161425449	-0.0728585734	-0.0735574543	0.0234188355	-0.0498056187	0.1072388545	0.0716266803	-0.0052002203	-0.0269655601	-0.0429663335	0.0031298074	0.0243238694	0.0958779136	0.0774508093	0.0362109237	-0.0054040912	0.0312653752	0.0889119259	0.0228339599	-0.0163010977	-0.0238879941	-0.0179388039	-0.0448853296	0.0781549188	0.0683206174	0.0147114107	-0.0833388106	0.0192870969	-0.0137431057	-0.0182524705	-0.0877249796	0.153705944	0.072434198	-0.1313325764	-0.0001401918	-0.1081383547	-0.1414449502	0.0524916026	-0.0463851731	0.1260491651	0.0264541128	0.0003395061	-0.1113530021	-0.0148531084	-0.1851738617	-0.0227314105	-0.0008616711	-0.0068612037	-0.0322748098	0.1633572029	-0.0799550184	-0.1867144982	0.0038991069	-0.0049906459	0.0624384658	0.1001199528	-0.0487033811	0.0021730803	-0.0610914681	-0.0083920777	-0.0660684168	-0.06379735	0.0311417024	0.0489581655	0.0472730107	-0.0239519469	-0.0965673338	-0.0295140102	-0.0575038976	0.0252581886	-0.0992359229	0.0170608894	0.058733731	0.020787001	0.0412132779	-0.0773243104	0.0096010234	-0.0540643785	0.1012843824	-0.1404539903	-0.0815646314	0.0293152047	-0.0004595395	0.1997499313	-0.0170417585	0.1631578791	-0.1563894193	0.0459094947	-0.0168971377	0.1404692732	0.0230407759	-0.0454652744	-0.1488985789	0.0449444952	0.0833257385	0.0554533238	0.0695107885	0.0882368766	0.1136742748	0.110592125	0.105516962	4.50773e-05	1.9809400000000004e-05	3.9241232836000016e-10	2.03196297529e-09	-0.0648365	0.0341710999999999	0.0011676640752099	0.00420377173225	0.0083573099999999	0.0423128099999999	6.984463043609835e-05	0.001790373890096	0.000534286	0.000107483	2.85461529796e-07	1.1552595289000004e-08	0.000838303	-5.1883999999900016e-05	2.691949455989625e-09	7.027519198089999e-07	-0.000240554	-9.7975e-05	9.599100625000002e-09	5.7866226916e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
790.1528006934203	0.723682034689773	624341.448443656	0.5237156873327298	947.1785289939094	5.185229456600155	897147.165787066	26.88660451759393	769.4784602778435	-0.7962243731832359	592097.1008315608	0.633973252451037	782.9048254635653	599.9389280792093	1.015114	20.250519	0.1960366573	0.115276	-0.0616848276	0.0957959968	-0.0192587837	-0.0509314922	-0.029455742	-0.0568322285	-0.0013386993	0.0018753838	-0.0825289478	0.0184239761	-0.0312054353	0.0130481978	0.1217774289	-0.1317036969	-0.0065155348	0.0532388304	-0.0803955978	-0.0187832699	-0.0077789148	0.0049130948	-0.1294639395	0.0707551919	0.0334301218	-0.0189297501	0.087005572	0.0870720958	0.0187743952	0.1343006045	0.0046111604	-0.0367389116	-0.0773521693	0.0604112453	-0.0622859357	0.0924219262	-0.0154454872	0.0572525843	-0.1034434422	-0.0544826776	0.0365813011	0.0334648945	0.0380495455	0.1107141747	-0.0357324966	-0.1002102699	0.0318718765	-0.0448828948	0.0728178212	-0.1348489526	0.0666987109	0.0245743631	-0.1565716728	-0.1390653216	0.0569787935	0.0065683379	-0.032943328	0.1354382072	-0.1110587208	-0.0295973376	-0.0322000733	-0.0248842877	0.1282623012	0.0515496247	0.0353250927	0.0315961496	0.0307015914	-0.0120245084	0.1008922373	-0.0031545507	0.0247893353	-0.0903227779	-0.0715653539	-0.0262304436	0.0591533875	0.064570835	0.0080940339	0.0104854886	-0.0433791587	0.2093117464	-0.0046466359	-0.0217928371	-0.0670155114	-0.0424274303	-0.0347989318	-0.0187560028	0.117598512	-0.0404000182	-0.0419490999	-0.0206828776	-0.0654664141	-0.0570634007	0.1264140017	0.1447436628	-0.0264239632	-0.0342365029	0.0789577301	0.014244979	0.0010212212	0.0649898396	-0.0979031432	0.1133324686	0.1092392569	0.1025263906	-0.00578259	-0.0058276673	3.3961706159489284e-05	3.3438347108099995e-05	0.0360571	0.1008936	0.01017951852096	0.00130011446041	0.0448357	0.0364783900000001	0.00201023999449	0.0013306729369921	0.00019671	-0.000337576	3.86948241e-08	1.1395755577600003e-07	0.000143858	-0.000694445	4.82253858025e-07	2.0695124164e-08	-0.000265273	-2.4719000000000005e-05	6.110289610000003e-10	7.0369764529e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
789.5567835828082	-0.5960171106121379	623399.9145016294	0.3552363961424414	943.7415063835706	-3.437022610338772	890648.030871131	11.813124423979948	769.6458724593258	0.1674121814822911	592354.7689936768	0.0280268385086595	782.899142104393	591.3492477759636	1.019263	20.333294	0.2620026628	0.152646	-0.0765301233	0.1020838978	-0.0962152062	-0.0737170356	0.0168022023	-0.0435427396	0.0517721598	0.0382766106	-0.0553254693	0.062024835	-0.0328962717	-0.0173088603	0.1099373696	0.0007030783	-0.0083550223	-0.0481430343	0.093588365	-0.0313716233	0.0409150938	-0.0375654037	-0.0295056689	0.0171706363	-0.0205510911	0.0724676673	0.1256877879	0.0623615092	0.0419146641	0.0195481478	-0.0475150849	-0.0337103504	0.0278647308	0.001442785	0.0206046538	-0.0308655936	-0.1707041055	-0.0148025511	-0.0730582755	0.0163618528	-0.0027651065	0.0437185832	0.0254327171	-0.171531924	0.1384798688	0.0851784552	-0.0105339713	0.1158852196	-0.0082436437	-0.1095263596	-0.0918666263	0.1301140327	-0.029693808	0.1793896504	0.003217665	-0.0959512042	-0.0951522597	-0.025973547	-0.0978719975	-0.038506541	0.0288886871	-0.0700970325	0.0881748218	0.0195742691	0.0541380647	-0.0392558718	0.037303061	0.053918154	-0.0471582243	-0.0200800335	0.083662416	0.0266609392	-0.0974035128	-0.0317544942	0.0007726429	-0.03639747	-0.0540523507	-0.0599155888	0.0572302993	0.0409056398	-0.0875768036	0.073182029	-0.0462971024	-0.0424943966	-0.090534924	0.0106881255	-0.0583031687	0.0623228006	0.1622719113	0.0803911266	-0.0523938566	0.0640191099	-0.016417549	0.0231235258	-0.0718373689	0.0583349907	-0.1605891711	0.0833170229	-0.148321315	0.0291390984	-0.0779628517	0.1129422506	0.1076997553	0.099141769	1.83728e-05	0.0058009628	3.365116940698384e-05	3.3755977984000003e-10	-0.0899945999999999	-0.1260516999999999	0.0158890310728899	0.0080990280291599	-0.0238701	-0.0687058	0.00056978167401	0.00472048695364	0.000144189	-5.252100000000001e-05	2.0790467721e-08	2.758455441000001e-09	0.00114048	0.000996622	9.93255410884e-07	1.3006946303999998e-06	-8.553199999999998e-05	0.000179741	3.2306827081000014e-08	7.315723023999996e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
790.6748898009378	1.1181062181295829	625166.7813617251	1.2501615150200385	942.8979938444794	-0.8435125390911935	889056.626795944	0.7115134036040722	770.3039793815788	0.658106922252955	593368.2206510957	0.4331047211172569	783.4698247707126	592.8788298390407	0.995482	19.858889	0.0748642571999999	0.0417167	-0.0827242469	0.1524052919	-0.0942339184	-0.0040076469	-0.0332402126	-0.0321349305	0.1330194968	0.0490593811	-0.0695592489	0.0677017858	-0.0295180944	0.0472484106	0.0397541475	0.1760920766	0.0264583704	0.0157053876	0.0567932374	-0.0961214402	0.024008023	0.0074462079	-0.0115896766	0.0462998719	-0.0381079704	-0.0077691448	0.0914970809	-0.0431940465	-0.2415504675	-0.0056703892	0.0551983848	-0.1476825219	-0.0523650367	0.0055024053	-0.0347398285	0.0879080177	0.0461813299	-0.054626699	0.0757250498	-0.0347076382	-0.1160766658	-0.0869188754	0.0468623324	-0.0462448712	-0.1224384929	0.1633266632	-0.059995406	-0.0145123691	-0.0046470051	-0.1510488045	-0.0837669746	-0.0583101617	-0.0404022878	-0.0771283326	0.0424212404	-0.0052399973	-0.0638192337	-0.0300276645	-0.0305434941	-0.0500481694	-0.0362669467	-0.1171430307	0.0193831228	-0.1258615275	-0.033490525	-0.1277361849	-0.0016518927	0.0261292626	-0.007842602	-0.0659280858	-0.0373429487	-0.0105002062	-0.0957624593	-0.1445202591	0.0115896244	-0.0182423608	-0.0874435277	0.0998961256	0.141157552	0.0916704811	-0.111531132	0.0252407648	-0.0842158746	0.007170795	0.0767221759	-0.007592989	-0.0819432881	-0.172613707	-0.0448237797	0.0367339018	-0.0632040753	0.0177061774	0.0075497076	0.0652413371	-0.0415136508	0.051766388	0.069800036	0.0047733826	0.1285885099	0.0089823137	-0.007628483	0.1125037874	0.1059762505	0.0953761056	0.00549053	0.0054721572	2.994450442151184e-05	3.0145919680900005e-05	-0.0605787	0.0294158999999998	0.0008652951728099	0.00366977889369	0.00449882	0.02836892	2.02393813924e-05	0.0008047956219664	0.000220126	7.593700000000002e-05	4.8455455876000014e-08	5.766427969000002e-09	0.000990451	-0.0001500289999999	2.2508700840999962e-08	9.809931834010002e-07	-9.17116e-05	-6.179600000000025e-06	3.8187456160000296e-11	8.411017574560001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
